"","gene","entrez_id","ensembl_id","subclass","pct.1","pct.2","avg_log2FC","roc_avg_diff","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"847","KIAA0226L",80183,"ENSG00000102445","Microglia",0.601,0.234,4.94196218716293,3.42550715646585,0.727,0.454,9.38543632440066e-284,4.7190912382719e-279
"848","KIAA1033",23325,"ENSG00000136051","Microglia",0.531,0.678,2.54665995540937,1.76521016793692,0.522,0.044,4.99145492087361e-107,2.50975344876446e-102
"849","KIAA1211",57482,"ENSG00000109265","LAMP5",0.976,0.676,2.52771256049502,1.75207683457308,0.882,0.764,0,0
"850","KIAA1328",57536,"ENSG00000150477","VLMC",0.909,0.849,3.00075781020517,2.07996681568696,0.802,0.604,0.000219591757572622,1
"851","KIAA1456",57604,"ENSG00000250305, ENSG00000284872","L5/6 NP",0.987,0.52,2.55324933066448,1.76977757481665,0.906,0.812,0,0
"852","KIAA1598",57698,"ENSG00000187164","Oligodendrocyte",0.955,0.846,3.02453378791887,2.09644706760425,0.844,0.688,0,0
"853","KIAA1671",85379,"ENSG00000197077","Endothelial",0.729,0.816,2.50961329432311,1.73953137925582,0.547,0.0940000000000001,1.67228347160989e-06,0.084084085236017
"854","KIF11",3832,"ENSG00000138160","Microglia",0.413,0.417,2.54081589934583,NA,NA,NA,1.37202626150061e-13,6.89868524545123e-09
"855","KIF13B",23303,"ENSG00000197892","Oligodendrocyte",0.892,0.603,3.80521645562825,2.63757505763903,0.83,0.66,0,0
"856","KIF26B",55083,"ENSG00000281216, ENSG00000162849","SST",0.982,0.85,2.79351371016707,1.93631615205786,0.879,0.758,0,0
"857","KIF6",221458,"ENSG00000164627","Oligodendrocyte",0.785,0.528,4.4634229853025,3.09380905790888,0.771,0.542,0,0
"858","KIFC3",3801,"ENSG00000140859","VLMC",0.727,0.478,3.73190593120704,2.5867600743311,0.659,0.318,0.0499657369770748,1
"859","KIT",3815,"ENSG00000157404","LAMP5",0.909,0.14,5.98726798893087,4.15005792578425,0.939,0.878,0,0
