"","gene","entrez_id","ensembl_id","subclass","pct.1","pct.2","avg_log2FC","roc_avg_diff","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"444","CNTN6",27255,"ENSG00000134115","Pericyte",0.531,0.584,2.07990037636957,1.44167708172614,0.546,0.0920000000000001,0.00184668488478928,1
"445","CNTNAP3",79937,"ENSG00000106714","PVALB",0.985,0.543,3.37450927914312,2.33903159261142,0.936,0.872,0,0
"446","CNTNAP3B",728577,"ENSG00000154529","PVALB",0.983,0.549,3.2974258183357,2.28560140908496,0.926,0.852,0,0
"447","CNTNAP4",85445,"ENSG00000152910","Oligodendrocyte",0.938,0.756,2.43316150978457,1.68653904035416,0.813,0.626,0,0
"448","COBL",23242,"ENSG00000106078","Oligodendrocyte",0.941,0.872,2.01248530279032,1.39494851354743,0.768,0.536,4.07888423403575e-279,2.05090378171551e-274
"449","COG3",83548,"ENSG00000136152","VLMC",0.727,0.648,2.73725444942575,1.89732020409462,0.573,0.146,NA,NA
"450","COL13A1",1305,"ENSG00000197467","VLMC",0.727,0.161,5.85023099491925,4.05507111975268,0.84,0.68,9.41215976137563e-14,4.73252804961728e-09
"451","COL14A1",7373,"ENSG00000187955","Pericyte",0.5,0.372,4.29317925601632,2.97580509694615,0.605,0.21,1.88463749946385e-06,0.0947614581105418
"452","COL15A1",1306,"ENSG00000204291","VLMC",1,0.094,8.63198637586277,5.98323701906114,0.999,0.998,1.67698126472386e-47,8.43202949715806e-43
"453","COL1A1",1277,"ENSG00000108821","VLMC",0.545,0.022,6.35174556454816,4.4026945297007,0.768,0.536,8.07105942275957e-19,4.05820938835774e-14
"454","COL20A1",57642,"ENSG00000101203","OPC",0.761,0.064,6.11531318389895,4.23881209166062,0.866,0.732,0,0
"455","COL22A1",169044,"ENSG00000169436","Other IT",0.86,0.302,5.47437510583353,NA,NA,NA,0,0
"456","COL23A1",91522,"ENSG00000050767","VLMC",0.909,0.987,2.34729583431865,1.62702148949807,0.469,0.0620000000000001,NA,NA
"457","COL24A1",255631,"ENSG00000171502","L5 ET",0.994,0.766,2.83626956525432,1.96595225246401,0.935,0.87,5.42237533929001e-91,2.72642454434841e-86
"458","COL3A1",1281,"ENSG00000168542","VLMC",0.818,0.016,6.76736570433665,4.69078045777902,0.903,0.806,2.22039377750299e-15,1.11643619526628e-10
"459","COL4A3",1285,"ENSG00000169031","Pericyte",0.594,0.161,5.95021867490063,4.12437729822251,0.756,0.512,1.83112379144703e-30,9.20707353577482e-26
"460","COL4A6",1288,"ENSG00000197565","VLMC",0.455,0.246,6.06389510322283,4.20317179401016,0.638,0.276,9.84107286199739e-21,4.94818984574091e-16
"461","COL5A1",1289,"ENSG00000130635","VLMC",0.727,0.242,4.43972431854146,3.07738239386044,0.803,0.606,8.09202460120309e-07,0.0406875088973092
"462","COL6A3",1293,"ENSG00000163359","VLMC",0.727,0.061,7.37162692378646,5.10962241836237,0.853,0.706,1.58091388023873e-21,7.94899308122837e-17
"463","COL7A1",1294,"ENSG00000114270","VLMC",0.455,0.26,3.93782362209119,2.72949134119487,0.652,0.304,2.46896407096622e-05,1
"464","COLGALT1",79709,"ENSG00000130309","Microglia",0.44,0.416,3.04300909185715,2.10925317243907,0.54,0.0800000000000001,3.74741085399516e-44,1.88423565149731e-39
"465","COLGALT2",23127,"ENSG00000198756","Oligodendrocyte",0.854,0.716,2.86457300407993,1.98557070128614,0.766,0.532,0,0
"466","COMMD10",51397,"ENSG00000145781","Microglia",0.679,0.815,2.0560507375399,1.42514577181397,0.519,0.038,1.00444128517644e-40,5.05043122599568e-36
"467","COMT",1312,"ENSG00000093010","Pericyte",0.312,0.493,2.11139241895844,1.46350570225668,0.457,0.086,9.4374795046754e-06,0.474525906974584
"468","COPS2",9318,"ENSG00000166200","Endothelial",0.214,0.487,2.06421977629135,1.43080811799244,0.394,0.212,3.16406098717561e-10,1.59092150496177e-05
"469","COQ2",27235,"ENSG00000173085","Microglia",0.476,0.501,2.97200178602406,2.0600346586017,0.52,0.04,1.89370749082917e-39,9.52175063463814e-35
"470","COQ4",51117,"ENSG00000167113","VLMC",0.727,0.58,2.11006133092075,1.46258306233629,0.633,0.266,NA,NA
"471","CORIN",10699,"ENSG00000145244","VLMC",0.091,0.381,3.15723134092122,2.18842600233503,0.372,0.256,0.00057193861084806,1
"472","COTL1",23406,"ENSG00000103187","Microglia",0.463,0.248,4.08990314957207,2.83490483688912,0.639,0.278,1.13191573445637e-150,5.69138550442009e-146
"473","COX6C",1345,"ENSG00000164919","Pericyte",0.469,0.746,2.02900910222604,1.40640193853845,0.477,0.046,3.63129336540052e-08,0.00182585061705704
"474","COX7A1",1346,"ENSG00000161281","Pericyte",0.406,0.445,2.26412607566397,1.56937260577874,0.561,0.122,3.37841896491188e-10,1.69870283974734e-05
"475","CPA6",57094,"ENSG00000165078","L5/6 NP",0.434,0.387,2.51301044593736,1.74188610531918,0.535,0.0700000000000001,3.30486606460432e-24,1.6617197059437e-19
"476","CPEB2",132864,"ENSG00000137449","Oligodendrocyte",0.34,0.366,2.01057121244078,1.39362176721833,0.517,0.034,1.05642694824758e-108,5.31182033848366e-104
"477","CPNE5",57699,"ENSG00000124772","L5/6 IT Car3",0.978,0.628,2.06750367435213,1.43308434267451,0.867,0.734,0,0
"478","CPNE7",27132,"ENSG00000178773","L5/6 NP",0.922,0.293,2.97691400630519,2.06343955023985,0.889,0.778,0,0
"479","CPNE8",144402,"ENSG00000139117","Endothelial",0.843,0.743,2.16377840201234,1.49981689871134,0.685,0.37,2.99227530961361e-06,0.150454594842682
"480","CPOX",1371,"ENSG00000080819","Oligodendrocyte",0.439,0.381,2.66034932699606,1.84401363531186,0.577,0.154,1.10283924535368e-211,5.54518600956282e-207
"481","CPS1",1373,"ENSG00000021826","VLMC",0.545,0.298,4.63672036686998,3.2139296493408,0.676,0.352,0.000184576804992149,1
"482","CPSF2",53981,"ENSG00000165934","Endothelial",0.3,0.446,2.15236496363593,1.49190570608025,0.419,0.162,0.0437694922509163,1
"483","CPSF7",79869,"ENSG00000149532","Pericyte",0.375,0.543,2.08098010215794,1.44242549061212,0.445,0.11,0.00755096031376365,1
"484","CPVL",54504,"ENSG00000106066","Microglia",0.376,0.291,3.90918283604191,2.70963906109579,0.571,0.142,3.70922410736495e-98,1.86503497342417e-93
"485","CRABP1",1381,"ENSG00000166426","L5/6 IT Car3",0.401,0.052,2.93998941005706,2.03784537045714,0.676,0.352,3.75175900568366e-250,1.8864219456478e-245
"486","CRB1",23418,"ENSG00000134376","Astrocyte",0.974,0.741,2.92911300345291,2.03030641988486,0.886,0.772,0,0
"487","CREBL2",1389,"ENSG00000111269","Microglia",0.364,0.502,2.23246504797364,1.54742685370155,0.474,0.052,1.60579267158245e-62,8.07408613198371e-58
"488","CREBRF",153222,"ENSG00000164463","Pericyte",0.625,0.777,2.04364401547794,1.41654608739674,0.459,0.082,NA,NA
"489","CREM",1390,"ENSG00000095794","OPC",0.636,0.617,2.06544089832024,1.43165453528387,0.573,0.146,6.63763023135814e-36,3.33746685662919e-31
"490","CRHR2",1395,"ENSG00000106113","L5/6 NP",0.723,0.27,2.00133036554453,1.38721650024619,0.752,0.504,9.70074752762302e-181,4.87763286436413e-176
"491","CRIM1",51232,"ENSG00000277354, ENSG00000150938","Endothelial",0.586,0.699,2.07705041972344,1.43970164231215,0.519,0.038,3.00221007938371e-05,1
"492","CRIP1",1396,"ENSG00000213145","Pericyte",0.469,0.008,6.67490279311974,4.62669005156265,0.732,0.464,3.91496235687291e-43,1.96848222265927e-38
"493","CRIP2",1397,"ENSG00000182809","Endothelial",0.5,0.407,2.71398474237269,1.88119087225833,0.622,0.244,1.32519887317238e-17,6.66323245419803e-13
"494","CRIPT",9419,"ENSG00000119878","VLMC",0.364,0.492,2.07789504286636,1.44028709046231,0.481,0.038,NA,NA
"495","CRISPLD1",83690,"ENSG00000121005","OPC",0.367,0.234,2.77066252323376,1.92047691626258,0.583,0.166,8.81715360637579e-46,4.43335300482181e-41
"496","CRNKL1",51340,"ENSG00000101343","Pericyte",0.156,0.364,2.29162462938894,1.58843315076268,0.423,0.154,2.74026946310549e-07,0.0137783488874407
"497","CRTC3.AS1",NA,NA,"VLMC",0.636,0.332,3.64182146399668,2.52431827987199,0.658,0.316,NA,NA
"498","CRY1",1407,"ENSG00000008405","Pericyte",0.25,0.442,2.86770165189249,1.98773931469638,0.425,0.15,0.000607099598406281,1
"499","CRYAB",1410,"ENSG00000109846","Oligodendrocyte",0.837,0.305,4.98113980620934,3.45266301264891,0.874,0.748,0,0
"500","CRYBG3",131544,"ENSG00000080200","Endothelial",0.357,0.343,2.8074814866973,1.94599787697848,0.535,0.0700000000000001,1.15275567707959e-05,0.57961708199239
"501","CSF1",1435,"ENSG00000184371","VLMC",0.636,0.031,4.61887520929502,3.20156032868107,0.805,0.61,2.34534532927222e-08,0.00117926308501136
"502","CSF1R",1436,"ENSG00000182578","Microglia",0.963,0.202,8.32472142333315,5.77025718353035,0.973,0.946,0,0
"503","CSF2RA",1438,"ENSG00000198223","Microglia",0.521,0.003,6.4026141424054,4.43795394102154,0.76,0.52,0,0
"504","CSF3R",1441,"ENSG00000119535","Microglia",0.755,0.055,8.73759507579837,6.0564393916641,0.87,0.74,0,0
"505","CSNK1G2",1455,"ENSG00000133275","Pericyte",0.281,0.472,2.80242791369254,1.94249500709847,0.426,0.148,0.000639130055071499,1
"506","CSNK1G3",1456,"ENSG00000151292","VLMC",0.545,0.694,2.5269524321888,1.75154995378078,0.496,0.00800000000000001,NA,NA
"507","CSPG4",1464,"ENSG00000173546","OPC",0.554,0.104,5.75600325398396,3.98975742679285,0.748,0.496,0,0
"508","CSTB",1476,"ENSG00000160213","Pericyte",0.375,0.473,2.45468920285727,1.70146090011146,0.531,0.0620000000000001,3.51011850188912e-10,1.76492268393487e-05
"509","CTD.2297D10.2",NA,NA,"Other IT",0.354,0.099,2.44435240994322,1.69429598124705,0.632,0.264,1.24060515190192e-84,6.23788676427806e-80
"510","CTGF",1490,"ENSG00000118523","L6b",0.965,0.111,4.80772285277499,3.33245954031461,0.961,0.922,0,0
"511","CTNNA2",1496,"ENSG00000066032","Astrocyte",1,0.984,2.31839411278789,1.60698834270571,0.956,0.912,0,0
"512","CTNNA3",29119,"ENSG00000183230","Oligodendrocyte",1,0.958,5.16142125470231,3.57762459037909,0.993,0.986,0,0
"513","CTNNB1",1499,"ENSG00000168036","Endothelial",0.629,0.622,2.73041653990187,1.89258052638723,0.644,0.288,1.63562480678901e-19,8.2240850910158e-15
"514","CTPS2",56474,"ENSG00000047230","Endothelial",0.543,0.566,2.44740980109835,1.6964152033061,0.506,0.012,NA,NA
"515","CTSB",1508,"ENSG00000164733, ENSG00000285132","Microglia",0.755,0.781,2.60691589880594,1.80697640521424,0.637,0.274,1.8320238514565e-119,9.21159912750845e-115
"516","CTSC",1075,"ENSG00000109861","Microglia",0.392,0.138,4.88183095414954,3.38382736183902,0.645,0.29,2.51048118721593e-176,1.26229504574404e-171
"517","CTSH",1512,"ENSG00000103811","Astrocyte",0.389,0.161,3.57922870846071,2.48093228784876,0.631,0.262,1.15122115423327e-194,5.78845508560032e-190
"518","CTSK",1513,"ENSG00000143387","VLMC",0.364,0.15,4.38002365009685,3.03600104385051,0.631,0.262,0.000240189347147192,1
"519","CTSS",1520,"ENSG00000163131","Microglia",0.457,0.3,4.69287325156326,3.25285186304625,0.619,0.238,4.28717993429166e-203,2.15563694276119e-198
"520","CUTC",51076,"ENSG00000119929","VLMC",0.364,0.244,3.7715958097206,2.61427100171953,0.577,0.154,NA,NA
"521","CUX2",23316,"ENSG00000111249","L2/3 IT",0.985,0.569,2.52832352278032,1.75250032135857,0.908,0.816,0,0
"522","CWC15",51503,"ENSG00000150316","Pericyte",0.219,0.521,2.40311585501012,1.66571297945917,0.404,0.192,1.71286014535693e-10,8.61243209686916e-06
"523","CX3CR1",1524,"ENSG00000168329","Microglia",0.929,0.021,10.1456156930866,7.03240491270769,0.964,0.928,0,0
"524","CXCL12",6387,"ENSG00000107562","VLMC",0.727,0.039,5.60433229211027,3.88462712719729,0.855,0.71,2.8098574082024e-12,1.41282440341825e-07
"525","CXCL13",10563,"ENSG00000156234","L4 IT",0.474,0.418,2.60821015510169,1.80787351531656,0.556,0.112,0,0
"526","CXorf36",79742,"ENSG00000147113","Endothelial",0.629,0.125,7.0631904602401,4.89583055327333,0.787,0.574,4.60473874751562e-181,2.31530868963833e-176
"527","CXorf57",55086,"ENSG00000147231","PAX6",0.437,0.149,2.66217083316437,1.8452762071768,0.658,0.316,1.4272355649826e-52,7.17628314428902e-48
"528","CXorf58",254158,"ENSG00000165182","Pericyte",0.375,0.229,5.35691902683226,3.7131333199367,0.576,0.152,0.00212329686416202,1
"529","CYB5R3",1727,"ENSG00000100243","Pericyte",0.469,0.438,2.7986075945817,1.93984696367795,0.541,0.0820000000000001,0.0344873975363111,1
"530","CYBB",1536,"ENSG00000165168","Microglia",0.581,0.044,7.65593027683923,5.30668648595463,0.778,0.556,0,0
"531","CYFIP1",23191,"ENSG00000273749, ENSG00000280618, ENSG00000288461","Microglia",0.997,0.958,4.50569578906269,3.12311033264963,0.909,0.818,0,0
"532","CYP1B1",1545,"ENSG00000138061","VLMC",0.727,0.033,8.09365250376281,5.61009241341513,0.856,0.712,6.33729400709898e-18,3.18645479970944e-13
"533","CYP26B1",56603,"ENSG00000003137","L5/6 NP",0.37,0.104,2.01313379003198,1.39539801065062,0.637,0.274,2.30259485333808e-92,1.15776771820692e-87
"534","CYS1",192668,"ENSG00000205795","VLMC",0.455,0.18,3.53709185071431,2.45172524370418,0.641,0.282,NA,NA
"535","CYSTM1",84418,"ENSG00000120306","Pericyte",0.344,0.397,2.28264555099773,1.58220932789178,0.5,0,0.0232825305666174,1
"536","CYTH1",9267,"ENSG00000108669","Endothelial",0.7,0.613,2.21083995570978,1.53243748196951,0.584,0.168,0.00218734931995892,1
"537","CYTH3",9265,"ENSG00000008256","Pericyte",0.875,0.855,3.20867015211659,2.22408066928646,0.745,0.49,4.22884425683496e-11,2.12630518077918e-06
"538","CYTH4",27128,"ENSG00000100055","Microglia",0.403,0.061,6.69787344656134,4.64261209523132,0.682,0.364,0,0
"539","CYTL1",54360,"ENSG00000170891","VLMC",0.636,0.003,7.77151401880799,5.38680303081885,0.817,0.634,1.72018748613253e-15,8.64927469902296e-11
"540","CYYR1",116159,"ENSG00000166265","Endothelial",0.4,0.031,5.72806848247243,3.97039451868005,0.689,0.378,1.668429678599e-35,8.38903126696361e-31
"541","D2HGDH",728294,"ENSG00000180902","Astrocyte",0.368,0.267,2.25901734686297,NA,NA,NA,8.94089664198911e-79,4.49557224055854e-74
"542","DAB2IP",153090,"ENSG00000136848","Endothelial",0.757,0.705,3.3832435039195,2.34508569588956,0.663,0.326,3.84191529555474e-18,1.93175342975788e-13
"543","DACH2",117154,"ENSG00000126733","VIP",0.751,0.676,2.56434377572277,1.77746765812868,0.607,0.214,1.07230038501312e-242,5.39163356588449e-238
"544","DACT1",51339,"ENSG00000165617","VLMC",0.364,0.043,5.37813845352045,3.72784150571873,0.668,0.336,3.26009376699384e-06,0.163920774698217
"545","DAD1",1603,"ENSG00000129562","Oligodendrocyte",0.345,0.441,2.00295000440272,NA,NA,NA,3.74269416595819e-94,1.88186405358544e-89
"546","DAGLB",221955,"ENSG00000164535","Microglia",0.624,0.606,2.92922542038509,2.03038434136444,0.558,0.116,9.74695375246993e-54,4.90086581627941e-49
"547","DAPL1",92196,"ENSG00000163331","L5/6 NP",0.468,0.062,3.71727680154253,2.5766199343501,0.714,0.428,0,0
"548","DBNDD2",55861,"ENSG00000244274","Oligodendrocyte",0.611,0.168,5.73048740785324,3.97207118998774,0.769,0.538,0,0
"549","DCBLD1",285761,"ENSG00000164465","L6b",0.797,0.296,2.29504184351906,1.59080178310234,0.8,0.6,0,0
"550","DCDC5",100506627,NA,"Other IT",0.543,0.237,2.23247588970598,1.54743436861775,0.676,0.352,3.66623250109934e-100,1.84341836387776e-95
"551","DCK",1633,"ENSG00000156136","Microglia",0.315,0.458,2.16920352691488,1.50357730874173,0.444,0.112,9.66653579533101e-27,4.86043086325038e-22
"552","DCLK2",166614,"ENSG00000170390","Astrocyte",0.977,0.873,2.42671647875933,1.68207168527039,0.841,0.682,0,0
"553","DCSTAMP",81501,"ENSG00000164935","L5/6 IT Car3",0.403,0.03,4.2700308873449,2.959759870467,0.689,0.378,0,0
"554","DCTN6",10671,"ENSG00000104671","Pericyte",0.281,0.519,2.0312835439735,1.40797846142305,0.399,0.202,0.00319996346207674,1
"555","DCUN1D1",54165,"ENSG00000043093","VLMC",0.545,0.686,2.2316516229205,1.54686303041937,0.466,0.0679999999999999,NA,NA
"556","DCXR",51181,"ENSG00000169738","Astrocyte",0.358,0.241,2.14128411853366,1.48422504953939,0.581,0.162,6.40956286699373e-87,3.22279230515312e-82
"557","DDOST",1650,"ENSG00000244038","Pericyte",0.219,0.364,2.44397784720684,1.69403635414239,0.456,0.088,7.73176355991939e-05,1
"558","DDX39A",10212,"ENSG00000123136","VLMC",0.364,0.209,2.75141383165179,1.90713473996307,0.604,0.208,0.0205721292810171,1
