"","gene","entrez_id","ensembl_id","class","pct.1","pct.2","avg_log2FC","roc_avg_diff","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"671","HLA.A",NA,NA,"GABAergic",0.485,0.19,2.1365882292034,1.4809701070899,0.666,0.332,0,0
"672","HLA.B",NA,NA,"Non-neuronal",0.314,0.268,3.06372191045482,2.12361020425149,0.541,0.0820000000000001,8.466696285945e-301,4.25713955953601e-296
"673","HLA.DPB2",NA,NA,"GABAergic",0.396,0.343,1.89256136235444,1.31182357235267,0.537,0.0740000000000001,7.86984938915737e-211,3.95703897136221e-206
"674","HMCN1",83872,"ENSG00000143341","Non-neuronal",0.365,0.424,1.63263379162405,1.13165550955111,0.485,0.03,8.45792935811086e-59,4.25273146055172e-54
"675","HMCN2",256158,"ENSG00000148357","GABAergic",0.407,0.337,1.71598256728139,1.18942847840111,0.551,0.102,0,0
"676","HMGCL",3155,"ENSG00000117305","Non-neuronal",0.299,0.377,1.66542699185393,1.15438602383198,0.47,0.0600000000000001,3.35171351142908e-61,1.68527507068165e-56
"677","HNF4G",3174,"ENSG00000164749","Non-neuronal",0.315,0.241,3.66658102185806,2.54148029759552,0.555,0.11,0,0
"678","HOMER1",9456,"ENSG00000152413","Glutamatergic",0.982,0.691,2.08365296755999,1.44427817972958,0.856,0.712,0,0
"679","HOPX",84525,"ENSG00000171476","Glutamatergic",0.702,0.206,2.38838548912993,1.65550266788069,0.774,0.548,0,0
"680","HPN.AS1",NA,NA,"Non-neuronal",0.28,0.13,4.49600602414072,3.11639389941367,0.587,0.174,0,0
"681","HPSE2",60495,"ENSG00000172987","Non-neuronal",0.775,0.796,3.05577620079509,2.1181026580033,0.554,0.108,3.89515608789722e-266,1.9585234325556e-261
"682","HRH3",11255,"ENSG00000101180","GABAergic",0.353,0.071,2.68122292204553,1.85848210886856,0.645,0.29,0,0
"683","HS3ST2",9956,"ENSG00000122254","Glutamatergic",0.595,0.261,2.64174710288382,1.83111955611632,0.705,0.41,0,0
"684","HS3ST3A1",9955,"ENSG00000153976","Non-neuronal",0.261,0.223,1.87019756295333,1.29632216785118,0.525,0.05,9.04920605190325e-28,4.55003129495747e-23
"685","HS3ST4",9951,"ENSG00000182601","Glutamatergic",0.879,0.594,1.96807923264058,1.36416857122339,0.808,0.616,0,0
"686","HSD17B3",3293,"ENSG00000130948","Non-neuronal",0.335,0.157,4.84983056536853,3.36164638257864,0.604,0.208,0,0
"687","HSD17B7P2",158160,NA,"Non-neuronal",0.329,0.436,1.66771043541495,1.15596878629828,0.468,0.0639999999999999,1.66114557304461e-152,8.35240605582562e-148
"688","HSD3BP4",128102,NA,"Glutamatergic",0.369,0.064,2.13889305055581,1.48256768751202,0.654,0.308,0,0
"689","HSD3BP5",391081,NA,"Glutamatergic",0.314,0.065,1.51994290899506,1.05354414198201,0.625,0.25,0,0
"690","HSDL2",84263,"ENSG00000119471","Non-neuronal",0.459,0.485,1.74077007385582,1.2066098686963,0.5,0,2.54684169150446e-33,1.28057747090536e-28
"691","HTR1F",3355,"ENSG00000179097","Glutamatergic",0.863,0.47,1.88849658853802,1.3090060858422,0.799,0.598,0,0
"692","HTR2A",3356,"ENSG00000102468","Glutamatergic",0.757,0.217,2.60985516387486,1.80901374850967,0.803,0.606,0,0
"693","HTR3B",9177,"ENSG00000149305","Glutamatergic",0.312,0.16,1.82019720301152,1.26166455933054,0.587,0.174,0,0
"694","HTR7",3363,"ENSG00000148680","GABAergic",0.358,0.284,1.61570041363681,1.11991818634189,0.549,0.0980000000000001,1.21256135115554e-193,6.09687972974517e-189
"695","HTRA1",5654,"ENSG00000166033","Non-neuronal",0.656,0.213,3.60263395783733,2.49715557046447,0.756,0.512,0,0
"696","HUNK",30811,"ENSG00000142149","GABAergic",0.712,0.559,1.87701130970058,1.30104509719808,0.655,0.31,0,0
"697","HVCN1",84329,"ENSG00000122986","Non-neuronal",0.347,0.314,2.79064372409682,1.93432682930502,0.528,0.056,1.58747990261086e-82,7.98200769831765e-78
"698","ICK",22858,"ENSG00000112144","Non-neuronal",0.255,0.298,1.79726754832864,1.24577093383588,0.489,0.022,1.8482173408828e-74,9.29302161169283e-70
"699","IDH2",3418,"ENSG00000182054","Non-neuronal",0.323,0.456,1.56605673015722,1.0855078071054,0.457,0.086,4.35737418077063e-163,2.19093131183328e-158
"700","IDI2.AS1",NA,NA,"Non-neuronal",0.19,0.25,1.60623462003969,1.11335699819829,0.477,0.046,3.65746838148912e-76,1.83901167689654e-71
"701","IFI16",3428,"ENSG00000163565","Non-neuronal",0.272,0.111,4.4055959540382,3.05372641422788,0.588,0.176,0,0
"702","IFNGR1",3459,"ENSG00000027697","Non-neuronal",0.331,0.467,2.45117344058477,1.69902395940476,0.465,0.07,1.5249858533629e-252,7.667781369294e-248
"703","IGF1",3479,"ENSG00000017427","GABAergic",0.644,0.05,4.9391251662535,3.42354068342129,0.808,0.616,0,0
"704","IGF2BP2",10644,"ENSG00000073792","Non-neuronal",0.471,0.44,1.54764023827582,1.072742467682,0.541,0.0820000000000001,8.39506920984016e-71,4.22112474939973e-66
"705","IGF2BP3",10643,"ENSG00000136231","GABAergic",0.56,0.517,1.62416339497938,1.12578427799863,0.543,0.0860000000000001,8.87406711543926e-226,4.46196968631401e-221
