"","gene","entrez_id","ensembl_id","class","pct.1","pct.2","avg_log2FC","roc_avg_diff","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"1","A2M",2,"ENSG00000175899","Non-neuronal",0.42,0.451,3.23251756148607,2.24061043385458,0.521,0.042,8.80457843269338e-235,4.42703008174256e-230
"2","AAMDC",28971,"ENSG00000087884","Non-neuronal",0.369,0.453,1.52608696275342,1.05780287552182,0.467,0.0659999999999999,2.52104570234491e-50,1.26760698959605e-45
"3","AASS",10157,"ENSG00000008311","Non-neuronal",0.56,0.161,4.74296397182939,3.28757210457095,0.729,0.458,0,0
"4","ABCA1",19,"ENSG00000165029","Non-neuronal",0.468,0.417,2.0736741853867,1.43736141500073,0.545,0.0900000000000001,4.08590899913026e-72,2.05443590385268e-67
"5","ABCA13",154664,"ENSG00000179869","Non-neuronal",0.293,0.314,1.57066084273641,1.08869913475865,0.501,0.002,6.00521470122466e-66,3.01948200392277e-61
"6","ABCA2",20,"ENSG00000107331","Non-neuronal",0.513,0.554,3.28852020229923,2.27942850643814,0.575,0.15,0,0
"7","ABCA8",10351,"ENSG00000141338","Non-neuronal",0.454,0.135,7.11781816368813,4.9336955918988,0.683,0.366,0,0
"8","ABCB5",340273,"ENSG00000004846","GABAergic",0.29,0.245,2.27915411028231,1.5797892456038,0.53,0.0600000000000001,1.7550216592933e-273,8.82442440509266e-269
"9","ABCC4",10257,"ENSG00000125257","Non-neuronal",0.644,0.614,3.61813628081573,2.50790096192907,0.558,0.116,6.68611796501018e-207,3.36184697398677e-202
"10","ABCG1",9619,"ENSG00000160179","Non-neuronal",0.35,0.386,1.86923174304551,1.29565271250515,0.494,0.012,9.64611619922993e-48,4.8501636861348e-43
"11","ABCG2",9429,"ENSG00000118777","Non-neuronal",0.468,0.434,4.5257236549625,3.1369925914307,0.545,0.0900000000000001,2.81582402458312e-290,1.41582447780064e-285
"12","ABI3BP",25890,"ENSG00000154175","GABAergic",0.306,0.304,2.31537692868104,1.60489699004881,0.507,0.014,9.18692552771576e-73,4.61927802459076e-68
"13","ABTB2",25841,"ENSG00000166016","Non-neuronal",0.552,0.394,4.01477248784701,2.7828282305408,0.633,0.266,0,0
"14","ACACB",32,"ENSG00000076555","Non-neuronal",0.58,0.411,4.21744271560811,2.92330852749684,0.649,0.298,0,0
"15","ACER3",55331,"ENSG00000078124","Non-neuronal",0.72,0.792,1.89982685158394,1.31685962572748,0.55,0.1,4.03105817920524e-170,2.02685636308619e-165
"16","ACHE",43,"ENSG00000087085","GABAergic",0.336,0.178,2.00979295887197,1.39308232295133,0.589,0.178,0,0
"17","ACOT11",26027,"ENSG00000162390","Non-neuronal",0.424,0.39,2.32363784461907,1.61062302064009,0.538,0.0760000000000001,4.72202661608638e-125,2.37428220283439e-120
"18","ACP6",51205,"ENSG00000162836","Non-neuronal",0.228,0.292,1.50358103992446,1.04220295856704,0.478,0.044,1.11458129976419e-82,5.60422623334433e-78
"19","ACSBG1",23205,"ENSG00000103740","Non-neuronal",0.382,0.208,5.3676091344418,3.72054313788614,0.614,0.228,0,0
"20","ACSL1",2180,"ENSG00000151726","Non-neuronal",0.302,0.395,1.59366590101314,1.10464502604178,0.461,0.078,3.39420171349904e-57,1.70663856356445e-52
"21","ACSS1",84532,"ENSG00000154930","Non-neuronal",0.421,0.059,6.18550893517978,4.28746807874822,0.69,0.38,0,0
"22","ACSS2",55902,"ENSG00000131069","Non-neuronal",0.417,0.527,1.80969919549459,1.25438789501867,0.466,0.0679999999999999,4.62383318432162e-116,2.32490956340875e-111
"23","ACSS3",79611,"ENSG00000111058","Non-neuronal",0.355,0.252,4.20032328585363,2.91144224302973,0.573,0.146,0,0
"24","ACTN1",87,"ENSG00000072110","Glutamatergic",0.927,0.433,1.85773228764971,1.28768189741958,0.833,0.666,0,0
"25","ADAMTS16",170690,"ENSG00000145536","Glutamatergic",0.489,0.223,1.51668701749753,1.05128732997029,0.65,0.3,0,0
"26","ADAMTS17",170691,"ENSG00000140470","GABAergic",0.613,0.518,1.53942843342224,1.06705047830044,0.595,0.19,0,0
"27","ADAMTS18",170692,"ENSG00000140873","Non-neuronal",0.256,0.236,2.98671724824341,2.07023463974968,0.52,0.04,9.99031356399705e-129,5.02322956311335e-124
"28","ADAMTS20",80070,"ENSG00000173157","GABAergic",0.356,0.263,2.97974650140406,2.06540288623158,0.56,0.12,0,0
"29","ADAMTS3",9508,"ENSG00000156140","Glutamatergic",0.606,0.327,4.12674199594159,2.86043957938523,0.701,0.402,0,0
"30","ADAMTS6",11174,"ENSG00000049192","GABAergic",0.641,0.558,2.4199797829697,1.67740216357751,0.602,0.204,0,0
"31","ADAMTS9.AS2",NA,NA,"GABAergic",0.665,0.325,2.96868189936291,2.05773348852273,0.731,0.462,0,0
"32","ADAMTSL1",92949,"ENSG00000178031","Glutamatergic",0.821,0.706,2.73707651642995,1.89719687034026,0.649,0.298,0,0
"33","ADAMTSL2",9719,"ENSG00000197859","Non-neuronal",0.207,0.254,2.05014922111592,1.42105515234367,0.481,0.038,5.25674323601032e-66,2.64314306649835e-61
"34","ADAMTSL3",57188,"ENSG00000156218","GABAergic",0.697,0.659,1.52465933363895,1.05681331842625,0.569,0.138,5.71352411512228e-213,2.87281706032463e-208
"35","ADAP2",55803,"ENSG00000184060","Non-neuronal",0.295,0.21,5.20460222975191,3.60755536148854,0.557,0.114,0,0
"36","ADARB2",105,"ENSG00000185736","GABAergic",0.772,0.538,5.76235616128476,3.99416092657676,0.756,0.512,0,0
"37","ADCY10P1",221442,NA,"Non-neuronal",0.279,0.259,2.3550439391719,1.63239206653179,0.52,0.04,5.66531877717959e-79,2.84857893435367e-74
"38","ADCY7",113,"ENSG00000121281","Non-neuronal",0.198,0.281,2.34342930146398,1.62434141315132,0.462,0.076,7.03422937797722e-64,3.53688087354072e-59
"39","ADCY8",114,"ENSG00000155897","GABAergic",0.712,0.38,2.21962999398989,1.53853027222038,0.727,0.454,0,0
"40","ADCYAP1R1",117,"ENSG00000078549","GABAergic",0.773,0.293,2.47036659062005,1.71232763723778,0.79,0.58,0,0
"41","ADD3",120,"ENSG00000148700","Non-neuronal",0.776,0.838,1.66100325722119,1.15131972464376,0.6,0.2,1.07833543021104e-235,5.42197837664411e-231
"42","ADD3.AS1",NA,NA,"Non-neuronal",0.283,0.213,2.51219712511678,1.74132235428549,0.544,0.0880000000000001,2.8977092217206e-113,1.45699717377333e-108
"43","ADGRA3",166647,"ENSG00000152990","Non-neuronal",0.384,0.343,2.58325746843305,1.79057763090479,0.544,0.0880000000000001,1.62335741296512e-172,8.16240340812993e-168
"44","ADGRB2",576,"ENSG00000121753","Glutamatergic",0.822,0.264,1.53249251407362,1.06224286535935,0.798,0.596,0,0
"45","ADGRE2",30817,"ENSG00000127507","Non-neuronal",0.27,0.248,2.32686393134356,1.61285917355742,0.523,0.046,1.10981828332026e-146,5.58027731036262e-142
"46","ADGRE5",976,"ENSG00000123146","Non-neuronal",0.284,0.268,1.68843001968508,1.17033050771749,0.517,0.034,1.41104889215595e-36,7.09489493464935e-32
"47","ADGRG1",9289,"ENSG00000205336","Non-neuronal",0.447,0.139,4.52953482571103,3.13963429368968,0.671,0.342,0,0
"48","ADGRV1",84059,"ENSG00000164199","Non-neuronal",0.684,0.77,4.58867204216735,3.18062508854255,0.488,0.024,1.22730712336193e-255,6.17102294697611e-251
"49","ADHFE1",137872,"ENSG00000147576","Non-neuronal",0.32,0.259,2.52251739218099,1.74847581830368,0.546,0.0920000000000001,7.42884224213339e-173,3.73529616776709e-168
"50","ADIPOR2",79602,"ENSG00000006831, ENSG00000285070","Non-neuronal",0.563,0.556,2.56866555433543,1.78046328678905,0.549,0.0980000000000001,2.91243647154064e-194,1.46440218225535e-189
"51","ADPGK",83440,"ENSG00000159322","Non-neuronal",0.255,0.388,1.68140671438978,1.16546232345384,0.446,0.108,2.43472897318785e-132,1.22420607500858e-127
"52","ADRA1A",148,"ENSG00000120907","GABAergic",0.636,0.202,3.15441298268844,2.18647246527218,0.754,0.508,0,0
"53","ADRB1",153,"ENSG00000043591","Glutamatergic",0.398,0.056,1.694897319113,1.17481329808179,0.67,0.34,0,0
"54","ADTRP",84830,"ENSG00000111863","Glutamatergic",0.262,0.042,3.27288676196128,2.26859223134543,0.614,0.228,0,0
"55","AFAP1",60312,"ENSG00000196526","GABAergic",0.797,0.485,2.26705189680388,1.57140063045268,0.753,0.506,0,0
"56","AFF1",4299,"ENSG00000172493","Non-neuronal",0.686,0.737,1.67334727026762,1.15987594248368,0.514,0.028,2.43906635327687e-48,1.22638695309114e-43
"57","AFF2",2334,"ENSG00000155966","GABAergic",0.753,0.54,1.96202386538825,1.3599713104852,0.694,0.388,0,0
"58","AFMID",125061,"ENSG00000183077","Non-neuronal",0.301,0.356,1.89178306062606,1.31128409470402,0.485,0.03,1.6944054414783e-124,8.51964000029706e-120
"59","AGAP1",116987,"ENSG00000157985","Non-neuronal",0.932,0.975,1.9973466462585,1.38445519645494,0.643,0.286,4.15541739527181e-200,2.08938542051662e-195
"60","AGBL2",79841,"ENSG00000165923, ENSG00000285501","Non-neuronal",0.461,0.425,1.64642761537708,1.14121665959466,0.542,0.0840000000000001,1.17988864109452e-110,5.93259807628737e-106
"61","AGBL4",84871,"ENSG00000186094","Glutamatergic",0.999,0.933,1.51735383211222,1.05174953064042,0.858,0.716,0,0
"62","AGMO",392636,"ENSG00000187546","Non-neuronal",0.283,0.246,3.38756825219317,2.34808338296208,0.531,0.0620000000000001,3.35420650014588e-260,1.68652857033835e-255
"63","AHNAK",79026,"ENSG00000124942","Non-neuronal",0.534,0.453,3.71360622388104,2.57407568379301,0.588,0.176,0,0
"64","AHSA2",130872,NA,"Non-neuronal",0.435,0.558,1.74053960757631,1.20645012164443,0.496,0.00800000000000001,0,0
"65","AIF1L",83543,"ENSG00000126878","Non-neuronal",0.289,0.12,4.64921323865269,3.22258904819408,0.596,0.192,0,0
"66","AIFM3",150209,"ENSG00000183773","Non-neuronal",0.199,0.303,1.84474183280293,1.27867760026834,0.462,0.076,8.20752106525165e-198,4.12682366681918e-193
"67","AKAP13",11214,"ENSG00000170776","Non-neuronal",0.758,0.814,1.76526121898479,1.22358583689113,0.484,0.032,1.00944887516362e-20,5.07560988921018e-16
"68","AKAP5",9495,"ENSG00000179841","Glutamatergic",0.454,0.123,1.62004641816678,1.12293060712854,0.668,0.336,0,0
"69","AKR1A1",10327,"ENSG00000117448","Non-neuronal",0.318,0.424,1.540265816885,1.0676309082867,0.445,0.11,6.47827978645244e-45,3.25734385942615e-40
"70","ALCAM",214,"ENSG00000170017","Non-neuronal",0.834,0.6,1.78849300212336,1.239688881873,0.721,0.442,0,0
"71","ALDH7A1",501,"ENSG00000164904","Non-neuronal",0.503,0.555,1.84686170409541,1.28014698307786,0.495,0.01,1.74654223283772e-63,8.78178900093133e-59
"72","ALK",238,"ENSG00000171094","GABAergic",0.831,0.584,3.58746945041259,2.48664433489843,0.784,0.568,0,0
"73","ALOX5",240,"ENSG00000012779, ENSG00000275565","Non-neuronal",0.25,0.204,4.62616322488438,3.20661199613871,0.534,0.0680000000000001,0,0
"74","ALPK1",80216,"ENSG00000073331","Non-neuronal",0.258,0.301,2.73346140609259,1.8946910668025,0.484,0.032,2.89132629033677e-42,1.45378777204423e-37
"75","AMER2",219287,"ENSG00000165566","Non-neuronal",0.518,0.402,3.0464690022278,2.11165139955747,0.619,0.238,0,0
"76","AMOTL1",154810,"ENSG00000166025","GABAergic",0.61,0.292,1.9697805090212,1.36534780614998,0.69,0.38,0,0
"77","AMPD3",272,"ENSG00000133805","Non-neuronal",0.266,0.268,2.33035346502771,1.61527793399206,0.513,0.026,7.84081340398819e-127,3.9424393876593e-122
"78","AMZ2",51321,"ENSG00000196704","Non-neuronal",0.555,0.723,2.30977709161072,1.60101547877192,0.477,0.046,5.98743331292332e-284,3.01054134407097e-279
"79","ANGEL1",23357,"ENSG00000013523","Non-neuronal",0.328,0.451,1.55081628778964,1.07494393744783,0.454,0.092,1.25450523646377e-113,6.30777777946349e-109
"80","ANGPT1",284,"ENSG00000154188","GABAergic",0.317,0.22,2.21091779491562,1.53249143599557,0.561,0.122,0,0
"81","ANK1",286,"ENSG00000029534","GABAergic",0.859,0.434,3.49001929755926,2.41909703620301,0.844,0.688,0,0
"82","ANKDD1A",348094,"ENSG00000166839","Non-neuronal",0.545,0.793,1.73103119252389,1.19985939055926,0.455,0.09,0,0
"83","ANKRD33B",651746,"ENSG00000164236","Glutamatergic",0.858,0.341,2.7078100754031,1.87691091925747,0.846,0.692,0,0
"84","ANKRD44",91526,"ENSG00000065413","Non-neuronal",0.794,0.719,2.63276373486898,1.82489275990491,0.648,0.296,0,0
"85","ANKRD50",57182,"ENSG00000151458","GABAergic",0.419,0.279,1.60818564783392,1.11470934761305,0.588,0.176,0,0
"86","ANKRD55",79722,"ENSG00000164512","GABAergic",0.78,0.42,4.33461608543504,3.00452691842909,0.798,0.596,0,0
"87","ANKRD62",342850,"ENSG00000181626","Glutamatergic",0.304,0.099,2.48005010479018,1.71903973778271,0.611,0.222,0,0
"88","ANLN",54443,"ENSG00000011426","Non-neuronal",0.397,0.156,4.9442691579077,3.42710622673322,0.64,0.28,0,0
"89","ANO1",55107,"ENSG00000131620","GABAergic",0.459,0.212,3.86503487187828,2.6790380242083,0.653,0.306,0,0
"90","ANO3",63982,"ENSG00000134343","Glutamatergic",0.842,0.434,4.55242462542506,3.15550029382505,0.853,0.706,0,0
"91","ANO4",121601,"ENSG00000151572, ENSG00000262139","GABAergic",0.947,0.821,1.79964773376646,1.24742075266132,0.808,0.616,0,0
"92","ANP32A",8125,"ENSG00000140350","Non-neuronal",0.372,0.542,1.53414534248046,1.06338851870951,0.445,0.11,1.88270432339023e-224,9.4664256084384e-220
"93","ANTXR2",118429,"ENSG00000163297","Glutamatergic",0.349,0.151,1.90704997831481,1.32186631565581,0.61,0.22,0,0
"94","ANXA4",307,"ENSG00000196975","Non-neuronal",0.619,0.584,2.58481181225135,1.79165501994006,0.567,0.134,6.25078214431511e-208,3.14295576998308e-203
"95","ANXA5",308,"ENSG00000164111","Non-neuronal",0.212,0.297,1.56248160130772,1.08302971662323,0.467,0.0659999999999999,2.03691855878251e-86,1.02418302054143e-81
"96","AOAH",313,"ENSG00000136250","Non-neuronal",0.481,0.448,3.92848658754875,2.72301940202697,0.544,0.0880000000000001,4.11561266189047e-209,2.06937120252515e-204
"97","AP1S2",8905,"ENSG00000182287","GABAergic",0.675,0.421,2.40988969618919,1.670408248374,0.694,0.388,0,0
"98","AP3B1",8546,"ENSG00000132842","Non-neuronal",0.704,0.779,1.6994940054041,1.17799947822438,0.514,0.028,3.19626879432847e-82,1.6071159124763e-77
"99","APBB1IP",54518,"ENSG00000077420","Non-neuronal",0.432,0.28,7.29108730323316,5.05379660745248,0.606,0.212,0,0
"100","APBB2",323,"ENSG00000163697","Non-neuronal",0.882,0.937,1.97981332619853,1.37230202508951,0.593,0.186,2.02188078226756e-150,1.01662187613195e-145
"101","APCDD1",147495,"ENSG00000154856","Non-neuronal",0.369,0.034,5.81185784680539,4.02847288032835,0.672,0.344,0,0
"102","APLP1",333,"ENSG00000105290","Non-neuronal",0.507,0.835,2.02416750849085,1.40304600149148,0.44,0.12,0,0
"103","APOD",347,"ENSG00000189058","Non-neuronal",0.566,0.244,5.36431951053343,3.71826294434895,0.707,0.414,0,0
"104","APOE",348,"ENSG00000130203","Non-neuronal",0.306,0.077,5.45210145222935,3.77910874973956,0.622,0.244,0,0
"105","APOLD1",81575,"ENSG00000178878","Non-neuronal",0.421,0.371,2.94879052701228,2.04394583986044,0.549,0.0980000000000001,4.19647124050862e-235,2.11002770444014e-230
"106","APPL2",55198,"ENSG00000136044","Non-neuronal",0.572,0.736,1.71382978874483,1.18793628602813,0.477,0.046,1.52138445957228e-230,7.64967320117538e-226
"107","ARAP1",116985,"ENSG00000186635","Non-neuronal",0.385,0.309,2.75901814723236,1.91240564986783,0.561,0.122,1.29450631726394e-246,6.50890721383483e-242
"108","ARHGAP1",392,"ENSG00000175220","Non-neuronal",0.457,0.449,2.68385884181057,1.86030918922187,0.552,0.104,0,0
"109","ARHGAP15",55843,"ENSG00000075884","Non-neuronal",0.431,0.376,2.87536588965274,1.99305175949104,0.548,0.0960000000000001,3.48931528296233e-135,1.75446261742629e-130
"110","ARHGAP17",55114,"ENSG00000140750, ENSG00000288353","Non-neuronal",0.596,0.677,1.9062660823602,1.32132296038503,0.493,0.014,8.93984915923736e-105,4.49504555575614e-100
"111","ARHGAP22",58504,"ENSG00000128805","Non-neuronal",0.556,0.54,3.22412808987124,2.23479529525837,0.583,0.166,0,0
"112","ARHGAP23",57636,"ENSG00000273780, ENSG00000275832","Non-neuronal",0.66,0.527,3.14110483614661,2.17724796101823,0.634,0.268,0,0
"113","ARHGAP24",83478,"ENSG00000138639","Non-neuronal",0.787,0.803,4.79426894800025,3.32313400415248,0.604,0.208,0,0
"114","ARHGAP27",201176,"ENSG00000276907, ENSG00000276836, ENSG00000159314","Non-neuronal",0.25,0.304,1.73633272086637,1.2035341299825,0.473,0.054,2.94882441843177e-15,1.48269840583168e-10
"115","ARHGAP28",79822,"ENSG00000088756","GABAergic",0.481,0.384,2.05629081590619,1.42531218145669,0.574,0.148,0,0
"116","ARHGAP31",57514,"ENSG00000031081","Non-neuronal",0.436,0.159,4.23546307094282,2.93579928598978,0.659,0.318,0,0
"117","ARHGAP42",143872,"ENSG00000165895","Non-neuronal",0.583,0.47,2.48163009414152,1.7201349029469,0.608,0.216,0,0
"118","ARHGAP42",143872,"ENSG00000165895","GABAergic",0.606,0.442,1.79239695276445,1.24239489425291,0.637,0.274,0,0
"119","ARHGAP6",395,"ENSG00000047648","Non-neuronal",0.437,0.503,1.7500286517109,1.21302742583253,0.477,0.046,3.53867216170638e-31,1.77927974962759e-26
"120","ARHGEF1",9138,"ENSG00000076928","Non-neuronal",0.364,0.285,2.71135051671532,1.87936496617098,0.56,0.12,2.50042596762739e-293,1.25723918078273e-288
"121","ARHGEF10",9639,"ENSG00000274726, ENSG00000104728","Non-neuronal",0.646,0.474,2.97766504179933,2.06396012837512,0.662,0.324,0,0
"122","ARHGEF10L",55160,"ENSG00000074964","Non-neuronal",0.508,0.57,1.80055212310768,1.24804762758331,0.489,0.022,3.78285324726094e-69,1.90205644125527e-64
"123","ARHGEF26",26084,"ENSG00000114790, ENSG00000277101","Non-neuronal",0.359,0.313,2.9255585851216,2.02784268483998,0.547,0.0940000000000001,8.88393458324474e-271,4.46693114780129e-266
"124","ARHGEF26.AS1",NA,NA,"Non-neuronal",0.309,0.208,2.51523792839969,1.74343007850768,0.564,0.128,1.27148200997645e-194,6.39313869436259e-190
"125","ARHGEF37",389337,"ENSG00000183111","Non-neuronal",0.441,0.41,2.13746732420719,1.48157944931322,0.525,0.05,9.47627784093648e-27,4.76476726120127e-22
"126","ARHGEF6",9459,"ENSG00000129675","Non-neuronal",0.453,0.469,2.24722437610788,1.55765724038475,0.504,0.00800000000000001,6.25655662538101e-33,3.14585923680782e-28
"127","ARID2",196528,"ENSG00000189079","Non-neuronal",0.829,0.86,1.52515111497611,1.05715419527354,0.512,0.024,5.59892344847235e-21,2.81519469912638e-16
"128","ARL4C",10123,"ENSG00000188042","GABAergic",0.815,0.324,2.80201748988042,1.94221052299027,0.813,0.626,0,0
"129","ARL8A",127829,"ENSG00000143862","Non-neuronal",0.355,0.446,1.98930141848904,1.37887866950958,0.496,0.00800000000000001,0,0
"130","ARNTL2",56938,"ENSG00000029153","Glutamatergic",0.736,0.284,1.92242318760437,1.33252221233103,0.764,0.528,0,0
"131","ARNTL2.AS1",NA,NA,"Glutamatergic",0.261,0.066,1.60314883070618,1.11121809202196,0.599,0.198,0,0
"132","ARPP19",10776,"ENSG00000128989","Glutamatergic",0.965,0.551,2.44637110202339,1.69569523197083,0.862,0.724,0,0
"133","ARPP21",10777,"ENSG00000172995","Glutamatergic",0.999,0.464,2.65203031474889,1.83824733542769,0.938,0.876,0,0
"134","ARRDC5",645432,"ENSG00000205784","Non-neuronal",0.287,0.313,2.524779218429,1.7500435967904,0.502,0.004,6.99198362436249e-249,3.5156392861657e-244
"135","ARSF",416,"ENSG00000062096","GABAergic",0.281,0.213,2.4149438977763,1.67391155395408,0.542,0.0840000000000001,0,0
"136","ARSJ",79642,"ENSG00000180801","Glutamatergic",0.299,0.087,2.24196219999889,1.55400977785121,0.612,0.224,0,0
"137","ART3",419,"ENSG00000156219","Glutamatergic",0.512,0.184,3.1323975655441,2.17121254094972,0.693,0.386,0,0
"138","ARX",170302,"ENSG00000004848","GABAergic",0.529,0.013,4.54546673348406,3.1506774506435,0.759,0.518,0,0
"139","ASAP3",55616,"ENSG00000088280, ENSG00000282854","Non-neuronal",0.396,0.372,1.63753825619403,1.13505502533994,0.523,0.046,3.27210259847606e-25,1.64524590753975e-20
"140","ASIC4",55515,"ENSG00000072182","GABAergic",0.258,0.059,2.59311027981787,1.79740707933677,0.604,0.208,0,0
"141","ASS1",445,"ENSG00000130707","GABAergic",0.356,0.154,2.34223563977203,1.623514029915,0.611,0.222,0,0
"142","ATE1.AS1",NA,NA,"Non-neuronal",0.219,0.259,1.78291833972169,1.23582482034671,0.487,0.026,1.96353649499736e-70,9.8728578504962e-66
"143","ATF3",467,"ENSG00000162772","Non-neuronal",0.266,0.295,1.98672835834139,1.37709516012282,0.501,0.002,2.06144814865326e-188,1.03651674362434e-183
"144","ATF7",11016,"ENSG00000170653","Non-neuronal",0.749,0.734,2.18583993076878,1.51510878516772,0.565,0.13,4.4165534763852e-141,2.22068725346124e-136
"145","ATG4C",84938,"ENSG00000125703","Non-neuronal",0.57,0.61,2.37303020726856,1.64485919755179,0.548,0.0960000000000001,1.29381750632595e-240,6.5054438035575e-236
"146","ATM",472,"ENSG00000149311","Non-neuronal",0.693,0.837,1.71474692389319,1.18857199567041,0.504,0.00800000000000001,4.19226174555341e-221,2.10791112828171e-216
"147","ATP10A",57194,"ENSG00000206190","Non-neuronal",0.211,0.298,1.82197052992299,1.26289373587942,0.454,0.092,2.60481884980733e-44,1.30972896587162e-39
"148","ATP10B",23120,"ENSG00000118322","Non-neuronal",0.744,0.535,4.9844557571816,3.45496145471621,0.74,0.48,0,0
"149","ATP11C",286410,"ENSG00000101974","GABAergic",0.587,0.483,2.20224029691809,1.52647665272428,0.6,0.2,0,0
"150","ATP11C",286410,"ENSG00000101974","Non-neuronal",0.493,0.51,1.66691903609064,1.15542023008792,0.522,0.044,5.08611140315434e-86,2.55734767462004e-81
"151","ATP13A4",84239,"ENSG00000127249","Non-neuronal",0.522,0.29,4.89364731093103,3.3920178362266,0.663,0.326,0,0
"152","ATP1A2",477,"ENSG00000018625","Non-neuronal",0.429,0.174,5.86766102454074,4.0671526956419,0.652,0.304,0,0
"153","ATP1B2",482,"ENSG00000129244","Non-neuronal",0.419,0.351,2.19739787575015,1.52312014214463,0.561,0.122,3.19117151735784e-147,1.60455295064269e-142
"154","ATP1B2",482,"ENSG00000129244","GABAergic",0.738,0.237,1.88019981108042,1.30325519793974,0.787,0.574,0,0
"155","ATP6V0E1",8992,"ENSG00000113732","Non-neuronal",0.494,0.602,1.67151486640099,1.15860581690988,0.448,0.104,1.68991925969599e-48,8.4970830296774e-44
"156","ATP7A",538,"ENSG00000165240","Non-neuronal",0.456,0.471,2.08422290337605,1.44467322913357,0.505,0.01,6.63591152314288e-25,3.33660267295147e-20
"157","ATP8B4",79895,"ENSG00000104043","Non-neuronal",0.434,0.503,3.12365845758992,2.16515505291068,0.476,0.048,2.3727548391263e-65,1.19304486066109e-60
"158","AXL",558,"ENSG00000167601","Non-neuronal",0.533,0.369,3.65713084631437,2.53492993506161,0.621,0.242,0,0
"159","B2M",567,"ENSG00000166710, ENSG00000273686","Non-neuronal",0.61,0.368,2.90012422818951,2.01021293204315,0.664,0.328,0,0
"160","B4GALNT3",283358,"ENSG00000139044","Glutamatergic",0.637,0.316,2.48564841657888,1.72292019181495,0.716,0.432,0,0
"161","BACH1",571,"ENSG00000156273","GABAergic",0.459,0.198,1.62550933133884,1.1267172099914,0.646,0.292,0,0
"162","BACH1",571,"ENSG00000156273","Non-neuronal",0.233,0.264,1.7135386440924,1.18773447993316,0.49,0.02,1.52448730640951e-21,7.66527462535764e-17
"163","BAZ1A",11177,"ENSG00000198604","Non-neuronal",0.801,0.749,1.86755078731984,1.29448756278325,0.558,0.116,4.95043353412985e-36,2.48912748529583e-31
"164","BAZ2B",29994,"ENSG00000123636","Non-neuronal",0.939,0.962,1.76551696852982,1.22376310896719,0.69,0.38,1.35908830132538e-297,6.83363188789412e-293
"165","BCAN",63827,"ENSG00000132692","Non-neuronal",0.37,0.4,2.8769485130806,1.99414875045795,0.529,0.0580000000000001,0,0
"166","BCAR3",8412,"ENSG00000137936","Non-neuronal",0.376,0.337,2.4690820557488,1.71143726551343,0.537,0.0740000000000001,2.06720160515462e-112,1.0394096390878e-107
"167","BCAS1",8537,"ENSG00000064787","Non-neuronal",0.638,0.189,7.21945354254054,5.00414386819548,0.775,0.55,0,0
"168","BCL11B",64919,"ENSG00000127152","GABAergic",0.663,0.325,2.14366180666343,1.48587313736279,0.709,0.418,0,0
"169","BCL6",604,"ENSG00000113916","Non-neuronal",0.268,0.214,2.16388193352022,1.49988866128414,0.541,0.0820000000000001,1.0413659615088e-190,5.23609219106239e-186
"170","BDNF",627,"ENSG00000176697","Glutamatergic",0.273,0.045,2.84948024395541,1.97510919715896,0.617,0.234,0,0
"171","BDNF.AS",NA,NA,"Non-neuronal",0.323,0.355,1.82870563880963,1.26756215761497,0.495,0.01,1.7727515435883e-44,8.91357203631635e-40
"172","BEST1",7439,"ENSG00000167995","Non-neuronal",0.535,0.302,4.33047118703625,3.00165389379025,0.661,0.322,0,0
"173","BHLHE40",8553,"ENSG00000134107","Glutamatergic",0.404,0.058,1.83897731424224,1.27468194048071,0.673,0.346,0,0
"174","BHLHE40.AS1",NA,NA,"Glutamatergic",0.483,0.298,1.78349556862498,1.23622492493357,0.619,0.238,0,0
"175","BHLHE41",79365,"ENSG00000123095","Non-neuronal",0.316,0.21,3.41453296687734,2.36677389892002,0.571,0.142,0,0
"176","BIN1",274,"ENSG00000136717","Non-neuronal",0.51,0.805,1.8677034807076,1.29459340177446,0.444,0.112,0,0
"177","BIN2",51411,"ENSG00000110934","Non-neuronal",0.277,0.196,4.72542097560689,3.27541222620075,0.553,0.106,0,0
"178","BLM",641,"ENSG00000197299","Non-neuronal",0.424,0.387,1.96234653258624,1.36019496634374,0.538,0.0760000000000001,1.33405351801931e-62,6.7077544939529e-58
"179","BLM",641,"ENSG00000197299","GABAergic",0.446,0.373,1.58869441561693,1.10119905495621,0.557,0.114,0,0
"180","BLNK",29760,"ENSG00000095585","Non-neuronal",0.286,0.179,5.19930130562586,3.60388104087621,0.564,0.128,0,0
"181","BMP2K",55589,"ENSG00000138756","Non-neuronal",0.436,0.519,2.2497790289075,1.55942799077013,0.505,0.01,1.50940502238402e-252,7.58943939304907e-248
"182","BMP6",654,"ENSG00000153162","GABAergic",0.369,0.251,2.47130945637324,1.71298118197625,0.574,0.148,0,0
"183","BMP7",655,"ENSG00000101144","Non-neuronal",0.386,0.176,3.9357960912004,2.72808596387441,0.627,0.254,0,0
"184","BMPER",168667,"ENSG00000164619","Glutamatergic",0.963,0.58,1.87902755511725,1.30244265202398,0.836,0.672,0,0
"185","BMPR1B",658,"ENSG00000138696","Non-neuronal",0.694,0.572,3.19356379670839,2.21360974162674,0.651,0.302,0,0
"186","BNC2",54796,"ENSG00000173068","Non-neuronal",0.59,0.5,5.51092567819506,3.81988259611631,0.603,0.206,0,0
