"","gene","entrez_id","ensembl_id","subclass","pct.1","pct.2","avg_log2FC","roc_avg_diff","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"3293","CTNNAL1",8727,"ENSG00000119326","Glutamatergic",0.874,0.41,1.44151176443934,0.999179815265113,0.771,0.542,0,0
"3294","CTNNB1",1499,"ENSG00000168036","VLMC",0.364,0.622,1.84641351931895,1.2798363250637,0.426,0.148,NA,NA
"3295","CTNNB1",1499,"ENSG00000168036","Microglia",0.279,0.628,1.32437300452938,0.91798541409925,0.353,0.294,6.49525891498334e-96,3.26588113504277e-91
"3296","CTNNB1",1499,"ENSG00000168036","Pericyte",0.312,0.622,1.38485738852461,0.959909994333448,0.387,0.226,3.35097380544115e-05,1
"3297","CTNNB1",1499,"ENSG00000168036","Endothelial",0.629,0.622,2.73041653990187,1.89258052638723,0.644,0.288,1.6326690915999e-19,8.20922345947346e-15
"3298","CTNNBIP1",56998,"ENSG00000178585","Astrocyte",0.483,0.455,1.45669303320975,1.00970266891064,0.525,0.05,1.25852595791129e-08,0.000632799436897377
"3299","CTNNBIP1",56998,"ENSG00000178585","Endothelial",0.271,0.456,1.57173866972096,1.08944622749412,0.422,0.156,0.000339432979860256,1
"3300","CTNNBL1",56259,"ENSG00000132792","VLMC",0.545,0.63,1.21854402753673,0.844630357075246,0.448,0.104,NA,NA
"3301","CTNND1",1500,"ENSG00000198561","Microglia",0.148,0.165,2.0518248244912,1.42221659209898,0.494,0.012,2.35135231749856e-18,1.18228345876145e-13
"3302","CTNND2",1501,"ENSG00000169862","Astrocyte",1,0.991,1.5242236790727,1.05651134569194,0.926,0.852,3.68467204630208e-313,1.85268995160115e-308
"3303","CTNS",1497,"ENSG00000040531","Astrocyte",0.195,0.113,1.67155304057302,1.15863227722959,0.543,0.0860000000000001,3.11745255189363e-22,1.56748631761763e-17
"3304","CTPS2",56474,"ENSG00000047230","Pericyte",0.312,0.566,1.24418843496841,0.862405705783641,0.36,0.28,0.0147861029506074,1
"3305","CTPS2",56474,"ENSG00000047230","OPC",0.515,0.566,1.1841502483719,0.82079040601834,0.49,0.02,3.59599990517241e-07,0.0180810471231974
"3306","CTPS2",56474,"ENSG00000047230","Endothelial",0.543,0.566,2.44740980109835,1.6964152033061,0.506,0.012,NA,NA
"3307","CTPS2",56474,"ENSG00000047230","Microglia",0.485,0.567,1.74623576366704,1.21039839617875,0.465,0.07,7.11959688753657e-06,0.357980451102226
"3308","CTR9",9646,"ENSG00000198730","Endothelial",0.329,0.468,1.83615811368685,1.27272781956432,0.45,0.1,0.00182447663473186,1
"3309","CTSA",5476,"ENSG00000064601","Pericyte",0.344,0.657,1.44576856660252,1.00213040568272,0.402,0.196,1.09280278438487e-05,0.549472168016557
"3310","CTSB",1508,"ENSG00000285132, ENSG00000164733","Microglia",0.755,0.781,2.60691589880594,1.80697640521424,0.637,0.274,1.80106178529742e-119,9.05591876265393e-115
"3311","CTSC",1075,"ENSG00000109861","Endothelial",0.171,0.142,3.28348597969779,2.27593904923563,0.523,0.046,2.25619414058356e-05,1
"3312","CTSC",1075,"ENSG00000109861","OPC",0.163,0.142,1.45412985790822,1.00792601117711,0.512,0.024,0.00870354368141436,1
"3313","CTSC",1075,"ENSG00000109861","Microglia",0.392,0.138,4.88183095414954,3.38382736183902,0.645,0.29,2.3599756397596e-176,1.18661935142752e-171
"3314","CTSH",1512,"ENSG00000103811","Microglia",0.257,0.165,3.64590888409896,2.52715146359166,0.556,0.112,1.17539971775256e-56,5.91002732083166e-52
"3315","CTSH",1512,"ENSG00000103811","Pericyte",0.125,0.166,1.68444733382531,1.16756992024273,0.48,0.04,NA,NA
"3316","CTSH",1512,"ENSG00000103811","Endothelial",0.214,0.166,2.3732379905297,1.64500322193341,0.529,0.0580000000000001,0.0328143868297305,1
"3317","CTSH",1512,"ENSG00000103811","Astrocyte",0.389,0.161,3.57922870846071,2.48093228784876,0.631,0.262,1.0542010844351e-194,5.30062847264813e-190
"3318","CTSK",1513,"ENSG00000143387","Endothelial",0.143,0.15,1.16443423703885,0.807124308350951,0.495,0.01,NA,NA
"3319","CTSK",1513,"ENSG00000143387","Pericyte",0.125,0.15,2.2229415000612,1.54082563331712,0.489,0.022,NA,NA
"3320","CTSK",1513,"ENSG00000143387","Microglia",0.075,0.151,1.16200547975687,0.805440822088685,0.462,0.076,1.74667577903980e-09,8.78246048458999e-05
"3321","CTSK",1513,"ENSG00000143387","OPC",0.116,0.15,1.79979374226132,1.24752195803787,0.485,0.03,8.53541105798837e-07,0.0429169003406713
