"","gene","entrez_id","ensembl_id","subclass","pct.1","pct.2","avg_log2FC","roc_avg_diff","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"206","APBB2",323,"ENSG00000163697","Oligodendrocyte",0.969,0.93,2.57497490109812,1.78483659270879,0.826,0.652,0,0
"207","APBB2",323,"ENSG00000163697","Pericyte",0.969,0.931,2.55254139639884,1.76928687217641,0.721,0.442,3.80339766998119e-05,1
"208","APBB2",323,"ENSG00000163697","Endothelial",0.971,0.931,2.64490066366753,1.83330543788228,0.813,0.626,4.74388960947965e-21,2.38527513454246e-16
"209","APC2",10297,"ENSG00000115266","Astrocyte",0.699,0.557,2.79590504023529,1.93797369575244,0.68,0.36,6.37576123685539e-260,3.20579650750326e-255
"210","APCDD1",147495,"ENSG00000154856","OPC",0.532,0.06,3.88865511163141,2.69541032679733,0.742,0.484,4.63553913389143e-307,2.33079543191195e-302
"211","APCDD1",147495,"ENSG00000154856","VLMC",0.727,0.067,5.05073717553276,3.50090423296984,0.842,0.684,1.22497382610683e-08,0.000615929089504773
"212","APCDD1",147495,"ENSG00000154856","Astrocyte",0.705,0.051,4.69498175841441,3.25431336862532,0.836,0.672,0,0
"213","APLP1",333,"ENSG00000105290","Oligodendrocyte",0.944,0.796,3.35607008527,2.32625051736648,0.881,0.762,0,0
"214","APOD",347,"ENSG00000189058","OPC",0.895,0.266,4.56396916545963,3.16350235920087,0.904,0.808,0,0
"215","APOD",347,"ENSG00000189058","VLMC",0.909,0.276,5.4978550660926,3.8108227381893,0.927,0.854,3.9688519274953e-12,1.99557843766391e-07
"216","APOD",347,"ENSG00000189058","Oligodendrocyte",0.853,0.252,4.65029222112332,3.22333694185147,0.883,0.766,0,0
"217","APOD",347,"ENSG00000189058","Pericyte",0.438,0.276,3.56523945404377,2.47123567559152,0.598,0.196,0.00592469394191397,1
"218","APOE",348,"ENSG00000130203","Astrocyte",0.732,0.084,5.58036694825267,3.86801561667124,0.847,0.694,0,0
"219","APOE",348,"ENSG00000130203","Microglia",0.367,0.096,4.09083162162911,2.83554840467769,0.646,0.292,3.94068997754909e-169,1.98141832761146e-164
"220","APOLD1",81575,"ENSG00000178878","Pericyte",0.531,0.376,3.72686873260462,2.5832685543219,0.633,0.266,9.29109744461185e-11,4.67165670612528e-06
"221","APOLD1",81575,"ENSG00000178878","Endothelial",0.571,0.375,5.32784794416093,3.69298278094725,0.674,0.348,5.39459709883632e-48,2.71245736726589e-43
"222","APOLD1",81575,"ENSG00000178878","Oligodendrocyte",0.464,0.372,3.13690787632253,2.17433885014925,0.585,0.17,3.72454081764094e-267,1.87273636851804e-262
"223","APOPT1",84334,"ENSG00000256053","VLMC",0.455,0.539,3.46978267861969,2.40507008084097,0.497,0.00600000000000001,NA,NA
"224","APPL2",55198,"ENSG00000136044","Microglia",0.744,0.719,3.17456099334347,2.2004380020516,0.671,0.342,6.29848250107793e-173,3.16693998636699e-168
"225","AQP4",361,"ENSG00000171885","Astrocyte",0.848,0.163,6.47398269659058,4.48742285313563,0.9,0.8,0,0
"226","ARAP1",116985,"ENSG00000186635","VLMC",0.364,0.317,3.29582329647347,2.28449062557437,0.55,0.1,NA,NA
"227","ARAP1",116985,"ENSG00000186635","Microglia",0.388,0.315,2.87662557388476,1.99392490606485,0.566,0.132,3.28910917697487e-73,1.65379698527473e-68
"228","ARAP3",64411,"ENSG00000120318","Endothelial",0.357,0.211,4.19307853532259,2.90642056462528,0.597,0.194,7.76826627295423e-16,3.90596196470412e-11
"229","ARHGAP1",392,"ENSG00000175220","Oligodendrocyte",0.682,0.44,3.48518144457624,2.41574369204785,0.714,0.428,0,0
"230","ARHGAP10",79658,"ENSG00000071205","Pericyte",0.875,0.719,3.63738738413878,2.52124480992012,0.837,0.674,1.70668161794357e-18,8.58136584318205e-14
"231","ARHGAP10",79658,"ENSG00000071205","VLMC",0.727,0.72,2.62728183649117,1.82109299750022,0.652,0.304,0.00473560650887581,1
"232","ARHGAP12",94134,"ENSG00000165322","Microglia",0.783,0.652,3.0941721484068,2.14471670083528,0.69,0.38,1.81953309809729e-113,9.14879437054301e-109
"233","ARHGAP15",55843,"ENSG00000075884","Microglia",0.867,0.373,5.536598774566,3.83767783048207,0.883,0.766,0,0
"234","ARHGAP17",55114,"ENSG00000140750, ENSG00000288353","Microglia",0.555,0.671,2.56648369375733,1.77895093628097,0.493,0.014,4.57340443375782e-53,2.29955348333777e-48
"235","ARHGAP18",93663,"ENSG00000146376","Endothelial",0.457,0.376,3.22492290471974,2.23534621892968,0.587,0.174,5.81584148982191e-09,0.000292426325949736
"236","ARHGAP22",58504,"ENSG00000128805","Microglia",0.941,0.535,5.0114653698982,3.47368309161874,0.923,0.846,0,0
"237","ARHGAP23",57636,"ENSG00000273780, ENSG00000275832","Oligodendrocyte",0.811,0.529,3.90323395666504,2.70551561212821,0.779,0.558,0,0
"238","ARHGAP24",83478,"ENSG00000138639","Astrocyte",0.973,0.797,4.49973921171682,3.11898154785655,0.923,0.846,0,0
"239","ARHGAP24",83478,"ENSG00000138639","Microglia",0.996,0.798,5.21994486807473,3.61819006798436,0.976,0.952,0,0
"240","ARHGAP25",9938,"ENSG00000163219","Microglia",0.547,0.187,5.7879933186661,4.01193124993321,0.718,0.436,0,0
"241","ARHGAP27",201176,"ENSG00000276907, ENSG00000276836, ENSG00000159314","Microglia",0.425,0.296,4.16923482080736,2.88989336113497,0.595,0.19,4.87504274718105e-125,2.45122024371011e-120
"242","ARHGAP28",79822,"ENSG00000088756","VIP",0.652,0.388,2.91037676217494,2.01731944706874,0.703,0.406,0,0
"243","ARHGAP29",9411,"ENSG00000137962","Pericyte",0.844,0.39,5.17471360996288,3.58683814895094,0.859,0.718,2.99776076478514e-23,1.50730409014161e-18
"244","ARHGAP29",9411,"ENSG00000137962","VLMC",1,0.39,5.72589232654201,3.96888612233241,0.975,0.95,5.42978377093538e-14,2.73014957786402e-09
"245","ARHGAP29",9411,"ENSG00000137962","Endothelial",0.786,0.389,4.26599664975692,2.95696355005718,0.828,0.656,1.22306530174144e-40,6.14969464368612e-36
"246","ARHGAP31",57514,"ENSG00000031081","Microglia",0.481,0.182,3.95952347658853,2.74453253415825,0.676,0.352,2.84954072462898e-177,1.4327775717507e-172
"247","ARHGAP31",57514,"ENSG00000031081","OPC",0.687,0.178,3.78524349312182,2.62373085499027,0.79,0.58,0,0
"248","ARHGAP31",57514,"ENSG00000031081","Endothelial",0.729,0.186,4.77571051528816,3.31027027884247,0.822,0.644,4.88438764720801e-47,2.45591895289266e-42
"249","ARHGAP31",57514,"ENSG00000031081","Astrocyte",0.716,0.173,3.63481236065433,2.51945993965199,0.81,0.62,0,0
"250","ARHGAP42",143872,"ENSG00000165895","Pericyte",0.906,0.481,4.84363771793318,3.35735382783919,0.878,0.756,3.89790503949158e-30,1.95990563290676e-25
"251","ARHGAP42",143872,"ENSG00000165895","VLMC",0.818,0.482,4.25083915711568,2.94645717676855,0.805,0.61,4.85891967783736e-07,0.024431134032134
"252","ARHGAP42",143872,"ENSG00000165895","Astrocyte",0.799,0.473,2.81319839779049,1.94996053778423,0.772,0.544,0,0
"253","ARHGAP42",143872,"ENSG00000165895","OPC",0.814,0.476,3.74399045295954,2.59513642651226,0.801,0.602,0,0
"254","ARHGAP6",395,"ENSG00000047648","Pericyte",0.75,0.496,4.36785705711154,3.02756780422572,0.746,0.492,1.15955991854121e-16,5.83038322641704e-12
"255","ARHGAP6",395,"ENSG00000047648","Microglia",0.665,0.494,3.88456962218062,2.6925784813033,0.673,0.346,5.97363023423189e-184,3.00360101807414e-179
"256","ARHGDIB",397,"ENSG00000111348","Microglia",0.353,0.04,6.36766501190665,4.4137290497533,0.662,0.324,4.98055235645175e-281,2.50427153034751e-276
"257","ARHGEF1",9138,"ENSG00000076928","Astrocyte",0.496,0.288,2.50712026284267,1.73780334151411,0.632,0.264,1.41152324615913e-130,7.0972800340127e-126
"258","ARHGEF1",9138,"ENSG00000076928","Microglia",0.353,0.292,3.04325257646443,2.10942194310811,0.554,0.108,2.3415813943088e-76,1.17737054087241e-71
"259","ARHGEF10",9639,"ENSG00000274726, ENSG00000104728","Astrocyte",0.847,0.482,2.90165763817799,2.0112758108533,0.796,0.592,0,0
"260","ARHGEF10",9639,"ENSG00000274726, ENSG00000104728","Oligodendrocyte",0.717,0.481,2.8932251920756,2.00543088461221,0.708,0.416,0,0
"261","ARHGEF10L",55160,"ENSG00000074964","Astrocyte",0.802,0.558,3.0071110311077,2.08437053284301,0.742,0.484,1.88664732593438e-310,9.48625141953064e-306
"262","ARHGEF17",9828,"ENSG00000110237","Pericyte",0.531,0.529,2.57871148089976,1.78742659246322,0.581,0.162,1.54046903993075e-06,0.0774563237967581
