X1,gene,entrez_id,ensembl_id,class,pct.1,pct.2,avg_log2FC,roc_avg_diff,roc_myAUC,roc_power,MAST_p_val,MAST_p_val_adj,avg_expr,top_log2FC,bretigea_ranking,dan_ranking,bretigea_ranking_best
887,EBF2,64641,ENSG00000221818,Non-neuronal,0.308,0.232,1.18467681558836,0.821155394599805,0.546,0.0920000000000001,2.74803225178112e-57,1.38173809651807e-52,0.2981663774759104,0.6758184437498094,2142,1597,1811
1099,FLJ21408,400512,ENSG00000245888,Non-neuronal,0.134,0.16,1.39531917383214,0.967161551322985,0.488,0.024,4.08743284841752e-10,2.05520211051281e-5,0.28425083246426686,-0.10796986369589212,2361.5,1865,1812
2827,NXPE3,91775,ENSG00000144815,Non-neuronal,0.365,0.517,1.5436587367845,1.06998270114891,0.446,0.108,2.12491538646064e-156,1.06842870546628e-151,1.356040089847707,-0.2635409875428524,1615,1882.5,1813
1097,FKBP6,8468,ENSG00000077800,Non-neuronal,0.162,0.177,1.24651039693094,0.864015167171341,0.496,0.00800000000000001,1.41003322782759e-59,7.08978807283991e-55,0.1643927841887628,0.3160916753894627,2307,1711,1814.5
2059,LOC105370822,105370822,ENSG00000259237,Non-neuronal,0.416,0.447,1.73241114067774,1.20081589773142,0.501,0.002,1.9544526897397e-65,9.82718356928019e-61,0.46148663876215584,0.23612170880660388,1729,1307,1814.5
186,ANXA5,308,ENSG00000164111,Non-neuronal,0.212,0.297,1.56248160130772,1.08302971662323,0.467,0.0659999999999999,2.02517996876288e-86,1.01828074009366e-81,0.9510811025758051,-0.5004561512457055,1979,2087,1816
3592,SLC9B1,150159,ENSG00000164037,Non-neuronal,0.345,0.493,1.62893331128045,1.12909053203421,0.44,0.12,1.09703151255682e-142,5.51598414828694e-138,0.8807237691406895,-0.1012419824412136,1650.5,1657.5,1817
44,ACSL1,2180,ENSG00000151726,Non-neuronal,0.302,0.395,1.59366590101314,1.10464502604178,0.461,0.078,3.38916206622719e-57,1.70410457851969e-52,0.9731565272779741,-0.309722412899551,1812.5,1896,1818
705,CR1,1378,ENSG00000203710,Non-neuronal,0.174,0.184,1.18538747327707,0.821647984973077,0.499,0.002,6.56837454716839e-40,3.30264440606174e-35,0.19396330163239558,0.46978153419161206,2285,1697,1819
3226,RALY,22913,ENSG00000125970,Non-neuronal,0.506,0.603,1.61795137820604,1.12147843608659,0.462,0.076,1.19566807762771e-53,6.01193866111988e-49,1.327591920345238,-0.21823330941182484,1535.5,1789,1820
3501,SHPK,23729,ENSG00000197417,Non-neuronal,0.351,0.36,1.47069990048985,1.01941148947433,0.498,0.004,5.29182369283116e-5,1,0.5974518055893389,0.08237346351820118,1876.5,1625.5,1821
4226,ZNF99,7652,ENSG00000213973,Non-neuronal,0.161,0.146,1.20002117915712,0.831791296944975,0.509,0.018,1.43678242821215e-5,0.722428572729354,0.1980169608026074,0.16204207604090337,2411.5,1861,1822
8,ABCA13,154664,ENSG00000179869,Non-neuronal,0.293,0.314,1.57066084273641,1.08869913475865,0.501,0.002,5.82171766867628e-66,2.92721786098712e-61,0.3422190944734162,0.2502128954187979,1949,1436,1823
223,ARHGAP6,395,ENSG00000047648,Non-neuronal,0.437,0.503,1.7500286517109,1.21302742583253,0.477,0.046,3.53624925837053e-31,1.77806148960129e-26,1.000676990669852,-0.26038485494373703,1642,1727,1824
1712,LINC01314,100996492,ENSG00000259417,Non-neuronal,0.271,0.215,1.40792497390826,0.975899226104443,0.535,0.0700000000000001,2.33686077666547e-48,1.17499696711517e-43,0.9636048436120139,-0.8295851039050319,2192,2381,1825
1872,LOC101928437,101928437,NA,Non-neuronal,0.518,0.614,1.66702198891716,1.15549159154936,0.471,0.0580000000000001,4.79847203584953e-91,2.4127197243455e-86,0.7935276273918135,0.11109672182386493,1527,1465,1826
4099,WDR20,91833,ENSG00000140153,Non-neuronal,0.574,0.725,1.45980892170161,1.01186243823372,0.459,0.082,8.69704290699676e-144,4.37296014406704e-139,2.1009942670418944,-0.2218774741708669,1458,1918,1827
786,DDX17,10521,ENSG00000100201,Non-neuronal,0.932,0.991,1.15506178061512,0.800627816605924,0.685,0.37,0,0,5.784765956263431,0.01586465536835746,1309.5,2028,1828
789,DDX58,23586,ENSG00000107201,Non-neuronal,0.313,0.387,1.43442213105135,0.994265655871028,0.468,0.0639999999999999,2.98507488516983e-34,1.50092550301224e-29,0.9137154104066306,-0.16616736309509494,1839.5,1878,1829
2209,LOC105375199,105375199,NA,Non-neuronal,0.282,0.289,1.49089409144042,1.03340903599541,0.506,0.012,4.2425277910817e-55,2.13318539863379e-50,0.28559083852889255,0.3705389695522996,2007,1431.5,1830.5
4233,ZXDC,79364,ENSG00000070476,Non-neuronal,0.468,0.638,1.48358473556084,1.02834257657577,0.459,0.082,3.93650372950318e-223,1.9793134402315e-218,1.9954681441742168,-0.2914894886485082,1512,1961.5,1830.5
1716,LINC01340,102546227,ENSG00000250331,Non-neuronal,0.441,0.417,1.57147837325694,1.08926580373398,0.53,0.0600000000000001,6.31758797248127e-15,3.17654640844331e-10,0.5023163189225306,0.25809686404018417,1784.5,1430,1832
1181,GCNT2,2651,ENSG00000111846,Non-neuronal,0.385,0.352,2.10270301811015,1.45748266855794,0.532,0.0640000000000001,1.19887624023838e-54,6.02806962354262e-50,0.6901413335125304,-0.5142800127843081,1893,1763,1833
