"","gene","entrez_id","cluster","pct.1","pct.2","avg_logFC","MAST_p_val","MAST_p_val_adj","roc_myAUC","roc_power"
"579","LOC101927641",101927641,"Oligo",0.353,0.119,3.07152178085932,9.31524969640325e-224,4.68380069984852e-219,0.63,0.26
"580","LOC101927745",101927745,"Pyramidal",0.451,0.097,3.61546468415545,0,0,0.694,0.388
"581","LOC101927871",101927871,"Pyramidal",0.51,0.012,4.40836936663357,0,0,0.752,0.504
"582","LOC101927880",101927880,"Pyramidal",0.6,0.09,3.05038817297398,0,0,0.776,0.552
"583","LOC101927967",101927967,"Oligo",0.911,0.461,5.06818501615259,0,0,0.916,0.832
"584","LOC101927998",101927998,"Peri_MUSTN1",0.531,0.384,2.95405808462967,1.41527848451845e-11,7.11616174800721e-07,0.621,0.242
"585","LOC101928007",101928007,"Astro_FGFR3",0.377,0.047,2.92199836581331,1.52591913527097e-234,7.67247400405598e-230,0.669,0.338
"586","LOC101928114",101928114,"Pyramidal",0.676,0.249,2.68898927091232,0,0,0.772,0.544
"587","LOC101928277",101928277,"Oligo",0.569,0.451,2.57146423773929,2.8409411983929e-162,1.42845364396394e-157,0.606,0.212
"588","LOC101928322",101928322,"Pyramidal",0.577,0.063,3.17081945632622,0,0,0.771,0.542
"589","LOC101928570",101928570,"VLMC_CYP1B1",0.455,0.207,3.53396833689262,1.77036630165972e-11,8.90157880137523e-07,0.658,0.316
"590","LOC101928584",101928584,"VLMC_CYP1B1",0.455,0.007,4.88327645778675,3.8311544615273e-09,0.000192634277480054,0.725,0.45
"591","LOC101929249",101929249,"Oligo",0.906,0.043,4.38294534170346,0,0,0.947,0.894
"592","LOC101929352",101929352,"VLMC_CYP1B1",0.818,0.258,3.0499872590842,4.76156455740001e-07,0.023941622751063,0.85,0.7
"593","LOC101929418",101929418,"Astro_FGFR3",0.673,0.376,2.52656672883749,1.04119048590785e-258,5.23520988219328e-254,0.718,0.436
"594","LOC101929497",101929497,"Micro_C1QC",0.776,0.111,5.93834653195764,0,0,0.873,0.746
"595","LOC101929544",101929544,"Pyramidal",0.817,0.083,3.95204859781759,0,0,0.897,0.794
"596","LOC101929608",101929608,"Astro_FGFR3",0.652,0.121,4.94676861098597,0,0,0.8,0.6
"597","LOC101929796",101929796,"Astro_FGFR3",0.622,0.112,2.55412189212652,0,0,0.772,0.544
"598","LOC101930023",101930023,"Micro_C1QC",0.473,0.197,4.0604618902155,8.12143783134238e-305,4.08354015597726e-300,0.674,0.348
"599","LOC101930275",101930275,"Astro_FGFR3",0.706,0.068,3.19256580709111,0,0,0.834,0.668
"600","LOC102723493",102723493,"Astro_FGFR3",0.414,0.202,2.68914420218914,5.04882731504506e-163,2.53860086227781e-158,0.626,0.252
"601","LOC102724210",102724210,"VLMC_CYP1B1",0.727,0.332,5.30097247566927,1.34130871717526e-47,6.74423436082893e-43,0.758,0.516
"602","LOC102724312",102724312,"Oligo",0.387,0.008,3.47216697675857,0,0,0.691,0.382
"603","LOC102724687",102724687,"Astro_FGFR3",0.756,0.324,3.60371396309001,0,0,0.812,0.624
"604","LOC102724934",102724934,"Pyramidal",0.433,0.082,2.53088387395593,0,0,0.688,0.376
"605","LOC102725045",102725045,"OPC_MYT1",0.705,0.297,3.67831085448938,0,0,0.784,0.568
"606","LOC105369212",105369212,"Peri_MUSTN1",0.438,0.078,4.02971751965876,3.56327097853464e-14,1.791648280717e-09,0.691,0.382
"607","LOC105369213",105369213,"Micro_C1QC",0.404,0.103,4.49936581234045,5.80604835150079e-284,2.91933917161811e-279,0.667,0.334
"608","LOC105369827",105369827,"Micro_C1QC",0.444,0.237,3.39302725653995,1.57391968365622e-193,7.91382556139182e-189,0.639,0.278
"609","LOC105370000",105370000,"VLMC_CYP1B1",0.364,0.189,2.951892468814,9.16831790954958e-05,1,0.601,0.202
"610","LOC105370307",105370307,"Pyramidal",0.364,0.032,3.02684751075942,0,0,0.67,0.34
"611","LOC105370359",105370359,"Micro_C1QC",0.685,0.369,4.25598658934034,0,0,0.745,0.49
"612","LOC105370983",105370983,"Astro_FGFR3",0.827,0.509,2.68534302998802,0,0,0.789,0.578
"613","LOC105371031",105371031,"OPC_MYT1",0.367,0.092,2.61009087281094,3.97370011532844e-119,1.99801615498829e-114,0.646,0.292
"614","LOC105371058",105371058,"Endo_CLDN5",0.371,0.104,2.82316874021828,1.61978875428483e-27,8.14445983541958e-23,0.645,0.29
"615","LOC105371308",105371308,"Pyramidal",0.568,0.324,3.27638328488208,0,0,0.663,0.326
