"","gene","entrez_id","ensembl_id","subclass","pct.1","pct.2","avg_log2FC","roc_avg_diff","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"842","FGFR3",2261,"ENSG00000068078","Astrocyte",0.973,0.048,6.5106740519963,4.51285536268603,0.981,0.962,0,0
"843","FGGY",55277,"ENSG00000172456","Astrocyte",0.877,0.722,2.20060387167146,1.52534236917837,0.714,0.428,3.37446114744077e-165,1.69671280954469e-160
"844","FHAD1",114827,"ENSG00000142621","VLMC",0.455,0.34,2.76220911424132,1.91461745965335,0.573,0.146,NA,NA
"845","FHL5",9457,"ENSG00000112214","Pericyte",0.438,0.056,7.2177768622043,5.00298168194772,0.7,0.4,6.38124036333209e-30,3.20855146708701e-25
"846","FILIP1L",11259,"ENSG00000168386","L6 CT",0.553,0.1,2.42849504860779,1.68330449594627,0.735,0.47,1.07104882457746e-78,5.38534059485794e-74
"847","FIRRE",286467,NA,"Astrocyte",0.561,0.256,2.87300656575296,1.99141640078187,0.692,0.384,8.5223542990771e-212,4.28512496511896e-207
"848","FIS1",51024,"ENSG00000214253","Oligodendrocyte",0.411,0.386,2.24937054031885,1.55914484805661,0.557,0.114,4.78802787744688e-115,2.40746829705907e-110
"849","FKBP2",2286,"ENSG00000173486","Pericyte",0.281,0.388,2.27473208880901,1.5767241338872,0.498,0.004,5.53910087220562e-08,0.00278511530955371
"850","FKBP5",2289,"ENSG00000096060","Microglia",0.529,0.44,3.14264821997991,2.17831775317081,0.594,0.188,2.9762209267474e-73,1.49647364417786e-68
"851","FKBP9",11328,"ENSG00000122642","Endothelial",0.514,0.272,2.56371718440336,1.77703333812227,0.649,0.298,1.3238913923672e-09,6.65665830996153e-05
"852","FLCN",201163,"ENSG00000154803","VLMC",0.455,0.471,2.11257066059823,1.46432239712733,0.572,0.144,0.0040702146056201,1
"853","FLJ41278",400046,NA,"PVALB",0.896,0.455,2.29736540193995,1.59241235107064,0.826,0.652,3.60147351666823e-138,1.81085689891595e-133
"854","FLJ46906",441172,NA,"Astrocyte",0.516,0.026,4.82551542521872,3.34479241173888,0.749,0.498,0,0
"855","FLNA",2316,"ENSG00000196924","Pericyte",0.5,0.298,3.62556067951895,2.51304716295756,0.648,0.296,5.89682149473864e-09,0.000296498081576954
"856","FLNB",2317,"ENSG00000136068","Endothelial",0.729,0.594,3.29861234005519,2.2864238432695,0.711,0.422,1.95346930083018e-19,9.82223899150421e-15
"857","FLRT2",23768,"ENSG00000185070","VLMC",1,0.67,3.83174539297991,2.65596351576758,0.979,0.958,1.8041603900656e-08,0.000907149885728885
"858","FLRT3",23767,"ENSG00000125848","PVALB",0.581,0.224,2.331013189265,1.61573521998708,0.702,0.404,1.86856396920797e-70,9.39532649357459e-66
"859","FLT1",2321,"ENSG00000102755","Endothelial",1,0.471,9.19601363205598,6.37419092145042,0.999,0.998,0,0
"860","FLT4",2324,"ENSG00000037280","Endothelial",0.4,0.112,4.11256657505948,2.85061392636755,0.659,0.318,1.08273227522773e-45,5.44408615307257e-41
"861","FLVCR2",55640,"ENSG00000119686","VLMC",0.909,0.097,8.15481434573206,5.65248657173397,0.944,0.888,5.51588781227931e-43,2.77344355089216e-38
"862","FMN2",56776,"ENSG00000155816","Astrocyte",0.996,0.824,2.1306793872913,1.47687440997816,0.897,0.794,1.3068857515839e-311,6.57115224753902e-307
"863","FMNL2",114793,"ENSG00000157827","Oligodendrocyte",0.996,0.949,2.09108144625284,1.44942720879137,0.893,0.786,0,0
"864","FMO2",2327,"ENSG00000094963","VLMC",0.364,0.005,6.52569432177175,4.52326662033213,0.68,0.36,4.8673576045338e-08,0.00244735607713564
"865","FNBP1",23048,"ENSG00000187239","Oligodendrocyte",0.979,0.909,2.02927455271396,1.40658593479572,0.832,0.664,0,0
"866","FNDC3B",64778,"ENSG00000075420","VLMC",1,0.683,3.03929437545252,NA,NA,NA,2.74037122362462e-07,0.013778860549507
"867","FNDC5",252995,"ENSG00000160097","PVALB",0.544,0.167,2.01105680117854,1.39395835168281,0.699,0.398,3.41999495966383e-71,1.71960766566857e-66
"868","FOLH1",2346,"ENSG00000086205","Oligodendrocyte",0.824,0.077,7.48411087141766,5.18759034952119,0.903,0.806,0,0
"869","FOPNL",123811,"ENSG00000276914, ENSG00000133393","VLMC",0.455,0.292,2.42893391202245,1.6836086928848,0.594,0.188,NA,NA
"870","FOXC1",2296,"ENSG00000054598","VLMC",0.545,0.005,6.02974171595335,4.17949846991775,0.771,0.542,1.19147503097911e-11,5.99085560326607e-07
"871","FOXN2",3344,"ENSG00000170802","Oligodendrocyte",0.764,0.52,2.38650221968977,1.65419728497802,0.726,0.452,7.21532246335825e-271,3.62793628780116e-266
"872","FOXN3",1112,"ENSG00000053254","Microglia",0.985,0.929,3.45957815919697,2.39799684697415,0.928,0.856,0,0
"873","FOXO3",2309,"ENSG00000118689","VLMC",0.636,0.737,2.23934378794723,1.55219483292005,0.63,0.26,0.00142289337854752,1
"874","FOXP1",27086,"ENSG00000114861","Endothelial",1,0.915,2.40077839513439,1.66409277573663,0.846,0.692,1.44102256745439e-17,7.24560557141741e-13
"875","FREM3",166752,"ENSG00000183090","L2/3 IT",0.814,0.341,2.19013975581119,1.51808919677277,0.806,0.612,1.96243070846962e-293,9.86729784525609e-289
"876","FRK",2444,"ENSG00000111816","Oligodendrocyte",0.407,0.275,3.75036968047197,2.59955817007665,0.598,0.196,8.737745955254e-207,4.39342604376126e-202
"877","FRMD4A",55691,"ENSG00000151474","Microglia",1,0.964,2.71296922016383,1.88048696590247,0.964,0.928,2.93228642838019e-246,1.47438293905385e-241
"878","FRMD4B",23150,"ENSG00000114541","Oligodendrocyte",0.99,0.639,4.53459422030779,3.14314119878977,0.967,0.934,0,0
"879","FRMD5",84978,"ENSG00000171877","Oligodendrocyte",0.997,0.888,3.31884239980684,2.30044625214891,0.96,0.92,0,0
"880","FRMPD2B",728798,NA,"Other IT",0.434,0.09,2.03050640248706,1.40743978799282,0.674,0.348,1.20900203747046e-19,6.07898314460524e-15
"881","FRYL",285527,"ENSG00000075539","Oligodendrocyte",0.981,0.858,2.91521969918266,2.02067631520127,0.903,0.806,0,0
"882","FSHR",2492,"ENSG00000170820","L5/6 NP",0.491,0.377,3.08673910819167,2.13956450996717,0.586,0.172,5.66666642444757e-23,2.84925654487648e-18
"883","FSTL3",10272,"ENSG00000070404","Astrocyte",0.379,0.228,2.54543551097345,1.76436144772841,0.597,0.194,1.20638486526902e-101,6.06582374105915e-97
"884","FSTL4",23105,"ENSG00000053108","L5 IT",0.993,0.551,2.82618922934296,1.95896509604796,0.926,0.852,0,0
"885","FUT10",84750,"ENSG00000172728","Astrocyte",0.867,0.551,3.13642427808988,2.17400364539776,0.806,0.612,0,0
"886","FUT8",2530,"ENSG00000033170","Oligodendrocyte",0.965,0.873,2.37917853505461,1.64912089362184,0.821,0.642,0,0
"887","FXYD1",5348,"ENSG00000266964","Astrocyte",0.724,0.294,3.71174942760616,2.5727886506902,0.789,0.578,0,0
"888","FYB",2533,"ENSG00000082074","Microglia",0.908,0.19,8.14531718217257,5.6459036395894,0.942,0.884,0,0
"889","FYN",2534,"ENSG00000010810","Astrocyte",0.978,0.79,2.18682062526467,1.51578855079254,0.863,0.726,0,0
"890","FZD6",8323,"ENSG00000164930","Endothelial",0.4,0.227,2.79440252740651,1.93693223322141,0.609,0.218,1.07855082747076e-07,0.00542306141560573
"891","G3BP1",10146,"ENSG00000145907","VLMC",0.545,0.349,2.04002119293108,1.41403493816272,0.623,0.246,NA,NA
"892","GAA",2548,"ENSG00000171298","Microglia",0.367,0.423,2.18959967764048,1.51771484311146,0.503,0.00600000000000001,1.72853927116557e-44,8.69126830934762e-40
"893","GAB1",2549,"ENSG00000109458","Oligodendrocyte",0.94,0.562,3.12414520296688,2.16549243909637,0.872,0.744,0,0
"894","GAB2",9846,"ENSG00000033327","Microglia",0.865,0.831,2.13060666307142,1.47682400139019,0.668,0.336,3.24526036323043e-61,1.63174936323589e-56
"895","GAB3",139716,"ENSG00000160219","Microglia",0.461,0.142,5.51216479275312,3.82074148487862,0.684,0.368,5.34104500294144e-264,2.68553083792899e-259
"896","GABBR1",2550,"ENSG00000204681, ENSG00000232632, ENSG00000237051, ENSG00000237112, ENSG00000232569, ENSG00000206511, ENSG00000206466","Astrocyte",0.933,0.628,2.19828381466129,1.52373422820304,0.808,0.616,2.1151601391224e-263,1.06352366955213e-258
"897","GABPB2",126626,"ENSG00000143458","VLMC",0.727,0.583,3.09790802256923,2.1473062114779,0.684,0.368,0.00148771548865679,1
"898","GABRA2",2555,"ENSG00000151834","Astrocyte",0.899,0.572,2.09176128930472,1.449898440086,0.782,0.564,8.40473041357407e-207,4.22598249924918e-202
"899","GABRA5",2558,"ENSG00000186297","L6b",0.981,0.371,2.17855741910432,1.51006093274011,0.882,0.764,1.25077924427485e-149,6.28904311813836e-145
"900","GABRB2",2561,"ENSG00000145864","LAMP5",0.998,0.615,2.00659532915079,1.39086589492563,0.901,0.802,1.33432287191877e-147,6.70910883229478e-143
"901","GABRG2",2566,"ENSG00000113327","PAX6",1,0.55,2.25831269380837,1.56534307653601,0.893,0.786,1.64144523386915e-27,8.25335078041749e-23
"902","GAK",2580,"ENSG00000178950","Microglia",0.487,0.495,2.11466970369429,1.46577734293123,0.547,0.0940000000000001,3.72012907641987e-49,1.87051810091468e-44
"903","GAL",51083,"ENSG00000069482","Other IT",0.368,0.016,4.32253659075266,2.99615405074741,0.678,0.356,1.27677668080962e-49,6.41976082877886e-45
"904","GAL3ST4",79690,"ENSG00000197093","Microglia",0.457,0.11,4.85074892131165,3.36228293841137,0.691,0.382,2.03598691413781e-209,1.02371458029763e-204
"905","GALC",2581,"ENSG00000054983","VLMC",0.455,0.364,2.41512607629408,1.67403783048005,0.591,0.182,NA,NA
"906","GALNT10",55568,"ENSG00000164574","Microglia",0.575,0.432,2.40747113253974,1.66873182779938,0.622,0.244,1.91571143190327e-55,9.63238865075282e-51
"907","GALNT12",79695,"ENSG00000119514","L5/6 NP",0.461,0.136,2.395405994211,1.66036891118375,0.676,0.352,1.51878274482026e-30,7.63659151923077e-26
"908","GALNT13",114805,"ENSG00000144278","OPC",0.99,0.902,2.38476572492222,1.65299363852583,0.863,0.726,2.20536861916888e-253,1.10888139540431e-248
"909","GALNT16",57452,"ENSG00000100626","VLMC",0.364,0.446,2.16652013611028,1.50171732397119,0.499,0.002,NA,NA
"910","GALNT18",374378,"ENSG00000110328","Endothelial",0.786,0.597,2.95029400444648,2.04498797100499,0.748,0.496,4.01659366583866e-17,2.01958346112034e-12
"911","GALNT2",2590,"ENSG00000143641","Microglia",0.72,0.679,2.60845233105594,1.80804137889644,0.646,0.292,4.666277819856e-101,2.3462511506018e-96
"912","GALNT6",11226,"ENSG00000139629","Oligodendrocyte",0.44,0.115,4.59283981363665,3.18351396758571,0.68,0.36,0,0
"913","GAN",8139,"ENSG00000261609","Astrocyte",0.591,0.342,2.25986671529624,1.56642024214886,0.659,0.318,5.94949620984412e-100,2.99146618927172e-95
"914","GAREML",150946,"ENSG00000157833","Astrocyte",0.575,0.214,3.96987428598966,2.75170716851116,0.719,0.438,7.24766038620895e-308,3.64419611878972e-303
"915","GAS2L3",283431,"ENSG00000139354","L5/6 IT Car3",0.723,0.105,3.46664507557869,2.40289526013939,0.83,0.66,4.82090219756343e-41,2.42399783395687e-36
"916","GATAD2A",54815,"ENSG00000167491","Endothelial",0.586,0.51,2.47500838927716,1.71554508688968,0.578,0.156,0.000154659155361988,1
"917","GATM",2628,"ENSG00000171766","Oligodendrocyte",0.685,0.343,2.62439717872724,1.81909350510426,0.726,0.452,3.69585624495168e-280,1.85831347852415e-275
"918","GBP1P1",400759,NA,"L5 ET",0.462,0.155,2.01560944906636,1.39711400673033,0.67,0.34,1.65427296651964e-15,8.31784990295739e-11
"919","GBP4",115361,"ENSG00000162654","Endothelial",0.443,0.025,6.13333274620751,4.25130230046972,0.713,0.426,4.67709275039593e-42,2.35168900582658e-37
"920","GCH1",2643,"ENSG00000131979","Endothelial",0.443,0.306,4.12829958239557,2.86151921604429,0.588,0.176,9.64623539167289e-09,0.000485022361728704
"921","GCNT2",2651,"ENSG00000111846, ENSG00000285222","Microglia",0.569,0.349,3.76764766296611,2.61153435492823,0.662,0.324,1.0577954303057e-146,5.31870120312011e-142
"922","GDA",9615,"ENSG00000119125","L6b",1,0.633,2.06793021192903,1.43337999599333,0.884,0.768,3.44623807440744e-142,1.7328029661928e-137
"923","GDNF.AS1",NA,NA,"L5/6 NP",0.743,0.061,2.84955767251386,1.97516286654594,0.845,0.69,3.20201704984358e-109,1.61000619283185e-104
"924","GDPD2",54857,"ENSG00000130055","L5/6 NP",0.365,0.029,2.84610430814021,1.9727691767669,0.668,0.336,1.830222558016e-46,9.20254204396026e-42
"925","GDPD5",81544,"ENSG00000158555","PVALB",0.444,0.155,2.13366580916906,1.47894443988269,0.66,0.32,1.79709431862298e-64,9.03596994346818e-60
"926","GFAP",2670,"ENSG00000131095","Astrocyte",0.637,0.062,6.96646509159044,4.8287856367052,0.803,0.606,0,0
"927","GFOD1",54438,"ENSG00000145990","Endothelial",0.743,0.647,3.06653706063604,2.12556151766246,0.641,0.282,5.81001481539892e-07,0.0292133354933073
"928","GFRA1",2674,"ENSG00000151892","OPC",0.537,0.218,3.74974923772487,NA,NA,NA,8.57796960070988e-160,4.31308889493293e-155
"929","GGA3",23163,"ENSG00000125447","VLMC",0.545,0.414,3.04752237124499,2.11238153932182,0.573,0.146,NA,NA
"930","GGH",8836,"ENSG00000137563","VIP",0.412,0.196,2.58743586752252,1.79347387645291,0.626,0.252,1.23238301789655e-58,6.19654505228563e-54
