"gene","entrez_id","ensembl_id","subclass","pct.1","pct.2","avg_logFC","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj","2ByFC_reference_group","2ByFC_avg_logFC","2ByFC_pct.2","2ByFC_p_val","2ByPct_reference_group","2ByPct_avg_logFC","2ByPct_pct.2","2ByPct_p_val","Oligodendrocyte_mean_expression","Astrocyte_mean_expression","OPC_mean_expression","Microglia_mean_expression","Pericyte_mean_expression","Endothelial_mean_expression","VLMC_mean_expression","LAMP5_mean_expression","VIP_mean_expression","IT_mean_expression","PVALB_mean_expression","L6 CT_mean_expression","L6b_mean_expression","SST_mean_expression","L5/6 NP_mean_expression","L5/6 IT Car3_mean_expression","L5 ET_mean_expression","PAX6_mean_expression"
"AARD",441376,"ENSG00000205002","LAMP5",0.455,0.042,2.59243862913096,0.712,0.424,1.90624282185198e-154,9.58477953255395e-150,"L6b",1.19550638813826,0.313,4.09694687573339e-12,"L6b",1.19550638813826,0.313,4.09694687573339e-12,0.100567849062163,0.406481301051196,0.0705405397386238,0.00246749367105242,1.64335480463798,0,0,22.290847082877,1.69684378054606,0.972428181301624,0.68529530953584,1.13893224021581,6.04666225841988,0.117696657220381,0.64858974471458,0.917651219562341,0.0672321173295198,1.41523718810908
"ABCA1",19,"ENSG00000165029","VLMC",0.818,0.433,2.81104902678802,0.796,0.592,1.67409648777116e-05,0.841752455016216,"Astrocyte",1.61677901950642,0.681,0.0846068040673233,"Astrocyte",1.61677901950642,0.681,0.0846068040673233,19.6392726914547,119.036841082627,83.1258021928555,44.088662237425,52.7650348366186,35.9060600025244,603.606434095155,17.4755074463415,26.4167485446253,6.40645929141149,30.2266062744801,10.0436978269295,5.73625331167605,22.5080432424029,14.8168502269937,11.9316529365065,6.27072521053811,31.0174261753025
"ABCA10",10349,"ENSG00000154263","VLMC",1,0.468,3.63676289848706,0.999,0.998,2.47443392665095e-14,1.24417012265936e-09,"Pericyte",2.41766870733232,0.25,5.93409310004156e-07,"L5 ET",2.9975612356403,0.954,2.27267449628449e-15,8.30483568362693,2.72602609810556,22.6500325568431,1.07999823702318,159.743725107655,0.302133167732756,1802.49194602783,81.2669094738356,61.4025680802337,75.7414800082248,116.95211272324,69.1881821891699,45.4847216075364,125.660524343773,117.482251675304,57.99075765805,89.0098221114992,103.63331991768
"ABCA2",20,"ENSG00000107331","Oligodendrocyte",0.951,0.439,3.14944993939329,0.928,0.856,0,0,"Astrocyte",2.72348647951679,0.339,0,"L5 ET",3.39613921185511,0.723,4.48248161867512e-58,339.851083502198,21.3753341272542,12.7927737294926,1.73624606373123,1.69456047224289,16.3826517344997,0,11.8646586208787,14.0823270297663,14.0521769412036,11.2552169312706,15.7714740171508,15.6189606152896,14.1000364863956,12.6876866696401,8.81580697519137,10.4193177958,19.0153853294771
"ABCA4",24,"ENSG00000198691","VLMC",0.636,0.09,4.78693235160492,0.8,0.6,2.17454773694656e-16,1.0933843476141e-11,"Pericyte",2.29362590021735,0.125,0.00165177659161935,"Pericyte",2.29362590021735,0.125,0.00165177659161935,1.97958535109876,5.83359765401905,0.255891995352697,0.521666361401767,37.9978011730409,3.40485579555551,385.499728117311,4.38220758583924,1.06607044698459,1.78272295195724,4.21501988546001,0.99179017546932,0.817335992542134,0.0961542590329619,0.0752659815589277,0.900120537312882,0.59340700224122,0.0318051106504533
"ABCA6",23460,"ENSG00000154262","VLMC",1,0.351,3.62531132608503,0.98,0.96,1.29695077218549e-12,6.52119817762586e-08,"SST",2.6800873514252,0.618,1.58159376168637e-07,"L5 ET",3.04967106962682,0.815,3.90900260707532e-08,24.320854069486,0.969654514687731,1.10942034069307,0.944556065461672,38.7694487767854,0.479007180334255,1173.77127256113,45.1071175190335,33.1738459476418,44.7189948997685,75.8651538796599,43.6381307451963,28.7404553460791,79.5389883539331,69.5351955767741,41.9790884912516,54.6542072228294,46.0051555612976
"ABCA9",10350,"ENSG00000154258","VLMC",1,0.395,4.53243848888794,1,1,1.02482193724313e-21,5.15290718265216e-17,"Pericyte",2.19450049931823,0.469,3.85517482380377e-06,"L5/6 NP",3.50071339495936,0.76,2.5067435948083e-16,6.13875625654844,1.68528249443144,1.45192690400561,1.56538086254315,290.12167838121,0.110882404999859,2611.96747446816,47.004524705203,34.3207155574617,43.3935547456913,72.5261448507428,42.790329691132,27.076648743508,70.4275545932323,77.8485104975688,35.1926274524273,63.6454306279689,32.9874356175794
"ABCB1",5243,"ENSG00000085563","Endothelial",0.943,0.185,5.96675804596451,0.966,0.932,1.14821198645012e-186,5.77332468906983e-182,"L6 CT",3.61271438023698,0.747,5.57739236391366e-56,"L6 CT",3.61271438023698,0.747,5.57739236391366e-56,1.16460234090427,2.81254121034816,1.2839018725844,1.07204711713011,46.2127904168951,2566.73417974914,14.350757986274,0.638391878929288,2.1733247567041,7.24947953130837,1.20410894911546,68.2736613364121,16.4922826385803,2.15284579722684,3.37344462035947,2.61020248823697,18.8271736159522,0.189578224967709
"ABCB5",340273,"ENSG00000004846","PAX6",0.576,0.255,2.55959745017692,0.704,0.408,6.8424170382457e-49,3.44043571100032e-44,"VIP",1.04357998029537,0.319,2.16526395968387e-07,"VIP",1.04357998029537,0.319,2.16526395968387e-07,1.28573198366707,3.81479276199916,0.724749675143173,1.38619733618772,3.46220053814396,0.435087127899875,0.0377798989931733,2.9610888396768,12.5909177026081,0.286219521019513,0.171621849969147,0.279496811976753,0.814151093050826,0.424730954665571,0.553135839076218,0.181597448946094,0.218057096222659,37.5895584717504
"ABCC4",10257,"ENSG00000125257","Microglia",0.9,0.613,3.58491327562762,0.868,0.736,0,0,"Endothelial",2.15440132710523,0.557,8.99432473295294e-26,"L5/6 NP",2.77433550194913,0.778,2.16786021130346e-40,8.72747604736091,52.2445776072755,35.5985058212956,809.390333946477,0.908662609131251,92.9830736261402,25.9383924393722,5.59977394188927,19.4404193213317,14.6453097190258,13.4672708066674,18.4332062774046,27.877758261623,13.004474013004,49.5609997613978,8.25422632533132,13.9138284157294,8.46211037299019
