"","gene","entrez_id","ensembl_id","class","pct.1","pct.2","avg_logFC","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"100","DLGAP2",9228,"ENSG00000282152, ENSG00000274161, ENSG00000282318, ENSG00000198010","Neuronal",0.97,0.486,3.83991841193028,0.958,0.916,0,0
"101","DLGAP3",58512,"ENSG00000116544","Neuronal",0.674,0.1,2.64425791358795,0.811,0.622,0,0
"102","DOCK1",1793,"ENSG00000150760","Non-neuronal",0.843,0.419,4.34090994883947,0.859,0.718,0,0
"103","DOCK2",1794,"ENSG00000134516","Non-neuronal",0.486,0.349,3.44612242575815,0.601,0.202,3.09170216179726e-130,1.55453876397328e-125
"104","DOCK5",80005,"ENSG00000147459","Non-neuronal",0.783,0.398,4.99237632119859,0.819,0.638,0,0
"105","DOCK8",81704,"ENSG00000107099","Non-neuronal",0.441,0.293,4.99244146771549,0.608,0.216,6.78379777671035e-224,3.41096136010773e-219
"106","DPY19L2P1",554236,NA,"Neuronal",0.938,0.361,3.15953380738145,0.931,0.862,0,0
"107","EBF1",1879,"ENSG00000164330","Non-neuronal",0.446,0.292,3.27222330381633,0.604,0.208,1.96206410665094e-99,9.86545453465161e-95
"108","EFHD1",80303,"ENSG00000115468","Non-neuronal",0.536,0.283,3.34219768310318,0.67,0.34,0,0
"109","EFNB3",1949,"ENSG00000108947","Neuronal",0.516,0.012,2.58617114289943,0.752,0.504,0,0
"110","EIF4E1B",253314,"ENSG00000175766","Neuronal",0.358,0.056,2.78667227708105,0.659,0.318,0,0
"111","ELAVL2",1993,"ENSG00000107105","Neuronal",0.834,0.124,3.37074748095024,0.895,0.79,0,0
"112","ELF1",1997,"ENSG00000120690","Non-neuronal",0.537,0.349,2.86426354059679,0.642,0.284,8.89528140644817e-281,4.47263644397621e-276
"113","ENPP2",5168,"ENSG00000136960","Non-neuronal",0.584,0.278,4.01623359555108,0.706,0.412,0,0
"114","ENTPD3",956,"ENSG00000168032","Neuronal",0.459,0.052,2.53583280820199,0.709,0.418,0,0
"115","EPHA5",2044,"ENSG00000145242","Neuronal",0.97,0.899,2.52654383155254,0.845,0.69,0,0
"116","EPHA7",2045,"ENSG00000135333","Neuronal",0.807,0.126,3.43623842767367,0.882,0.764,0,0
"117","EPHB6",2051,"ENSG00000106123, ENSG00000275482","Neuronal",0.76,0.045,2.68929902421287,0.863,0.726,0,0
"118","ERBB3",2065,"ENSG00000065361","Non-neuronal",0.441,0.138,3.9660836684293,0.674,0.348,0,0
