"","Gene","Entrez gene ID","Ensembl gene ID","Cell group","Prevalence in cell group ('pct.1')","Prevalence in all other cells ('pct.2')","Average log2 fold change","AUC from ROC test","Power from ROC test","Mast test p","Mast test FDR (q)","Used in MGP"
"1","SST",6750,"ENSG00000157005","SST",0.972,0.106,6.65935503363702,0.977,0.954,0,0,TRUE
"2","NMU",10874,"ENSG00000109255","SST",0.744,0.199,5.50900486218309,0.833,0.666,0,0,TRUE
"3","LOC105373154",105373154,NA,"SST",0.578,0.181,4.35378471065022,0.734,0.468,3.26789164909191e-147,1.6431286000799e-142,FALSE
"4","GRIK1",2897,"ENSG00000171189","SST",0.994,0.573,4.16654299259791,0.975,0.95,5.54581129390184e-274,2.78848937668679e-269,TRUE
"5","KLF5",688,"ENSG00000102554","SST",0.51,0.061,4.14160944204004,0.733,0.466,1.11229393425018e-139,5.59272513080332e-135,TRUE
"6","CORT",1325,"ENSG00000241563","SST",0.644,0.088,4.02333239370619,0.792,0.584,3.11288778777638e-164,1.56519110857184e-159,TRUE
"7","SLC9A2",6549,"ENSG00000115616","SST",0.439,0.139,3.99130161900128,0.669,0.338,2.41320761276385e-102,1.21338491977379e-97,TRUE
"8","FBN2",2201,"ENSG00000138829","SST",0.479,0.249,3.96507561440561,0.648,0.296,1.2010031207752e-96,6.0387637915698e-92,TRUE
"9","COL25A1",84570,"ENSG00000188517","SST",0.86,0.567,3.9492343372401,0.826,0.652,5.4423606624395e-215,2.7364733646812e-210,TRUE
"10","LOC105372768",105372768,NA,"SST",0.803,0.075,3.86659616328442,0.874,0.748,4.64185976739412e-238,2.33397350964344e-233,FALSE
"11","TRHDE",29953,"ENSG00000072657","SST",0.946,0.555,3.69220712413687,0.9,0.8,1.69908292055377e-205,8.54315883283642e-201,TRUE
"12","TRPC6",7225,"ENSG00000137672","SST",0.664,0.226,3.66308491917253,0.768,0.536,1.58467582139546e-138,7.96790849755849e-134,TRUE
"13","ELFN1",392617,"ENSG00000225968","SST",0.729,0.188,3.55013733880953,0.816,0.632,1.15471020324347e-190,5.80599837292848e-186,FALSE
"14","LOC105377567",105377567,NA,"SST",0.986,0.746,3.53322068027737,0.928,0.856,3.12457613301271e-304,1.57106812544012e-299,FALSE
"15","LOC105377574",105377574,NA,"SST",0.929,0.513,3.50501614542842,0.893,0.786,3.49876585290269e-242,1.759214458498e-237,FALSE
"16","MAFB",9935,"ENSG00000204103","SST",0.453,0.045,3.4906552762491,0.707,0.414,1.32214968378246e-108,6.64790082502661e-104,FALSE
"17","LOC105377569",105377569,NA,"SST",0.453,0.086,3.45535213301605,0.692,0.384,6.04549164056132e-88,3.03973365179064e-83,FALSE
"18","SLC47A1",55244,"ENSG00000142494","SST",0.558,0.146,3.44769242753067,0.73,0.46,7.67650429616474e-116,3.85982312515459e-111,FALSE
"19","TRB",6957,NA,"SST",0.826,0.388,3.44569906132608,0.838,0.676,1.79897732321773e-204,9.04543787887106e-200,FALSE
"20","LOC105377568",105377568,NA,"SST",0.419,0.059,3.32237106504004,0.685,0.37,6.20236504551164e-91,3.11861116853371e-86,FALSE
"21","OTOF",9381,"ENSG00000115155","SST",0.402,0.163,3.29770842416991,0.635,0.27,8.87580638387398e-68,4.46284420787568e-63,FALSE
"22","GRIK1.AS2",NA,NA,"SST",0.661,0.056,3.28967094296839,0.804,0.608,2.55321864839581e-180,1.2837838685999e-175,FALSE
"23","DKK2",27123,"ENSG00000155011","SST",0.564,0.253,3.18132165712961,0.694,0.388,1.17306271277124e-86,5.89827662608509e-82,FALSE
"24","LINC00290",728081,"ENSG00000248197","SST",0.92,0.765,3.13890444597778,0.786,0.572,5.60092649746931e-211,2.81620185219255e-206,FALSE
"25","TRIM67",440730,"ENSG00000119283","SST",0.521,0.145,3.01834542632322,0.709,0.418,9.64476984402931e-96,4.84948672527638e-91,FALSE
"26","COL19A1",1310,"ENSG00000082293","SST",0.818,0.471,2.96912508292279,0.795,0.59,1.37689359778796e-112,6.92315869903764e-108,FALSE
"27","GRIK3",2899,"ENSG00000163873","SST",0.957,0.362,2.9506923463121,0.901,0.802,7.15198982540732e-179,3.59609200411306e-174,FALSE
"28","PLCH1",23007,"ENSG00000114805","SST",0.977,0.789,2.87194726352064,0.894,0.788,8.62733768319919e-240,4.33791166048938e-235,FALSE
"29","TRHDE.AS1",NA,NA,"SST",0.783,0.203,2.8650279922002,0.814,0.628,8.25897786000194e-127,4.15269665778757e-122,FALSE
"30","RBP4",5950,"ENSG00000138207","SST",0.607,0.191,2.84187492963467,0.734,0.468,3.1548177321506e-79,1.58627390390265e-74,FALSE
"31","SATB1.AS1",NA,NA,"SST",0.915,0.372,2.79096275539389,0.874,0.748,6.0263353487603e-155,3.03010167671016e-150,FALSE
"32","ELAVL2",1993,"ENSG00000107105","SST",0.989,0.477,2.78873717730232,0.926,0.852,1.28251491208202e-178,6.44861322943963e-174,FALSE
"33","KCNA3",3738,"ENSG00000177272","SST",0.895,0.287,2.75187712821067,0.86,0.72,1.87700301663026e-147,9.43775886791859e-143,FALSE
"34","VSTM2L",128434,"ENSG00000132821","SST",0.835,0.293,2.7194249401755,0.826,0.652,1.05618413409192e-130,5.3105994446276e-126,FALSE
"35","LOC105376571",105376571,NA,"SST",0.405,0.125,2.71750755071229,0.65,0.3,1.20688585154896e-55,6.06834275017331e-51,FALSE
"36","GALNT14",79623,"ENSG00000158089","SST",0.883,0.424,2.70898992343016,0.83,0.66,8.42150419747789e-126,4.23441652553386e-121,FALSE
"37","CACNA2D2",9254,"ENSG00000007402","SST",0.652,0.17,2.69762404001129,0.766,0.532,2.30479107664836e-109,1.15887200124956e-104,FALSE
"38","PCDH11X",27328,"ENSG00000102290","SST",0.963,0.752,2.69235828576379,0.863,0.726,2.56022415181726e-167,1.28730630577524e-162,FALSE
"39","KIAA1217",56243,"ENSG00000120549","SST",0.997,0.899,2.61207216353551,0.925,0.85,4.89625185768508e-198,2.46188439656263e-193,FALSE
"40","EPHB6",2051,"ENSG00000275482, ENSG00000106123","SST",0.94,0.4,2.60855463109872,0.87,0.74,1.20739576736198e-146,6.07090665787277e-142,FALSE
"41","FAM89A",375061,"ENSG00000182118","SST",0.393,0.065,2.60757756239827,0.669,0.338,2.17446156241389e-74,1.09334101819733e-69,FALSE
"42","LINC01322",103695433,NA,"SST",0.974,0.529,2.57268536026009,0.894,0.788,5.06840495503653e-176,2.54844469544192e-171,FALSE
"43","TLL2",7093,"ENSG00000095587","SST",0.516,0.255,2.562768860162,0.666,0.332,8.1927076336104e-79,4.11937532525565e-74,FALSE
"44","LOC101929667",101929667,NA,"SST",0.387,0.164,2.53713899931118,0.621,0.242,4.53517855452779e-30,2.28033312900212e-25,FALSE
"45","PLA2R1",22925,"ENSG00000153246","SST",0.544,0.22,2.52529741241189,0.689,0.378,2.69057814051075e-59,1.35284959483021e-54,FALSE
"46","NOS1",4842,"ENSG00000089250","SST",0.564,0.435,2.51205774760975,0.606,0.212,1.89658440037374e-35,9.5362160235192e-31,FALSE
"47","ANKRD20A11P",391267,"ENSG00000215559","SST",0.521,0.218,2.50652373613786,0.68,0.36,7.78685830725429e-67,3.91531022547053e-62,FALSE
"48","VIP",7432,"ENSG00000146469","VIP",0.706,0.049,9.56675807943859,0.845,0.69,0,0,TRUE
"49","CALB2",794,"ENSG00000282830, ENSG00000172137","VIP",0.77,0.033,6.89675931313914,0.879,0.758,0,0,TRUE
"50","PTHLH",5744,"ENSG00000087494","VIP",0.543,0.077,5.35112907345332,0.749,0.498,7.2073305354608e-307,3.62391786653504e-302,TRUE
"51","THSD7B",80731,"ENSG00000144229","VIP",0.848,0.703,4.96791989169077,0.748,0.496,0,0,TRUE
"52","KMO",8564,"ENSG00000117009","VIP",0.591,0.167,4.75928555123541,0.748,0.496,1.26380805347925e-256,6.354553273699e-252,TRUE
"53","SHISA8",440829,"ENSG00000234965","VIP",0.416,0.012,4.40979797499953,0.703,0.406,2.42676455867375e-264,1.22020148774675e-259,TRUE
"54","SLC10A4",201780,"ENSG00000145248","VIP",0.503,0.044,4.29621950895736,0.735,0.47,1.28681442715464e-254,6.47023162117623e-250,TRUE
"55","RGS8",85397,"ENSG00000135824","VIP",0.404,0.138,4.05184912764372,0.653,0.306,1.66714017794894e-170,8.38254752874509e-166,TRUE
"56","RGS16",6004,"ENSG00000143333","VIP",0.441,0.032,4.01656296120449,0.707,0.414,5.55472728655021e-222,2.79297242695031e-217,TRUE
"57","SCG2",7857,"ENSG00000171951","VIP",0.982,0.375,3.90292240364616,0.943,0.886,0,0,TRUE
"58","DLX1",1745,"ENSG00000144355","VIP",0.659,0.079,3.64990141811373,0.798,0.596,3.52707177809234e-277,1.77344696074261e-272,TRUE
"59","LOC105379069",105379069,NA,"VIP",0.485,0.112,3.40907316806679,0.702,0.404,1.17286756012992e-169,5.89729537908923e-165,FALSE
"60","LOC105373643",105373643,NA,"VIP",0.558,0.057,3.39994754684576,0.756,0.512,2.11796536003392e-251,1.06493416267866e-246,FALSE
"61","INHBA.AS1",NA,NA,"VIP",0.564,0.157,3.32347211742956,0.727,0.454,1.15440047705055e-171,5.80444103865786e-167,FALSE
"62","LOC101928842",101928842,NA,"VIP",0.389,0.216,3.24823052499229,0.604,0.208,2.19511168049336e-70,1.10372410406887e-65,FALSE
"63","HTR2C",3358,"ENSG00000147246","VIP",0.605,0.371,3.24065529288843,0.68,0.36,1.1668467585116e-216,5.8670221864722e-212,TRUE
"64","NDST4",64579,"ENSG00000138653","VIP",0.535,0.329,3.23109777058542,0.651,0.302,1.5482865625977e-162,7.78493966539749e-158,FALSE
"65","COL21A1",81578,"ENSG00000124749","VIP",0.881,0.455,3.22457291632221,0.847,0.694,8.49007961852501e-290,4.26889693299056e-285,FALSE
"66","THSD7A",221981,"ENSG00000005108","VIP",0.912,0.537,3.14008461058745,0.864,0.728,3.19380117364661e-269,1.60587516812125e-264,FALSE
"67","VSTM2A",222008,"ENSG00000170419","VIP",0.826,0.253,3.13119610853404,0.839,0.678,1.00992299631191e-253,5.07799381775592e-249,FALSE
"68","LYPD6B",130576,"ENSG00000150556","VIP",0.607,0.184,3.12410112878934,0.742,0.484,3.06370503348093e-184,1.54046152788454e-179,FALSE
"69","PROX1",5629,"ENSG00000117707","VIP",0.878,0.131,3.11354488198097,0.889,0.778,0,0,FALSE
"70","RGS12",6002,"ENSG00000159788","VIP",0.994,0.479,3.04032603599224,0.943,0.886,0,0,FALSE
"71","ARHGAP28",79822,"ENSG00000088756","VIP",0.662,0.39,2.92494627835619,0.71,0.42,8.83420335793847e-159,4.44192579040504e-154,FALSE
"72","IGF1",3479,"ENSG00000017427","VIP",0.755,0.151,2.90818679868315,0.822,0.644,1.06914664756664e-264,5.3757762586298e-260,FALSE
"73","SYT10",341359,"ENSG00000110975","VIP",0.46,0.197,2.89084105039692,0.651,0.302,2.26238492687023e-86,1.13754976507962e-81,FALSE
"74","ZCCHC12",170261,"ENSG00000174460","VIP",0.445,0.1,2.88869858612332,0.681,0.362,4.11490684080421e-119,2.06901630862476e-114,FALSE
"75","RASD2",23551,"ENSG00000100302","VIP",0.387,0.089,2.85611971576168,0.656,0.312,7.77310484192637e-102,3.908394845569e-97,FALSE
"76","DACH2",117154,"ENSG00000126733","VIP",0.75,0.596,2.8391979727558,0.678,0.356,1.54047646760168e-115,7.74566972674803e-111,FALSE
"77","CCNG2",901,"ENSG00000138764","VIP",0.491,0.18,2.82421899786361,0.677,0.354,2.65237649535149e-104,1.33364142562768e-99,FALSE
"78","ADRA1B",147,"ENSG00000170214","VIP",0.742,0.3,2.81365656667209,0.778,0.556,2.70700798159454e-185,1.36111068322555e-180,FALSE
"79","VGF",7425,"ENSG00000128564","VIP",0.434,0.176,2.80471005685096,0.652,0.304,2.37567593340573e-106,1.19451361607574e-101,FALSE
"80","PARM1",25849,"ENSG00000169116","VIP",0.82,0.316,2.7411241262693,0.815,0.63,3.82511539119303e-211,1.92330626984577e-206,FALSE
"81","NETO2",81831,"ENSG00000171208","VIP",0.89,0.555,2.73072671369124,0.815,0.63,1.87293460996971e-181,9.41730251238871e-177,FALSE
"82","VWC2L",402117,"ENSG00000174453","VIP",0.645,0.216,2.71617725463602,0.744,0.488,2.25000557302714e-146,1.13132530217378e-141,FALSE
"83","VSTM2A.OT1",NA,NA,"VIP",0.468,0.147,2.68283404403397,0.674,0.348,1.58668056438824e-99,7.97798854580049e-95,FALSE
"84","PROX1.AS1",NA,NA,"VIP",0.527,0.139,2.6616031097767,0.712,0.424,1.23250054831687e-151,6.19713600699208e-147,FALSE
"85","NR2E1",7101,"ENSG00000112333","VIP",0.445,0.09,2.62857925911623,0.684,0.368,2.26082003370181e-131,1.13676292114561e-126,FALSE
"86","COCH",1690,"ENSG00000100473","VIP",0.381,0.129,2.6232535338772,0.635,0.27,1.09302324107648e-71,5.49583015845664e-67,FALSE
"87","HRH3",11255,"ENSG00000101180","VIP",0.355,0.092,2.61403563177244,0.637,0.274,8.05545076643562e-85,4.05036119987149e-80,FALSE
"88","LOC105378515",105378515,NA,"VIP",0.36,0.37,2.60816033239466,0.498,0.004,1.27356602531534e-38,6.40361733188804e-34,FALSE
"89","GGH",8836,"ENSG00000137563","VIP",0.412,0.196,2.5875814679958,0.626,0.252,1.16110096883131e-58,5.83813178138073e-54,FALSE
"90","IGSF3",3321,"ENSG00000143061","VIP",0.418,0.175,2.57290704203592,0.64,0.28,6.66780314563122e-83,3.35263809965483e-78,FALSE
"91","LOC101927286",101927286,"ENSG00000259664","VIP",0.527,0.357,2.57275345873273,0.624,0.248,1.2999796290034e-67,6.53642757259199e-63,FALSE
"92","LOC105370731",105370731,NA,"VIP",0.61,0.265,2.55206692322914,0.708,0.416,1.20425112468213e-122,6.05509508001421e-118,FALSE
"93","WNT16",51384,"ENSG00000002745","PVALB",0.498,0.012,5.11413901586408,0.744,0.488,2.44693090401357e-250,1.23034132784706e-245,TRUE
"94","TAC1",6863,"ENSG00000006128","PVALB",0.914,0.056,4.92759804894646,0.945,0.89,0,0,TRUE
"95","LOC101929680",101929680,"ENSG00000236107","PVALB",0.731,0.08,4.85381792915405,0.847,0.694,2.35981490626393e-312,1.18653853301857e-307,FALSE
"96","MYO5B",4645,"ENSG00000167306","PVALB",0.889,0.328,4.40977274848132,0.906,0.812,0,0,TRUE
"97","OSTN",344901,"ENSG00000188729","PVALB",0.41,0.125,4.40620679751533,0.659,0.318,4.59081081719112e-148,2.30830558699187e-143,TRUE
"98","LOC105375147",105375147,NA,"PVALB",0.516,0.26,4.30479890402843,0.664,0.328,1.08409932070273e-192,5.4509597944254e-188,FALSE
"99","PVALB",5816,"ENSG00000274665, ENSG00000100362","PVALB",0.361,0.049,3.93355695333513,0.662,0.324,1.84745964014814e-127,9.28921181662884e-123,TRUE
"100","KCNS3",3790,"ENSG00000170745","PVALB",0.535,0.123,3.71098986001413,0.728,0.456,1.00943296780171e-172,5.0755299054038e-168,TRUE
"101","HGF",3082,"ENSG00000019991","PVALB",0.708,0.115,3.56340889784764,0.819,0.638,2.1126446897988e-226,1.06225887647773e-221,FALSE
"102","FBLN7",129804,"ENSG00000144152","PVALB",0.741,0.15,3.47569951934607,0.823,0.646,2.17298168533755e-201,1.09259692120457e-196,FALSE
"103","TRPC4",7223,"ENSG00000133107","PVALB",0.942,0.314,3.46419326407062,0.918,0.836,8.52530340924643e-284,4.2866078072032e-279,FALSE
"104","CNTNAP3B",728577,"ENSG00000154529","PVALB",0.984,0.519,3.37970015051946,0.924,0.848,2.5037580393527e-288,1.25891457976693e-283,FALSE
"105","LOC392232",392232,NA,"PVALB",0.435,0.075,3.37723082904383,0.688,0.376,4.10815912344936e-107,2.06562348886157e-102,FALSE
"106","KCNAB3",9196,"ENSG00000170049","PVALB",0.734,0.087,3.28354194061098,0.834,0.668,6.33623564358051e-229,3.18592264394871e-224,FALSE
"107","SLIT2",9353,"ENSG00000145147","PVALB",1,0.58,3.24273465575038,0.96,0.92,3.2751451686525e-267,1.64677574225016e-262,FALSE
"108","CLEC4GP1",440508,NA,"PVALB",0.748,0.18,3.22236238374824,0.819,0.638,7.41184923905366e-184,3.72675191588857e-179,FALSE
"109","ECM1",1893,"ENSG00000143369","PVALB",0.63,0.083,3.21591320896172,0.781,0.562,1.00931223367538e-171,5.07492284214317e-167,FALSE
"110","ANK1",286,"ENSG00000029534","PVALB",0.951,0.409,3.20282879379935,0.918,0.836,1.55106968855401e-319,7.79893350101841e-315,FALSE
"111","KCNC2",3747,"ENSG00000166006","PVALB",1,0.596,3.20261701161449,0.978,0.956,3.6465631965214e-238,1.83352844084292e-233,FALSE
"112","ZNF804A",91752,"ENSG00000170396","PVALB",0.991,0.769,3.17201811524523,0.938,0.876,2.65513056325951e-267,1.33502619851252e-262,FALSE
"113","SULF1",23213,"ENSG00000137573","PVALB",0.752,0.272,3.12288527217651,0.8,0.6,5.0017238334962e-172,2.51491676072022e-167,TRUE
"114","LBH",81606,"ENSG00000213626","PVALB",0.59,0.116,3.0864746774211,0.755,0.51,8.63754362040795e-155,4.34304330777732e-150,FALSE
"115","NPPC",4880,"ENSG00000163273","PVALB",0.431,0.026,3.05998871537089,0.701,0.402,1.54508698167906e-148,7.76885185258049e-144,FALSE
"116","CNTNAP3",79937,"ENSG00000106714","PVALB",0.981,0.525,3.04000515124483,0.924,0.848,1.4841730615056e-281,7.46257057055631e-277,FALSE
"117","LOC101928174",101928174,NA,"PVALB",0.468,0.103,3.02546156811333,0.693,0.386,6.15630056498366e-100,3.09544948707943e-95,FALSE
"118","INPP5J",27124,"ENSG00000185133","PVALB",0.688,0.155,3.01830418136957,0.792,0.584,1.75682545628632e-167,8.83349407675324e-163,FALSE
"119","WFDC2",10406,"ENSG00000101443","PVALB",0.502,0.133,2.99071756748258,0.704,0.408,1.98428986250252e-118,9.97720785764892e-114,FALSE
"120","ASPM",259266,"ENSG00000066279","PVALB",0.671,0.15,2.92121094903711,0.781,0.562,9.29904685319423e-151,4.67565374825459e-146,FALSE
"121","LOC105375557",105375557,NA,"PVALB",0.352,0.29,2.88964371582127,0.534,0.0680000000000001,2.4029010116179e-59,1.2082026576516e-54,FALSE
"122","ERBB4",2066,"ENSG00000178568","PVALB",1,0.887,2.81647519727634,0.975,0.95,1.89068764361651e-176,9.50656654086815e-172,FALSE
"123","EYS",346007,"ENSG00000188107","PVALB",0.97,0.888,2.80418886637239,0.815,0.63,2.68207131378748e-171,1.34857227728548e-166,FALSE
"124","TCTEX1D1",200132,"ENSG00000152760","PVALB",0.5,0.124,2.79377557849354,0.7,0.4,1.01555142996558e-88,5.10629414500994e-84,FALSE
"125","GPR83",10888,"ENSG00000123901","PVALB",0.428,0.169,2.77855161540851,0.647,0.294,7.48215191318945e-71,3.76210080347079e-66,FALSE
"126","ZPBP",11055,"ENSG00000042813","PVALB",0.993,0.936,2.66345855475889,0.779,0.558,1.08409279136199e-186,5.45092696424724e-182,FALSE
"127","LOC105376319",105376319,NA,"PVALB",0.465,0.112,2.65561869441485,0.685,0.37,5.66547556125967e-81,2.84865776695698e-76,FALSE
"128","LOC100289279",100289279,"ENSG00000283378","PVALB",0.775,0.221,2.65487411516146,0.814,0.628,2.67690723032233e-168,1.34597572447837e-163,FALSE
"129","ASS1",445,"ENSG00000130707","PVALB",0.565,0.147,2.63387458554739,0.726,0.452,7.26517728504433e-107,3.65300379069314e-102,FALSE
"130","CNTNAP3P2",643827,NA,"PVALB",0.956,0.432,2.62577440561164,0.884,0.768,2.72012318544149e-224,1.36770513887183e-219,FALSE
"131","SIAH3",283514,"ENSG00000215475","PVALB",0.59,0.157,2.62438403751649,0.735,0.47,1.85823276082931e-107,9.34338014472584e-103,FALSE
"132","SNCG",6623,"ENSG00000173267","PVALB",0.773,0.171,2.6091341038526,0.829,0.658,1.50008618964224e-179,7.54258337014016e-175,FALSE
"133","SLC26A4",5172,"ENSG00000091137","PVALB",0.815,0.314,2.60324467484064,0.814,0.628,2.74954592524261e-142,1.38249918667124e-137,FALSE
"134","LOC105375981",105375981,NA,"PVALB",0.583,0.188,2.5744784826135,0.72,0.44,2.31387966764744e-90,1.16344183568981e-85,FALSE
"135","PPARGC1A",10891,"ENSG00000109819","PVALB",0.998,0.801,2.56840905696062,0.955,0.91,2.45098941041459e-170,1.23238198545056e-165,FALSE
"136","CPLX1",10815,"ENSG00000168993","PVALB",0.868,0.3,2.55680999310107,0.849,0.698,4.9113015480013e-179,2.46945153135054e-174,FALSE
"137","VWC2",375567,"ENSG00000188730","PVALB",0.935,0.261,2.53104859776154,0.885,0.77,7.95031793984494e-218,3.99749936333344e-213,FALSE
"138","SV2C",22987,"ENSG00000122012","LAMP5",0.979,0.326,7.02990712214627,0.979,0.958,0,0,TRUE
"139","LAMP5",24141,"ENSG00000125869","LAMP5",0.954,0.098,6.14789568145053,0.967,0.934,0,0,TRUE
"140","KIT",3815,"ENSG00000157404","LAMP5",0.921,0.151,5.69243392571349,0.944,0.888,0,0,TRUE
"141","PDGFD",80310,"ENSG00000170962","LAMP5",0.77,0.288,4.94312253767153,0.831,0.662,0,0,TRUE
"142","EYA4",2070,"ENSG00000112319","LAMP5",0.891,0.235,4.66006031230091,0.913,0.826,0,0,TRUE
"143","NXPH2",11249,"ENSG00000144227","LAMP5",0.877,0.16,4.47591795896924,0.908,0.816,0,0,FALSE
"144","HAPLN1",1404,"ENSG00000145681","LAMP5",0.842,0.136,4.39674250233342,0.891,0.782,5.12854962352589e-319,2.57868603620505e-314,TRUE
"145","CDCA7",83879,"ENSG00000144354","LAMP5",0.432,0.056,4.23755347757278,0.695,0.39,2.76798499110935e-141,1.39177053337969e-136,TRUE
"146","CRABP1",1381,"ENSG00000166426","LAMP5",0.362,0.028,4.19867581258286,0.67,0.34,3.08958311740747e-131,1.55347328726365e-126,TRUE
"147","CBLN4",140689,"ENSG00000054803","LAMP5",0.494,0.115,3.91436012107579,0.708,0.416,6.57262956766339e-122,3.30478387291683e-117,TRUE
"148","AARD",441376,"ENSG00000205002","LAMP5",0.455,0.042,3.74016282752526,0.712,0.424,7.39845805129194e-155,3.7200186927701e-150,TRUE
"149","LOC105371641",105371641,NA,"LAMP5",0.459,0.182,3.68399754422402,0.666,0.332,4.06332903822313e-148,2.04308247370897e-143,FALSE
"150","SERTM1",400120,"ENSG00000180440","LAMP5",0.534,0.095,3.66786326635882,0.731,0.462,1.32298062478811e-126,6.6520788794971e-122,TRUE
"151","SFRP1",6422,"ENSG00000104332","LAMP5",0.638,0.133,3.6426247601037,0.779,0.558,5.15761233294327e-195,2.59329905712721e-190,TRUE
"152","PTCHD4",442213,"ENSG00000244694","LAMP5",0.988,0.436,3.49908187328494,0.952,0.904,2.24167430178251e-279,1.12713625567926e-274,FALSE
"153","ANO1",55107,"ENSG00000131620","LAMP5",0.573,0.233,3.48440675369585,0.714,0.428,2.66993889590052e-168,1.34247197624774e-163,FALSE
"154","PCP4L1",654790,"ENSG00000248485","LAMP5",0.749,0.293,3.47885509455464,0.803,0.606,3.50599731686713e-202,1.76285051089396e-197,FALSE
"155","TOX2",84969,"ENSG00000124191","LAMP5",0.928,0.332,3.47630427374308,0.908,0.816,4.46692543378345e-289,2.24601477736065e-284,FALSE
"156","TACR1",6869,"ENSG00000115353","LAMP5",0.777,0.25,3.43015359861701,NA,NA,2.04615838312189e-198,1.02882889661752e-193,FALSE
"157","PRELID2",153768,"ENSG00000186314","LAMP5",0.9,0.564,3.31266789169216,0.838,0.676,1.79931779035125e-178,9.04714978166512e-174,FALSE
"158","ANKRD55",79722,"ENSG00000164512","LAMP5",0.893,0.471,3.2642968924479,0.864,0.728,2.92115838270428e-270,1.46878764640754e-265,FALSE
"159","MYO16",23026,"ENSG00000041515","LAMP5",1,0.663,3.2319869217367,0.964,0.928,1.57733593792349e-282,7.93100282947308e-278,FALSE
"160","FSTL5",56884,"ENSG00000168843","LAMP5",0.995,0.722,3.2042146821195,0.959,0.918,9.80068711027373e-249,4.92788348591673e-244,FALSE
"161","LINC00403",100505996,"ENSG00000224243","LAMP5",0.898,0.189,3.1891440457467,0.892,0.784,2.00171939327023e-248,1.0064845281302e-243,FALSE
"162","LINC00298",339788,"ENSG00000235665","LAMP5",0.578,0.093,3.14470930343369,0.752,0.504,3.57455184664953e-143,1.79732041401385e-138,FALSE
"163","UNC13C",440279,"ENSG00000137766","LAMP5",0.898,0.623,3.07168050879448,0.823,0.646,3.29609320453051e-153,1.65730862416999e-148,FALSE
"164","SP9",100131390,"ENSG00000217236","LAMP5",0.36,0.028,3.03578609595533,0.666,0.332,1.14057077375798e-107,5.73490390753248e-103,FALSE
"165","LOC105373914",105373914,NA,"LAMP5",0.443,0.133,3.01415929128338,0.669,0.338,1.49664391594098e-75,7.52527527374286e-71,FALSE
"166","GNG4",2786,"ENSG00000282972, ENSG00000168243","LAMP5",0.87,0.424,2.95664136864073,NA,NA,1.48541221288022e-207,7.46880114758302e-203,FALSE
"167","BCL11B",64919,"ENSG00000127152","LAMP5",0.954,0.301,2.94624303059348,0.905,0.81,3.36499395005116e-237,1.69195260802522e-232,FALSE
"168","NYAP2",57624,"ENSG00000144460","LAMP5",0.993,0.639,2.89921239336453,0.919,0.838,9.55487321472867e-222,4.80428580109772e-217,FALSE
"169","RPH3A",22895,"ENSG00000089169","LAMP5",0.991,0.453,2.87540953601475,0.927,0.854,3.17905539381269e-235,1.59846084256296e-230,FALSE
"170","MYO3A",53904,"ENSG00000095777","LAMP5",0.457,0.375,2.85654279672128,NA,NA,9.47471890495203e-86,4.76398341259893e-81,FALSE
"171","TLE2",7089,"ENSG00000065717","LAMP5",0.919,0.493,2.84666491201258,0.868,0.736,2.53321108925925e-235,1.27372386779044e-230,FALSE
"172","UNC5D",137970,"ENSG00000156687","LAMP5",0.998,0.726,2.78807161479787,0.904,0.808,8.68511058395052e-185,4.36696045271616e-180,FALSE
"173","ADAMTS20",80070,"ENSG00000173157","LAMP5",0.397,0.254,2.78475999310728,0.577,0.154,1.81776157690015e-27,9.13988698481166e-23,FALSE
"174","GRIN2A",2903,"ENSG00000183454","LAMP5",0.995,0.745,2.69028269065183,0.957,0.914,9.88744919310979e-174,4.97150832878753e-169,FALSE
"175","PRSS12",8492,"ENSG00000164099","LAMP5",0.462,0.133,2.6846895776305,0.676,0.352,2.80269048100416e-74,1.4092208007537e-69,FALSE
"176","NOV",4856,"ENSG00000136999","LAMP5",0.35,0.108,2.66704774763063,0.629,0.258,6.10440162281748e-49,3.06935417996886e-44,FALSE
"177","LOC105374455",105374455,NA,"LAMP5",0.432,0.146,2.66674623146735,0.658,0.316,5.70470326785871e-69,2.86838185011204e-64,FALSE
"178","SGCZ",137868,"ENSG00000185053","LAMP5",1,0.828,2.64694419979666,0.935,0.87,1.76975721084362e-204,8.89851623184281e-200,FALSE
"179","RAB3C",115827,"ENSG00000152932","LAMP5",0.991,0.634,2.64059851879864,0.92,0.84,2.51697673854077e-182,1.26556107390568e-177,FALSE
"180","B3GALT2",8707,"ENSG00000162630","LAMP5",0.824,0.333,2.59938222395619,0.812,0.624,1.95629429964608e-133,9.83644336805045e-129,FALSE
"181","KCNQ4",9132,"ENSG00000117013","LAMP5",0.392,0.146,2.5533983508521,0.637,0.274,1.55109287204002e-60,7.79905006990443e-56,FALSE
"182","KCNK3",3777,"ENSG00000171303","LAMP5",0.448,0.129,2.54685714266782,0.671,0.342,1.57340716888875e-73,7.91124858588951e-69,FALSE
"183","CRTAC1",55118,"ENSG00000095713","LAMP5",0.828,0.331,2.52487810791554,0.825,0.65,1.06309007086115e-158,5.34532318529694e-154,FALSE
"184","UBASH3B",84959,"ENSG00000154127","LAMP5",0.951,0.602,2.51812419744692,0.871,0.742,1.75882111848499e-212,8.8435284658544e-208,FALSE
