"","gene","entrez_id","ensembl_id","subclass","pct.1","pct.2","avg_log2FC","roc_avg_diff","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"69","AGT",183,"ENSG00000135744","Astrocyte",0.607,0.032,5.34568535519454,3.70534673211369,0.793,0.586,0,0
"70","AHCYL1",10768,"ENSG00000168710","Astrocyte",0.897,0.518,2.79632799002302,1.93826686220531,0.837,0.674,0,0
"71","AHCYL2",23382,"ENSG00000158467","Astrocyte",0.989,0.778,3.14838924213296,2.18229712648973,0.924,0.848,0,0
"72","AIF1",199,"ENSG00000235588, ENSG00000206428, ENSG00000234836, ENSG00000235985, ENSG00000237727, ENSG00000204472","Microglia",0.428,0.01,7.82801912461711,5.42596938559768,0.711,0.422,0,0
"73","AIFM3",150209,"ENSG00000183773","Astrocyte",0.655,0.109,5.58507065854127,3.87127598019596,0.801,0.602,0,0
"74","AK7",122481,"ENSG00000140057","Pericyte",0.281,0.357,2.67368958509329,1.85326039759991,0.468,0.0639999999999999,NA,NA
"75","AKAP13",11214,"ENSG00000170776","Microglia",0.952,0.756,3.65405852195983,2.53280036209749,0.849,0.698,1.52784876834903e-307,7.68217639213576e-303
"76","AKAP7",9465,"ENSG00000118507","VLMC",0.909,0.616,4.22162432359816,2.92620699728535,0.864,0.728,2.67434063306023e-07,0.0134468521370901
"77","AKIRIN1",79647,"ENSG00000174574","VLMC",0.364,0.36,2.84872945828991,1.97458879219171,0.513,0.026,NA,NA
"78","AKR1A1",10327,"ENSG00000117448","Microglia",0.384,0.363,2.75177512353766,1.90738516841512,0.531,0.0620000000000001,2.70745870700944e-23,1.36133731247141e-18
"79","AKR1C1",1645,"ENSG00000187134","VLMC",0.727,0.142,3.76294473626275,2.60827453454341,0.815,0.63,3.6107139708679e-06,0.181550309169209
"80","AKR1C2",1646,"ENSG00000151632","VLMC",0.909,0.139,6.1266932858069,4.2467001772126,0.937,0.874,1.01542249513898e-14,5.10564584780832e-10
"81","ALDH1A1",216,"ENSG00000165092","VLMC",0.364,0.063,4.7065587241862,3.26233790980948,0.657,0.314,0.00102135661704562,1
"82","ALDH1A2",8854,"ENSG00000128918","VLMC",0.818,0.192,5.81923094182232,4.03358352035134,0.871,0.742,9.98405190633225e-12,5.02008113902292e-07
"83","ALDH1L1",10840,"ENSG00000144908","Astrocyte",0.728,0.061,5.60136881717428,3.88257300290075,0.85,0.7,0,0
"84","ALOX5",240,"ENSG00000275565, ENSG00000012779","Microglia",0.623,0.184,6.52188576736842,4.52062673158545,0.767,0.534,0,0
"85","ALOX5AP",241,"ENSG00000132965","Microglia",0.369,0.115,7.19016607442247,4.98384334224371,0.645,0.29,0,0
"86","ALPL",249,"ENSG00000162551","Endothelial",0.7,0.218,6.93635820266828,4.80791713153337,0.799,0.598,5.69491474478549e-117,2.86346008282559e-112
"87","AMER2",219287,"ENSG00000165566","Oligodendrocyte",0.77,0.408,3.17600774220918,2.20144081194885,0.778,0.556,0,0
"88","AMOT",154796,"ENSG00000126016","Astrocyte",0.442,0.111,3.16530371476453,2.19402134550495,0.678,0.356,4.28139949089113e-203,2.15273047801497e-198
"89","AMOTL1",154810,"ENSG00000166025","VLMC",0.909,0.301,4.52820720556101,3.13871405752584,0.912,0.824,2.68368065815509e-09,0.000134938147172696
"90","AMZ2",51321,"ENSG00000196704","Astrocyte",0.986,0.59,4.06935157596009,2.82065957158391,0.949,0.898,0,0
"91","ANAPC11",51529,"ENSG00000141552","Pericyte",0.219,0.374,2.62621300058033,1.82035213690213,0.461,0.078,5.5865805320461e-07,0.028089885573181
"92","ANGPTL4",51129,"ENSG00000167772","Astrocyte",0.431,0.102,5.24376321546715,3.63469968832501,0.68,0.36,3.36320366437053e-319,1.69105243448215e-314
"93","ANK1",286,"ENSG00000029534","PVALB",0.951,0.409,3.20282879379935,2.22003174823823,0.918,0.836,1.55106968855401e-319,7.79893350101841e-315
"94","ANKDD1A",348094,"ENSG00000166839","Astrocyte",0.962,0.647,3.09762951053703,2.14711316164802,0.889,0.778,0,0
"95","ANKFN1",162282,"ENSG00000153930","Astrocyte",0.851,0.608,2.6538875021938,1.83953463966891,0.756,0.512,1.87077992204582e-259,9.40646852603856e-255
"96","ANKRD18B",441459,"ENSG00000230453","Excitatory",0.618,0.229,2.72417231034803,1.8882523562772,0.73,0.46,0,0
"97","ANKRD20A11P",391267,"ENSG00000215559","SST",0.521,0.218,2.50652373613786,1.73738986071054,0.68,0.36,7.78685830725429e-67,3.91531022547053e-62
"98","ANKRD29",147463,"ENSG00000154065","Endothelial",0.643,0.351,4.24137620441849,2.93989795778672,0.728,0.456,2.06693820602332e-28,1.03927719937058e-23
"99","ANKRD33B",651746,"ENSG00000164236","Excitatory",0.849,0.261,3.41108297952299,2.36438254991238,0.875,0.75,0,0
"100","ANKRD44",91526,"ENSG00000065413","Microglia",0.976,0.751,3.40558532734624,2.36057186780637,0.892,0.784,2.60866661004178e-321,1.31166365819511e-316
"101","ANKRD55",79722,"ENSG00000164512","LAMP5",0.893,0.471,3.2642968924479,2.26263818751086,0.864,0.728,2.92115838270428e-270,1.46878764640754e-265
"102","ANLN",54443,"ENSG00000011426","Oligodendrocyte",0.793,0.148,6.08857734953433,4.22028022345087,0.871,0.742,0,0
"103","ANO1",55107,"ENSG00000131620","LAMP5",0.573,0.233,3.48440675369585,2.41520671724831,0.714,0.428,2.66993889590052e-168,1.34247197624774e-163
"104","ANO3",63982,"ENSG00000134343","Excitatory",0.97,0.421,4.41158402457872,3.05787702844004,0.955,0.91,0,0
"105","ANO6",196527,"ENSG00000177119","Pericyte",0.562,0.577,2.76423203416329,1.91601964089376,0.532,0.0640000000000001,NA,NA
"106","ANO8",57719,"ENSG00000074855","Astrocyte",0.388,0.152,2.78443236838461,1.93002144560565,0.631,0.262,2.49398372442563e-131,1.25399995647845e-126
"107","ANTXR2",118429,"ENSG00000163297","VLMC",0.636,0.202,4.38718367204379,3.04096399287578,0.756,0.512,1.73528670282332e-05,0.872519507046596
"108","ANXA1",301,"ENSG00000135046","VLMC",0.455,0.034,4.94635858408641,3.42855450659798,0.715,0.43,7.68896106161731e-06,0.38660865113918
"109","ANXA2",302,"ENSG00000182718","VLMC",0.636,0.14,5.78255766203553,4.00816353986524,0.782,0.564,2.60032047332206e-10,1.30746713719107e-05
"110","ANXA3",306,"ENSG00000138772","Endothelial",0.5,0.073,7.24025055140346,5.0185592562529,0.728,0.456,4.3083164325488e-68,2.16626458544986e-63
"111","AOAH",313,"ENSG00000136250","Microglia",0.931,0.414,5.69511680245452,3.94755415458092,0.932,0.864,0,0
"112","AP1B1",162,"ENSG00000100280","Microglia",0.605,0.396,3.33888356501468,2.31433772930787,0.672,0.344,1.23616239313526e-150,6.21554812892341e-146
"113","APBB1IP",54518,"ENSG00000077420","Microglia",0.991,0.288,9.05463083161139,6.27619183194258,0.992,0.984,0,0
"114","APC2",10297,"ENSG00000115266","Astrocyte",0.699,0.452,2.79547816635778,1.93767780932778,0.709,0.418,1.63786384069496e-206,8.23534317739833e-202
"115","APLP1",333,"ENSG00000105290","Oligodendrocyte",0.944,0.615,3.84182340933234,2.66294906438791,0.905,0.81,0,0
"116","APOE",348,"ENSG00000130203","Astrocyte",0.732,0.118,3.75227735214398,2.60088046731754,0.828,0.656,0,0
"117","APOLD1",81575,"ENSG00000178878","Endothelial",0.571,0.38,4.07255196494486,2.8228779121854,0.665,0.33,9.62062367425313e-23,4.83734578965121e-18
"118","APOPT1",84334,"ENSG00000256053","VLMC",0.455,0.456,3.28719543911381,2.27851025057125,0.534,0.0680000000000001,NA,NA
"119","APPL2",55198,"ENSG00000136044","Microglia",0.744,0.647,2.78081339911512,1.92751296725996,0.68,0.36,6.43124086362948e-111,3.23369221864154e-106
"120","AQP4",361,"ENSG00000171885","Astrocyte",0.848,0.109,7.01966179017945,4.86565877834726,0.909,0.818,0,0
"121","ARAP3",64411,"ENSG00000120318","Endothelial",0.357,0.156,4.55403875229671,3.15661912131519,0.619,0.238,5.87532498895677e-20,2.95417215769735e-15
"122","ARHGAP1",392,"ENSG00000175220","Oligodendrocyte",0.682,0.402,3.0036792887594,2.08199183030988,0.717,0.434,7.26276499386632e-322,3.65179086656593e-317
"123","ARHGAP12",94134,"ENSG00000165322","Microglia",0.783,0.666,2.61065138047559,1.80956564380159,0.675,0.35,1.94970786183548e-75,9.80332610009496e-71
"124","ARHGAP15",55843,"ENSG00000075884","Microglia",0.867,0.39,4.96201986494445,3.43941007926868,0.876,0.752,0,0
"125","ARHGAP18",93663,"ENSG00000146376","Endothelial",0.457,0.336,3.17866758865955,2.20328447701664,0.602,0.204,1.90399481441409e-09,9.5734763263555e-05
"126","ARHGAP22",58504,"ENSG00000128805","Microglia",0.941,0.527,4.20659396748057,2.91578874831963,0.912,0.824,0,0
"127","ARHGAP23",57636,"ENSG00000273780, ENSG00000275832","Oligodendrocyte",0.811,0.559,3.12939469182578,2.1691311074983,0.756,0.512,0,0
"128","ARHGAP25",9938,"ENSG00000163219","Microglia",0.547,0.173,5.87729475352455,4.0738302877253,0.723,0.446,1.31186024975004e-299,6.59616452176816e-295
"129","ARHGAP27",201176,"ENSG00000276907, ENSG00000276836, ENSG00000159314","Microglia",0.425,0.24,4.57501554181859,3.17115912382948,0.62,0.24,2.94394128880583e-132,1.48024311942446e-127
"130","ARHGAP28",79822,"ENSG00000088756","VIP",0.662,0.39,2.92494627835619,2.0274182661319,0.71,0.42,8.83420335793847e-159,4.44192579040504e-154
"131","ARHGAP31",57514,"ENSG00000031081","Endothelial",0.729,0.276,3.02827217330902,2.09903831889728,0.779,0.558,1.88984349921531e-22,9.50232209840448e-18
"132","ARHGAP39",80728,"ENSG00000147799","VLMC",0.636,0.608,2.734690467742,1.89554298741953,0.54,0.0800000000000001,NA,NA
"133","ARHGDIB",397,"ENSG00000111348","Microglia",0.353,0.03,6.12091679584479,4.24269621948183,0.665,0.33,2.90137747903943e-219,1.45884161023582e-214
