"","gene","entrez_id","ensembl_id","subclass","pct.1","pct.2","avg_logFC","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"647","LOC101929680",101929680,NA,"PVALB",0.798,0.147,2.64669848518909,0.86,0.72,0,0
"648","LOC101929694",101929694,NA,"L5/6 NP",0.516,0.023,3.50701513833018,0.752,0.504,3.67954667195188e-286,1.85011286212413e-281
"649","LOC101929796",101929796,NA,"Astrocyte",0.623,0.146,2.54557644909241,0.762,0.524,0,0
"650","LOC101929974",101929974,NA,"IT",0.41,0.114,3.23421379170648,0.662,0.324,0,0
"651","LOC101930023",101930023,NA,"Microglia",0.473,0.265,4.35178157499634,0.657,0.314,0,0
"652","LOC101930275",101930275,NA,"Astrocyte",0.706,0.071,3.71000361920254,0.837,0.674,0,0
"653","LOC101930370",101930370,NA,"VLMC",0.455,0.25,2.74445910332508,0.637,0.274,0.00345697072877125,1
"654","LOC102723493",102723493,NA,"Astrocyte",0.414,0.245,2.77500702132434,0.615,0.23,2.83940918657847e-267,1.42768333310352e-262
"655","LOC102724168",102724168,NA,"Microglia",0.284,0.379,2.64428952930859,0.478,0.044,1.2364261278172e-86,6.21687421327768e-82
"656","LOC102724210",102724210,NA,"VLMC",0.727,0.397,5.4142271018018,0.758,0.516,4.18320656848626e-67,2.10335809470058e-62
"657","LOC102724312",102724312,NA,"Oligodendrocyte",0.387,0.011,3.48608445256011,0.69,0.38,0,0
"658","LOC102724340",102724340,NA,"L4 IT",0.372,0.2,2.97828922448782,0.603,0.206,1.70158465297368e-34,8.55573779361695e-30
"659","LOC102724392",102724392,NA,"L5/6 IT Car3",0.938,0.335,2.74347909017907,0.92,0.84,1.9433090870168e-259,9.77115242042915e-255
"660","LOC102724687",102724687,NA,"Astrocyte",0.757,0.434,3.47404483167867,0.793,0.586,0,0
"661","LOC102725045",102725045,NA,"OPC",0.705,0.425,3.48274155396503,0.759,0.518,0,0
"662","LOC105369212",105369212,NA,"Pericyte",0.438,0.135,3.47987911121348,0.671,0.342,2.50095760988504e-10,1.2575064958263e-05
"663","LOC105369213",105369213,NA,"Microglia",0.404,0.134,4.5570546981683,0.658,0.316,0,0
"664","LOC105369288",105369288,NA,"L5/6 NP",0.897,0.154,2.7071550536864,0.911,0.822,1.62237870314104e-276,8.15748235726347e-272
"665","LOC105369345",105369345,NA,"Endothelial",1,0.492,2.50193009450142,0.933,0.866,1.6039759143842e-45,8.06495129511522e-41
"666","LOC105369818",105369818,NA,"L5/6 NP",0.797,0.115,3.77619798331123,0.88,0.76,0,0
"667","LOC105369827",105369827,NA,"Microglia",0.444,0.331,3.46402623313388,0.612,0.224,4.51177783388351e-318,2.26856701265497e-313
"668","LOC105370000",105370000,NA,"VLMC",0.364,0.255,3.00863408888271,0.58,0.16,7.96442670530224e-08,0.00400459339169302
"669","LOC105370172",105370172,NA,"Astrocyte",0.48,0.264,2.55751905067917,0.649,0.298,1.89494123171925e-291,9.52795400720755e-287
"670","LOC105370359",105370359,NA,"Microglia",0.685,0.434,4.32249780652526,0.734,0.468,0,0
"671","LOC105370531",105370531,NA,"L6b",0.459,0.201,2.52961152752453,0.651,0.302,2.06771800364592e-118,1.03966928941321e-113
"672","LOC105370610",105370610,NA,"IT",0.778,0.378,3.28171883553875,0.795,0.59,0,0
"673","LOC105370822",105370822,NA,"L5 ET",0.75,0.539,2.71404122263922,0.666,0.332,8.97098886637656e-16,4.5107029119028e-11
"674","LOC105371031",105371031,NA,"OPC",0.367,0.122,2.60348631361628,0.635,0.27,1.4959535535363e-125,7.52180406253588e-121
"675","LOC105371058",105371058,NA,"Endothelial",0.371,0.147,2.83028635057267,0.631,0.262,1.17550205990867e-48,5.91054190742678e-44
"676","LOC105371310",105371310,NA,"L6b",0.615,0.261,2.60405314612186,0.719,0.438,4.10153387254624e-142,2.06229224645498e-137
"677","LOC105371576",105371576,NA,"VLMC",0.455,0.179,2.67699033237114,0.657,0.314,0.000363960024858539,1
"678","LOC105371624",105371624,NA,"OPC",0.934,0.506,3.20921334556633,0.927,0.854,0,0
"679","LOC105371641",105371641,NA,"LAMP5",0.494,0.228,2.72765342218194,0.668,0.336,0,0
"680","LOC105371765",105371765,NA,"VLMC",0.364,0.166,3.14397948002175,0.601,0.202,0.0334195457808425,1
"681","LOC105371828",105371828,NA,"L5/6 IT Car3",0.467,0.018,2.81726593462881,0.727,0.454,6.86188751808646e-154,3.45022566296905e-149
"682","LOC105371832",105371832,NA,"IT",0.873,0.45,2.63292582477197,0.836,0.672,0,0
"683","LOC105371833",105371833,NA,"L6 CT",0.789,0.183,2.86589781981579,0.856,0.712,1.57013552866635e-292,7.8947984516873e-288
"684","LOC105372526",105372526,NA,"VLMC",0.364,0.091,3.69677022660575,0.648,0.296,9.67129248661669e-06,0.486282257519574
"685","LOC105372633",105372633,NA,"Astrocyte",0.399,0.103,2.69526482285043,0.66,0.32,2.4098172033995e-229,1.2116801880413e-224
"686","LOC105372639",105372639,NA,"Endothelial",0.357,0.086,2.78529813150524,0.649,0.298,1.82721701517921e-37,9.18742987402261e-33
"687","LOC105372768",105372768,NA,"SST",0.813,0.077,2.80466002481243,0.88,0.76,0,0
"688","LOC105372776",105372776,NA,"Microglia",0.531,0.386,4.1877899538474,0.641,0.282,0,0
"689","LOC105372984",105372984,NA,"Microglia",0.455,0.037,5.25459872182642,0.717,0.434,0,0
"690","LOC105373171",105373171,NA,"VLMC",0.455,0.162,2.85122228955154,0.661,0.322,0.00881417670980803,1
"691","LOC105373220",105373220,NA,"VLMC",0.364,0.284,3.73970903560327,0.575,0.15,1.47898084754205e-10,7.4364635995262e-06
"692","LOC105373335",105373335,NA,"Oligodendrocyte",0.354,0.178,3.77295669688874,0.612,0.224,0,0
"693","LOC105373437",105373437,NA,"Endothelial",0.886,0.057,2.88923558432792,0.931,0.862,2.95160423086308e-82,1.48409612332026e-77
"694","LOC105373465",105373465,NA,"L5/6 NP",0.397,0.082,2.54430092426944,0.668,0.336,4.26321325557901e-136,2.14358625703768e-131
