"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"IL5",0.802065307595481,-0.0377403279828471,0.083,0.125,1
"ADAP1",0.802076860351687,-0.309188277672745,0.75,0.75,1
"FKBP10",0.802210528168063,-0.0377403279828471,0.083,0.125,1
"KIAA0319",0.802217174660521,-0.402457587044209,0.917,0.875,1
"MMP11",0.802329690824669,-0.0377403279828471,0.083,0.125,1
"FRG1",0.802362500945419,-0.26341745045215,0.5,0.75,1
"CRTAM",0.802400814941746,-0.138150338480817,0.125,0.208,1
"ZNF526",0.802545324172726,-0.287682072451781,0.125,0.292,1
"SRRM3",0.802581290241785,-0.396091370958966,0.917,0.958,1
"BOD1",0.80258467347277,-0.276986783335033,0.458,0.625,1
"ATP5D",0.80261791936212,-0.577075009307191,0.792,0.833,1
"BRD9",0.80262341643776,-0.267314769627347,0.625,0.792,1
"LRRN3",0.802667822906894,-0.468777387522491,0.792,0.833,1
"KMT2B",0.802670065249326,-0.253195896380612,0.5,0.75,1
"PSG4",0.802690137169202,-0.074107972153722,0.083,0.167,1
"GNG12",0.802690151394607,-0.074107972153722,0.083,0.125,1
"MMP24-AS1",0.802696115628738,-0.256719846847814,0.458,0.542,1
"ZNF616",0.802696951548234,-0.365459773494465,0.333,0.417,1
"ELP4",0.802701396580474,-0.374048911874786,0.958,1,1
"GTF3C3",0.80277736725741,-0.24583496251628,0.458,0.667,1
"ABCG8",0.802808268832805,-0.182321556793955,0.167,0.375,1
"F10",0.802811823199701,-0.0377403279828471,0.083,0.125,1
"HFM1",0.802850898569757,-0.297632403304949,0.833,0.75,1
"NCR3LG1",0.80285171291396,-0.283575290499127,0.5,0.708,1
"PAMR1",0.802879687036745,-0.19782574332992,0.208,0.333,1
"TNIP1",0.802891479254233,-0.238411023444998,0.417,0.625,1
"LDLR",0.802909534519986,-0.367724780125317,0.583,0.583,1
"TMPRSS11D",0.80293477222869,-0.0377403279828471,0.083,0.125,1
"TMEM191B",0.802979932686987,-0.322773392263051,0.292,0.667,1
"ARHGAP30",0.803002681843236,-0.0377403279828471,0.083,0.125,1
"MEST",0.803016294646373,-0.371563556432483,0.625,0.792,1
"SGPP1",0.80323590863159,-0.346715604035974,0.792,0.917,1
"GIT1",0.803242806625057,-0.354692782734741,0.792,0.875,1
"ANAPC2",0.803261609833899,-0.359374000907897,0.375,0.542,1
"NOM1",0.803353412555526,-0.338975366839332,0.458,0.75,1
"MYT1",0.803383459514207,-0.367724780125317,0.375,0.667,1
"VAMP4",0.803442693604709,-0.359374000907897,0.583,0.833,1
"RPL11",0.803464969174305,-0.543133866998649,0.792,0.917,1
"STIM1",0.803473917268752,-0.334202088086674,0.833,0.833,1
"USE1",0.803499043979942,-0.388370674748864,0.625,0.75,1
"MBLAC1",0.803544864813846,-0.074107972153722,0.083,0.125,1
"PRDM16",0.803669676765219,-0.169899036795397,0.125,0.25,1
"FKBP1B",0.80369077676899,-0.282232467684216,0.542,0.542,1
"ALPL",0.804048794585354,-0.0769610411361283,0.042,0.125,1
"PPP6R3",0.804057553021785,-0.381192071751958,0.833,1,1
"ALOXE3",0.804130071325647,-0.074107972153722,0.083,0.167,1
"ODF2",0.80415985553612,-0.330663895025466,0.667,0.667,1
"UPB1",0.804184672333098,-0.109199291964992,0.083,0.208,1
"MRAP2",0.804294409224698,-0.313657558855042,0.625,0.708,1
"ZIC1",0.804415580717779,-0.074107972153722,0.083,0.167,1
"PDRG1",0.804430013699619,-0.332705753825736,0.292,0.375,1
"ZNF107",0.804437202199444,-0.362905493689368,0.292,0.5,1
"ALKBH7",0.804443093325706,-0.367724780125317,0.417,0.583,1
"LONP1",0.804460034720801,-0.370018359112416,0.708,0.667,1
"TRIM36",0.804482210691131,-0.287682072451781,0.5,0.542,1
"CTSC",0.80450984472822,-0.217064505237828,0.292,0.417,1
"AC069368.3",0.804656120802025,-0.216223108469636,0.125,0.333,1
"CNTN2",0.804717455595565,-0.376949937800143,0.667,0.917,1
"TCEA1",0.804798347271436,-0.299516530098784,0.625,0.75,1
"SLC5A11",0.804819930963282,-0.217064505237828,0.25,0.333,1
"RP11-257K9.8",0.804838991581801,-0.417735200699979,0.125,0.417,1
"FBLN7",0.804866973216876,-0.325422400434628,0.583,0.792,1
"PLGLB1",0.804886545249795,-0.384966586559824,0.833,0.917,1
"PBX3",0.804908954683906,-0.259511195485085,0.125,0.333,1
"TMEM106C",0.804914016427995,-0.287682072451781,0.625,0.75,1
"RDH12",0.8049141024023,-0.101782694309942,0.125,0.208,1
"ABRACL",0.804989769587687,-0.217723483844871,0.333,0.542,1
"FKRP",0.805013369215029,-0.347196199984189,0.5,0.708,1
"TMED9",0.805100539187847,-0.40989970517603,0.625,0.667,1
"CCDC15",0.805123578738751,-0.138150338480817,0.125,0.167,1
"TMEM238",0.805123984073662,-0.0377403279828471,0.083,0.125,1
"RASGEF1A",0.805214950698574,-0.364222149574115,0.625,0.792,1
"BOK",0.805265893946599,-0.20359895524124,0.25,0.5,1
"AC009065.4",0.80527502564236,-0.0769610411361283,0.042,0.125,1
"COL6A5",0.805286450880788,-0.0769610411361283,0.042,0.125,1
"ABCA4",0.805286451001799,-0.0769610411361283,0.042,0.125,1
"CTB-102L5.4",0.805310552029334,-0.143100843640673,0.083,0.208,1
"ICT1",0.80541709009099,-0.367724780125318,0.333,0.542,1
"KIF24",0.805438454128248,-0.159064694629687,0.125,0.292,1
"RP11-286N22.8",0.805517957083372,-0.269919616111941,0.583,0.875,1
"WDR46",0.805612826528653,-0.275411979859966,0.375,0.542,1
"SCO2",0.805695067841928,-0.42744401482694,0.125,0.333,1
"C1orf159",0.80572042345526,-0.378796861026003,0.542,0.75,1
"UBE3D",0.805802170203614,-0.348306694268216,0.833,0.917,1
"PRUNE2",0.805823167286063,-0.437213806422745,0.792,0.875,1
"TRPM8",0.80593179302408,-0.0714589639821449,0.042,0.167,1
"SYNE4",0.805940055642151,-0.0377403279828471,0.083,0.125,1
"C8orf86",0.805942260967411,-0.0377403279828471,0.083,0.125,1
"CCDC91",0.806067994632764,-0.452241172905895,1,1,1
"GEMIN8",0.806076597032765,-0.328504066972036,0.333,0.542,1
"TEC",0.806103777788885,-0.105360515657826,0.125,0.125,1
"ZCCHC18",0.806121612998335,-0.18805223150294,0.167,0.25,1
"POU2F1",0.806149420024336,-0.395645061927189,0.917,1,1
"CASC4",0.806244477241122,-0.38641691313747,0.958,1,1
"MLLT6",0.806322697464071,-0.34484048629173,0.708,0.625,1
"ZNF546",0.806383725841717,-0.27286698666664,0.583,0.667,1
"ATP12A",0.806424320153977,-0.109199291964992,0.083,0.167,1
"RSF1",0.806454168943839,-0.452811228705363,0.875,0.958,1
"LRP2",0.806484211541782,-0.0363676441708749,0.083,0.167,1
"ARID3A",0.806492479826849,-0.284104251103897,0.708,0.875,1
"ITCH",0.806493091819481,-0.445228341280177,0.833,0.917,1
"DHDDS",0.806530786766955,-0.393042588109607,0.625,0.75,1
"TTC36",0.806667128191324,-0.109199291964992,0.083,0.208,1
"SLC22A25",0.80682467071909,-0.0769610411361283,0.042,0.125,1
"CBX2",0.806841943294412,-0.0769610411361283,0.042,0.125,1
"RP4-734P14.4",0.806883479788774,-0.356674943938732,0.542,0.833,1
"RS1",0.806920770482933,-0.0769610411361283,0.042,0.125,1
"RCAN2",0.8069766599997,-0.458053459875078,0.917,1,1
"SEC14L2",0.80703089262036,-0.209720530982069,0.208,0.333,1
"PIH1D2",0.807127920122928,-0.074107972153722,0.083,0.125,1
"MS4A4E",0.807194715918885,-0.143100843640673,0.083,0.25,1
"GBA",0.807227905861339,-0.318453731118535,0.542,0.583,1
"ANKRD65",0.807270858533829,-0.247836163904581,0.25,0.417,1
"C16orf45",0.807295886046065,-0.434080775474722,0.875,0.958,1
"OTUD6B",0.807309148912331,-0.329479201130242,0.417,0.542,1
"CD9",0.807309611996222,-0.074107972153722,0.083,0.167,1
"ZDHHC2",0.807405279964813,-0.352821374622742,0.542,0.75,1
"MMS22L",0.807409232498959,-0.327212911208416,0.167,0.375,1
"C9orf116",0.807418654453537,-0.405465108108164,0.167,0.333,1
"TOE1",0.807426044933466,-0.270290329739912,0.125,0.292,1
"SMARCAD1",0.8075159497136,-0.427710717055484,0.792,0.958,1
"SSC4D",0.807526632003276,-0.159064694629687,0.125,0.25,1
"HSD17B10",0.807539071210211,-0.376477571234912,0.333,0.5,1
"NHP2",0.807562913913221,-0.426971313329128,0.667,0.792,1
"EIF2B1",0.807566133538636,-0.343473432080197,0.5,0.667,1
"SPSB2",0.807625405962137,-0.175890666463664,0.083,0.167,1
"ROCK2",0.807626174903475,-0.431667480502189,0.875,0.958,1
"EXOSC4",0.807632208900146,-0.463572738915445,0.333,0.417,1
"MARK3",0.807645893968019,-0.379031851040009,0.875,0.958,1
"IMPG2",0.807650971593037,-0.200670695462151,0.25,0.542,1
"LIMS2",0.807696550646767,-0.074107972153722,0.083,0.125,1
"ALPK2",0.807859865256827,-0.143100843640673,0.083,0.167,1
"MAP1S",0.807861110728004,-0.387115969439968,0.583,0.708,1
"SERPINI2",0.807884735819576,-0.259511195485085,0.125,0.292,1
"ZNF606",0.807893022570977,-0.262364264467491,0.417,0.625,1
"CTH",0.807956004196686,-0.233614851181505,0.375,0.583,1
"RRM1",0.80796918323647,-0.367724780125317,0.417,0.708,1
"SLC35D2",0.807973898228974,-0.0714589639821449,0.125,0.083,1
"SERTAD1",0.807985693092375,-0.074107972153722,0.083,0.167,1
"COX6B1",0.807993418435115,-0.524938761242455,0.792,0.917,1
"ZNHIT3",0.808096582851606,-0.468478075936898,0.625,0.75,1
"REXO4",0.808135779961799,-0.350656871613169,0.542,0.625,1
"CCKBR",0.808243241363676,-0.24294617861039,0.375,0.5,1
"CTD-2207O23.3",0.808301105045762,-0.0363676441708749,0.083,0.125,1
"GUSB",0.808366195983708,-0.318453731118535,0.5,0.75,1
"KMT2C",0.808437583557997,-0.453704321874238,1,1,1
"VGLL4",0.808451345776594,-0.36476181499466,0.833,0.917,1
"SYNGR3",0.808471635079616,-0.350740208418918,0.875,0.958,1
"EMILIN3",0.808553561092651,-0.0769610411361283,0.042,0.125,1
"C3orf84",0.808553561100748,-0.0769610411361283,0.042,0.125,1
"IL17RE",0.808686695300579,-0.171850256926659,0.292,0.417,1
"DNAJC30",0.808739597711773,-0.39768296766611,0.417,0.583,1
"ALS2CL",0.808758478370892,-0.251314428280906,0.125,0.292,1
"TRIM65",0.80876476578757,-0.287682072451781,0.333,0.667,1
"TMEM229A",0.808810205612777,-0.109199291964992,0.083,0.208,1
"RGS22",0.808843869298524,-0.247836163904581,0.333,0.458,1
"TRMT2B",0.809056942852288,-0.269663566949103,0.375,0.5,1
"BTBD9",0.809067753569916,-0.423975134879033,0.875,0.958,1
"SEMA5A",0.809173267951791,-0.400477566597125,0.583,0.667,1
"VPS72",0.809177151058982,-0.27443684570176,0.667,0.708,1
"TMEM240",0.809178422227517,-0.164303051291276,0.167,0.292,1
"TMEM168",0.8091980242255,-0.332705753825736,0.583,0.75,1
"TTC29",0.809305405332312,-0.258861633916289,0.375,0.583,1
