"","gene","entrez_id","ensembl_gene_id","class","pct.1","pct.2","avg_logFC","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"519","TBXAS1",6916,"ENSG00000059377","Non-neuronal",0.436,0.339,4.19498928700668,0.592,0.184,0,0
"520","TCF7L1",83439,"ENSG00000152284","Non-neuronal",0.557,0.561,2.1466674908647,0.564,0.128,0,0
"521","TESK2",10420,"ENSG00000070759","Non-neuronal",0.72,0.667,2.2362593087043,0.634,0.268,0,0
"522","TESPA1",9840,"ENSG00000135426","Glutamatergic",0.726,0.079,3.65078458415772,0.847,0.694,0,0
"523","TF",7018,"ENSG00000091513","Non-neuronal",0.701,0.764,2.95374899420712,0.606,0.212,0,0
"524","TFEC",22797,"ENSG00000105967","Non-neuronal",0.298,0.411,2.8203093057736,0.468,0.0639999999999999,9.62818704832767e-296,4.84114872976964e-291
"525","THEMIS",387357,"ENSG00000275122, ENSG00000172673","Glutamatergic",0.458,0.173,2.56693119919838,0.663,0.326,0,0
"526","THSD7B",80731,"ENSG00000144229","GABAergic",0.869,0.789,3.06438657473572,0.662,0.324,0,0
"527","TJP2",9414,"ENSG00000119139","Non-neuronal",0.538,0.502,2.08114145248457,0.568,0.136,3.66123430698964e-218,1.84090522189746e-213
"528","TMCC3",57458,"ENSG00000057704","Non-neuronal",0.474,0.345,2.86615897477518,0.613,0.226,0,0
"529","TMEM123",114908,"ENSG00000152558","Non-neuronal",0.39,0.343,2.07096792456274,0.554,0.108,1.6154041221122e-235,8.12241346639237e-231
"530","TMEM144",55314,"ENSG00000164124","Non-neuronal",0.709,0.318,3.98764820151259,0.777,0.554,0,0
"531","TMEM165",55858,"ENSG00000134851","Non-neuronal",0.632,0.692,2.23117751073022,0.592,0.184,0,0
"532","TMEM63A",9725,"ENSG00000196187","Non-neuronal",0.565,0.138,4.7147831800284,0.747,0.494,0,0
"533","TNS3",64759,"ENSG00000136205","Non-neuronal",0.669,0.542,3.14375619323867,0.676,0.352,0,0
"534","TOX3",27324,"ENSG00000103460","GABAergic",0.692,0.202,2.25801121040395,0.785,0.57,0,0
"535","TPO",7173,"ENSG00000277603, ENSG00000115705","Glutamatergic",0.36,0.121,2.51708696814262,0.631,0.262,0,0
"536","TRIM54",57159,"ENSG00000138100","Glutamatergic",0.514,0.127,2.4142826605196,0.717,0.434,0,0
