"","gene","entrez_id","ensembl_gene_id","class","pct.1","pct.2","avg_logFC","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"122","DOCK5",80005,"ENSG00000147459","Non-neuronal",0.783,0.491,4.97296169357094,0.805,0.61,0,0
"123","DOCK8",81704,"ENSG00000107099","Non-neuronal",0.441,0.378,4.91586960219429,0.581,0.162,0,0
"124","EBF1",1879,"ENSG00000164330","Non-neuronal",0.446,0.349,3.07668818167068,0.585,0.17,5.70369903581996e-180,2.86787691220064e-175
"125","EFHD1",80303,"ENSG00000115468","Non-neuronal",0.536,0.362,3.30221673085856,0.649,0.298,0,0
"126","ELF1",1997,"ENSG00000120690","Non-neuronal",0.537,0.437,2.63565778034759,0.615,0.23,0,0
"127","ELFN1",392617,"ENSG00000225968","GABAergic",0.434,0.207,2.16418949947145,0.638,0.276,0,0
"128","ELN",2006,"ENSG00000049540","Non-neuronal",0.454,0.371,2.18259276698169,0.585,0.17,0,0
"129","EMC10",284361,"ENSG00000161671","Non-neuronal",0.478,0.466,2.22592571533804,0.551,0.102,0,0
"130","EMID1",129080,"ENSG00000186998","Non-neuronal",0.412,0.322,2.10796488365814,0.581,0.162,0,0
"131","ENC1",8507,"ENSG00000171617","Glutamatergic",0.949,0.281,2.1153619551166,0.914,0.828,0,0
"132","ENOSF1",55556,"ENSG00000132199","Non-neuronal",0.494,0.254,2.65809718533153,0.657,0.314,0,0
"133","ENPP2",5168,"ENSG00000136960","Non-neuronal",0.584,0.327,4.24481134011255,0.697,0.394,0,0
"134","ENTPD3",956,"ENSG00000168032","GABAergic",0.707,0.253,2.24594142824593,0.773,0.546,0,0
"135","EPN2",22905,"ENSG00000072134","Non-neuronal",0.761,0.796,2.03321833084591,0.649,0.298,0,0
"136","ERBB3",2065,"ENSG00000065361","Non-neuronal",0.441,0.176,4.03778572316737,0.663,0.326,0,0
"137","ERBB4",2066,"ENSG00000178568","GABAergic",0.984,0.88,2.7560784434155,0.917,0.834,0,0
"138","EYA2",2139,"ENSG00000064655","Non-neuronal",0.615,0.564,3.5108583027187,0.63,0.26,0,0
"139","EYA4",2070,"ENSG00000112319","GABAergic",0.409,0.284,2.28657855288754,0.587,0.174,0,0
"140","FA2H",79152,"ENSG00000103089","Non-neuronal",0.552,0.205,4.96495582495458,0.722,0.444,0,0
"141","FAM107B",83641,"ENSG00000065809","Non-neuronal",0.698,0.536,3.74823643292885,0.705,0.41,0,0
"142","FAM124A",220108,"ENSG00000150510","Non-neuronal",0.383,0.325,2.15611779464159,0.563,0.126,4.94065645841247e-324,2.48421147385437e-319
"143","FAM19A1",407738,"ENSG00000183662","Glutamatergic",0.914,0.634,2.24407794745171,0.833,0.666,0,0
"144","FAXDC2",10826,"ENSG00000170271","Non-neuronal",0.538,0.364,2.80405357534774,0.647,0.294,0,0
"145","FBLN1",2192,"ENSG00000077942","Non-neuronal",0.353,0.308,2.63198268138449,0.554,0.108,0,0
"146","FBN2",2201,"ENSG00000138829","GABAergic",0.404,0.3,2.89254205306446,0.574,0.148,0,0
"147","FBXL7",23194,"ENSG00000183580","Non-neuronal",0.845,0.588,2.13816691245781,0.81,0.62,0,0
"148","FCGR2A",2212,"ENSG00000143226","Non-neuronal",0.748,0.77,2.01805947040405,0.594,0.188,0,0
"149","FGD4",121512,"ENSG00000139132","Non-neuronal",0.802,0.84,2.04504734862512,0.598,0.196,0,0
"150","FGF13",2258,"ENSG00000129682","GABAergic",0.891,0.768,2.67223692990796,0.73,0.46,0,0
"151","FGFR2",2263,"ENSG00000066468","Non-neuronal",0.689,0.402,3.06314127989147,0.741,0.482,0,0
"152","FHL2",2274,"ENSG00000115641","Glutamatergic",0.743,0.183,2.2658535131129,0.826,0.652,0,0
"153","FIRRE",286467,"ENSG00000213468","Non-neuronal",0.365,0.309,3.1143776973714,0.564,0.128,0,0
"154","FKBP5",2289,"ENSG00000096060","Non-neuronal",0.486,0.487,2.2024280707836,0.547,0.0940000000000001,4.92266234815623e-231,2.47516385527644e-226
"155","FLJ33534",285150,"NA","Glutamatergic",0.447,0.07,2.10032824889452,0.698,0.396,0,0
"156","FLT1",2321,"ENSG00000102755","Non-neuronal",0.529,0.526,2.41957987919068,0.546,0.0920000000000001,1.23628452030525e-40,6.21616219654684e-36
"157","FLT3",2322,"ENSG00000122025","GABAergic",0.55,0.433,2.42562403731358,0.604,0.208,0,0
"158","FOLH1",2346,"ENSG00000086205","Non-neuronal",0.391,0.119,4.68588815361948,0.655,0.31,0,0
"159","FOXO1",2308,"ENSG00000150907","Non-neuronal",0.571,0.341,2.81564800711098,0.68,0.36,0,0
"160","FREM1",158326,"ENSG00000164946","GABAergic",0.55,0.398,2.30827142748491,0.624,0.248,0,0
"161","FRMD4B",23150,"ENSG00000114541","Non-neuronal",0.831,0.695,3.2520921991688,0.76,0.52,0,0
"162","FSTL4",23105,"ENSG00000053108","Glutamatergic",0.964,0.516,2.90818538038394,0.931,0.862,0,0
"163","GAD1",2571,"ENSG00000128683","GABAergic",0.988,0.222,3.8616135710712,0.982,0.964,0,0
"164","GAD2",2572,"ENSG00000136750","GABAergic",0.91,0.206,5.10643710778446,0.942,0.884,0,0
"165","GALNT10",55568,"ENSG00000164574","Non-neuronal",0.512,0.422,2.10709023459739,0.592,0.184,9.97157554337596e-302,5.01380789896487e-297
"166","GATM",2628,"ENSG00000171766","Non-neuronal",0.53,0.322,2.63563180946712,0.651,0.302,0,0
"167","GLDN",342035,"ENSG00000186417","Non-neuronal",0.467,0.335,2.7813086186438,0.615,0.23,0,0
"168","GLI3",2737,"ENSG00000106571","Non-neuronal",0.528,0.367,3.68961290026393,0.641,0.282,0,0
"169","GLTP",51228,"ENSG00000139433","Non-neuronal",0.382,0.366,2.0074133474594,0.538,0.0760000000000001,5.17256781718931e-259,2.60081882416096e-254
"170","GLUL",2752,"ENSG00000135821","Non-neuronal",0.623,0.193,3.61874769961439,0.758,0.516,0,0
"171","GNG7",2788,"ENSG00000176533","Non-neuronal",0.919,0.907,2.15623054528147,0.702,0.404,0,0
"172","GPRC5B",51704,"ENSG00000167191","Non-neuronal",0.653,0.198,3.66796397862071,0.776,0.552,0,0
"173","GRAMD3",65983,"ENSG00000155324","Non-neuronal",0.498,0.213,3.23571472919135,0.68,0.36,0,0
"174","GRIK1",2897,"ENSG00000171189","GABAergic",0.936,0.587,3.19634174895682,0.893,0.786,0,0
"175","GRIN3A",116443,"ENSG00000198785","GABAergic",0.779,0.397,2.3971431262982,0.79,0.58,0,0
"176","GRIP1",23426,"ENSG00000155974","GABAergic",0.998,0.872,2.38869749252198,0.957,0.914,0,0
"177","GRIP2",80852,"ENSG00000144596","GABAergic",0.873,0.162,3.97352831147271,0.918,0.836,0,0
"178","GRM2",2912,"ENSG00000164082","Glutamatergic",0.479,0.025,2.19263397688947,0.73,0.46,0,0
"179","GSN",2934,"ENSG00000148180","Non-neuronal",0.755,0.413,3.2776375623372,0.776,0.552,0,0
"180","HAPLN1",1404,"ENSG00000145681","GABAergic",0.439,0.105,3.13520433429712,0.684,0.368,0,0
"181","HAPLN2",60484,"ENSG00000132702","Non-neuronal",0.352,0.185,3.35264645500348,0.607,0.214,0,0
"182","HEPACAM",220296,"ENSG00000165478","Non-neuronal",0.417,0.054,3.61540677863906,0.689,0.378,0,0
"183","HEPH",9843,"ENSG00000089472","Non-neuronal",0.413,0.466,3.1963766791769,0.528,0.056,0,0
"184","HHATL",57467,"ENSG00000010282","Non-neuronal",0.412,0.24,2.59757501930396,0.617,0.234,0,0
"185","HIF3A",64344,"ENSG00000124440","Non-neuronal",0.454,0.333,3.23361576513495,0.614,0.228,0,0
"186","HIP1",3092,"ENSG00000127946","Non-neuronal",0.945,0.928,2.6559638150974,0.751,0.502,0,0
"187","HIP1R",9026,"ENSG00000130787","Non-neuronal",0.693,0.592,2.22367006663154,0.7,0.4,0,0
"188","HIPK2",28996,"ENSG00000064393","Non-neuronal",0.756,0.58,2.42679143009155,0.718,0.436,0,0
"189","HPSE2",60495,"ENSG00000172987","Non-neuronal",0.775,0.874,2.23744120086265,0.531,0.0620000000000001,9.88131291682493e-324,4.96842294770874e-319
"190","HS3ST2",9956,"ENSG00000122254","Glutamatergic",0.662,0.241,2.32615794640391,0.757,0.514,0,0
"191","HTRA1",5654,"ENSG00000166033","Non-neuronal",0.656,0.226,2.52948981310899,0.755,0.51,0,0
"192","IGF1",3479,"ENSG00000017427","GABAergic",0.705,0.064,3.14738219731408,0.836,0.672,0,0
"193","IGFBP7",3490,"ENSG00000163453","Non-neuronal",0.368,0.263,3.34593620516643,0.583,0.166,0,0
"194","IL1RL2",8808,"ENSG00000115598","Glutamatergic",0.355,0.058,2.02065002266315,0.654,0.308,0,0
"195","IL6R",3570,"ENSG00000160712","Non-neuronal",0.384,0.402,2.16876665588198,0.52,0.04,3.11144703431962e-155,1.56446668332625e-150
"196","INPP5D",3635,"ENSG00000281614, ENSG00000168918","Non-neuronal",0.444,0.38,3.73303513680993,0.57,0.14,0,0
"197","ITGAM",3684,"ENSG00000169896","Non-neuronal",0.379,0.39,3.3251673661218,0.534,0.0680000000000001,0,0
"198","ITGB5",3693,"ENSG00000082781","Non-neuronal",0.361,0.25,2.33052483897778,0.58,0.16,0,0
"199","ITIH5",80760,"ENSG00000123243","Non-neuronal",0.525,0.529,2.61563489205461,0.553,0.106,3.4336370993862e-205,1.72646706994238e-200
"200","ITPKA",3706,"ENSG00000137825","Glutamatergic",0.578,0.055,2.2191255723035,0.772,0.544,0,0
"201","ITPKB",3707,"ENSG00000143772","Non-neuronal",0.488,0.183,3.31096283337854,0.684,0.368,0,0
"202","ITPR2",3709,"ENSG00000123104","Non-neuronal",0.767,0.709,2.35441999741118,0.685,0.37,0,0
"203","KANK1",23189,"ENSG00000107104","Non-neuronal",0.863,0.656,3.45629166118582,0.814,0.628,0,0
"204","KAT2B",8850,"ENSG00000114166","Non-neuronal",0.75,0.572,2.40485988725607,0.722,0.444,0,0
"205","KCNAB3",9196,"ENSG00000170049","GABAergic",0.45,0.099,2.1023777625335,0.685,0.37,0,0
"206","KCNH8",131096,"ENSG00000183960","Non-neuronal",0.704,0.559,3.91508353438959,0.718,0.436,0,0
"207","KCNJ10",3766,"ENSG00000177807","Non-neuronal",0.441,0.036,4.59544067549484,0.709,0.418,0,0
"208","KCNV1",27012,"ENSG00000164794","Glutamatergic",0.661,0.043,2.80732704351009,0.817,0.634,0,0
"209","KIAA1211",57482,"ENSG00000109265","GABAergic",0.959,0.645,2.13901508665591,0.892,0.784,0,0
"210","KIAA1211L",343990,"ENSG00000196872","Glutamatergic",0.968,0.274,2.67236102437004,0.955,0.91,0,0
"211","KIAA1755",85449,"ENSG00000149633","Non-neuronal",0.497,0.09,4.59049159344325,0.723,0.446,0,0
"212","KIF13B",23303,"ENSG00000197892","Non-neuronal",0.693,0.647,2.0045867546979,0.605,0.21,1.73803931523993e-289,8.73903548095787e-285
"213","KIF6",221458,"ENSG00000164627","Non-neuronal",0.608,0.61,2.3036213999478,0.58,0.16,0,0
"214","KIRREL",55243,"ENSG00000183853","GABAergic",0.424,0.214,2.33099744954469,0.631,0.262,0,0
"215","KIT",3815,"ENSG00000157404","GABAergic",0.485,0.129,4.01686460696043,0.702,0.404,0,0
"216","KRT17P1",147228,"NA","Glutamatergic",0.505,0.004,2.243126235779,0.751,0.502,0,0
"217","LAMA1",284217,"ENSG00000101680","Non-neuronal",0.531,0.468,3.15319427395867,0.599,0.198,0,0
"218","LATS2",26524,"ENSG00000150457","Non-neuronal",0.369,0.337,2.11205962837356,0.547,0.0940000000000001,9.99978814530054e-235,5.02799347733857e-230
"219","LDB2",9079,"ENSG00000169744","Glutamatergic",0.995,0.581,2.30737726618602,0.959,0.918,0,0
"220","LDB3",11155,"ENSG00000122367","Non-neuronal",0.464,0.311,3.1814911970241,0.622,0.244,0,0
"221","LHFPL2",10184,"ENSG00000145685","Non-neuronal",0.431,0.5,2.00567186387638,0.497,0.00600000000000001,4.91252081129064e-151,2.47006458912505e-146
"222","LHFPL3",375612,"ENSG00000187416","Non-neuronal",0.663,0.776,2.54493300485369,0.502,0.004,2.65314971268556e-176,1.33403020703543e-171
"223","LHX6",26468,"ENSG00000106852","GABAergic",0.389,0.042,3.44632853613729,0.68,0.36,0,0
"224","LIFR",3977,"ENSG00000113594","Non-neuronal",0.627,0.506,2.02062314893636,0.653,0.306,0,0
"225","LINC00290",728081,"ENSG00000248197","GABAergic",0.854,0.753,2.35765788683924,0.671,0.342,0,0
"226","LINC00403",100505996,"ENSG00000224243","GABAergic",0.56,0.164,2.0944591075351,0.721,0.442,0,0
"227","LINC00470",56651,"NA","Glutamatergic",0.456,0.14,2.90618869188361,0.678,0.356,0,0
"228","LINC00609",101101773,"ENSG00000257585","Non-neuronal",0.496,0.251,3.70280397515176,0.667,0.334,0,0
"229","LINC00639",283547,"ENSG00000259070","Non-neuronal",0.437,0.246,4.43331679866496,0.639,0.278,0,0
"230","LINC00673",100499467,"ENSG00000227036","Non-neuronal",0.632,0.645,2.31193974955421,0.586,0.172,0,0
"231","LINC00710",254312,"NA","Glutamatergic",0.773,0.047,3.28886632180332,0.876,0.752,0,0
"232","LINC01090",104355152,"NA","Glutamatergic",0.475,0.341,2.42809713040955,0.578,0.156,7.46397129702211e-240,3.75295940785569e-235
"233","LINC01170",103724389,"NA","Non-neuronal",0.584,0.515,3.49654762175703,0.63,0.26,0,0
"234","LINC01202",104326188,"NA","Glutamatergic",0.66,0.205,3.62232086534448,0.778,0.556,0,0
"235","LINC01250",101927554,"ENSG00000234423","Glutamatergic",0.967,0.451,2.34453976935496,0.922,0.844,0,0
"236","LINC01378",103689918,"NA","Glutamatergic",0.781,0.392,3.28736125078657,0.793,0.586,0,0
"237","LINC01411",101928176,"NA","Non-neuronal",0.43,0.358,2.92203686478023,0.583,0.166,0,0
"238","LINC01470",101927134,"ENSG00000249484","Non-neuronal",0.701,0.769,2.68007761077205,0.565,0.13,0,0
"239","LINC01478",101927921,"ENSG00000267337","Glutamatergic",0.61,0.394,2.51797628003248,0.638,0.276,0,0
"240","LINCR.0002",NA,"NA","Glutamatergic",0.748,0.188,4.31399038211904,0.84,0.68,0,0
"241","LITAF",9516,"ENSG00000189067","Non-neuronal",0.497,0.45,3.03450912127355,0.586,0.172,0,0
"242","LOC100132891",100132891,"ENSG00000235531","Glutamatergic",0.7,0.256,2.9059263485897,0.782,0.564,0,0
"243","LOC100287225",100287225,"ENSG00000227115","Non-neuronal",0.379,0.284,2.2888420960347,0.575,0.15,2.37293582494408e-282,1.19313586214013e-277
"244","LOC100507336",100507336,"ENSG00000228793","Non-neuronal",0.39,0.222,4.38226894224153,0.616,0.232,0,0
"245","LOC101926964",101926964,"ENSG00000231252","Non-neuronal",0.436,0.351,2.86152605249034,0.586,0.172,0,0
"246","LOC101927043",101927043,"ENSG00000234690","Non-neuronal",0.59,0.763,2.10311745052406,0.471,0.0580000000000001,0,0
"247","LOC101927406",101927406,"NA","Glutamatergic",0.481,0.123,3.26477382321653,0.699,0.398,0,0
"248","LOC101927437",101927437,"NA","Non-neuronal",0.37,0.2,4.01836894619698,0.614,0.228,0,0
"249","LOC101927459",101927459,"ENSG00000253877","Non-neuronal",0.448,0.203,5.00162907213807,0.659,0.318,0,0
"250","LOC101927587",101927587,"ENSG00000233008","Glutamatergic",0.721,0.332,2.04596411753705,0.755,0.51,0,0
"251","LOC101927619",101927619,"NA","Glutamatergic",0.377,0.041,2.36727379390405,0.673,0.346,0,0
"252","LOC101927745",101927745,"ENSG00000229425","Glutamatergic",0.463,0.109,3.70477392203953,0.696,0.392,0,0
"253","LOC101927768",101927768,"ENSG00000228624","Non-neuronal",0.396,0.384,2.13194616928552,0.535,0.0700000000000001,1.7416604459579e-188,8.75724288832093e-184
"254","LOC101927871",101927871,"NA","Glutamatergic",0.405,0.018,3.93958072781165,0.697,0.394,0,0
"255","LOC101927880",101927880,"ENSG00000233321","Glutamatergic",0.705,0.106,3.53244608320384,0.831,0.662,0,0
"256","LOC101927967",101927967,"NA","Non-neuronal",0.631,0.585,4.38865738652458,0.628,0.256,0,0
"257","LOC101928114",101928114,"ENSG00000226320","Glutamatergic",0.702,0.313,2.47143556298311,0.759,0.518,0,0
"258","LOC101928322",101928322,"NA","Glutamatergic",0.525,0.075,2.95973294774971,0.739,0.478,0,0
"259","LOC101928767",101928767,"NA","Non-neuronal",0.436,0.513,2.43882457910171,0.513,0.026,0,0
"260","LOC101929249",101929249,"NA","Non-neuronal",0.434,0.009,4.9238651943704,0.714,0.428,0,0
"261","LOC101929544",101929544,"ENSG00000248455","Glutamatergic",0.777,0.101,3.88199328005309,0.873,0.746,0,0
"262","LOC102723392",102723392,"NA","Glutamatergic",0.359,0.019,2.062220945542,0.67,0.34,0,0
"263","LOC102723503",102723503,"NA","Non-neuronal",0.413,0.365,2.02989963064498,0.559,0.118,7.12377101294239e-228,3.58190330301756e-223
"264","LOC102724687",102724687,"NA","Non-neuronal",0.413,0.434,2.21934688784929,0.53,0.0600000000000001,1.15433682762026e-291,5.80412100295743e-287
"265","LOC102724934",102724934,"NA","Glutamatergic",0.408,0.104,2.22725176287803,0.664,0.328,0,0
"266","LOC105369334",105369334,"NA","Glutamatergic",0.459,0.025,3.07932396218355,0.72,0.44,0,0
"267","LOC105369345",105369345,"NA","Non-neuronal",0.808,0.361,2.85525263354637,0.831,0.662,0,0
"268","LOC105369762",105369762,"NA","Glutamatergic",0.576,0.15,2.0616789030248,0.74,0.48,0,0
"269","LOC105370359",105370359,"NA","Non-neuronal",0.401,0.438,2.60494368088278,0.501,0.002,2.22424251001203e-62,1.11837137645915e-57
"270","LOC105370610",105370610,"NA","Glutamatergic",0.68,0.342,3.13446893161118,0.735,0.47,0,0
"271","LOC105371255",105371255,"NA","Non-neuronal",0.353,0.087,2.82252009449353,0.641,0.282,0,0
"272","LOC105371308",105371308,"NA","Glutamatergic",0.592,0.37,2.84979410081557,0.645,0.29,0,0
"273","LOC105371671",105371671,"NA","Glutamatergic",0.489,0.17,3.08629865366354,0.683,0.366,0,0
"274","LOC105371832",105371832,"NA","Glutamatergic",0.875,0.381,4.21199551693656,0.879,0.758,0,0
"275","LOC105371931",105371931,"NA","Non-neuronal",0.377,0.3,2.39170316563515,0.57,0.14,0,0
"276","LOC105371953",105371953,"NA","Glutamatergic",0.363,0.118,2.22330180496318,0.633,0.266,0,0
"277","LOC105372768",105372768,"NA","GABAergic",0.401,0.025,2.54524091988319,0.69,0.38,0,0
"278","LOC105372776",105372776,"NA","Non-neuronal",0.365,0.374,2.55229869223797,0.525,0.05,3.04516814083431e-139,1.5311409928929e-134
"279","LOC105373720",105373720,"NA","Glutamatergic",0.487,0.047,3.40934786286179,0.729,0.458,0,0
"280","LOC105373891",105373891,"NA","Glutamatergic",0.416,0.051,2.6703807168522,0.69,0.38,0,0
"281","LOC105373893",105373893,"NA","Glutamatergic",0.86,0.356,4.30692538566522,0.88,0.76,0,0
"282","LOC105373895",105373895,"NA","Glutamatergic",0.686,0.173,3.43352620270181,0.804,0.608,0,0
"283","LOC105373896",105373896,"NA","Glutamatergic",0.719,0.088,4.04594451824886,0.843,0.686,0,0
"284","LOC105374214",105374214,"NA","Non-neuronal",0.71,0.627,2.55995965099271,0.651,0.302,0,0
"285","LOC105374497",105374497,"NA","Glutamatergic",0.491,0.233,2.10106963088109,0.653,0.306,0,0
"286","LOC105374506",105374506,"NA","Glutamatergic",0.738,0.525,2.21266101571658,0.673,0.346,0,0
"287","LOC105374524",105374524,"NA","Glutamatergic",0.518,0.261,3.38474250343265,0.664,0.328,0,0
"288","LOC105374823",105374823,"NA","Glutamatergic",0.354,0.121,2.2995536427906,0.627,0.254,0,0
"289","LOC105374971",105374971,"NA","Glutamatergic",0.586,0.328,3.9952841233814,0.667,0.334,0,0
"290","LOC105375159",105375159,"NA","Glutamatergic",0.694,0.212,2.91982321844357,0.796,0.592,0,0
"291","LOC105375415",105375415,"NA","GABAergic",0.73,0.036,5.34831098334053,0.859,0.718,0,0
"292","LOC105375483",105375483,"ENSG00000241345","Non-neuronal",0.476,0.352,3.79766290277846,0.612,0.224,0,0
"293","LOC105375629",105375629,"NA","Glutamatergic",0.795,0.209,2.5065202004192,0.843,0.686,0,0
"294","LOC105375931",105375931,"NA","Glutamatergic",0.587,0.276,3.45850045481309,0.696,0.392,0,0
"295","LOC105376219",105376219,"NA","Non-neuronal",0.328,0.353,2.84466952808319,0.515,0.03,2.74856925949671e-232,1.38200810936754e-227
"296","LOC105376387",105376387,"NA","Non-neuronal",0.517,0.439,3.05885013299872,0.61,0.22,0,0
"297","LOC105376405",105376405,"NA","Glutamatergic",0.766,0.036,3.51141980399131,0.875,0.75,0,0
"298","LOC105376407",105376407,"NA","Glutamatergic",0.941,0.147,3.93623907180516,0.959,0.918,0,0
"299","LOC105376408",105376408,"NA","Glutamatergic",0.403,0.015,2.55142476484337,0.696,0.392,0,0
"300","LOC105376501",105376501,"NA","Glutamatergic",0.426,0.037,2.89560361877542,0.701,0.402,0,0
"301","LOC105377329",105377329,"NA","Glutamatergic",0.632,0.219,2.71698044945107,0.751,0.502,0,0
"302","LOC105377390",105377390,"ENSG00000228358","Glutamatergic",0.355,0.031,4.05738119702736,0.667,0.334,0,0
"303","LOC105377567",105377567,"NA","GABAergic",0.928,0.777,3.06484708351562,0.814,0.628,0,0
"304","LOC105377574",105377574,"NA","GABAergic",0.797,0.558,2.84869839922035,0.758,0.516,0,0
"305","LOC105377632",105377632,"NA","Non-neuronal",0.635,0.655,2.60332636667949,0.589,0.178,0,0
"306","LOC105377885",105377885,"NA","GABAergic",0.496,0.442,2.04294000071793,0.542,0.0840000000000001,9.19988595858335e-214,4.62579465883529e-209
"307","LOC105378030",105378030,"NA","Glutamatergic",0.462,0.088,2.45544755306449,0.699,0.398,0,0
"308","LOC105378031",105378031,"NA","Glutamatergic",0.633,0.297,2.17904852946483,0.713,0.426,0,0
"309","LOC105378208",105378208,"NA","Glutamatergic",0.452,0.046,3.53593095144404,0.711,0.422,0,0
"310","LOC105378209",105378209,"NA","Glutamatergic",0.445,0.054,3.31269929037032,0.705,0.41,0,0
"311","LOC105378305",105378305,"ENSG00000231131","Non-neuronal",0.413,0.43,4.49701686004128,0.537,0.0740000000000001,0,0
"312","LOC105378334",105378334,"NA","Glutamatergic",0.812,0.423,2.97330114905468,0.809,0.618,0,0
"313","LOC105378837",105378837,"NA","Glutamatergic",0.416,0.087,2.41734082375248,0.675,0.35,0,0
"314","LOC105379037",105379037,"NA","Glutamatergic",0.414,0.132,3.08238792783732,0.66,0.32,0,0
"315","LOC105379168",105379168,"NA","GABAergic",0.366,0.275,2.55649946496429,0.564,0.128,0,0
"316","LOC284930",284930,"ENSG00000224271","Glutamatergic",0.773,0.345,4.57173294292238,0.818,0.636,0,0
"317","LOC285500",285500,"NA","Non-neuronal",0.506,0.508,2.11787242954831,0.553,0.106,1.28285830775515e-287,6.45033985722369e-283
"318","LOC440896",440896,"ENSG00000276462, ENSG00000234394","Glutamatergic",0.421,0.013,2.88001213435069,0.706,0.412,0,0
"319","LOC648987",648987,"ENSG00000177738","Non-neuronal",0.303,0.412,2.01314062316953,0.472,0.056,1.40282078355321e-306,7.05352318178391e-302
"320","LPAR1",1902,"ENSG00000198121","Non-neuronal",0.581,0.224,4.1024866689017,0.73,0.46,0,0
"321","LRIG1",26018,"ENSG00000144749","Non-neuronal",0.419,0.292,2.3411800275236,0.595,0.19,0,0
"322","LRP2",4036,"ENSG00000081479","Non-neuronal",0.473,0.469,3.36381881464566,0.567,0.134,0,0
"323","LRP4",4038,"ENSG00000134569","Non-neuronal",0.5,0.171,4.03184286018668,0.699,0.398,0,0
"324","LY86.AS1",NA,"NA","Glutamatergic",0.919,0.245,4.28936676757111,0.94,0.88,0,0
"325","LYN",4067,"ENSG00000254087","Non-neuronal",0.526,0.423,3.90014675479681,0.621,0.242,0,0
"326","LYPD6",130574,"ENSG00000187123","GABAergic",0.543,0.228,2.38183924538254,0.697,0.394,0,0
"327","LYPD6B",130576,"ENSG00000150556","GABAergic",0.586,0.203,2.04313127672124,0.722,0.444,0,0
"328","LYPD8",646627,"ENSG00000259823","Glutamatergic",0.577,0.069,3.17255192962967,0.77,0.54,0,0
"329","MAF",4094,"ENSG00000178573","GABAergic",0.869,0.433,2.10355214551484,0.855,0.71,0,0
"330","MAG",4099,"ENSG00000105695","Non-neuronal",0.413,0.143,4.67277342735491,0.66,0.32,0,0
"331","MAL",4118,"ENSG00000172005","Non-neuronal",0.427,0.073,4.69159465279699,0.69,0.38,0,0
"332","MAML2",84441,"ENSG00000184384","Non-neuronal",0.876,0.536,3.49079035817885,0.861,0.722,0,0
"333","MBP",4155,"ENSG00000197971","Non-neuronal",0.713,0.672,3.60568425758947,0.662,0.324,0,0
"334","MCHR2",84539,"ENSG00000152034","Glutamatergic",0.838,0.266,4.02335806541948,0.88,0.76,0,0
"335","MECOM",2122,"ENSG00000085276","Non-neuronal",0.391,0.462,3.3327961746829,0.5,0,7.12156973490774e-200,3.58079647840896e-195
"336","MEGF10",84466,"ENSG00000145794","Non-neuronal",0.629,0.298,3.09371266481714,0.731,0.462,0,0
"337","MEIS1",4211,"ENSG00000143995","Non-neuronal",0.459,0.457,2.66744956496661,0.572,0.144,0,0
"338","MERTK",10461,"ENSG00000153208","Non-neuronal",0.537,0.465,2.76105630026013,0.602,0.204,0,0
"339","MIR137HG",400765,"ENSG00000225206","Glutamatergic",0.984,0.337,2.20718397035156,0.938,0.876,0,0
"340","MLIP",90523,"ENSG00000146147","Glutamatergic",0.986,0.31,4.15604265484649,0.983,0.966,0,0
"341","MMD2",221938,"ENSG00000136297","Non-neuronal",0.643,0.603,2.63511728529532,0.619,0.238,0,0
"342","MOBP",4336,"ENSG00000168314","Non-neuronal",0.524,0.323,4.03698000680057,0.654,0.308,0,0
"343","MOG",4340,"ENSG00000236561, ENSG00000230885, ENSG00000234096, ENSG00000237834, ENSG00000232641, ENSG00000234623, ENSG00000137345, ENSG00000204655","Non-neuronal",0.473,0.098,5.54190658924954,0.708,0.416,0,0
"344","MSI2",124540,"ENSG00000153944","Non-neuronal",0.825,0.881,2.09105571785316,0.6,0.2,0,0
"345","MSN",4478,"ENSG00000147065","Non-neuronal",0.448,0.505,2.45251321732045,0.523,0.046,0,0
"346","MTMR10",54893,"ENSG00000277086, ENSG00000166912","Non-neuronal",0.467,0.349,2.1356650208939,0.6,0.2,0,0
"347","MTUS1",57509,"ENSG00000129422","Non-neuronal",0.719,0.508,2.15751594095592,0.708,0.416,0,0
"348","MYO10",4651,"ENSG00000145555","Non-neuronal",0.914,0.888,2.69688875441596,0.723,0.446,0,0
"349","MYO15B",80022,"ENSG00000266714","Non-neuronal",0.489,0.201,3.76661167773283,0.682,0.364,0,0
"350","MYO1E",4643,"ENSG00000157483","Non-neuronal",0.694,0.593,3.01198867751875,0.665,0.33,0,0
"351","MYO1F",4542,"ENSG00000142347","Non-neuronal",0.526,0.565,2.14179018385396,0.518,0.036,6.83458808459622e-150,3.43649923481583e-145
"352","MYO5B",4645,"ENSG00000167306","GABAergic",0.511,0.39,2.34739642890938,0.602,0.204,0,0
"353","MYOF",26509,"ENSG00000138119","Non-neuronal",0.504,0.502,2.67998174102501,0.558,0.116,2.05721227612578e-283,1.0343869045588e-278
"354","MYOM1",8736,"ENSG00000101605","Non-neuronal",0.461,0.43,2.07945792804056,0.56,0.12,7.06198986091209e-245,3.55083912196521e-240
"355","MYRF",745,"ENSG00000124920","Non-neuronal",0.423,0.082,4.53541662295611,0.685,0.37,0,0
"356","NACC2",138151,"ENSG00000148411","Non-neuronal",0.43,0.301,2.05154376142733,0.598,0.196,0,0
