"","gene","X","entrez_id","ensembl_gene_id","subclass","pct.1","pct.2","avg_logFC","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj","hMC_overlap","used"
"36","ADIRF",36,10974,"ENSG00000148671","Pericyte",0.562,0.033,4.90236993427739,0.774,0.548,4.09476924551196e-34,2.05889092433587e-29,FALSE,FALSE
"37","ADORA2A.AS1",37,NA,NA,"Pericyte",0.5,0.573,2.88708054113841,0.531,0.0620000000000001,5.66643143429784e-15,2.8491383894793e-10,FALSE,FALSE
"38","ADORA2B",38,136,"ENSG00000170425","Astrocyte",0.481,0.211,3.49056349758335,0.673,0.346,0,0,TRUE,FALSE
"39","AFAP1L1",39,134265,"ENSG00000157510","Endothelial",0.386,0.116,4.33105342386263,0.653,0.306,8.10802686048787e-46,4.07679698572191e-41,TRUE,TRUE
"40","AGT",40,183,"ENSG00000135744","Astrocyte",0.607,0.027,4.13100248239897,0.795,0.59,0,0,TRUE,TRUE
"41","AIF1",41,199,"ENSG00000237727, ENSG00000235588, ENSG00000235985, ENSG00000206428, ENSG00000204472, ENSG00000234836","Microglia",0.428,0.008,5.50010272741182,0.712,0.424,0,0,TRUE,TRUE
"42","AIFM3",42,150209,"ENSG00000183773","Astrocyte",0.655,0.224,3.16664335920399,0.769,0.538,0,0,TRUE,TRUE
"43","AKAP13",43,11214,"ENSG00000170776","Microglia",0.952,0.835,2.54158446016666,0.834,0.668,3.15491950658603e-303,1.58632507710652e-298,TRUE,TRUE
"44","AKAP7",44,9465,"ENSG00000118507","VLMC",0.909,0.724,3.08149134336643,0.862,0.724,2.44671843324233e-08,0.00123023449541858,FALSE,FALSE
"45","AKR1C1",45,1645,"ENSG00000187134","VLMC",0.727,0.174,2.65336551270613,0.811,0.622,3.74616872097788e-06,0.188361109459489,TRUE,TRUE
"46","AKR1C2",46,1646,"ENSG00000151632","VLMC",0.909,0.182,4.2733596878142,0.934,0.868,2.40573146132186e-15,1.20962583606724e-10,TRUE,TRUE
"47","ALDH1A1",47,216,"ENSG00000165092","VLMC",0.364,0.083,3.4482131779047,0.651,0.302,0.000954801867704478,1,TRUE,TRUE
"48","ALDH1A2",48,8854,"ENSG00000128918","VLMC",0.818,0.25,3.88526431703252,0.863,0.726,1.48439974840127e-11,7.46371037493641e-07,FALSE,FALSE
"49","ALDH1L1",49,10840,"ENSG00000144908","Astrocyte",0.728,0.071,4.14093055289359,0.85,0.7,0,0,TRUE,TRUE
"50","ALOX5",50,240,"ENSG00000012779, ENSG00000275565","Microglia",0.623,0.248,4.70374005475986,0.754,0.508,0,0,TRUE,TRUE
"51","ALOX5AP",51,241,"ENSG00000132965","Microglia",0.369,0.132,5.11975638658556,0.64,0.28,0,0,TRUE,TRUE
"52","ALPL",52,249,"ENSG00000162551","Endothelial",0.7,0.276,4.82775668587215,0.789,0.578,1.05982742702027e-127,5.32891828580062e-123,TRUE,TRUE
"53","AMER2",53,219287,"ENSG00000165566","Oligodendrocyte",0.77,0.405,2.55461747832257,0.789,0.578,0,0,FALSE,TRUE
"54","AMOTL1",54,154810,"ENSG00000166025","VLMC",0.909,0.351,3.16320234659259,0.909,0.818,2.90485995820185e-09,0.000146059263558347,TRUE,TRUE
"55","AMZ2",55,51321,"ENSG00000196704","Astrocyte",0.986,0.704,2.85439490401738,0.947,0.894,0,0,TRUE,TRUE
"56","ANGPTL4",56,51129,"ENSG00000167772","Astrocyte",0.431,0.13,3.92601473036619,0.674,0.348,0,0,TRUE,TRUE
"57","ANKRD29",57,147463,"ENSG00000154065","Endothelial",0.643,0.454,2.83533139135618,0.702,0.404,1.47613871314737e-26,7.4221730635763e-22,FALSE,FALSE
"58","ANKRD44",58,91526,"ENSG00000065413","Microglia",0.976,0.77,2.76811708643957,0.91,0.82,0,0,FALSE,TRUE
"59","ANLN",59,54443,"ENSG00000011426","Oligodendrocyte",0.793,0.172,4.28225714056008,0.868,0.736,0,0,TRUE,TRUE
"60","ANTXR2",60,118429,"ENSG00000163297","VLMC",0.636,0.258,3.13645387743643,0.744,0.488,8.91992465182588e-06,0.448502731418457,TRUE,TRUE
"61","ANXA1",61,301,"ENSG00000135046","VLMC",0.455,0.097,2.63543995948933,0.691,0.382,0.00117884279088994,1,FALSE,TRUE
"62","ANXA2",62,302,"ENSG00000182718","VLMC",0.636,0.162,4.27219144547245,0.78,0.56,1.26889267751943e-13,6.38011927183545e-09,TRUE,TRUE
"63","ANXA3",63,306,"ENSG00000138772","Endothelial",0.5,0.089,5.11094513219677,0.724,0.448,3.11706495046446e-84,1.56729142774304e-79,TRUE,TRUE
"64","AOAH",64,313,"ENSG00000136250","Microglia",0.931,0.489,4.16683261303974,0.929,0.858,0,0,TRUE,TRUE
"65","APBB1IP",65,54518,"ENSG00000077420","Microglia",0.991,0.327,6.57288062247861,0.992,0.984,0,0,TRUE,TRUE
"66","APLP1",66,333,"ENSG00000105290","Oligodendrocyte",0.944,0.777,2.54331698802113,0.892,0.784,0,0,TRUE,TRUE
"67","APOE",67,348,"ENSG00000130203","Astrocyte",0.732,0.102,3.41780956342191,0.842,0.684,0,0,TRUE,TRUE
"68","APOLD1",68,81575,"ENSG00000178878","Endothelial",0.571,0.412,3.41480863769073,0.666,0.332,1.41245402110029e-42,7.10196006349436e-38,TRUE,TRUE
"69","AQP4",69,361,"ENSG00000171885","Astrocyte",0.848,0.176,4.47062313505445,0.899,0.798,0,0,TRUE,TRUE
"70","ARAP3",70,64411,"ENSG00000120318","Endothelial",0.357,0.241,2.83571093639109,0.586,0.172,8.73618184561877e-16,4.39263959379558e-11,TRUE,TRUE
"71","ARHGAP10",71,79658,"ENSG00000071205","Pericyte",0.875,0.714,2.90731833870842,0.853,0.706,6.83979910548475e-27,3.43911938822879e-22,TRUE,FALSE
"72","ARHGAP15",72,55843,"ENSG00000075884","Microglia",0.867,0.432,3.90268580675606,0.879,0.758,0,0,TRUE,TRUE
"73","ARHGAP22",73,58504,"ENSG00000128805","Microglia",0.941,0.574,3.29851347887714,0.918,0.836,0,0,TRUE,TRUE
"74","ARHGAP23",74,57636,"ENSG00000273780, ENSG00000275832","Oligodendrocyte",0.811,0.589,2.53013166742006,0.765,0.53,0,0,FALSE,TRUE
"75","ARHGAP25",75,9938,"ENSG00000163219","Microglia",0.547,0.21,3.94979019716347,0.712,0.424,0,0,TRUE,TRUE
"76","ARHGAP27",76,201176,"ENSG00000276907, ENSG00000276836, ENSG00000159314","Microglia",0.425,0.309,3.02363027982948,0.595,0.19,9.90625117596605e-150,4.98096215378749e-145,TRUE,TRUE
"77","ARHGAP31",77,57514,"ENSG00000031081","Endothelial",0.729,0.221,2.84583800267769,0.81,0.62,1.20364789484631e-37,6.05206198007673e-33,FALSE,TRUE
"78","ARHGAP6",78,395,"ENSG00000047648","Pericyte",0.75,0.566,2.73417228105031,0.728,0.456,3.77358964887866e-14,1.89739861135268e-09,FALSE,TRUE
"79","ARHGDIB",79,397,"ENSG00000111348","Microglia",0.353,0.044,4.36671275428207,0.661,0.322,4.02990978808829e-260,2.02627894054867e-255,TRUE,TRUE
"80","ARHGEF26",80,26084,"ENSG00000114790, ENSG00000277101","Astrocyte",0.904,0.319,3.36640213927772,0.909,0.818,0,0,TRUE,TRUE
"81","ARHGEF26.AS1",81,NA,NA,"Astrocyte",0.836,0.215,2.97851272348875,0.872,0.744,0,0,TRUE,TRUE
"82","ARHGEF6",82,9459,"ENSG00000129675","Microglia",0.595,0.491,2.67040533779285,0.63,0.26,2.53029322237649e-155,1.27225673514313e-150,FALSE,TRUE
"83","ARRB2",83,409,"ENSG00000141480","Microglia",0.524,0.456,2.53969652014816,0.619,0.238,1.65943101447041e-280,8.34378508385865e-276,TRUE,TRUE
"84","ARRDC5",84,645432,"ENSG00000205784","Microglia",0.373,0.336,3.38338411753105,0.562,0.124,0,0,FALSE,FALSE
"85","ASIC4",85,55515,"ENSG00000072182","OPC",0.502,0.113,2.72126885682354,0.709,0.418,4.83253498955916e-215,2.42984691810024e-210,FALSE,FALSE
"86","ASPA",86,443,"ENSG00000108381","Oligodendrocyte",0.362,0.009,4.16911959462303,0.677,0.354,0,0,TRUE,TRUE
"87","ASPN",87,54829,"ENSG00000106819","VLMC",0.364,0.064,3.85987603979632,0.654,0.308,0.00130691007422821,1,FALSE,TRUE
"88","ATF3",88,467,"ENSG00000162772","Endothelial",0.357,0.314,3.19189757696732,0.565,0.13,5.74881975847997e-29,2.89056406276131e-24,TRUE,TRUE
"89","ATP10A",89,57194,"ENSG00000206190","Endothelial",0.986,0.303,5.57282896226641,0.984,0.968,6.69532325282465e-205,3.36647548475276e-200,TRUE,TRUE
"90","ATP10B",90,23120,"ENSG00000118322","Oligodendrocyte",0.862,0.645,2.61146595231428,0.825,0.65,0,0,FALSE,TRUE
"91","ATP13A4",91,84239,"ENSG00000127249","Astrocyte",0.978,0.34,3.59130350201451,0.969,0.938,0,0,TRUE,TRUE
"92","ATP13A5",92,344905,"ENSG00000187527","Astrocyte",0.39,0.18,2.71452704926538,0.628,0.256,8.91012012849659e-237,4.48009750180937e-232,FALSE,TRUE
"93","ATP1B2",93,482,"ENSG00000129244","Astrocyte",0.961,0.386,2.69434826407106,0.925,0.85,0,0,TRUE,TRUE
"94","ATP6V1C2",94,245973,"ENSG00000143882","L5 ET",0.966,0.338,2.88589192982026,0.958,0.916,9.01016549976758e-134,4.53040131493814e-129,FALSE,TRUE
