"","gene","entrez_id","ensembl_gene_id","subclass","pct.1","pct.2","avg_logFC","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"480","EZR",7430,"ENSG00000092820","Astrocyte",0.779,0.134,4.27354524679999,0.869,0.738,0,0
"481","F11.AS1",NA,"NA","Astrocyte",0.68,0.267,3.63004765996665,0.781,0.562,0,0
"482","F13A1",2162,"ENSG00000124491","VLMC",0.636,0.409,3.90836025578468,0.715,0.43,6.67347404696559e-11,3.35548948555477e-06
"483","F2R",2149,"ENSG00000181104","VLMC",0.364,0.124,2.96196342509943,0.638,0.276,0.000157801178887258,1
"484","FA2H",79152,"ENSG00000103089","Oligodendrocyte",0.908,0.218,4.77338851718224,0.939,0.878,0,0
"485","FADS2",9415,"ENSG00000134824","Astrocyte",0.727,0.446,2.22914917741646,0.729,0.458,0,0
"486","FAM102A",399665,"ENSG00000167106","Oligodendrocyte",0.527,0.361,2.24959464554121,0.634,0.268,2.55533293762847e-305,1.28484695436897e-300
"487","FAM105A",54491,"ENSG00000145569","Microglia",0.537,0.198,3.64819510652439,0.708,0.416,7.36938704546395e-297,3.70540150032973e-292
"488","FAM107A",11170,"ENSG00000168309","Astrocyte",0.804,0.251,3.05641829083971,0.848,0.696,0,0
"489","FAM107B",83641,"ENSG00000065809","Oligodendrocyte",0.911,0.538,4.24321956534302,0.906,0.812,0,0
"490","FAM114A1",92689,"ENSG00000197712","VLMC",0.545,0.273,3.31482645802239,0.701,0.402,4.03555659630221e-09,0.000202911821218671
"491","FAM118A",55007,"ENSG00000100376","Microglia",0.569,0.596,2.08003197354973,0.575,0.15,7.18170227595023e-115,3.61103172137054e-110
"492","FAM122B",159090,"ENSG00000156504","L4 IT",0.636,0.464,2.0050716997502,0.602,0.204,0.0299362121351843,1
"493","FAM124A",220108,"ENSG00000150510","Oligodendrocyte",0.726,0.303,2.92847631271548,0.788,0.576,0,0
"494","FAM133CP",728640,"NA","VLMC",0.455,0.25,3.50036367093229,0.62,0.24,0.0451394535186449,1
"495","FAM149A",25854,"ENSG00000109794","Microglia",0.413,0.341,2.47278470201435,0.579,0.158,9.08081614783119e-112,4.565925167291e-107
"496","FAM162B",221303,"ENSG00000183807","Pericyte",0.438,0.16,2.96042969831283,0.66,0.32,2.88731602735614e-08,0.00145177137171494
"497","FAM177B",400823,"ENSG00000197520","Microglia",0.617,0.068,5.2905353680288,0.794,0.588,0,0
"498","FAM180A",389558,"ENSG00000189320","VLMC",0.455,0.055,4.81513762686677,0.711,0.422,6.74403079574273e-34,3.3909661244074e-29
"499","FAM189A2",9413,"ENSG00000135063","Astrocyte",0.79,0.131,4.07134030398494,0.871,0.742,0,0
"500","FAM198A",729085,"ENSG00000144649","Astrocyte",0.548,0.255,2.27389244015105,0.685,0.37,7.29393532474044e-225,3.66746362063274e-220
"501","FAM19A1",407738,"ENSG00000183662","IT",0.947,0.655,2.17087118376116,0.87,0.74,0,0
"502","FAM20A",54757,"ENSG00000108950","VLMC",0.455,0.092,3.31101025819237,0.698,0.396,1.74813917905243e-06,0.0878981860619354
"503","FAM65C",140876,"ENSG00000042062","Pericyte",0.719,0.529,3.22207137514105,0.694,0.388,1.24524789642713e-15,6.26123094802525e-11
"504","FAP",2191,"ENSG00000078098","VLMC",0.545,0.202,2.74922904776338,0.696,0.392,0.0059890851906039,1
"505","FAT1",2195,"ENSG00000083857","LAMP5",0.831,0.247,2.3496177400894,0.855,0.71,0,0
"506","FAT4",79633,"ENSG00000196159","Endothelial",0.514,0.245,2.12186246769471,0.667,0.334,2.56529201985633e-12,1.28985448050396e-07
"507","FAXDC2",10826,"ENSG00000170271","Oligodendrocyte",0.702,0.372,2.78354938226499,0.757,0.514,0,0
"508","FBLN2",2199,"ENSG00000163520","VLMC",0.818,0.165,4.37378213155997,0.88,0.76,8.97849993185053e-18,4.51447955073376e-13
"509","FBLN5",10516,"ENSG00000140092","VLMC",0.455,0.204,2.76766931579329,0.652,0.304,0.00746160879399115,1
"510","FBN2",2201,"ENSG00000138829","SST",0.507,0.317,2.76518868199263,0.636,0.272,8.50206568524111e-268,4.27492364719608e-263
"511","FBXL7",23194,"ENSG00000183580","Astrocyte",0.992,0.62,2.03477618285512,0.93,0.86,0,0
"512","FBXW8",26259,"ENSG00000174989","L5/6 IT Car3",1,0.714,2.09832015194638,0.944,0.888,1.10379790166193e-193,5.55000622934635e-189
"513","FCGBP",8857,"ENSG00000281123, ENSG00000275395","Microglia",0.38,0.239,3.9237017528084,0.603,0.206,0,0
"514","FCGR1B",2210,"NA","Microglia",0.361,0.01,4.08966745251139,0.676,0.352,1.214002971284e-306,6.10412833991306e-302
"515","FCGR2A",2212,"ENSG00000143226","Microglia",0.748,0.766,3.47998237378241,0.634,0.268,0,0
"516","FCGRT",2217,"ENSG00000104870","Microglia",0.505,0.206,3.6008042249501,0.692,0.384,0,0
"517","FER1L6.AS2",NA,"NA","L5/6 NP",0.841,0.115,2.8248444194778,0.891,0.782,0,0
"518","FERMT1",55612,"ENSG00000101311","OPC",0.664,0.156,4.3768461996813,0.798,0.596,0,0
"519","FERMT2",10979,"ENSG00000073712","Pericyte",0.688,0.333,3.03843788515905,0.744,0.488,1.30666425175382e-12,6.5700385242434e-08
"520","FEZF2",55079,"ENSG00000153266","L5/6 NP",0.763,0.086,2.55659909065214,0.851,0.702,1.25100784831533e-291,6.29019256211433e-287
"521","FGD2",221472,"ENSG00000146192","Microglia",0.707,0.056,5.49341454667868,0.844,0.688,0,0
"522","FGD3",89846,"ENSG00000127084","Microglia",0.431,0.352,3.28799882134205,0.589,0.178,0,0
"523","FGD4",121512,"ENSG00000139132","Microglia",0.924,0.829,2.68298992755276,0.805,0.61,0,0
"524","FGF1",2246,"ENSG00000113578","VLMC",0.909,0.597,3.02471605025164,0.901,0.802,9.79341614934609e-10,4.92422757405271e-05
"525","FGF10",2255,"ENSG00000070193","L5/6 IT Car3",0.648,0.126,2.11146255125266,0.78,0.56,4.49385934162273e-139,2.25955741556132e-134
"526","FGF2",2247,"ENSG00000138685","Astrocyte",0.661,0.293,2.20877915960347,0.738,0.476,7.296126407541e-295,3.66856531897569e-290
"527","FGFR1",2260,"ENSG00000077782","OPC",0.819,0.459,2.37007802540662,0.806,0.612,3.4612223044866e-307,1.74033718691891e-302
"528","FGFR2",2263,"ENSG00000066468","Oligodendrocyte",0.903,0.419,2.8765458720351,0.892,0.784,0,0
"529","FGFR3",2261,"ENSG00000068078","Astrocyte",0.973,0.032,5.08669653367869,0.984,0.968,0,0
"530","FHL2",2274,"ENSG00000115641","VLMC",0.545,0.499,2.02850319020186,0.652,0.304,0.000228873644357616,1
"531","FHL5",9457,"ENSG00000112214","Pericyte",0.438,0.072,5.12924922557287,0.696,0.392,2.69258374964582e-40,1.35385803515942e-35
"532","FIRRE",286467,"ENSG00000213468","Astrocyte",0.561,0.308,2.71476867700606,0.687,0.374,0,0
"533","FKBP5",2289,"ENSG00000096060","Microglia",0.529,0.485,2.69865377166199,0.592,0.184,1.52464624336549e-154,7.666073776266e-150
"534","FLJ46906",441172,"NA","Astrocyte",0.516,0.022,3.92092199560848,0.751,0.502,0,0
"535","FLNA",2316,"ENSG00000196924","Pericyte",0.5,0.406,2.42611475107597,0.614,0.228,1.55996530560591e-09,7.84366155311707e-05
"536","FLNB",2317,"ENSG00000136068","Endothelial",0.729,0.727,2.09725554128041,0.672,0.344,4.94792741683277e-17,2.48786738445768e-12
"537","FLRT2",23768,"ENSG00000185070","VLMC",1,0.836,2.26140263566952,0.967,0.934,1.20507014621228e-07,0.00605921320216995
"538","FLT1",2321,"ENSG00000102755","Endothelial",1,0.525,6.40646750308841,0.999,0.998,0,0
"539","FLT3",2322,"ENSG00000122025","SST",0.855,0.444,3.07735059331804,0.856,0.712,0,0
"540","FLT4",2324,"ENSG00000037280","Endothelial",0.4,0.137,2.84433054538598,0.652,0.304,1.17196048849147e-55,5.89273453218396e-51
"541","FLVCR2",55640,"ENSG00000119686","VLMC",0.909,0.106,6.03754845778645,0.946,0.892,1.35726131985224e-75,6.82444564234904e-71
"542","FMO2",2327,"ENSG00000094963","VLMC",0.364,0.003,4.63835457136719,0.681,0.362,1.2705552076954e-09,6.38847863981326e-05
"543","FNDC3B",64778,"ENSG00000075420","VLMC",1,0.753,2.33388425803922,0.916,0.832,1.01854007203336e-07,0.00512132133619095
"544","FOLH1",2346,"ENSG00000086205","Oligodendrocyte",0.824,0.116,5.38630857329119,0.899,0.798,0,0
"545","FOLH1B",219595,"ENSG00000134612","L4 IT",0.591,0.17,2.07985740708211,0.73,0.46,1.03542040541408e-12,5.20619734046254e-08
"546","FOXC1",2296,"ENSG00000054598","VLMC",0.545,0.004,4.45021808102893,0.771,0.542,4.74846083730075e-13,2.38757359360319e-08
"547","FOXN2",3344,"ENSG00000170802","Oligodendrocyte",0.764,0.555,2.06325498207308,0.734,0.468,0,0
"548","FOXN3",1112,"ENSG00000053254","Microglia",0.985,0.953,2.65340402992796,0.938,0.876,0,0
"549","FREM1",158326,"ENSG00000164946","LAMP5",0.809,0.412,2.87715324795586,0.823,0.646,0,0
"550","FRK",2444,"ENSG00000111816","Oligodendrocyte",0.407,0.372,2.58018970412689,0.565,0.13,0,0
"551","FRMD3",257019,"ENSG00000172159","Pericyte",0.781,0.659,3.0264309522563,0.778,0.556,1.41729084901773e-18,7.12628011794607e-14
"552","FRMD4B",23150,"ENSG00000114541","Oligodendrocyte",0.99,0.698,3.59979969896729,0.975,0.95,0,0
"553","FRMD6",122786,"ENSG00000139926","VLMC",0.909,0.525,2.43625396352217,0.827,0.654,0.000233054952422653,1
"554","FRYL",285527,"ENSG00000075539","Oligodendrocyte",0.981,0.915,2.11918149803316,0.908,0.816,0,0
"555","FSTL4",23105,"ENSG00000053108","IT",0.988,0.575,2.407015522539,0.937,0.874,0,0
"556","FSTL5",56884,"ENSG00000168843","LAMP5",0.999,0.814,2.00057633647321,0.951,0.902,0,0
"557","FUT10",84750,"ENSG00000172728","Astrocyte",0.867,0.628,2.39349112825038,0.798,0.596,0,0
"558","FXYD1",5348,"ENSG00000266964","Astrocyte",0.724,0.454,2.37327562532129,0.754,0.508,0,0
"559","FYB",2533,"ENSG00000082074","Microglia",0.908,0.218,6.11479496946156,0.941,0.882,0,0
"560","GAB1",2549,"ENSG00000109458","Oligodendrocyte",0.94,0.667,2.19052225633261,0.861,0.722,0,0
"561","GAB3",139716,"ENSG00000160219","Microglia",0.461,0.173,4.30530362292581,0.678,0.356,0,0
"562","GABPB2",126626,"ENSG00000143458","VLMC",0.727,0.663,2.29676822167402,0.666,0.332,0.000755898988031946,1
"563","GAD2",2572,"ENSG00000136750","LAMP5",0.999,0.336,2.74029946827718,0.973,0.946,0,0
"564","GAL3ST4",79690,"ENSG00000197093","Microglia",0.457,0.109,3.94753577248214,0.694,0.388,0,0
"565","GALNT10",55568,"ENSG00000164574","Microglia",0.575,0.435,2.24150147279223,0.636,0.272,1.87777722212146e-116,9.44165165054893e-112
"566","GALNT14",79623,"ENSG00000158089","L5/6 IT Car3",0.997,0.575,2.18366801219328,0.957,0.914,1.04613168319745e-217,5.2600547162851e-213
"567","GALNT6",11226,"ENSG00000139629","Oligodendrocyte",0.44,0.14,3.41935733489081,0.673,0.346,0,0
"568","GAREML",150946,"ENSG00000157833","Astrocyte",0.575,0.256,3.12546873278012,0.712,0.424,0,0
"569","GAS2L3",283431,"ENSG00000139354","L5/6 IT Car3",0.657,0.115,2.71639545710659,0.795,0.59,2.58946283309001e-199,1.30200780710599e-194
"570","GATAD2A",54815,"ENSG00000167491","Endothelial",0.586,0.578,2.04866922223777,0.56,0.12,1.46511589315107e-06,0.073667492223529
"571","GATM",2628,"ENSG00000171766","Oligodendrocyte",0.685,0.335,2.45113724184124,0.744,0.488,0,0
"572","GBP4",115361,"ENSG00000162654","Endothelial",0.443,0.026,4.50421482937399,0.713,0.426,1.77376760838623e-48,8.91868091172682e-44
"573","GCH1",2643,"ENSG00000131979","Endothelial",0.443,0.375,2.86927228880301,0.568,0.136,3.00847834715616e-10,1.51269299773359e-05
"574","GCNT1",2650,"ENSG00000187210","Endothelial",0.543,0.375,3.37720412770004,0.631,0.262,3.59286326193632e-19,1.8065275767342e-14
"575","GCNT2",2651,"ENSG00000285222, ENSG00000111846","Microglia",0.569,0.402,2.76055977704023,0.653,0.306,3.10869783661717e-207,1.56308435922948e-202
"576","GDNF.AS1",NA,"NA","L5/6 NP",0.711,0.048,2.44112438196458,0.838,0.676,0,0
"577","GFAP",2670,"ENSG00000131095","Astrocyte",0.637,0.059,5.19352161933471,0.805,0.61,0,0
"578","GFRA1",2674,"ENSG00000151892","OPC",0.537,0.276,2.62005298495559,NA,NA,8.34667337217202e-177,4.19679083826181e-172
"579","GGA3",23163,"ENSG00000125447","VLMC",0.545,0.532,2.14344554220178,0.52,0.04,NA,NA
"580","GGTA1P",2681,"ENSG00000204136","Microglia",0.571,0.245,4.09126374105634,0.718,0.436,0,0
"581","GIMAP7",168537,"ENSG00000179144","Endothelial",0.514,0.007,4.63207752672415,0.755,0.51,2.28948665394199e-61,1.15117678446857e-56
"582","GIMAP8",155038,"ENSG00000171115","Endothelial",0.414,0.025,3.9557711122209,0.698,0.396,5.62858549499194e-41,2.8301090727369e-36
"583","GJA1",2697,"ENSG00000152661","Astrocyte",0.767,0.092,5.51261667984553,0.871,0.742,0,0
"584","GJB1",2705,"ENSG00000169562","Oligodendrocyte",0.366,0.089,4.32543762415196,0.653,0.306,0,0
"585","GJB6",10804,"ENSG00000121742","Astrocyte",0.436,0.031,4.61907180805779,0.709,0.418,0,0
"586","GJC1",10052,"ENSG00000182963","Pericyte",0.781,0.393,4.38188728222583,0.804,0.608,1.94941043038157e-50,9.80183058500157e-46
"587","GLDN",342035,"ENSG00000186417","Oligodendrocyte",0.873,0.317,3.25216591548042,0.89,0.78,0,0
"588","GLIS3",169792,"ENSG00000107249","Astrocyte",0.981,0.544,2.53720922564767,0.931,0.862,0,0
"589","GLTP",51228,"ENSG00000139433","Oligodendrocyte",0.628,0.347,2.63596026951409,0.705,0.41,0,0
"590","GLUD1",2746,"ENSG00000148672","Astrocyte",0.949,0.605,2.61780722650465,0.902,0.804,0,0
"591","GLUL",2752,"ENSG00000135821","Astrocyte",0.952,0.243,3.08147478886183,0.946,0.892,0,0
"592","GNA11",2767,"ENSG00000088256","VLMC",0.364,0.399,2.0316966744957,0.514,0.028,NA,NA
"593","GNA14",9630,"ENSG00000156049","Astrocyte",0.714,0.362,3.04747427547161,0.769,0.538,0,0
"594","GNAI2",2771,"ENSG00000114353","Endothelial",0.643,0.445,2.29121670503084,0.682,0.364,1.09061810829633e-19,5.48373691032479e-15
"595","GNB4",59345,"ENSG00000114450","Microglia",0.601,0.539,2.15143162048094,0.61,0.22,7.66050029485867e-92,3.85177615325789e-87
"596","GNG4",2786,"ENSG00000282972, ENSG00000168243","VLMC",0.636,0.519,2.28363374874804,0.611,0.222,NA,NA
"597","GNL2",29889,"ENSG00000134697","VLMC",0.455,0.303,2.15885126601941,0.576,0.152,NA,NA
"598","GOLT1A",127845,"ENSG00000174567","L5/6 NP",0.4,0.074,2.01850607364829,0.67,0.34,1.49514608144759e-103,7.51774401212665e-99
"599","GPAM",57678,"ENSG00000119927","Astrocyte",0.49,0.211,2.25095818249271,0.667,0.334,4.45601955295385e-190,2.24053119142073e-185
"600","GPC3",2719,"ENSG00000147257","VLMC",1,0.614,4.49193436058711,0.965,0.93,1.96589749658115e-43,9.88472920255967e-39
"601","GPC4",2239,"ENSG00000076716","Astrocyte",0.543,0.367,2.61237768109028,0.643,0.286,4.32214382516868e-230,2.17321713673306e-225
"602","GPER1",2852,"ENSG00000164850","Pericyte",0.531,0.011,5.22461371615282,0.763,0.526,8.42095994009353e-39,4.23414286747843e-34
"603","GPN3",51184,"ENSG00000111231","Microglia",0.939,0.924,2.13602898740506,0.692,0.384,3.27655942138834e-103,1.64748684266827e-98
"604","GPR149",344758,"ENSG00000174948","VIP",0.506,0.122,2.86101550095786,0.712,0.424,0,0
"605","GPR34",2857,"ENSG00000171659","Microglia",0.488,0.04,5.09256223579007,0.731,0.462,0,0
"606","GPR37",2861,"ENSG00000170775","Oligodendrocyte",0.711,0.124,3.95614539783925,0.825,0.65,0,0
"607","GPR85",54329,"ENSG00000164604","Endothelial",0.771,0.33,3.64583036070523,0.832,0.664,3.03241342913748e-63,1.52472779630461e-58
"608","GPRC5B",51704,"ENSG00000167191","Oligodendrocyte",0.885,0.236,3.27059352890873,0.905,0.81,0,0
"609","GPRC5C",55890,"ENSG00000170412","Pericyte",0.375,0.133,3.50662213868876,0.643,0.286,1.54856076459622e-28,7.78631838046627e-24
"610","GRAMD1C",54762,"ENSG00000178075","Astrocyte",0.891,0.612,2.28937906380996,0.818,0.636,0,0
"611","GRASP",160622,"ENSG00000161835","Endothelial",0.457,0.29,2.76867291711487,0.62,0.24,5.20382678594803e-18,2.61653614624253e-13
"612","GRID2IP",392862,"ENSG00000215045","Pericyte",0.281,0.472,2.20479468375344,0.42,0.16,0.00125614720181795,1
"613","GRIK1",2897,"ENSG00000171189","SST",0.997,0.657,2.97780286848613,0.976,0.952,0,0
"614","GRIK1.AS2",NA,"NA","SST",0.632,0.063,2.32973390111252,0.788,0.576,0,0
"615","GRIN2C",2905,"ENSG00000161509","Astrocyte",0.757,0.046,4.72194264031653,0.871,0.742,0,0
"616","GRIN3A",116443,"ENSG00000198785","SST",0.961,0.468,2.22424355597821,0.903,0.806,0,0
"617","GRM3",2913,"ENSG00000198822","Pericyte",0.844,0.779,2.05770470160613,0.788,0.576,5.14603934221671e-10,2.58748004165998e-05
"618","GRM4",2914,"ENSG00000124493","L5/6 NP",0.945,0.318,2.47681814988073,0.922,0.844,0,0
"619","GRM8",2918,"ENSG00000179603","Pericyte",0.875,0.762,2.20362411451097,0.756,0.512,2.26083937208905e-07,0.0113677264468009
"620","GRPR",2925,"ENSG00000126010","PAX6",0.421,0.045,2.71186956868156,0.692,0.384,8.40403006357948e-68,4.2256303562684e-63
"621","GSN.AS1",NA,"NA","Oligodendrocyte",0.404,0.04,3.21133581908118,0.686,0.372,0,0
"622","GSTM2",2946,"ENSG00000213366","Microglia",0.355,0.163,2.70832319333074,0.611,0.222,2.90150186700886e-96,1.45890415375072e-91
"623","GSTP1",2950,"ENSG00000084207","Pericyte",0.531,0.279,2.53266768029649,0.681,0.362,2.58508241368985e-10,1.29980528842739e-05
"624","GUCY1A3",2982,"ENSG00000164116","Pericyte",0.656,0.553,2.02548906525596,0.679,0.358,3.84649865927536e-08,0.00193405799087024
"625","GUCY2F",2986,"ENSG00000101890","VLMC",0.364,0.152,3.16378157102012,0.624,0.248,1.26113983559899e-06,0.0634113720737527
"626","GXYLT2",727936,"ENSG00000172986","Oligodendrocyte",0.491,0.472,2.1195807653808,0.562,0.124,4.82168984549569e-191,2.42439387121369e-186
"627","GYG2",8908,"ENSG00000056998","VLMC",0.455,0.263,2.06168321475866,0.633,0.266,0.0068224288756689,1
"628","GYS2",2998,"ENSG00000111713","Astrocyte",0.4,0.258,2.12254960921459,0.6,0.2,9.21732785020119e-146,4.63456461635966e-141
"629","H3F3B",3021,"ENSG00000132475","Pericyte",0.656,0.589,2.29652655635894,0.693,0.386,1.81625976708936e-13,9.132335734902e-09
"630","HAPLN1",1404,"ENSG00000145681","LAMP5",0.806,0.147,3.104268220981,0.871,0.742,0,0
"631","HAPLN2",60484,"ENSG00000132702","Oligodendrocyte",0.772,0.17,4.22893913119038,0.852,0.704,0,0
"632","HAVCR1",26762,"ENSG00000113249","Microglia",0.353,0.41,2.16414257615796,0.502,0.004,8.07889307936916e-51,4.06214822923761e-46
"633","HAVCR2",84868,"ENSG00000135077","Microglia",0.575,0.18,4.52855731104455,0.742,0.484,0,0
"634","HCK",3055,"ENSG00000101336","Microglia",0.631,0.26,4.88565197591988,0.759,0.518,0,0
"635","HCLS1",3059,"ENSG00000180353","Microglia",0.44,0.078,4.63469210980035,0.695,0.39,0,0
"636","HECTD2.AS1",NA,"NA","Astrocyte",0.653,0.453,2.74882656032392,0.698,0.396,0,0
"637","HEG1",57493,"ENSG00000173706","Endothelial",0.8,0.233,3.81752719697962,0.865,0.73,4.25465054791718e-66,2.13928084199824e-61
"638","HEPH",9843,"ENSG00000089472","Astrocyte",0.711,0.443,3.31410918415762,0.756,0.512,0,0
"639","HERC2P2",400322,"NA","Endothelial",1,0.868,3.19680479007237,0.983,0.966,1.07877052308938e-93,5.42416606714572e-89
"640","HERC2P3",283755,"ENSG00000180229","Endothelial",1,0.694,5.29122203515415,0.998,0.996,0,0
"641","HERC2P9",440248,"ENSG00000282417, ENSG00000206149","Endothelial",0.986,0.707,3.1187710558362,0.976,0.952,1.19006052839828e-97,5.98374334283939e-93
"642","HERPUD1",9709,"ENSG00000051108","Endothelial",0.714,0.419,2.7336903308308,0.756,0.512,2.73303649517691e-27,1.3741980801399e-22
"643","HES4",57801,"ENSG00000188290","Pericyte",0.781,0.384,3.37849581260198,0.846,0.692,4.785705840005e-51,2.40630075341291e-46
"644","HEY1",23462,"ENSG00000164683","VLMC",0.455,0.149,2.84154862449915,0.685,0.37,1.13345000916652e-05,0.569909999109018
"645","HGF",3082,"ENSG00000019991","PVALB",0.65,0.107,2.59065537329102,0.793,0.586,0,0
"646","HHATL",57467,"ENSG00000010282","Oligodendrocyte",0.577,0.248,2.58014488264857,0.712,0.424,0,0
"647","HHIP",64399,"ENSG00000164161","Oligodendrocyte",0.986,0.962,2.11272703444627,0.764,0.528,0,0
"648","HIF3A",64344,"ENSG00000124440","Astrocyte",0.952,0.326,4.09412165990913,0.957,0.914,0,0
"649","HIGD1B",51751,"ENSG00000131097","Pericyte",0.844,0.058,7.06289474932924,0.917,0.834,5.38166622237402e-296,2.70595559327188e-291
"650","HIP1",3092,"ENSG00000127946","Oligodendrocyte",0.977,0.927,2.57480727228429,0.869,0.738,0,0
"651","HIPK2",28996,"ENSG00000064393","Oligodendrocyte",0.922,0.588,2.60476282013242,0.876,0.752,0,0
"652","HLA.A",NA,"NA","Endothelial",0.857,0.26,2.78481004780153,0.844,0.688,8.71816742721726e-32,4.38358176407911e-27
"653","HLA.DMA",NA,"NA","Microglia",0.395,0.042,4.78916849872116,0.683,0.366,5.92878775009496e-323,2.98105376862525e-318
"654","HLA.DMB",NA,"NA","Microglia",0.367,0.008,5.35744331178302,0.681,0.362,0,0
"655","HLA.DPA1",NA,"NA","Microglia",0.463,0.037,4.79090082849983,0.72,0.44,0,0
"656","HLA.DRA",NA,"NA","Microglia",0.527,0.033,5.95938258069811,0.755,0.51,0,0
"657","HLA.DRB1",NA,"NA","Microglia",0.631,0.072,5.139782247316,0.8,0.6,0,0
"658","HLA.DRB5",NA,"NA","Microglia",0.531,0.091,4.29434295698544,0.741,0.482,0,0
"659","HLA.DRB6",NA,"NA","Microglia",0.52,0.036,3.34009222239116,0.75,0.5,0,0
"660","HLA.F",NA,"NA","Endothelial",0.6,0.101,3.19674451001505,0.759,0.518,1.67899409656313e-27,8.44215021692906e-23
"661","HMCN1",83872,"ENSG00000143341","Endothelial",0.529,0.484,4.3874153192674,0.613,0.226,8.34302761903468e-122,4.19495771712683e-117
"662","HMGN2P5",727795,"NA","Pericyte",0.375,0.25,2.13306303653369,0.582,0.164,0.0015977989287334,1
"663","HPGDS",27306,"ENSG00000163106","Microglia",0.508,0.244,5.04290273070829,0.686,0.372,0,0
"664","HPN.AS1",NA,"NA","Oligodendrocyte",0.461,0.151,3.67837705545189,0.685,0.37,0,0
"665","HPS3",84343,"ENSG00000163755","VLMC",0.364,0.288,2.09869389056099,0.565,0.13,NA,NA
"666","HPSE2",60495,"ENSG00000172987","Astrocyte",0.933,0.85,3.71515970229141,0.842,0.684,0,0
"667","HS3ST3A1",9955,"ENSG00000153976","Astrocyte",0.362,0.256,2.44991666728774,0.577,0.154,2.318900979362e-120,1.16596660143301e-115
"668","HS3ST4",9951,"ENSG00000182601","Microglia",0.963,0.794,2.03640430264649,0.867,0.734,4.85133140284978e-267,2.4392979426669e-262
"669","HSD17B14",51171,"ENSG00000087076","Astrocyte",0.645,0.496,2.03605150100836,0.656,0.312,6.90892253910706e-208,3.47387534188842e-203
"670","HSD17B3",3293,"ENSG00000130948","Oligodendrocyte",0.452,0.194,3.42235264281266,0.662,0.324,0,0
"671","HSD17B6",8630,"ENSG00000025423","Astrocyte",0.357,0.263,2.1726061896585,0.575,0.15,4.62829532244075e-169,2.32715317107643e-164
"672","HSPA1A",3303,"ENSG00000235941, ENSG00000234475, ENSG00000215328, ENSG00000237724, ENSG00000204389","Endothelial",0.557,0.191,3.34818387938477,0.728,0.456,1.29014753727207e-44,6.48699083215769e-40
"673","HSPA1B",3304,"ENSG00000232804, ENSG00000231555, ENSG00000212866, ENSG00000224501, ENSG00000204388","Endothelial",0.443,0.109,3.2247147022917,0.68,0.36,8.31586120122046e-22,4.18129817058566e-17
"674","HSPA2",3306,"ENSG00000126803","Oligodendrocyte",0.395,0.019,4.15322095373473,0.69,0.38,0,0
"675","HSPBAP1",79663,"ENSG00000169087","Microglia",0.447,0.452,2.10316499905842,0.545,0.0900000000000001,2.83568612023067e-74,1.42581133811318e-69
"676","HTR1F",3355,"ENSG00000179097","Pericyte",0.969,0.702,2.19353051828773,0.856,0.712,8.6066401483e-11,4.32750473296672e-06
"677","HTR2C",3358,"ENSG00000147246","L5/6 NP",0.998,0.482,4.24578030575104,0.993,0.986,0,0
"678","HTRA1",5654,"ENSG00000166033","Microglia",0.643,0.3,2.03536386930083,0.718,0.436,1.78220984462303e-140,8.96112931974906e-136
"679","HVCN1",84329,"ENSG00000122986","Microglia",0.369,0.359,2.88389968583049,0.543,0.0860000000000001,6.6976619660893e-150,3.36765141316936e-145
"680","ICAM2",3384,"ENSG00000108622","Endothelial",0.5,0.056,4.71820341097528,0.734,0.468,3.82303420188306e-139,1.92225982704882e-134
"681","ID1",3397,"ENSG00000125968","Endothelial",0.571,0.02,4.82133353527287,0.78,0.56,1.05822258402281e-64,5.32084897472508e-60
"682","ID2",3398,"ENSG00000115738","Astrocyte",0.762,0.514,2.30311901150252,0.762,0.524,0,0
"683","ID3",3399,"ENSG00000283060, ENSG00000117318","Endothelial",0.657,0.014,4.74693237304726,0.824,0.648,1.2883480889709e-72,6.47794302615456e-68
"684","ID4",3400,"ENSG00000172201","Astrocyte",0.639,0.034,4.48582068013711,0.81,0.62,0,0
"685","IDUA",3425,"ENSG00000127415","VLMC",0.364,0.253,2.84478955204275,0.586,0.172,0.000112355348861906,1
"686","IFI16",3428,"ENSG00000163565","Microglia",0.673,0.143,3.97881263703429,0.802,0.604,0,0
"687","IFI27",3429,"ENSG00000275214, ENSG00000165949","Endothelial",0.7,0.035,6.22859505487535,0.844,0.688,1.3963955875581e-125,7.02121665380088e-121
"688","IFI44L",10964,"ENSG00000137959","Endothelial",0.629,0.027,5.16065948803945,0.808,0.616,3.54891363708133e-81,1.78442926586086e-76
"689","IFI6",2537,"ENSG00000126709","Endothelial",0.514,0.281,2.30070225562892,0.65,0.3,4.89410714730756e-11,2.46080601473771e-06
"690","IFNAR2",3455,"ENSG00000159110","Endothelial",0.571,0.51,2.12318461505142,0.611,0.222,2.50758502291883e-12,1.26083882537382e-07
"691","IFNG.AS1",NA,"NA","L5/6 NP",0.881,0.03,4.97325450879876,0.937,0.874,0,0
"692","IFNGR1",3459,"ENSG00000027697","Microglia",0.824,0.458,3.1427910963107,0.835,0.67,0,0
"693","IGDCC4",57722,"ENSG00000103742","VLMC",0.364,0.189,3.11555451068787,0.616,0.232,8.4921592792288e-05,1
