"","gene","entrez_id","ensembl_gene_id","nueron_or_not","pct.1","pct.2","avg_logFC","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"1","A2M",2,"ENSG00000175899","Non-neuronal",0.42,0.513,2.13494727182586,0.497,0.00600000000000001,3.93603870371923e-226,1.97907962061707e-221
"2","AASS",10157,"ENSG00000008311","Non-neuronal",0.56,0.161,3.46925879268207,0.733,0.466,0,0
"3","ABCA2",20,"ENSG00000107331","Non-neuronal",0.513,0.615,2.25616083078609,0.556,0.112,0,0
"4","ABCA8",10351,"ENSG00000141338","Non-neuronal",0.454,0.164,4.93722613922784,0.676,0.352,0,0
"5","ABCC4",10257,"ENSG00000125257","Non-neuronal",0.644,0.687,2.3395984772559,0.535,0.0700000000000001,2.67071652173031e-160,1.34286297429122e-155
"6","ABCG2",9429,"ENSG00000118777","Non-neuronal",0.468,0.504,3.1831716952437,0.53,0.0600000000000001,1.40545144523776e-271,7.06675041179998e-267
"7","ABTB2",25841,"ENSG00000166016","Non-neuronal",0.552,0.43,3.20518094251202,0.636,0.272,0,0
"8","ACACB",32,"ENSG00000076555","Non-neuronal",0.58,0.454,2.96937839013649,0.645,0.29,0,0
"9","ACSBG1",23205,"ENSG00000103740","Non-neuronal",0.382,0.247,3.76896649320319,0.603,0.206,0,0
"10","ACSS1",84532,"ENSG00000154930","Non-neuronal",0.421,0.073,4.18020509187602,0.686,0.372,0,0
"11","ACSS3",79611,"ENSG00000111058","Non-neuronal",0.355,0.307,2.83055539721978,0.555,0.11,0,0
"12","ACTL6B",51412,"ENSG00000077080","Neuronal",0.687,0.122,2.43607116103107,0.811,0.622,0,0
"13","ACTN1",87,"ENSG00000072110","Neuronal",0.839,0.185,2.11218131988711,0.875,0.75,0,0
"14","ADAM23",8745,"ENSG00000114948","Neuronal",0.972,0.38,2.00831211843753,0.919,0.838,0,0
"15","ADAMTS3",9508,"ENSG00000156140","Neuronal",0.668,0.265,2.58860044050329,0.739,0.478,0,0
"16","ADD2",119,"ENSG00000075340","Neuronal",0.797,0.123,2.32192736662891,0.868,0.736,0,0
"17","ADGRG1",9289,"ENSG00000205336","Non-neuronal",0.447,0.198,2.88911978921486,0.649,0.298,0,0
"18","ADGRL2",23266,"ENSG00000117114","Neuronal",0.977,0.627,3.50583729322994,0.948,0.896,0,0
"19","ADGRV1",84059,"ENSG00000164199","Non-neuronal",0.684,0.84,3.08053559036686,0.465,0.07,1.76004543339051e-303,8.8496844436308e-299
"20","AFF2",2334,"ENSG00000155966","Neuronal",0.699,0.258,2.06130284465539,0.768,0.536,0,0
"21","AGBL4",84871,"ENSG00000186094","Neuronal",0.998,0.798,2.46074672630841,0.954,0.908,0,0
"22","AHNAK",79026,"ENSG00000124942","Non-neuronal",0.534,0.511,2.60405754233285,0.581,0.162,0,0
"23","AMER2",219287,"ENSG00000165566","Non-neuronal",0.518,0.414,2.15846242790211,0.617,0.234,0,0
"24","ANKRD18B",441459,"ENSG00000230453","Neuronal",0.598,0.181,2.86206538137439,0.74,0.48,0,0
"25","ANKRD30B",374860,"ENSG00000180777","Neuronal",0.638,0.157,3.51023650764911,0.775,0.55,0,0
"26","ANKRD30BL",554226,"ENSG00000163046","Neuronal",0.973,0.514,3.06556294624018,0.947,0.894,0,0
"27","ANKRD33B",651746,"ENSG00000164236","Neuronal",0.74,0.244,2.34731313937309,0.806,0.612,0,0
"28","ANKRD34C.AS1",NA,"NA","Neuronal",0.769,0.126,3.65847261599071,0.862,0.724,0,0
"29","ANLN",54443,"ENSG00000011426","Non-neuronal",0.397,0.179,3.35925140858235,0.633,0.266,0,0
"30","ANO3",63982,"ENSG00000134343","Neuronal",0.823,0.434,2.28802371718427,0.801,0.602,0,0
"31","AOAH",313,"ENSG00000136250","Non-neuronal",0.481,0.509,2.71306257424204,0.526,0.052,1.75737879863249e-212,8.83627633740403e-208
"32","APBB1IP",54518,"ENSG00000077420","Non-neuronal",0.432,0.327,4.98641896207362,0.595,0.19,0,0
"33","APCDD1",147495,"ENSG00000154856","Non-neuronal",0.369,0.043,3.96423879603125,0.669,0.338,0,0
"34","APOD",347,"ENSG00000189058","Non-neuronal",0.566,0.262,3.93750540717885,0.704,0.408,0,0
"35","APOLD1",81575,"ENSG00000178878","Non-neuronal",0.421,0.41,2.11980719628149,0.54,0.0800000000000001,2.7206787325562e-241,1.36798447351659e-236
"36","ARHGAP15",55843,"ENSG00000075884","Non-neuronal",0.431,0.45,2.00704056009989,0.522,0.044,1.287933043748e-128,6.47585613726932e-124
"37","ARHGAP22",58504,"ENSG00000128805","Non-neuronal",0.556,0.592,2.22740297313301,0.567,0.134,0,0
"38","ARHGAP23",57636,"ENSG00000273780, ENSG00000275832","Non-neuronal",0.66,0.593,2.0968709350902,0.614,0.228,0,0
"39","ARHGAP24",83478,"ENSG00000138639","Non-neuronal",0.787,0.863,3.37299425411826,0.594,0.188,0,0
"40","ARHGAP31",57514,"ENSG00000031081","Non-neuronal",0.436,0.17,3.00144537953969,0.658,0.316,0,0
"41","ARHGEF10",9639,"ENSG00000274726, ENSG00000104728","Non-neuronal",0.646,0.502,2.09670311004626,0.657,0.314,0,0
"42","ARHGEF26",26084,"ENSG00000277101, ENSG00000114790","Non-neuronal",0.359,0.346,2.12276601432225,0.537,0.0740000000000001,2.46076018195105e-279,1.23729482708681e-274
"43","ARNTL2",56938,"ENSG00000029153","Neuronal",0.679,0.149,2.47669735773879,0.8,0.6,0,0
"44","ASIC2",40,"ENSG00000108684","Neuronal",0.987,0.673,3.59687021773709,0.948,0.896,0,0
"45","ATP10B",23120,"ENSG00000118322","Non-neuronal",0.744,0.642,3.2727868371561,0.718,0.436,0,0
"46","ATP13A4",84239,"ENSG00000127249","Non-neuronal",0.522,0.334,3.32674832592999,0.652,0.304,0,0
"47","ATP1A2",477,"ENSG00000018625","Non-neuronal",0.429,0.187,4.08082312719781,0.649,0.298,0,0
"48","ATP1A3",478,"ENSG00000105409","Neuronal",0.943,0.232,2.05257568006898,0.924,0.848,0,0
"49","ATP8A2",51761,"ENSG00000132932","Neuronal",0.998,0.685,2.46093360031942,0.961,0.922,0,0
"50","AXL",558,"ENSG00000167601","Non-neuronal",0.533,0.42,2.46784253899901,0.614,0.228,0,0
"51","B2M",567,"ENSG00000273686, ENSG00000166710","Non-neuronal",0.61,0.35,2.2132490946964,0.678,0.356,0,0
"52","BCAN",63827,"ENSG00000132692","Non-neuronal",0.37,0.389,2.15465225199697,0.536,0.0720000000000001,0,0
"53","BCAS1",8537,"ENSG00000064787","Non-neuronal",0.638,0.222,4.87349387711285,0.769,0.538,0,0
"54","BCL11A",53335,"ENSG00000119866","Neuronal",0.886,0.298,3.38466021764258,0.904,0.808,0,0
"55","BEST1",7439,"ENSG00000167995","Non-neuronal",0.535,0.394,3.01826578890807,0.637,0.274,0,0
"56","BMP7",655,"ENSG00000101144","Non-neuronal",0.386,0.2,2.89760976855958,0.622,0.244,0,0
"57","BMPR1B",658,"ENSG00000138696","Non-neuronal",0.694,0.661,2.39844597337924,0.64,0.28,0,0
"58","BNC2",54796,"ENSG00000173068","Non-neuronal",0.59,0.554,3.85362623488262,0.599,0.198,0,0
"59","C10orf11",83938,"ENSG00000148655","Non-neuronal",0.803,0.806,2.94857176978362,0.649,0.298,0,0
"60","C10orf90",118611,"ENSG00000154493","Non-neuronal",0.626,0.253,4.44856134182678,0.752,0.504,0,0
"61","C11orf87",399947,"ENSG00000185742","Neuronal",0.703,0.035,2.72681172218751,0.838,0.676,0,0
"62","C12orf56",115749,"ENSG00000185306","Non-neuronal",0.531,0.522,2.09527867773082,0.56,0.12,3.55793042129246e-256,1.78896299513006e-251
"63","C3",718,"ENSG00000125730","Non-neuronal",0.377,0.278,4.61146352517268,0.583,0.166,0,0
"64","C4orf22",255119,"ENSG00000197826","Neuronal",0.751,0.434,2.0174330342551,0.706,0.412,0,0
"65","C8orf34",116328,"ENSG00000165084","Neuronal",0.873,0.446,3.47753103015448,0.836,0.672,0,0
"66","CA2",760,"ENSG00000104267","Non-neuronal",0.459,0.187,2.6579996253505,0.661,0.322,0,0
"67","CABP1",9478,"ENSG00000157782","Neuronal",0.907,0.204,2.68276107866697,0.914,0.828,0,0
"68","CACNA1B",774,"ENSG00000148408","Neuronal",0.997,0.41,2.96675050140509,0.973,0.946,0,0
"69","CACNA1E",777,"ENSG00000198216","Neuronal",0.919,0.266,2.23696081034245,0.905,0.81,0,0
"70","CACNA1I",8911,"ENSG00000100346","Neuronal",0.556,0.157,2.03689990278028,0.725,0.45,0,0
"71","CACNG3",10368,"ENSG00000006116","Neuronal",0.919,0.265,3.1822416697782,0.928,0.856,0,0
"72","CACNG8",59283,"ENSG00000142408","Neuronal",0.927,0.266,2.00977239727031,0.912,0.824,0,0
"73","CADPS",8618,"ENSG00000163618","Neuronal",0.999,0.557,2.2637620950957,0.952,0.904,0,0
"74","CALY",50632,"ENSG00000130643","Neuronal",0.904,0.08,2.20762192033274,0.92,0.84,0,0
"75","CAMK1G",57172,"ENSG00000008118","Neuronal",0.419,0.027,2.17326280541515,0.698,0.396,0,0
"76","CAMKV",79012,"ENSG00000164076","Neuronal",0.816,0.036,2.57906948980577,0.894,0.788,0,0
"77","CAP2",10486,"ENSG00000112186","Neuronal",0.981,0.582,2.10097873558259,0.937,0.874,0,0
"78","CAPN3",825,"ENSG00000092529","Non-neuronal",0.47,0.268,3.30656571772955,0.643,0.286,0,0
"79","CARD11",84433,"ENSG00000198286","Non-neuronal",0.478,0.499,2.46287857012064,0.539,0.0780000000000001,1.18182621844035e-231,5.94234040893993e-227
"80","CARNS1",57571,"ENSG00000172508","Non-neuronal",0.428,0.084,4.73412121888346,0.687,0.374,0,0
"81","CBLN2",147381,"ENSG00000141668","Neuronal",0.611,0.101,4.32721905021644,0.776,0.552,0,0
"82","CCDC144NL",339184,"ENSG00000205212","Neuronal",0.415,0.047,2.74441676920142,0.69,0.38,0,0
"83","CCDC64",92558,"ENSG00000135127","Neuronal",0.945,0.573,2.36556302856804,0.901,0.802,0,0
"84","CCDC85A",114800,"ENSG00000055813","Neuronal",0.859,0.205,2.55590110033957,0.886,0.772,0,0
"85","CCK",885,"ENSG00000187094","Neuronal",0.775,0.124,2.28252017842136,0.835,0.67,0,0
"86","CCKBR",887,"ENSG00000110148","Neuronal",0.365,0.028,2.42836291769118,0.672,0.344,0,0
"87","CCSER1",401145,"ENSG00000184305","Neuronal",1,0.87,2.74480370439128,0.978,0.956,0,0
"88","CD22",933,"ENSG00000012124","Non-neuronal",0.401,0.14,4.06967320460382,0.655,0.31,0,0
"89","CD38",952,"ENSG00000004468","Non-neuronal",0.378,0.353,2.92087958064793,0.548,0.0960000000000001,0,0
"90","CD9",928,"ENSG00000010278","Non-neuronal",0.453,0.132,4.81453079778336,0.686,0.372,0,0
"91","CDC14A",8556,"ENSG00000079335","Non-neuronal",0.426,0.232,3.34244388019276,0.632,0.264,0,0
"92","CDH1",999,"ENSG00000039068","Non-neuronal",0.471,0.462,2.75728423068131,0.56,0.12,0,0
"93","CDH12",1010,"ENSG00000154162","Neuronal",0.983,0.904,3.51571228589086,0.852,0.704,0,0
