"","gene","entrez_id","cluster","adapted_cluster_name","pct.1","pct.2","avg_logFC","MAST_p_val","MAST_p_val_adj","roc_myAUC","roc_power"
"638","LOC105372526",105372526,"VLMC_CYP1B1","VLMC_CYP1B1",0.364,0.066,3.56009880430872,2.12281906882625e-05,1,0.656,0.312
"639","LOC105372633",105372633,"Astro_FGFR3","Astrocyte",0.4,0.085,2.53045377257591,1.04866143023815e-198,5.27277453738044e-194,0.666,0.332
"640","LOC105372768",105372768,"Inh_SST","SST",0.738,0.068,2.63379296589749,4.2407734605193e-257,2.13230330368371e-252,0.843,0.686
"641","LOC105372776",105372776,"Micro_C1QC","Microglia",0.531,0.316,4.047181634496,1.77173588976934e-212,8.90846522734923e-208,0.653,0.306
"642","LOC105372984",105372984,"Micro_C1QC","Microglia",0.455,0.03,5.17511823398287,0,0,0.718,0.436
"643","LOC105373154",105373154,"Inh_SST","SST",0.526,0.179,2.94469465359343,1.24281028505446e-150,6.24897439428234e-146,0.705,0.41
"644","LOC105373171",105373171,"VLMC_CYP1B1","VLMC_CYP1B1",0.455,0.118,2.64776740795793,0.00547690585591482,1,0.675,0.35
"645","LOC105373220",105373220,"VLMC_CYP1B1","VLMC_CYP1B1",0.364,0.224,3.73221457908198,3.0148213636313e-08,0.00151588232984745,0.594,0.188
"646","LOC105373335",105373335,"Oligo","Oligo",0.354,0.141,3.63560001668115,1.76486649588305e-291,8.87392522794955e-287,0.624,0.248
"647","LOC105373437",105373437,"Endo_CLDN5","Endothelial",0.886,0.035,2.80622599789945,1.3495086928152e-84,6.7854646583441e-80,0.934,0.868
"648","LOC105373611",105373611,"VLMC_CYP1B1","VLMC_CYP1B1",0.455,0.292,2.59498305351914,1.30435351658767e-05,0.655841991675448,0.613,0.226
"649","LOC105373720",105373720,"Pyramidal","Pyramidal",0.445,0.036,3.34516420300164,0,0,0.712,0.424
"650","LOC105373893",105373893,"Pyramidal","Pyramidal",0.821,0.292,4.18281267210845,0,0,0.867,0.734
"651","LOC105373895",105373895,"Pyramidal","Pyramidal",0.673,0.157,3.37672573720349,0,0,0.802,0.604
"652","LOC105373896",105373896,"Pyramidal","Pyramidal",0.716,0.066,4.04958603006817,0,0,0.846,0.692
"653","LOC105374211",105374211,"Oligo","Oligo",0.404,0.108,4.273542761283,0,0,0.666,0.332
"654","LOC105374213",105374213,"Oligo","Oligo",0.435,0.134,3.2237490119614,1.01579674327235e-274,5.10752760484772e-270,0.667,0.334
"655","LOC105374214",105374214,"Oligo","Oligo",0.801,0.631,3.15636583519647,0,0,0.711,0.422
