"","subclass","term","estimate","std.error","statistic","p.value","dataset","class","class_color","mapping","filtering"
"38","IT","scale(age_death)",0.267780183749065,0.208409590539758,1.28487457345674,0.213518282126455,"Mathys","Glutamatergic","#ff6a6a","CgG","Unfiltered"
"39","IT","factor(msex)1",0.308700769229629,0.425575140703978,0.725373123813063,0.47662566336047,"Mathys","Glutamatergic","#ff6a6a","CgG","Unfiltered"
"40","IT","scale(pmi)",-0.219736342475933,0.217583577521332,-1.00989396800588,0.324608819991676,"Mathys","Glutamatergic","#ff6a6a","CgG","Unfiltered"
"41","IT","LOADAD",0.285395120315103,0.457043875949413,0.624437029644592,0.539399315561514,"Mathys","Glutamatergic","#ff6a6a","CgG","Unfiltered"
"42","IT","LOADAD",-1.2155709685462,0.998264040127259,-1.21768482053229,0.277669213481832,"Cain","Glutamatergic","#ff6a6a","CgG","Unfiltered"
"43","IT","factor(msex)1",-1.19917447081742,0.618043125783807,-1.94027636711697,0.110031893023882,"Cain","Glutamatergic","#ff6a6a","CgG","Unfiltered"
"44","IT","scale(pmi)",0.676594545058173,0.376103985073749,1.79895606510391,0.131934782889402,"Cain","Glutamatergic","#ff6a6a","CgG","Unfiltered"
"45","IT","LOADAD",0.0841478568158195,0.574943010568128,0.146358604712264,0.886286081113366,"Zhou","Glutamatergic","#ff6a6a","CgG","Unfiltered"
"46","L5/6 NP","scale(age_death)",0.249428931073333,0.217415157668466,1.14724720092278,0.264818894758136,"Mathys","Glutamatergic","#ff6a6a","CgG","Unfiltered"
"47","L5/6 NP","(Intercept)",0.08286854666739,0.888367947178782,0.0932817836692085,0.929302214179987,"Cain","Glutamatergic","#ff6a6a","CgG","Unfiltered"
"48","L5/6 NP","scale(age_death)",-0.131391966279073,0.635170130014486,-0.206861059848763,0.844278746449053,"Cain","Glutamatergic","#ff6a6a","CgG","Unfiltered"
"49","L5/6 NP","factor(msex)1",-0.312436959605767,0.817988956633305,-0.381957429953213,0.718187828116428,"Cain","Glutamatergic","#ff6a6a","CgG","Unfiltered"
"50","L5/6 NP","(Intercept)",0.165191172784781,0.461802923166436,0.357709240236328,0.724308219635682,"Mathys","Glutamatergic","#ff6a6a","CgG","Unfiltered"
"51","L5/6 NP","(Intercept)",-0.153021683144203,0.444189185437227,-0.344496642784267,0.736968926354092,"Zhou","Glutamatergic","#ff6a6a","CgG","Unfiltered"
"52","L5/6 NP","scale(age_death)",0.216416762009982,0.294342875986341,0.735253949275216,0.47756874888564,"Zhou","Glutamatergic","#ff6a6a","CgG","Unfiltered"
"53","L5/6 NP","factor(msex)1",0.40700699429896,0.608256278055487,0.669137350460412,0.517205544010251,"Zhou","Glutamatergic","#ff6a6a","CgG","Unfiltered"
"54","L5/6 NP","scale(pmi)",-0.249452424207998,0.308666122678372,-0.808162625828314,0.43612623499197,"Zhou","Glutamatergic","#ff6a6a","CgG","Unfiltered"
