"","subclass","term","estimate","std.error","statistic","p.value","dataset","mapping","filtering","class"
"43","Astrocyte","scale(pmi)",-0.197932529211309,0.293044544585551,-0.675434956454289,0.513347798729466,"Zhou","CgG","Filtered","Non-Neuronal"
"44","Astrocyte","LOADAD",-0.00628795502390113,0.550540188338538,-0.0114214278214228,0.991091731563448,"Zhou","CgG","Filtered","Non-Neuronal"
"45","Astrocyte","factor(msex)1",-0.609597285563382,0.581766722531417,-1.04783801127515,0.317191283433126,"Zhou","CgG","Unfiltered","Non-Neuronal"
"46","Astrocyte","scale(pmi)",-0.196246958020706,0.29522371576853,-0.664739814380539,0.519909488021641,"Zhou","CgG","Unfiltered","Non-Neuronal"
"47","Astrocyte","LOADAD",0.0810503622843093,0.554634177923623,0.146133010749061,0.886460000929963,"Zhou","CgG","Unfiltered","Non-Neuronal"
"48","Astrocyte","factor(msex)1",1.07565151159887,0.413910374766536,2.59875465118646,0.0483221810781517,"Cain","CgG","Filtered","Non-Neuronal"
"49","Astrocyte","(Intercept)",0.184859189790315,0.467162975162011,0.395705994736004,0.696511359438071,"Mathys","CgG","Unfiltered","Non-Neuronal"
"50","Astrocyte","(Intercept)",-0.821452798101923,0.449522829086537,-1.82738838819638,0.127194285599749,"Cain","CgG","Filtered","Non-Neuronal"
"51","Astrocyte","scale(age_death)",0.206170199277142,0.321402268848309,0.641470889474173,0.5494620791025,"Cain","CgG","Filtered","Non-Neuronal"
"52","Astrocyte","scale(pmi)",-0.846223837820575,0.242809052146847,-3.48514122656676,0.0175616525509673,"Cain","CgG","Unfiltered","Non-Neuronal"
"53","Astrocyte","LOADAD",0.504437748467936,0.6444694951266,0.782717804771882,0.46922312717945,"Cain","CgG","Unfiltered","Non-Neuronal"
"54","Astrocyte","LOADAD",0.567254084604981,0.668548561948678,0.848485984251547,0.434896002985231,"Cain","CgG","Filtered","Non-Neuronal"
"55","Astrocyte","factor(msex)1",1.18345494755323,0.399002593732194,2.96603321919142,0.0313000518305403,"Cain","CgG","Unfiltered","Non-Neuronal"
"56","Astrocyte","scale(age_death)",-0.0358740774579859,0.219938650897436,-0.163109473080814,0.872069120142535,"Mathys","CgG","Unfiltered","Non-Neuronal"
"57","Astrocyte","scale(age_death)",0.309113328875177,0.30982634579822,0.997698656254666,0.364229748865347,"Cain","CgG","Unfiltered","Non-Neuronal"
"58","Astrocyte","(Intercept)",0.188073800944113,0.424844750344101,0.442688301530815,0.666570146880759,"Zhou","CgG","Unfiltered","Non-Neuronal"
"59","Astrocyte","scale(age_death)",0.0665963537883424,0.281524246343125,0.236556370022829,0.817348275265044,"Zhou","CgG","Unfiltered","Non-Neuronal"
"60","Astrocyte","(Intercept)",-0.843946348010582,0.433332396774373,-1.94757270467827,0.109008438368769,"Cain","CgG","Unfiltered","Non-Neuronal"
