"","subclass","term","estimate","std.error","statistic","p.value","dataset","class"
"268","Inh.Inh.PVALB_not_chandelier","factor(msex)1",0.18120837259885,0.82595230119007,0.219393265613228,0.835018864493758,"Cain","Inh"
"269","Inh.Inh.PVALB_not_chandelier","scale(pmi)",0.445208311570533,0.502625041843898,0.885766276063903,0.416304322899743,"Cain","Inh"
"270","Inh.Inh.PVALB_not_chandelier","LOADAD",-0.918520310162323,1.33407920376551,-0.688505080935039,0.521770581231252,"Cain","Inh"
"271","Inh.Inh.SST","(Intercept)",-0.214593168314549,0.911538455350867,-0.235418667259571,0.823222135791593,"Cain","Inh"
"272","Inh.Inh.SST","scale(age_death)",0.00871915387336882,0.651736705536378,0.0133783379074729,0.989843350427908,"Cain","Inh"
"273","Inh.Inh.SST","factor(msex)1",0.332374218714802,0.839323832418207,0.396002360325199,0.708437069807919,"Cain","Inh"
"274","Inh.Inh.SST","scale(pmi)",-0.413337777376879,0.5107621539185,-0.809256860959266,0.455136697909544,"Cain","Inh"
"275","Inh.Inh.SST","LOADAD",0.0968121179142963,1.35567691795343,0.0714123819858546,0.94583799515862,"Cain","Inh"
"276","Inh.Inh.VIP","(Intercept)",0.25565795924868,0.712017116565747,0.359061535601542,0.734213776796279,"Cain","Inh"
"277","Inh.Inh.VIP","scale(age_death)",1.00875379788879,0.509081857284289,1.9815159064399,0.104375635952885,"Cain","Inh"
"278","Inh.Inh.VIP","factor(msex)1",0.791019383719932,0.655609131480133,1.20654113211341,0.281575366004186,"Cain","Inh"
"279","Inh.Inh.VIP","scale(pmi)",0.160683767578737,0.398964403475416,0.402752140739889,0.703773275521765,"Cain","Inh"
"280","Inh.Inh.VIP","LOADAD",-1.30233530221729,1.05894070014237,-1.22984724455506,0.273461593454139,"Cain","Inh"
"281","Mic0","(Intercept)",0.276635504762677,0.456832262330351,0.605551594258097,0.551623126897925,"Mathys","Mic"
