"","subclass","term","estimate","std.error","statistic","p.value","dataset","mapping","filtering","class"
"31","Endothelial","scale(age_death)",-0.307524328459016,0.200642822565502,-1.53269538639301,0.14101750849409,"Mathys","MTGnCgG_Top20PctMostVar","Filtered","Non-neuronal"
"32","Endothelial","scale(age_death)",-0.659923557762289,0.591985021871877,-1.11476394398559,0.315645992439653,"Cain","MTGnCgG_Top20PctMostVar","Unfiltered","Non-neuronal"
"33","Endothelial","(Intercept)",0.217726346521589,0.42617747063618,0.510881877910101,0.615027090560449,"Mathys","MTGnCgG_Top20PctMostVar","Filtered","Non-neuronal"
"34","Endothelial","factor(msex)1",-0.690801825944923,0.409715297762497,-1.68605329046163,0.107324205905776,"Mathys","MTGnCgG_Top20PctMostVar","Filtered","Non-neuronal"
"35","Endothelial","scale(age_death)",-0.419630649713011,0.236274838787941,-1.77602766280854,0.103361561803032,"Zhou","MTGnCgG_Top20PctMostVar","Unfiltered","Non-neuronal"
"36","Endothelial","LOADAD",0.17790395301871,0.440011292519063,0.404316789235591,0.690270878380088,"Mathys","MTGnCgG_Top20PctMostVar","Filtered","Non-neuronal"
"37","Endothelial","scale(age_death)",-0.384968589224503,0.237605125385745,-1.62020321994114,0.13347681136306,"Zhou","MTGnCgG_Top20PctMostVar","Filtered","Non-neuronal"
"38","Endothelial","factor(msex)1",-0.256160731894783,0.491008347763604,-0.52170341514868,0.612219812780982,"Zhou","MTGnCgG_Top20PctMostVar","Filtered","Non-neuronal"
"39","Endothelial","scale(pmi)",-0.0671225868235279,0.209474923993248,-0.320432563210723,0.751964234775504,"Mathys","MTGnCgG_Top20PctMostVar","Filtered","Non-neuronal"
"40","Endothelial","(Intercept)",-0.535639924638692,0.356559430320297,-1.5022458504534,0.161185402592627,"Zhou","MTGnCgG_Top20PctMostVar","Unfiltered","Non-neuronal"
"41","Endothelial","(Intercept)",-0.398674142832525,0.827967962896667,-0.481509141293044,0.650489434309866,"Cain","MTGnCgG_Top20PctMostVar","Unfiltered","Non-neuronal"
"42","Endothelial","(Intercept)",0.376786333236419,0.422366238201308,0.892084402486819,0.38295549781903,"Mathys","MTGnCgG_Top20PctMostVar","Unfiltered","Non-neuronal"
"43","Endothelial","scale(age_death)",-0.331308743525442,0.198848508023148,-1.66613643129208,0.111272297376509,"Mathys","MTGnCgG_Top20PctMostVar","Unfiltered","Non-neuronal"
"44","Endothelial","factor(msex)1",-0.783648433870634,0.406051283731993,-1.92992477863429,0.0679223950097575,"Mathys","MTGnCgG_Top20PctMostVar","Unfiltered","Non-neuronal"
"45","Endothelial","scale(pmi)",-0.0411052377437278,0.207601625474151,-0.19800055828005,0.845043295157228,"Mathys","MTGnCgG_Top20PctMostVar","Unfiltered","Non-neuronal"
"46","Endothelial","(Intercept)",-0.478054071552395,0.358566949334633,-1.33323518087622,0.20940740168768,"Zhou","MTGnCgG_Top20PctMostVar","Filtered","Non-neuronal"
"47","Endothelial","(Intercept)",-0.463067758974011,0.815941471897367,-0.567525704873423,0.594889979129219,"Cain","MTGnCgG_Top20PctMostVar","Filtered","Non-neuronal"
"48","Endothelial","scale(pmi)",-0.0589546688195548,0.249167412445647,-0.236606658314177,0.817310227873667,"Zhou","MTGnCgG_Top20PctMostVar","Filtered","Non-neuronal"
"49","Endothelial","LOADAD",1.14822869202588,0.468108609118316,2.45291086226457,0.0320797184564519,"Zhou","MTGnCgG_Top20PctMostVar","Filtered","Non-neuronal"
"50","Endothelial","LOADAD",0.805456688729173,1.21350121145073,0.663746093641106,0.536228508858336,"Cain","MTGnCgG_Top20PctMostVar","Filtered","Non-neuronal"
"51","Endothelial","LOADAD",-0.000992320278929322,0.436076346574465,-0.0022755654754594,0.998206907978133,"Mathys","MTGnCgG_Top20PctMostVar","Unfiltered","Non-neuronal"
"52","Endothelial","LOADAD",0.549297901476854,1.23138749606771,0.446080460643763,0.674193454694819,"Cain","MTGnCgG_Top20PctMostVar","Unfiltered","Non-neuronal"
"53","Endothelial","factor(msex)1",-0.0753071158420727,0.488259325311417,-0.154235898708214,0.880217132964193,"Zhou","MTGnCgG_Top20PctMostVar","Unfiltered","Non-neuronal"
