"","gene","entrez_id","ensembl_id","subclass","pct.1","pct.2","avg_logFC","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"705","LOC105376388",105376388,NA,"Microglia",0.444,0.028,5.96991448225373,0.714,0.428,0,0
"706","LOC105376457",105376457,NA,"L5 ET",0.754,0.085,3.42669950790466,0.862,0.724,1.5887424348655e-93,7.9883558367472e-89
"707","LOC105376460",105376460,NA,"L5 ET",0.369,0.006,2.53308189053886,0.682,0.364,1.32862893513916e-35,6.68047914877319e-31
"708","LOC105376481",105376481,NA,"VLMC",0.636,0.209,4.11502280474331,0.765,0.53,2.65688282630479e-12,1.33590725389431e-07
"709","LOC105376501",105376501,NA,"IT",0.431,0.037,2.70517499773697,0.703,0.406,0,0
"710","LOC105376591",105376591,NA,"L6 CT",0.722,0.145,2.69771311025539,0.82,0.64,4.18614410448466e-138,2.10483511717593e-133
"711","LOC105376603",105376603,NA,"Microglia",0.625,0.136,5.87352071745312,0.783,0.566,0,0
"712","LOC105376640",105376640,NA,"VLMC",0.364,0.189,2.63304765132271,0.6,0.2,NA,NA
"713","LOC105376908",105376908,NA,"Microglia",0.485,0.317,2.80583710064525,0.624,0.248,5.06068088302551e-175,2.54456095479406e-170
"714","LOC105376917",105376917,NA,"Astrocyte",0.774,0.203,4.66925720423979,0.854,0.708,0,0
"715","LOC105376987",105376987,NA,"L5/6 NP",0.401,0.118,2.83586628953617,0.659,0.318,3.60536855775831e-52,1.81281536452646e-47
"716","LOC105377087",105377087,NA,"L6b",0.848,0.124,2.94732777065981,0.9,0.8,1.84080383318224e-281,9.25574575362361e-277
"717","LOC105377183",105377183,NA,"L6b",0.402,0.042,3.23185330342583,0.687,0.374,8.01017129932952e-154,4.02759423101587e-149
"718","LOC105377401",105377401,NA,"L5/6 NP",0.383,0.071,3.16410671287759,0.666,0.332,1.49198520897927e-90,7.50185082926864e-86
"719","LOC105377684",105377684,NA,"Microglia",0.788,0.165,5.03624463220556,0.867,0.734,0,0
"720","LOC105377885",105377885,NA,"VIP",0.444,0.309,2.55846170091631,0.591,0.182,2.99650583807351e-132,1.50667310044174e-127
"721","LOC105377918",105377918,NA,"Microglia",0.525,0.037,5.07176159050263,0.752,0.504,0,0
"722","LOC105377979",105377979,NA,"VLMC",0.818,0.23,4.67064823120283,0.872,0.744,1.74283501773574e-46,8.76314875267705e-42
"723","LOC105377997",105377997,NA,"L5/6 IT Car3",0.538,0.09,2.50823200338696,0.738,0.476,5.58776315415472e-29,2.80958319154054e-24
"724","LOC105378111",105378111,NA,"OPC",0.382,0.065,3.18434938354791,0.666,0.332,5.1133506751174e-180,2.57104385295578e-175
"725","LOC105378119",105378119,NA,"Microglia",0.424,0.095,3.26751808053266,0.676,0.352,1.77842459329006e-170,8.94209669752177e-166
"726","LOC105378145",105378145,NA,"VLMC",0.636,0.11,5.68132885476727,0.797,0.594,3.79205345345601e-55,1.90668239693222e-50
"727","LOC105378146",105378146,NA,"VLMC",0.545,0.03,4.89642473225472,0.764,0.528,7.35209628556267e-11,3.69670753334376e-06
"728","LOC105378305",105378305,NA,"Microglia",0.793,0.337,5.53852335097945,0.845,0.69,0,0
"729","LOC105378332",105378332,NA,"L5/6 NP",0.856,0.302,2.92057808839899,0.876,0.752,2.14997548973583e-151,1.08102917599407e-146
"730","LOC105378486",105378486,NA,"L5/6 IT Car3",0.769,0.419,2.92545881473401,0.78,0.56,9.37821965374439e-43,4.71546262409922e-38
"731","LOC105378657",105378657,NA,"L5 ET",1,0.241,2.85691856403976,0.98,0.96,5.52421956310399e-86,2.77763283852432e-81
"732","LOC105378837",105378837,NA,"IT",0.577,0.096,2.53803061262611,0.756,0.512,0,0
"733","LOC105378964",105378964,NA,"L6b",0.461,0.105,2.861464804779,0.694,0.388,4.4861208398727e-140,2.25566641949639e-135
"734","LOC105379054",105379054,NA,"OPC",0.726,0.04,4.21606556553408,0.851,0.702,0,0
"735","LOC105379082",105379082,NA,"VLMC",1,0.366,3.70115482962704,0.997,0.994,7.93310384918019e-16,3.98884394640629e-11
"736","LOC105379364",105379364,NA,"Astrocyte",0.682,0.478,3.03619708927524,0.688,0.376,8.18710135481746e-298,4.11655643221577e-293
"737","LOC255187",255187,NA,"Oligodendrocyte",0.424,0.067,4.63845917628497,0.691,0.382,0,0
"738","LOC284930",284930,NA,"IT",0.584,0.302,2.89427095857786,0.695,0.39,0,0
"739","LOC285626",285626,NA,"Microglia",0.392,0.108,4.65024503097056,0.657,0.314,1.47421138437717e-253,7.41248226178687e-249
"740","LOC401134",401134,NA,"Microglia",0.663,0.271,2.51519319858074,0.751,0.502,1.17192236674229e-178,5.89254285221692e-174
"741","LOC401478",401478,NA,"Microglia",0.715,0.405,2.58108591320176,0.749,0.498,2.13030791103704e-252,1.07114012074853e-247
"742","LOC440896",440896,NA,"L6 CT",0.601,0.083,2.61164041054847,0.774,0.548,1.0289738371282e-123,5.1737833504643e-119
"743","LOC643542",643542,NA,"L5/6 NP",0.826,0.251,2.58407409535953,0.855,0.71,1.05325390182367e-99,5.29586594375958e-95
"744","LOC644135",644135,NA,"Pericyte",0.469,0.066,3.19455929656147,0.704,0.408,7.2506652912171e-10,3.64570701507687e-05
"745","LOC645321",645321,NA,"Astrocyte",0.518,0.029,2.92485438149231,0.746,0.492,0,0
"746","LOC648987",648987,NA,"VLMC",0.636,0.324,3.07811598325462,0.74,0.48,4.40218649000928e-07,0.0221346338904156
"747","LOC729732",729732,NA,"L5/6 NP",1,0.714,2.73525542024727,0.987,0.974,1.03565927977785e-176,5.207398424651e-172
"748","LPAR1",1902,"ENSG00000198121","Oligodendrocyte",0.91,0.239,2.91004044035058,0.917,0.834,0,0
"749","LPAR5",57121,"ENSG00000184574","Microglia",0.616,0.236,4.62297784764319,0.747,0.494,0,0
