"","gene","entrez_id","ensembl_id","class","pct.1","pct.2","avg_logFC","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"253","PHLDB1",23187,"ENSG00000019144","Non-neuronal",0.696,0.376,3.16132621079864,0.75,0.5,0,0
"254","PHLPP1",23239,"ENSG00000081913","Non-neuronal",0.911,0.791,2.75667708395334,0.808,0.616,0,0
"255","PIP4K2A",5305,"ENSG00000150867","Non-neuronal",0.844,0.668,3.14283613379663,0.763,0.526,0,0
"256","PKP2",5318,"ENSG00000057294","GABAergic",0.569,0.369,3.16285222963521,0.655,0.31,0,0
"257","PLA2G16",11145,"ENSG00000176485","Non-neuronal",0.42,0.199,3.15462602205797,0.635,0.27,6.40550672629442e-280,3.2207528370481e-275
"258","PLCG2",5336,"ENSG00000197943","Non-neuronal",0.388,0.282,3.72316918176602,0.579,0.158,9.40173418886641e-142,4.72728596750392e-137
"259","PLD1",5337,"ENSG00000075651","Non-neuronal",0.628,0.35,3.64188326935294,0.708,0.416,0,0
"260","PLEKHB1",58473,"ENSG00000021300","Non-neuronal",0.49,0.105,3.43296427551083,0.708,0.416,0,0
"261","PLEKHH1",57475,"ENSG00000054690","Non-neuronal",0.594,0.405,3.11843950331809,0.668,0.336,0,0
"262","PLLP",51090,"ENSG00000102934","Non-neuronal",0.504,0.105,5.17957169411489,0.722,0.444,0,0
"263","PLP1",5354,"ENSG00000123560","Non-neuronal",0.616,0.175,6.16404678830217,0.752,0.504,0,0
"264","PLXNB1",5364,"ENSG00000164050","Non-neuronal",0.452,0.092,3.21049275058206,0.691,0.382,0,0
"265","PLXNB3",5365,"ENSG00000198753","Non-neuronal",0.411,0.029,3.90224508990019,0.695,0.39,0,0
"266","PMP22",5376,"ENSG00000109099","Non-neuronal",0.496,0.113,4.09151495462696,0.712,0.424,0,0
"267","PNOC",5368,"ENSG00000168081","GABAergic",0.46,0.07,3.86915044888432,0.709,0.418,0,0
"268","PON2",5445,"ENSG00000105854","Non-neuronal",0.608,0.063,4.6316395866389,0.788,0.576,0,0
"269","PPAP2B",8613,"ENSG00000162407","Non-neuronal",0.526,0.148,3.36755477166857,0.715,0.43,0,0
"270","PPP1R14A",94274,"ENSG00000167641","Non-neuronal",0.357,0.033,4.10975267915777,0.667,0.334,0,0
"271","PREX1",57580,"ENSG00000124126","Non-neuronal",0.762,0.292,3.3484757921132,0.809,0.618,0,0
"272","PRKCH",5583,"ENSG00000027075","Non-neuronal",0.363,0.291,3.22859703044313,0.556,0.112,2.77035664068528e-81,1.39296302250297e-76
"273","PRKCQ",5588,"ENSG00000065675","Non-neuronal",0.651,0.451,2.60921333841442,0.671,0.342,5.77348530426061e-305,2.90296614583528e-300
"274","PRR5L",79899,"ENSG00000135362","Non-neuronal",0.458,0.166,4.17220955965223,0.673,0.346,0,0
"275","PSAT1",29968,"ENSG00000135069","Non-neuronal",0.416,0.2,2.60904034169591,0.629,0.258,4.11785825631752e-222,2.07050030985901e-217
"276","PTAFR",5724,"ENSG00000169403","Non-neuronal",0.418,0.308,3.41566908852462,0.589,0.178,4.10163654510619e-169,2.06234387124485e-164
"277","PTGDS",5730,"ENSG00000107317","Non-neuronal",0.803,0.271,4.2505113945497,0.859,0.718,0,0
"278","PTN",5764,"ENSG00000105894","Non-neuronal",0.643,0.214,2.89969891876345,0.759,0.518,0,0
"279","PTPRZ1",5803,"ENSG00000106278","Non-neuronal",0.603,0.541,2.56975848191608,0.603,0.206,6.26324129300895e-131,3.14922035453783e-126
"280","RAD51B",5890,"ENSG00000182185","Non-neuronal",0.846,0.748,2.52954617676101,0.712,0.424,0,0
"281","RALYL",138046,"ENSG00000184672","Glutamatergic",1,0.692,2.70164140283843,0.98,0.96,0,0
"282","RAPGEF3",10411,"ENSG00000079337","Non-neuronal",0.435,0.135,3.10948087114174,0.669,0.338,0,0
"283","RASSF2",9770,"ENSG00000101265","Non-neuronal",0.521,0.278,3.19576712189872,0.661,0.322,2.32738620298024e-286,1.17023305672049e-281
"284","RBM47",54502,"ENSG00000163694","Non-neuronal",0.833,0.73,2.85321685265892,0.669,0.338,6.41538861809454e-204,3.22572155106412e-199
"285","RELN",5649,"ENSG00000189056","GABAergic",0.763,0.628,4.49335223748492,0.673,0.346,0,0
"286","RFTN2",130132,"ENSG00000162944","Non-neuronal",0.804,0.46,4.28248415327397,0.815,0.63,0,0
"287","RGCC",28984,"ENSG00000102760","Non-neuronal",0.368,0.091,3.36424864742732,0.649,0.298,0,0
"288","RIN2",54453,"ENSG00000132669","Non-neuronal",0.87,0.589,2.6346679291583,0.805,0.61,0,0
"289","RNASE1",6035,"ENSG00000129538","Non-neuronal",0.401,0.031,5.14297742990395,0.689,0.378,0,0
"290","RND3",390,"ENSG00000115963","GABAergic",0.453,0.037,2.648028935108,0.712,0.424,0,0
"291","RNF125",54941,"ENSG00000101695","Non-neuronal",0.571,0.39,2.81665652941793,0.64,0.28,1.19551379329956e-192,6.01116290408954e-188
"292","RNF219.AS1",NA,NA,"Non-neuronal",0.512,0.343,5.00024103930897,0.636,0.272,0,0
"293","RNF220",55182,"ENSG00000187147","Non-neuronal",0.805,0.664,4.06166325521577,0.723,0.446,0,0
"294","RREB1",6239,"ENSG00000124782","Non-neuronal",0.431,0.266,3.1968896505129,0.613,0.226,1.07964638536708e-192,5.42856999026421e-188
"295","RXFP1",59350,"ENSG00000171509","Glutamatergic",0.862,0.264,3.3591701074904,0.892,0.784,0,0
"296","S100B",6285,"ENSG00000160307","Non-neuronal",0.577,0.078,4.26949621646863,0.765,0.53,0,0
"297","SATB2",23314,"ENSG00000119042","Glutamatergic",0.991,0.251,2.95395916431936,0.973,0.946,0,0
"298","SCD",6319,"ENSG00000099194","Non-neuronal",0.533,0.193,3.90679596687847,0.705,0.41,0,0
"299","SCG2",7857,"ENSG00000171951","GABAergic",0.806,0.32,2.5940852612132,0.821,0.642,0,0
"300","SCN7A",6332,"ENSG00000136546","GABAergic",0.452,0.121,2.52461883120998,0.681,0.362,0,0
"301","SFTA1P",207107,NA,"Glutamatergic",0.851,0.029,4.02072663537236,0.921,0.842,0,0
"302","SHROOM4",57477,"ENSG00000158352","Non-neuronal",0.57,0.211,4.56062241057176,0.727,0.454,0,0
"303","SLC17A7",57030,"ENSG00000104888","Glutamatergic",0.989,0.093,2.53924153551744,0.973,0.946,0,0
"304","SLC1A2",6506,"ENSG00000110436","Non-neuronal",0.597,0.728,3.089145776953,0.514,0.028,4.43844483730676e-180,2.23169444864621e-175
"305","SLC1A3",6507,"ENSG00000079215","Non-neuronal",0.819,0.124,6.20105427518163,0.893,0.786,0,0
"306","SLC22A24",283238,"ENSG00000197658","Glutamatergic",0.611,0.23,3.05192511629678,0.737,0.474,0,0
"307","SLC22A25",387601,"ENSG00000196600","Glutamatergic",0.681,0.285,3.2114336791708,0.76,0.52,0,0
"308","SLC22A9",114571,"ENSG00000149742","Glutamatergic",0.397,0.16,2.51729891594354,0.638,0.276,0,0
"309","SLC2A5",6518,"ENSG00000142583","Non-neuronal",0.582,0.455,3.47274509049721,0.623,0.246,5.09576551686561e-152,2.5622018595352e-147
"310","SLC32A1",140679,"ENSG00000101438","GABAergic",0.492,0.005,3.07137710091153,0.744,0.488,0,0
"311","SLC35D2",11046,"ENSG00000130958, ENSG00000285269","Non-neuronal",0.609,0.354,3.86448994068339,0.697,0.394,0,0
"312","SLC35F4",341880,"ENSG00000151812","GABAergic",0.768,0.455,2.74783553609256,0.778,0.556,0,0
"313","SLC5A11",115584,"ENSG00000158865, ENSG00000288216","Non-neuronal",0.692,0.496,4.84901471826168,0.7,0.4,0,0
"314","SLC6A7",6534,"ENSG00000011083","Glutamatergic",0.831,0.089,2.52596250572289,0.889,0.778,0,0
"315","SLCO1A2",6579,"ENSG00000084453","Non-neuronal",0.521,0.246,5.16480256451831,0.686,0.372,0,0
"316","SLIT3",6586,"ENSG00000184347","Glutamatergic",0.959,0.739,3.05932873008812,0.908,0.816,0,0
"317","SPATA22",84690,"ENSG00000141255","Non-neuronal",0.569,0.407,3.06429372704983,0.645,0.29,6.02217621922458e-264,3.02801042478831e-259
"318","SPP1",6696,"ENSG00000118785","Non-neuronal",0.502,0.075,4.35518245972026,0.725,0.45,0,0
"319","SST",6750,"ENSG00000157005","GABAergic",0.419,0.069,5.00768316655314,0.686,0.372,0,0
"320","ST18",9705,"ENSG00000147488","Non-neuronal",0.626,0.206,5.88750088611692,0.756,0.512,0,0
"321","STON2",85439,"ENSG00000140022","Non-neuronal",0.432,0.249,3.59141319122798,0.626,0.252,2.98866428009352e-313,1.50273028667382e-308
"322","STYK1",55359,"ENSG00000060140","Glutamatergic",0.608,0.093,2.91676671139782,0.779,0.558,0,0
"323","SUCLG2",8801,"ENSG00000172340","Non-neuronal",0.519,0.361,2.70216605982124,0.626,0.252,6.12604352535046e-239,3.08023594498147e-234
"324","SV2B",9899,"ENSG00000185518","Glutamatergic",0.996,0.374,2.89137158076402,0.975,0.95,0,0
"325","SV2C",22987,"ENSG00000122012","GABAergic",0.457,0.329,3.34658582623065,0.592,0.184,3.01961222922615e-260,1.5182912249772e-255
"326","SYNPR",132204,"ENSG00000163630","GABAergic",0.844,0.516,2.82226840139981,0.812,0.624,0,0
"327","SYTL5",94122,"ENSG00000147041","GABAergic",0.573,0.201,3.29669565488758,0.727,0.454,0,0
"328","TANC1",85461,"ENSG00000115183","Non-neuronal",0.781,0.494,2.78206004255509,0.756,0.512,0,0
"329","TBXAS1",6916,"ENSG00000059377","Non-neuronal",0.436,0.262,4.21543914367312,0.617,0.234,1.67721751546226e-227,8.43321738949578e-223
"330","TESPA1",9840,"ENSG00000135426","Glutamatergic",0.635,0.052,3.14282305022624,0.802,0.604,0,0
"331","TF",7018,"ENSG00000091513","Non-neuronal",0.701,0.698,2.95992942067136,0.62,0.24,2.13202986057496e-250,1.07200593419569e-245
"332","THSD7B",80731,"ENSG00000144229","GABAergic",0.807,0.69,3.23266198933736,0.658,0.316,0,0
"333","TMCC3",57458,"ENSG00000057704","Non-neuronal",0.474,0.285,2.70592194705424,0.629,0.258,5.13197834320475e-215,2.58041003074678e-210
"334","TMEM144",55314,"ENSG00000164124","Non-neuronal",0.709,0.281,3.99340114760941,0.784,0.568,0,0
"335","TMEM63A",9725,"ENSG00000196187","Non-neuronal",0.565,0.095,4.94153997168335,0.758,0.516,0,0
"336","TNS3",64759,"ENSG00000136205","Non-neuronal",0.669,0.448,3.31494065735075,0.701,0.402,0,0
"337","TSC22D4",81628,"ENSG00000166925","Non-neuronal",0.539,0.137,3.42763140452593,0.728,0.456,0,0
"338","TSPAN15",23555,"ENSG00000099282","Non-neuronal",0.365,0.179,3.25580082176222,0.612,0.224,5.56092175004927e-241,2.79608706514227e-236
"339","TTYH2",94015,"ENSG00000141540","Non-neuronal",0.573,0.127,4.56881099510034,0.753,0.506,0,0
"340","UGT8",7368,"ENSG00000174607","Non-neuronal",0.522,0.078,5.54551513103354,0.739,0.478,0,0
"341","VRK2",7444,"ENSG00000028116","Non-neuronal",0.427,0.257,3.36360603188903,0.622,0.244,0,0
"342","VSTM2A",222008,"ENSG00000170419","GABAergic",0.83,0.16,2.92761401966429,0.875,0.75,0,0
"343","WIPF1",7456,"ENSG00000115935","Non-neuronal",0.512,0.201,3.53985729319296,0.69,0.38,0,0
"344","YAP1",10413,"ENSG00000137693","Non-neuronal",0.396,0.218,3.30702680308391,0.616,0.232,8.76735437305226e-239,4.40831345231441e-234
"345","ZBBX",79740,"ENSG00000169064","Glutamatergic",0.82,0.228,2.56660622316265,0.857,0.714,0,0
"346","ZBTB20",26137,"ENSG00000181722","Non-neuronal",0.982,0.71,2.76238378214295,0.945,0.89,0,0
"347","ZCCHC24",219654,"ENSG00000165424","Non-neuronal",0.498,0.036,4.62052304182284,0.739,0.478,0,0
"348","ZDHHC23",254887,"ENSG00000184307","Glutamatergic",0.77,0.055,2.5490330875648,0.867,0.734,0,0
"349","ZFHX4",79776,"ENSG00000091656","Non-neuronal",0.606,0.153,3.10156301881751,0.756,0.512,0,0
"350","ZHX2",22882,"ENSG00000178764","Non-neuronal",0.755,0.462,2.81879033838331,0.759,0.518,0,0
"351","ZNF831",128611,"ENSG00000124203","Glutamatergic",0.561,0.155,2.58016898924507,0.734,0.468,0,0
