"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","group_2"
"SNTG14",8.37228340745534e-116,5.09147192882056,0.998,0.557,4.20966782010262e-111,"Endo_CLDN5"
"GRIA22",7.55527167547361e-115,3.31192069794847,0.995,0.257,3.79886615114488e-110,"Endo_CLDN5"
"LSAMP1",7.98394744382095e-114,3.16157291647939,0.995,0.614,4.01440861422761e-109,"Endo_CLDN5"
"RYR23",2.72889904142502e-113,3.81765432558227,0.995,0.757,1.37211772701892e-108,"Endo_CLDN5"
"LINC006323",3.77046988793457e-113,6.42045891348477,0.989,0.229,1.89582996435238e-108,"Endo_CLDN5"
"SNORD115@4",3.568184607829e-112,6.80461048961576,0.995,0.143,1.7941189026625e-107,"Endo_CLDN5"
"TRIM92",3.16751465243605e-109,5.78574234657292,0.989,0.257,1.59265804239137e-104,"Endo_CLDN5"
"DPP62",4.49656059826266e-108,4.08165272706864,0.989,0.757,2.26091563441245e-103,"Endo_CLDN5"
"NRCAM2",3.04493196842013e-107,5.42176121815056,0.979,0.614,1.53102224304133e-102,"Endo_CLDN5"
"UNC803",3.16189743548791e-105,5.97138992896807,0.977,0.257,1.58983364953768e-100,"Endo_CLDN5"
"MACROD21",1.76869272100744e-104,3.42465859016126,1,0.829,8.8931638704975e-100,"Endo_CLDN5"
"XKR44",2.64325128397291e-104,4.33968874525598,0.986,0.457,1.32905317809442e-99,"Endo_CLDN5"
"TMEM178B2",5.93651788342204e-104,4.0900872365569,0.995,0.357,2.98494055696344e-99,"Endo_CLDN5"
"RGS72",6.6694491944286e-104,4.32680235702941,0.979,0.557,3.35346574945065e-99,"Endo_CLDN5"
"MAPK101",4.47367706620624e-103,3.789071577583,0.989,0.557,2.24940956565916e-98,"Endo_CLDN5"
"CACNA2D32",4.40801669402462e-101,5.65134726565557,0.986,0.6,2.21639487392252e-96,"Endo_CLDN5"
"ATP8A23",8.99263260955631e-101,4.90164046393444,0.995,0.529,4.52158560241101e-96,"Endo_CLDN5"
"GRM54",1.84735794822853e-100,4.46074969886426,0.991,0.371,9.28870049948788e-96,"Endo_CLDN5"
"DYNC1I12",1.026056369997e-98,5.79971828660311,0.968,0.314,5.15911403398191e-94,"Endo_CLDN5"
"UBE3A3",1.0149191049721e-96,2.65419989514401,1,0.4,5.1031147517102e-92,"Endo_CLDN5"
"CACNB42",1.84518555612915e-95,3.57377229874172,0.979,0.357,9.27777749477298e-91,"Endo_CLDN5"
"NALCN2",1.92328292317448e-95,4.69370210402026,0.995,0.814,9.67045886601363e-91,"Endo_CLDN5"
"LOC1053775674",7.84817691819759e-95,6.16468728260565,0.986,0.671,3.94614183623893e-90,"Endo_CLDN5"
