"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","group_2"
"SST",0,6.03818978338062,0.926,0.049,0,"Oligo"
"CDH9",0,5.97187791594976,0.982,0.317,0,"Oligo"
"GRIK1",0,5.93723300419732,0.995,0.379,0,"Oligo"
"SNORD115@",0,5.85356896647879,0.995,0.119,0,"Oligo"
"ST6GALNAC5",0,5.6502189986004,0.945,0.219,0,"Oligo"
"ROBO2",0,5.57069623741816,1,0.732,0,"Oligo"
"MEG3",0,5.39385686064067,1,0.352,0,"Oligo"
"NXPH1",0,5.35336349781424,0.892,0.284,0,"Oligo"
"MGAT4C",0,5.25300426488269,0.982,0.573,0,"Oligo"
"LINC00599",0,5.05813799814297,0.883,0.029,0,"Oligo"
"GRIK2",0,5.01181391226613,1,0.465,0,"Oligo"
"GRIP1",0,4.99707596338112,1,0.519,0,"Oligo"
"NRG3",0,4.98154467997535,1,0.715,0,"Oligo"
"MIR124-2HG",0,4.9546127733289,0.885,0.04,0,"Oligo"
"SNTG1",0,4.93379009621681,0.998,0.635,0,"Oligo"
"CNTN5",0,4.9192347899124,0.991,0.848,0,"Oligo"
"XKR4",0,4.90695837900491,0.986,0.404,0,"Oligo"
"GRIN3A",0,4.87428349830344,0.949,0.218,0,"Oligo"
"GRIA1",0,4.86424049303874,0.998,0.3,0,"Oligo"
"LRFN5",0,4.85070204140609,0.975,0.305,0,"Oligo"
"DLGAP1",0,4.83463810012171,1,0.825,0,"Oligo"
"KCND2",0,4.81726085482137,0.954,0.343,0,"Oligo"
"SYNPR",0,4.75985475985538,0.995,0.283,0,"Oligo"
"NETO2",0,4.73496052646647,0.929,0.238,0,"Oligo"
"MIAT",0,4.69710282819067,0.972,0.077,0,"Oligo"
"TENM1",0,4.54845882301438,0.949,0.474,0,"Oligo"
"TENM2",0,4.51752585049075,0.995,0.62,0,"Oligo"
"KIAA1217",0,4.44341820913553,0.989,0.821,0,"Oligo"
"RALYL",0,4.4421338598361,0.949,0.552,0,"Oligo"
"CACNA2D3",0,4.4399594639888,0.986,0.596,0,"Oligo"
"FGF14",0,4.42280543182089,0.998,0.482,0,"Oligo"
"FRMPD4",0,4.41941827462221,0.998,0.514,0,"Oligo"
"PTPRO",0,4.41671919847222,0.878,0.227,0,"Oligo"
"ZNF385D",0,4.35504584511976,0.936,0.592,0,"Oligo"
"PAM",0,4.33519854976288,0.984,0.208,0,"Oligo"
"ZMAT4",0,4.33370150703933,0.869,0.383,0,"Oligo"
"FAM155A",0,4.33322661085617,1,0.545,0,"Oligo"
"GAD1",0,4.32182795767817,0.989,0.091,0,"Oligo"
"GRM5",0,4.28122877799306,0.991,0.395,0,"Oligo"
"KCNC2",0,4.27414845316251,1,0.254,0,"Oligo"
"SLC4A10",0,4.27002418703814,1,0.42,0,"Oligo"
"SLC8A1",0,4.257742192995,0.956,0.394,0,"Oligo"
"LINC01322",0,4.25058712829372,0.938,0.329,0,"Oligo"
"GALNTL6",0,4.24178673925816,0.961,0.629,0,"Oligo"
"LOC101927885",0,4.23531379777088,0.816,0.013,0,"Oligo"
"UNC5D",0,4.2199130906432,0.922,0.464,0,"Oligo"
"UNC80",0,4.20695297301878,0.977,0.239,0,"Oligo"
"CDH10",0,4.18349143761544,0.903,0.207,0,"Oligo"
"RIMS2",0,4.16889293673625,1,0.795,0,"Oligo"
"PCDH11X",0,4.1605329531109,0.903,0.597,0,"Oligo"
"CACNA1B",0,4.15973548087996,0.984,0.347,0,"Oligo"
"ADGRL2",0,4.15274923566293,0.966,0.59,0,"Oligo"
"KCNB2",0,4.14352423430758,0.929,0.329,0,"Oligo"
"NETO1",0,4.11276014194741,0.938,0.139,0,"Oligo"
"KCNIP1",0,4.08633975057285,0.901,0.263,0,"Oligo"
"CCSER1",0,4.06871911502053,1,0.821,0,"Oligo"
"MYT1L",0,4.05263179727754,0.993,0.373,0,"Oligo"
"GRIN2B",0,4.04737841428315,0.995,0.311,0,"Oligo"
"KCNQ5",0,4.04136590924777,0.924,0.452,0,"Oligo"
"ANKRD30BL",0,4.03345342912993,0.931,0.455,0,"Oligo"
"GPC6",0,4.0273025026303,0.887,0.541,0,"Oligo"
"GAD2",0,4.02227916025339,0.931,0.153,0,"Oligo"
"PLCB1",0,4.02195781767332,1,0.541,0,"Oligo"
"SCN3A",0,4.01772334715245,0.998,0.085,0,"Oligo"
"KCNA3",0,4.01763558767009,0.848,0.027,0,"Oligo"
"ELAVL2",0,4.0154438022131,0.961,0.137,0,"Oligo"
"PTPRR",0,3.98010222941676,0.913,0.263,0,"Oligo"
"AGBL4",0,3.92631228324526,0.993,0.715,0,"Oligo"
"HCN1",0,3.9044158511647,0.975,0.483,0,"Oligo"
"PLCH1",0,3.90272073181946,0.931,0.715,0,"Oligo"
"CADPS",0,3.89152264091372,0.993,0.43,0,"Oligo"
"STXBP5L",0,3.87116559225855,0.991,0.617,0,"Oligo"
"DAPK1",0,3.86369411731342,0.94,0.511,0,"Oligo"
"COL25A1",0,3.80075011669409,0.874,0.474,0,"Oligo"
"OPCML",0,3.77913650857304,0.984,0.581,0,"Oligo"
"NEBL",0,3.76677514470021,0.949,0.464,0,"Oligo"
"DLGAP2",0,3.76500329959666,0.933,0.442,0,"Oligo"
"CNTN4",0,3.75547195140122,0.949,0.592,0,"Oligo"
"ADCY2",0,3.72688571381085,0.908,0.517,0,"Oligo"
"ABLIM1",0,3.70305505389645,0.979,0.641,0,"Oligo"
"CHL1",0,3.68457839062206,0.943,0.219,0,"Oligo"
"CHRM3",0,3.66901197844628,0.984,0.825,0,"Oligo"
"ICA1",0,3.66698031564932,0.917,0.152,0,"Oligo"
"ATRNL1",0,3.64422865871088,0.989,0.631,0,"Oligo"
"MTUS2",0,3.58180420523305,0.975,0.687,0,"Oligo"
"FAM65B",0,3.57729217370083,0.922,0.451,0,"Oligo"
"FGF12",0,3.55496058190904,1,0.483,0,"Oligo"
"EPHB6",0,3.54862912601616,0.917,0.045,0,"Oligo"
"SLC44A5",0,3.48891132626899,0.963,0.49,0,"Oligo"
"SRRM3",0,3.48308498847449,0.952,0.527,0,"Oligo"
"CSMD1",0,3.45724846876007,1,0.881,0,"Oligo"
"PTPRG",0,3.45119596588795,0.982,0.601,0,"Oligo"
"SCN2A",0,3.44199586638437,0.995,0.227,0,"Oligo"
"SHISA6",0,3.43451329024771,0.913,0.407,0,"Oligo"
"DAB1",0,3.42055185018178,0.982,0.652,0,"Oligo"
"CELF2",0,3.39213189104024,0.989,0.375,0,"Oligo"
"CACNB2",0,3.38974826637907,0.979,0.655,0,"Oligo"
"RAB3C",0,3.38788297805687,0.984,0.27,0,"Oligo"
"KCTD16",0,3.38500061434088,0.989,0.373,0,"Oligo"
"CHD5",0,3.38145497470421,0.954,0.124,0,"Oligo"
"PAK3",0,3.37625562060645,1,0.939,0,"Oligo"
"FARP1",0,3.35405589138019,0.913,0.519,0,"Oligo"
"PTPRN2",0,3.34446409475839,0.986,0.452,0,"Oligo"
"SLC35F1",0,3.34419705695955,0.972,0.345,0,"Oligo"
"SCN1A",0,3.32109845878994,0.933,0.096,0,"Oligo"
"TENM3",0,3.3201936913327,0.956,0.505,0,"Oligo"
"SORBS2",0,3.29902698930731,0.938,0.361,0,"Oligo"
"MAP2",0,3.2633403556938,1,0.483,0,"Oligo"
"FRMD4A",0,3.24532660867825,1,0.867,0,"Oligo"
"NRXN1",0,3.21647033539343,0.998,0.689,0,"Oligo"
"PCLO",0,3.21424601901731,0.993,0.439,0,"Oligo"
"OSBPL6",0,3.20686017881793,0.943,0.374,0,"Oligo"
"THRB",0,3.1669453225832,1,0.966,0,"Oligo"
"FXYD6",0,3.16347610183572,0.972,0.097,0,"Oligo"
"MPP6",0,3.12974492249478,0.908,0.213,0,"Oligo"
"KLF12",0,3.1209651638746,0.975,0.591,0,"Oligo"
"SNRPN",0,3.11856847987034,0.986,0.498,0,"Oligo"
"GPM6A",0,3.03299511539062,1,0.524,0,"Oligo"
"CELF4",0,3.01559245313019,0.982,0.231,0,"Oligo"
"GABBR2",0,3.01131881293236,0.989,0.638,0,"Oligo"
"DCLK1",0,2.99452637266001,0.984,0.388,0,"Oligo"
"CACNA1C",0,2.96128121628461,0.982,0.436,0,"Oligo"
"LHFPL3",0,2.94915313184223,0.94,0.562,0,"Oligo"
"SYN2",0,2.94638148100035,0.966,0.322,0,"Oligo"
"PTPRM",0,2.91413941955099,0.984,0.593,0,"Oligo"
"KIAA1211",0,2.88678780565829,0.938,0.47,0,"Oligo"
"RBFOX1",0,2.88601094484422,1,0.983,0,"Oligo"
"CACNA1A",0,2.83081580080047,0.986,0.814,0,"Oligo"
"KSR2",0,2.81574550242115,0.989,0.813,0,"Oligo"
"CNTN1",0,2.80281118903179,0.995,0.406,0,"Oligo"
"FMN2",0,2.7889638603106,0.982,0.537,0,"Oligo"
"KCNMA1",0,2.78779539078318,0.982,0.467,0,"Oligo"
"CACNB4",0,2.7768670047273,0.979,0.461,0,"Oligo"
"NMNAT2",0,2.76927484304084,0.966,0.352,0,"Oligo"
"SYT16",0,2.7262893734728,0.954,0.328,0,"Oligo"
"NRCAM",0,2.70851705808534,0.979,0.654,0,"Oligo"
"ZNF385B",4.74303020007597e-322,4.37874117854435,0.899,0.293,2.3848430149002e-317,"Oligo"
"RBFOX3",1.99108455274022e-321,2.93859704402138,0.936,0.433,1.00113722396331e-316,"Oligo"
"AMPH",2.2183547498272e-321,2.76351568183545,0.929,0.573,1.11541095176061e-316,"Oligo"
"FLRT2",2.84392090796555e-318,4.49037865446317,0.86,0.142,1.42995187173416e-313,"Oligo"
"FSTL5",3.30156897505184e-318,3.17151492604985,0.936,0.539,1.66006189634581e-313,"Oligo"
"CALY",3.28948215309198e-317,2.93722525593254,0.956,0.091,1.65398452139618e-312,"Oligo"
"PITPNC1",4.92315971644377e-316,2.72930758351602,0.936,0.777,2.47541393702509e-311,"Oligo"
"LRRFIP1",1.14156497383053e-315,3.09857474579805,0.929,0.253,5.73990284491728e-311,"Oligo"
"GABRB3",1.29099759370397e-313,3.00830115536399,0.933,0.308,6.49126500090295e-309,"Oligo"
"KIF26B",2.50615165902246e-312,2.77110009101035,0.956,0.735,1.26011811567308e-307,"Oligo"
"PTCHD4",3.03997153855686e-312,4.23037411304391,0.867,0.174,1.52852808930177e-307,"Oligo"
"LPPR4",3.91074092569606e-312,3.82070898368229,0.86,0.071,1.96635964484924e-307,"Oligo"
"TRHDE",9.92876492325797e-312,4.40468693927136,0.851,0.367,4.99228229106334e-307,"Oligo"
"GRM1",3.91474698721035e-310,3.83835628890132,0.885,0.301,1.96837393263924e-305,"Oligo"
"MEF2C",5.51831607927261e-310,2.80777003302217,0.945,0.589,2.77466450781906e-305,"Oligo"
"SRRM4",7.21626434371324e-310,3.32885313190073,0.885,0.422,3.62840987466245e-305,"Oligo"
"PDE3B",8.59772930807582e-310,3.29421479966086,0.903,0.405,4.3230242733936e-305,"Oligo"
"LOC101929563",2.63383950800434e-309,4.46423401278702,0.802,0.112,1.32432084301966e-304,"Oligo"
"ADCYAP1R1",3.13086821046816e-309,3.92992313339179,0.83,0.04,1.5742318449055e-304,"Oligo"
"SATB1-AS1",2.4114436045832e-308,4.94781197313233,0.759,0.063,1.21249795882048e-303,"Oligo"
"ANO5",6.43809310259084e-308,3.63693457856289,0.869,0.092,3.2371375929137e-303,"Oligo"
"SAMD5",4.19008665329921e-306,4.50587760091668,0.86,0.437,2.10681747014538e-301,"Oligo"
"RBMS3",5.7650635513749e-306,3.76091013275718,0.892,0.468,2.89873160426682e-301,"Oligo"
"KIAA1549L",1.40069007174676e-305,2.83449640353421,0.94,0.44,7.04280974974988e-301,"Oligo"
"OXR1",5.95064490407644e-305,2.88632392029218,1,0.584,2.99204376421868e-300,"Oligo"
"GRIP2",6.77719484350412e-305,4.24253484712284,0.825,0.086,3.40764133926231e-300,"Oligo"
"GABRA4",1.59727555662253e-302,3.79187609565551,0.864,0.058,8.03126122625376e-298,"Oligo"
"GRIK3",4.25452553699497e-300,4.35435395231746,0.789,0.124,2.13921798525644e-295,"Oligo"
"UBASH3B",1.12608199838889e-297,3.1085050025207,0.89,0.499,5.6620528960992e-293,"Oligo"
"CACNG2",9.2347356129166e-296,3.28644994429599,0.894,0.305,4.64331741353059e-291,"Oligo"
"KCNIP4",1.40286884277862e-294,3.87060890732506,0.986,0.728,7.05376482837519e-290,"Oligo"
"SLC2A13",6.47741133640315e-294,2.7525458855462,0.938,0.316,3.25690719405687e-289,"Oligo"
"ADCY8",3.93424681965187e-291,4.43539574662418,0.8,0.147,1.97817864338916e-286,"Oligo"
"KIAA2022",4.35942086242609e-291,3.56927073847426,0.832,0.391,2.19196040383646e-286,"Oligo"
"ATCAY",1.56573015157526e-290,2.73173764154293,0.913,0.399,7.87264777513557e-286,"Oligo"
"LRP8",1.81521621076893e-289,3.81208623541653,0.811,0.048,9.12708862936724e-285,"Oligo"
"KCNJ3",2.03798659021784e-288,3.40398514247617,0.878,0.191,1.02472003742743e-283,"Oligo"
"LOC105372768",8.23764617820712e-288,4.00008217979003,0.738,0.003,4.14197087486432e-283,"Oligo"
"BCL11A",2.21558614937791e-286,3.5150495311094,0.871,0.302,1.11401887176871e-281,"Oligo"
"TMTC1",1.05470638568034e-281,3.54228592576078,0.86,0.273,5.30316917783932e-277,"Oligo"
"CELF5",2.93213764076378e-281,2.60780172541009,0.906,0.375,1.47430812715244e-276,"Oligo"
"RGS6",4.29545736291234e-281,3.77523730731273,0.862,0.52,2.15979891664595e-276,"Oligo"
"CACNG3",3.74268556997791e-280,2.98374986163744,0.88,0.262,1.88185973144059e-275,"Oligo"
"LY6H",3.07653313556208e-279,2.62076847120159,0.857,0.043,1.54691162589197e-274,"Oligo"
"ASIC2",5.52368236643775e-279,3.93998828994877,0.917,0.636,2.77736273066857e-274,"Oligo"
"NRSN1",5.60996884475375e-279,3.15714374187777,0.837,0.069,2.82074843483063e-274,"Oligo"
"RAPGEF4",2.71408521677689e-278,2.5999899840303,0.956,0.352,1.36466918784759e-273,"Oligo"
"SLC24A3",4.85770574924472e-278,3.94302374610435,0.807,0.284,2.44250302777774e-273,"Oligo"
"GABRG3",7.36672366158322e-278,3.38236303484139,0.878,0.411,3.70406232428066e-273,"Oligo"
"TENM4",1.40258485897953e-277,2.62640474178241,0.949,0.457,7.052336929435e-273,"Oligo"
"VSTM2A",2.02594540157923e-277,3.73203988318259,0.795,0.028,1.01866560736805e-272,"Oligo"
"SLC12A5",2.5944783226858e-277,2.56424449128645,0.867,0.064,1.30452964542965e-272,"Oligo"
"ZEB1",3.82152646654347e-277,3.60548707976711,0.811,0.339,1.92150172264272e-272,"Oligo"
"UTRN",6.39718510549677e-277,3.57201552461312,0.821,0.518,3.21656864289483e-272,"Oligo"
"ECE2",1.20635592218462e-276,3.30308297170191,0.86,0.265,6.06567821233648e-272,"Oligo"
"HMP19",1.30903468363669e-276,2.65599323138896,0.862,0.09,6.58195729279366e-272,"Oligo"
"GABRA2",2.67716431063753e-275,3.36194818780191,0.844,0.16,1.34610498703165e-270,"Oligo"
"EFNA5",6.86293772933733e-274,3.67986307223284,0.86,0.292,3.4507537196881e-269,"Oligo"
"LOC101926941",3.81911345688703e-272,3.13278850346904,0.874,0.471,1.92028843725737e-267,"Oligo"
"SYT1",6.98216358167383e-272,2.62764588204957,0.975,0.507,3.51070167050142e-267,"Oligo"
"GABRB2",2.78774279476256e-271,3.13149442333475,0.906,0.225,1.40170495463456e-266,"Oligo"
"CORO6",9.52635540122995e-271,2.79373596926922,0.802,0.029,4.78994675929243e-266,"Oligo"
"TUSC3",5.34227300847867e-270,2.89619500612088,0.901,0.248,2.68614829139316e-265,"Oligo"
"WLS",4.00051966863407e-269,3.65096837190352,0.761,0.057,2.0115012945859e-264,"Oligo"
"CLVS2",1.39808911537072e-268,2.98402982299908,0.807,0.079,7.0297318809955e-264,"Oligo"
"LOC440040",3.12142801709101e-267,3.90114399896006,0.869,0.312,1.56948522127353e-262,"Oligo"
"TMEM108",6.78260415469474e-267,2.75558707173544,0.915,0.351,3.41036119502206e-262,"Oligo"
"UBE3A",2.81504470808262e-266,2.71918283971129,1,0.533,1.41543262967102e-261,"Oligo"
"CERS6",4.84407862232804e-266,2.60980759506005,0.91,0.301,2.43565117209276e-261,"Oligo"
"LPPR5",1.16356909239861e-264,4.12892123993645,0.777,0.068,5.85054175348944e-260,"Oligo"
"DLX6-AS1",2.5534617330598e-264,4.47687129022299,0.775,0.042,1.2839060939998e-259,"Oligo"
"RGS7BP",6.54870313677327e-264,2.99555208763503,0.828,0.109,3.29275342420097e-259,"Oligo"
"NHS",2.57599489823106e-263,2.87924657429675,0.871,0.28,1.29523599477956e-258,"Oligo"
"SCN3B",5.70420053074482e-263,2.55679102984004,0.851,0.087,2.8681290688638e-258,"Oligo"
"LOC100505797",1.12661750060085e-262,3.91963543550652,0.74,0.025,5.66474545477113e-258,"Oligo"
"EPHA6",3.58583445767579e-262,3.9018246301657,0.913,0.477,1.80299342366396e-257,"Oligo"
"MMP16",7.70276153173779e-262,3.4433838671135,0.878,0.29,3.87302552577308e-257,"Oligo"
"ANK1",1.91608690574956e-261,2.99200317736607,0.867,0.344,9.63427657079938e-257,"Oligo"
"NTN4",3.51419464048998e-259,3.1406997773829,0.823,0.287,1.76697220718476e-254,"Oligo"
"PDZRN3",1.99438535357484e-258,3.86169501414917,0.779,0.199,1.00279689963096e-253,"Oligo"
"WNK2",2.66831615785147e-258,3.62560774518516,0.811,0.157,1.3416560473293e-253,"Oligo"
"GRIA3",1.38213149131625e-257,2.80716657981721,0.938,0.301,6.94949535148726e-253,"Oligo"
"GNG12-AS1",1.70229687707366e-257,3.5876263248826,0.795,0.278,8.55931892761408e-253,"Oligo"
"RPH3A",1.30453764357977e-256,2.64359626749926,0.874,0.13,6.55934572568346e-252,"Oligo"
"HRH2",1.7794763312918e-255,3.35542772252531,0.756,0.073,8.94738494136829e-251,"Oligo"
"SOX6",8.73012812124744e-255,3.59794415196546,0.798,0.33,4.38959572064443e-250,"Oligo"
"ARL4C",1.77174983574925e-253,3.32543705884978,0.747,0.024,8.90853534913082e-249,"Oligo"
"MAST1",1.97362128710535e-253,2.779307010457,0.828,0.258,9.92356519369439e-249,"Oligo"
"TMEM261P1",3.48378976421499e-253,4.15819818738086,0.759,0.088,1.75168433134494e-248,"Oligo"
"CNTN3",2.27037118537629e-252,3.00878256270677,0.883,0.299,1.14156533571905e-247,"Oligo"
"GNG2",7.01623671631926e-250,3.03182520583792,0.816,0.144,3.52783398333249e-245,"Oligo"
"NR2F1-AS1",2.79510424718829e-249,3.13136159871261,0.834,0.22,1.40540636652874e-244,"Oligo"
"SCN9A",1.99011083254159e-246,4.23848098327615,0.731,0.089,1.00064762771023e-241,"Oligo"
"SEPT6",2.3589093105007e-246,2.97724174069928,0.834,0.461,1.18608319041286e-241,"Oligo"
"ST8SIA3",2.97396046479865e-246,2.67325440030243,0.798,0.05,1.49533706130541e-241,"Oligo"
"MARCH4",2.00566674413107e-245,3.98260056418035,0.749,0.157,1.00846929561655e-240,"Oligo"
"ATP1B2",2.66514943027894e-244,3.13189108974959,0.793,0.139,1.34006378503855e-239,"Oligo"
"FAM189A1",1.94734824192512e-242,2.72953007370767,0.88,0.585,9.7914616952237e-238,"Oligo"
"ARHGAP20",1.95166711699218e-242,3.32105799011899,0.77,0.153,9.8131774309484e-238,"Oligo"
"PARP8",3.81449184819629e-242,2.64143347749419,0.862,0.242,1.91796464619158e-237,"Oligo"
"CDH18",2.21826963488356e-241,2.6033134741979,0.897,0.71,1.1153681551158e-236,"Oligo"
"SLC41A2",3.24856213834249e-241,3.02479458983009,0.841,0.198,1.63340952877999e-236,"Oligo"
"GALNT14",1.80620100787401e-240,3.9278444272267,0.763,0.247,9.08175928769128e-236,"Oligo"
"MCTP1",3.11509958700432e-240,3.18121770535668,0.862,0.349,1.56630322334164e-235,"Oligo"
"CACNG8",4.50869524219432e-240,2.68255342299218,0.837,0.225,2.26701705472772e-235,"Oligo"
"RAB3B",4.43095067530345e-238,3.4108561098847,0.756,0.207,2.22792630904933e-233,"Oligo"
"CKMT1B",6.63357215699358e-237,4.2168583449813,0.676,0.019,3.33542641625794e-232,"Oligo"
"RUNX1T1",3.24890717192776e-236,2.84609156333998,0.857,0.282,1.633583015117e-231,"Oligo"
"PIP5K1B",6.04544438255752e-236,2.90195686380356,0.853,0.385,3.03970988999375e-231,"Oligo"
"SLC9A7",2.26583927452063e-235,3.12743110008524,0.784,0.315,1.13928664562172e-230,"Oligo"
"PAWR",1.45419846205813e-234,4.00999356950691,0.743,0.205,7.3118552870745e-230,"Oligo"
"KCNJ6",4.30706140969171e-234,2.69051210122827,0.823,0.212,2.16563354740709e-229,"Oligo"
"TRHDE-AS1",1.24853778808749e-233,4.05642521520378,0.669,0.018,6.27777285228271e-229,"Oligo"
"FAM153C",1.54664716025401e-233,2.89754414908569,0.768,0.08,7.7766965864732e-229,"Oligo"
"ELMOD1",3.69735190803083e-233,2.79932120160644,0.8,0.263,1.85906551287698e-228,"Oligo"
"NEK10",1.01914929007355e-232,3.33430669898471,0.814,0.311,5.12438454541883e-228,"Oligo"
"RUNDC3B",3.89531411930587e-232,3.03168044394244,0.802,0.162,1.95860289232818e-227,"Oligo"
"RAB27B",2.54816595731479e-230,2.85863575080521,0.926,0.76,1.28124332499745e-225,"Oligo"
"DPY19L2",6.79845999475825e-230,2.55543835247673,0.936,0.778,3.41833366996439e-225,"Oligo"
"SVOP",1.2001547389837e-228,2.99479086807834,0.805,0.244,6.03449804308396e-224,"Oligo"
"COL19A1",9.33629996266009e-228,4.21203486002734,0.713,0.259,4.69438498422512e-223,"Oligo"
"TSHZ3",7.59271098612505e-227,3.57205128953567,0.72,0.073,3.81769101093354e-222,"Oligo"
"SATB1",5.06569891717163e-226,2.81497311705534,0.841,0.15,2.54708407254307e-221,"Oligo"
"PTPRN",2.0823012284712e-225,2.68318338770238,0.766,0.052,1.04700188068761e-220,"Oligo"
"LHX6",2.7421692574829e-225,4.02867402965764,0.634,0.026,1.37879012435498e-220,"Oligo"
"PNOC",8.99394672772763e-225,4.00770882151626,0.667,0.061,4.52224635416873e-220,"Oligo"
"FRRS1L",9.42960836088959e-225,2.55216901626218,0.821,0.136,4.74130137993889e-220,"Oligo"
"ANKRD55",1.29058034771528e-224,3.38213194459308,0.786,0.405,6.48916704634721e-220,"Oligo"
"PAICSP4",3.04357011509392e-224,3.99826223733004,0.697,0.104,1.53033748957037e-219,"Oligo"
"NRIP3",7.61048476986485e-224,2.89081584440369,0.747,0.071,3.82662784713575e-219,"Oligo"
"DZIP1",1.16891446644383e-222,3.4311301674114,0.772,0.203,5.8774188287262e-218,"Oligo"
"ME3",2.89804588416545e-222,2.80770919585218,0.846,0.591,1.45716645101723e-217,"Oligo"
"CNNM1",2.75822941843583e-220,3.52741405150072,0.726,0.146,1.38686533388372e-215,"Oligo"
"CNR1",1.2626220659809e-216,4.80981782002233,0.667,0.034,6.34859000995856e-212,"Oligo"
"PTPRT",1.95861061505304e-216,3.43477394878551,0.913,0.731,9.84809003354817e-212,"Oligo"
"ARX",1.48187010496065e-215,3.8529717880008,0.605,0.007,7.45099107475265e-211,"Oligo"
"GRIK1-AS2",5.75216870296125e-214,3.2907514000631,0.607,0.006,2.89224794553595e-209,"Oligo"
"BAIAP3",8.76361231239662e-214,3.13256934253548,0.641,0.016,4.40643190679615e-209,"Oligo"
"PPP4R4",1.01071657738797e-213,3.14555551216835,0.733,0.101,5.08198402276445e-209,"Oligo"
"TRB",7.1109873082096e-212,3.03094215938174,0.759,0.326,3.57547552844087e-207,"Oligo"
"FAM153B",1.57577860481711e-209,2.99150432354733,0.685,0.051,7.92317240288093e-205,"Oligo"
"BCL11B",1.63690062927091e-209,3.31924733720313,0.706,0.077,8.23050005403708e-205,"Oligo"
"RALGPS2",2.00429346813678e-208,3.06926504415286,0.816,0.452,1.00777879871385e-203,"Oligo"
"LGI1",2.02431029782622e-208,2.9525742803186,0.694,0.058,1.01784346085e-203,"Oligo"
"PLCB4",2.17248637161703e-207,3.13702691835159,0.805,0.429,1.09234787251276e-202,"Oligo"
"VSTM2L",5.11016406543531e-207,2.54789039210724,0.756,0.084,2.56944159374153e-202,"Oligo"
"MIR137HG",1.53547175811236e-206,3.43215842772845,0.692,0.069,7.72050554696477e-202,"Oligo"
"KCNQ2",2.09808975213446e-205,2.72588043581033,0.733,0.08,1.05494050827073e-200,"Oligo"
"FLJ41278",1.70836395505752e-204,3.64131351981078,0.69,0.201,8.58982480242472e-200,"Oligo"
"KIAA0319",3.53892479272475e-204,2.71491575638523,0.784,0.211,1.77940677502993e-199,"Oligo"
"SLC8A1-AS1",1.16082493168661e-202,2.56388849389305,0.837,0.311,5.83674383901346e-198,"Oligo"
"LRRTM4",1.61287956031487e-202,2.54802427018368,0.968,0.677,8.10971971721921e-198,"Oligo"
"C1orf21",1.9284893889403e-202,2.82340634456573,0.791,0.311,9.69663749653074e-198,"Oligo"
"MAP3K5",4.14192666700135e-202,3.10046359410418,0.743,0.397,2.08260214743495e-197,"Oligo"
"DPP10",4.74060202304573e-202,3.39542106562952,0.961,0.718,2.38362210320763e-197,"Oligo"
"RNASET2",1.48731184336694e-201,2.91315547168873,0.678,0.064,7.47835267963332e-197,"Oligo"
"DOK6",1.12447130822524e-200,2.67049560986349,0.828,0.306,5.65395418488735e-196,"Oligo"
"SYBU",1.47938030315353e-200,2.89491238585184,0.703,0.125,7.43847210228624e-196,"Oligo"
"MARCH11",1.98264664541036e-197,3.9195775890046,0.621,0.07,9.96894559778785e-193,"Oligo"
"AFAP1",1.24441583666182e-196,2.57321988605219,0.766,0.202,6.2570472683193e-192,"Oligo"
"EPHA7",1.49858318937064e-196,3.24025661778796,0.703,0.136,7.5350261344745e-192,"Oligo"
"PRKG1",2.70901667273746e-196,3.19238796523755,0.906,0.675,1.36212067321912e-191,"Oligo"
"PCDH11Y",9.10920233742708e-194,4.01226066182423,0.823,0.429,4.58019802728171e-189,"Oligo"
"TMEM47",4.54102813466822e-193,3.40622243788419,0.618,0.043,2.28327435639253e-188,"Oligo"
"SIDT1",1.68064001958576e-192,3.24529714531529,0.678,0.167,8.45042608247915e-188,"Oligo"
"KCNT1",1.19861882127954e-191,2.79415341545538,0.657,0.054,6.02677529527563e-187,"Oligo"
"LRRC6",3.08748335587487e-191,2.6680928652145,0.756,0.391,1.55241750616744e-186,"Oligo"
"PTPN5",4.17221310311472e-191,2.83743799306993,0.687,0.116,2.09783047037711e-186,"Oligo"
"C8orf34",4.54725591108171e-191,3.96852229430354,0.779,0.416,2.286405744651e-186,"Oligo"
"DGCR5",3.03629245081734e-190,2.67149711239264,0.736,0.216,1.52667820719547e-185,"Oligo"
"FAM110B",9.83760417944266e-190,2.78466122685865,0.726,0.153,4.94644575746556e-185,"Oligo"
"LHFPL4",1.1783038740454e-189,2.58004214471793,0.795,0.285,5.92462970908769e-185,"Oligo"
"LOC553103",1.19573307313405e-189,2.81320512490759,0.715,0.109,6.0122654650253e-185,"Oligo"
"PCDH19",1.83886729370854e-189,3.44494167348371,0.786,0.278,9.24600863949589e-185,"Oligo"
"SNPH",3.94744281471212e-189,3.14269508398626,0.648,0.048,1.9848137216654e-184,"Oligo"
"LRCH1",4.9164130329374e-189,2.66442590074942,0.766,0.244,2.47202163709125e-184,"Oligo"
"RBMS1",3.09397781023967e-188,2.64187541343147,0.805,0.557,1.55568298276661e-183,"Oligo"
"CNTNAP5",6.86938756565149e-188,2.75147205710965,0.901,0.669,3.45399676188523e-183,"Oligo"
"DLX1",9.3512440891779e-188,3.57208451412361,0.554,0.007,4.70189904047954e-183,"Oligo"
