"","gene","entrez_id","cluster","pct.1","pct.2","avg_logFC","MAST_p_val","MAST_p_val_adj","roc_myAUC","roc_power"
"843","NDRG2",57447,"Astro_FGFR3",0.957,0.27,2.63940920030916,0,0,0.934,0.868
"844","NDST3",9348,"Neuron",0.793,0.245,2.67997333397342,0,0,0.842,0.684
"845","NDUFA4L2",56901,"Peri_MUSTN1",0.719,0.04,5.77221204277833,5.4874514279256e-62,2.75914545247527e-57,0.852,0.704
"846","NEDD9",4739,"Endo_CLDN5",0.657,0.374,2.63507473447506,2.24298633002104e-20,1.12779595659788e-15,0.712,0.424
"847","NELL2",4753,"Neuron",0.906,0.45,2.92281005744294,0,0,0.886,0.772
"848","NET1",10276,"Endo_CLDN5",0.457,0.085,3.8097159945839,7.34004129008696e-32,3.69064616106862e-27,0.701,0.402
"849","NEURL1B",54492,"Peri_MUSTN1",0.375,0.159,2.92509758214917,0.00011826553353771,1,0.618,0.236
"850","NEUROD6",63974,"Neuron",0.498,0.025,2.64450014534449,0,0,0.739,0.478
"851","NFATC2",4773,"Micro_C1QC",0.591,0.253,3.43453618808563,5.1877985405814e-307,2.60847698418973e-302,0.723,0.446
"852","NFATC4",4776,"Astro_FGFR3",0.433,0.012,3.98820534484611,0,0,0.712,0.424
"853","NFKBIA",4792,"Endo_CLDN5",0.657,0.21,2.57873505863502,1.84834804616328e-25,9.29367881091361e-21,0.763,0.526
"854","NHSL1",57224,"Astro_FGFR3",0.991,0.48,3.02670663154063,0,0,0.964,0.928
"855","NHSL2",340527,"VLMC_CYP1B1",0.545,0.399,2.53288372907559,0.000101971948889999,1,0.657,0.314
"856","NID2",22795,"VLMC_CYP1B1",0.727,0.13,3.53692628471373,4.90969421767448e-08,0.00246864334958891,0.829,0.658
"857","NINJ2",4815,"Oligo",0.593,0.218,3.57741219407427,0,0,0.735,0.47
"858","NKAIN1",79570,"Oligo",0.529,0.382,2.72541312942729,8.47232170297255e-231,4.25996807547163e-226,0.623,0.246
"859","NKD1",85407,"VLMC_CYP1B1",1,0.124,3.91491174589482,2.96557045406661e-13,1.49111848000923e-08,0.975,0.95
"860","NKX6-2",84504,"Oligo",0.459,0.005,2.86980645406514,0,0,0.727,0.454
"861","NLRC5",84166,"Endo_CLDN5",0.557,0.215,3.08451392057153,9.18931456645472e-40,4.6204792571591e-35,0.711,0.422
"862","NLRP1",22861,"Micro_C1QC",0.536,0.215,4.2050095975693,0,0,0.704,0.408
"863","NOD1",10392,"Endo_CLDN5",0.429,0.186,2.55231880065132,6.36271282783999e-17,3.19923563696623e-12,0.647,0.294
"864","NOTCH3",4854,"Peri_MUSTN1",0.938,0.224,6.04647328446405,1.3831080875342e-215,6.95440577493071e-211,0.956,0.912
"865","NOTCH4",4855,"Endo_CLDN5",0.657,0.101,4.63792909374276,4.24012845043504e-78,2.13197898616324e-73,0.806,0.612
"866","NPY1R",4886,"Neuron",0.584,0.032,3.09969423813333,0,0,0.782,0.564
"867","NR2F2",7026,"Peri_MUSTN1",0.594,0.079,3.30131144213115,8.46819353153247e-17,4.25789238958984e-12,0.772,0.544
"868","NRG1",3084,"Neuron",0.922,0.713,4.0390094860925,0,0,0.84,0.68
"869","NRIP3",56675,"Neuron",0.453,0.074,2.53114032665307,0,0,0.7,0.4
"870","NRROS",375387,"Micro_C1QC",0.415,0.152,4.27747739056066,1.32488992178614e-245,6.6616790157329e-241,0.654,0.308
"871","NTN1",9423,"OPC_MYT1",0.793,0.447,3.19200321840728,0,0,0.8,0.6
"872","NTSR2",23620,"Astro_FGFR3",0.413,0.14,3.29097687357407,3.48490966492854e-278,1.75224742862272e-273,0.657,0.314
"873","NUPR1",26471,"Peri_MUSTN1",0.375,0.037,3.40866829815839,5.03880366889458e-12,2.53356087275688e-07,0.674,0.348
"874","NWD1",284434,"Astro_FGFR3",0.844,0.435,3.73432847344681,0,0,0.847,0.694
"875","NWD2",57495,"Neuron",0.638,0.209,3.09854070483316,0,0,0.762,0.524
"876","NXN",64359,"Endo_CLDN5",0.957,0.706,2.9597519124073,2.4263917563022e-70,1.22001403898631e-65,0.852,0.704
"877","NYAP2",57624,"Neuron",0.869,0.417,3.61645651954164,0,0,0.869,0.738
"878","OAF",220323,"Astro_FGFR3",0.772,0.055,3.49497305716458,0,0,0.871,0.742
"879","OCA2",4948,"Neuron",0.638,0.256,2.62862427947686,0,0,0.745,0.49
"880","OCLN",100506658,"Endo_CLDN5",0.529,0.25,3.5984036272607,2.8585990750608e-92,1.43733220093132e-87,0.688,0.376
"881","OGN",4969,"VLMC_CYP1B1",0.545,0.036,5.00525993465775,4.40894857665245e-15,2.21686343382662e-10,0.764,0.528
"882","OLFM3",118427,"Neuron",0.795,0.14,3.74309373920836,0,0,0.872,0.744
"883","OLFML2A",169611,"VLMC_CYP1B1",0.364,0.129,3.95758706387678,2.84056815094391e-21,1.42826607197611e-16,0.64,0.28
"884","OLFML3",56944,"VLMC_CYP1B1",0.364,0.029,2.62768273526542,0.000823052990427427,1,0.668,0.336
"885","OLR1",4973,"Micro_C1QC",0.665,0.062,5.32190644610675,0,0,0.82,0.64
"886","OPALIN",93377,"Oligo",0.776,0.042,5.67434973385785,0,0,0.882,0.764
"887","OPRM1",4988,"Neuron",0.544,0.232,2.63815865718989,0,0,0.695,0.39
"888","OR2AG2",338755,"Neuron",0.708,0.19,2.90122503974125,0,0,0.808,0.616
"889","OR3A1",4994,"Micro_C1QC",0.527,0.469,2.62172483771185,9.96212369195246e-48,5.00905541355062e-43,0.566,0.132
"890","OSMR",9180,"Endo_CLDN5",0.414,0.111,3.68462807669188,4.90342366569291e-24,2.46549045334705e-19,0.666,0.332
"891","P2RY12",64805,"Micro_C1QC",0.865,0.074,5.68273589698947,0,0,0.924,0.848
"892","P2RY13",53829,"Micro_C1QC",0.612,0.089,4.82955165553035,0,0,0.784,0.568
"893","P2RY14",9934,"Peri_MUSTN1",0.406,0.061,4.07329793951953,1.08152758702476e-17,5.43802886031919e-13,0.683,0.366
"894","PAK3",5063,"Neuron",0.999,0.948,2.50320271586625,0,0,0.962,0.924
"895","PALD1",27143,"Micro_C1QC",0.837,0.285,4.36259477840976,0,0,0.881,0.762
"896","PALM2",114299,"Oligo",0.799,0.509,2.5642991247914,0,0,0.779,0.558
"897","PALMD",54873,"Endo_CLDN5",0.814,0.142,4.506028470812,8.18004144619199e-67,4.11300663955979e-62,0.881,0.762
"898","PAMR1",25891,"Astro_FGFR3",0.933,0.195,4.06821203793873,0,0,0.945,0.89
"899","PAPLN",89932,"Astro_FGFR3",0.931,0.088,4.78840071795663,0,0,0.957,0.914
"900","PAQR5",54852,"Endo_CLDN5",0.357,0.158,3.13023795455936,1.03688327653797e-36,5.21355280276057e-32,0.622,0.244
"901","PARP10",84875,"VLMC_CYP1B1",0.364,0.08,3.39388204516338,0.00202515984285424,1,0.648,0.296
"902","PARP12",64761,"Endo_CLDN5",0.429,0.098,3.14865941789603,5.55585783539918e-23,2.79354087821706e-18,0.679,0.358
"903","PARP14",54625,"Micro_C1QC",0.408,0.193,2.54966113881247,1.48736635936548e-97,7.47862679152556e-93,0.628,0.256
"904","PARP9",83666,"Endo_CLDN5",0.5,0.119,2.84648192326934,3.42043406690553e-26,1.71982845318077e-21,0.71,0.42
"905","PAWR",5074,"Peri_MUSTN1",0.75,0.309,2.92359201646075,1.0658455182441e-12,5.35917785028315e-08,0.771,0.542
"906","PAX6",5080,"Astro_FGFR3",0.637,0.062,3.76930203232983,0,0,0.8,0.6
"907","PAXIP1-AS2",100132707,"VLMC_CYP1B1",0.364,0.094,3.01213845254847,0.000322962720130097,1,0.646,0.292
"908","PBXIP1",57326,"Astro_FGFR3",0.496,0.064,3.04817555697027,0,0,0.724,0.448
"909","PCAT19",100505495,"Endo_CLDN5",0.543,0.09,5.00616202890525,8.38222697870664e-263,4.21466754716349e-258,0.751,0.502
"910","PCDH15",65217,"OPC_MYT1",0.997,0.63,3.97315188896952,0,0,0.995,0.99
"911","PCLO",27445,"Neuron",0.997,0.482,2.7778553677398,0,0,0.971,0.942
"912","PCOLCE",5118,"VLMC_CYP1B1",0.364,0.04,4.29498404777145,0.000362242410403132,1,0.664,0.328
"913","PCSK2",5126,"Neuron",0.91,0.253,3.11861176865711,0,0,0.919,0.838
"914","PCSK6",5046,"Oligo",0.903,0.339,3.61267069732428,0,0,0.907,0.814
"915","PDE3A",5139,"Peri_MUSTN1",0.75,0.387,2.59535304865068,8.03694956555543e-10,4.04105861105693e-05,0.753,0.506
"916","PDE4C",5143,"Peri_MUSTN1",0.469,0.352,3.18428985287146,4.54708828069062e-18,2.28632145841405e-13,0.617,0.234
"917","PDE7B",27115,"Peri_MUSTN1",0.906,0.508,2.75273785833009,5.93885068484192e-18,2.98611351284537e-13,0.876,0.752
"918","PDE8A",5151,"Oligo",0.991,0.769,2.54988110851882,0,0,0.949,0.898
"919","PDE8B",8622,"Peri_MUSTN1",0.938,0.655,2.86021605999204,6.55547645017533e-18,3.29615911391266e-13,0.883,0.766
"920","PDGFRA",5156,"OPC_MYT1",0.97,0.208,4.76006584439132,0,0,0.977,0.954
"921","PDZRN3",23024,"VLMC_CYP1B1",1,0.583,2.72379878288743,3.55107559285059e-08,0.00178551631884121,0.971,0.942
"922","PEAR1",375033,"Peri_MUSTN1",0.438,0.018,4.86996787551692,7.36831494657888e-36,3.70486243828933e-31,0.714,0.428
"923","PECAM1",5175,"Endo_CLDN5",0.857,0.396,4.05310914607901,5.51698865696321e-140,2.77399706660767e-135,0.877,0.754
"924","PGM5",5239,"Micro_C1QC",0.495,0.249,3.76710032924306,9.89758965249854e-269,4.97660705317279e-264,0.662,0.324
"925","PHF21B",112885,"Astro_FGFR3",0.807,0.277,3.17497253674733,0,0,0.85,0.7
"926","PHKA1",5255,"Astro_FGFR3",0.557,0.193,2.50851605555414,1.62018643477117e-278,8.14645941267293e-274,0.714,0.428
"927","PHLDA1",22822,"OPC_MYT1",0.516,0.144,2.96072509024,5.08720763703551e-203,2.55789887197782e-198,0.71,0.42
"928","PHLDB1",23187,"Oligo",0.933,0.431,2.71049511891795,0,0,0.909,0.818
"929","PHYHD1",254295,"Astro_FGFR3",0.646,0.167,3.90108239026145,0,0,0.784,0.568
"930","PI16",221476,"Oligo",0.393,0.076,3.15277831635023,0,0,0.669,0.338
"931","PIEZO2",63895,"Oligo",0.866,0.584,3.08288282698329,0,0,0.832,0.664
"932","PIK3AP1",118788,"Micro_C1QC",0.552,0.28,4.23443798390477,0,0,0.691,0.382
"933","PIK3CD",5293,"Micro_C1QC",0.645,0.533,2.70580853698099,1.72349169087486e-151,8.66588857088787e-147,0.637,0.274
"934","PIK3R3",8503,"Endo_CLDN5",0.814,0.58,2.83533064339227,6.35980824322146e-29,3.19777518277418e-24,0.756,0.512
"935","PIK3R5",23533,"Micro_C1QC",0.673,0.174,5.3702247057685,0,0,0.802,0.604
"936","PILRA",29992,"Micro_C1QC",0.541,0.351,2.86583660183363,1.57008202454385e-162,7.89452942760895e-158,0.651,0.302
"937","PIP4K2A",5305,"Oligo",0.994,0.696,2.94154422930913,0,0,0.971,0.942
"938","PITPNC1",26207,"Astro_FGFR3",0.999,0.858,2.82398836213821,0,0,0.978,0.956
"939","PLA2G16",11145,"Oligo",0.678,0.214,2.98879923146837,0,0,0.782,0.564
"940","PLA2G4A",5321,"Micro_C1QC",0.587,0.316,3.74269209761779,7.37948900933068e-278,3.71048086878156e-273,0.696,0.392
"941","PLA2G5",5322,"Astro_FGFR3",0.415,0.1,3.93636036922995,0,0,0.674,0.348
"942","PLAC9",219348,"Peri_MUSTN1",0.531,0.149,3.95408899147644,1.38578891522367e-29,6.96788524463613e-25,0.728,0.456
"943","PLCB2",5330,"Micro_C1QC",0.475,0.098,3.90403210722953,2.80383113143829e-242,1.40979433119849e-237,0.704,0.408
"944","PLCE1",51196,"Peri_MUSTN1",0.812,0.463,3.18356017428439,8.08501022459216e-28,4.06522399102718e-23,0.836,0.672
"945","PLCG2",5336,"Micro_C1QC",0.669,0.306,4.08781544144884,0,0,0.766,0.532
"946","PLCL1",5334,"Oligo",0.988,0.76,2.54038147909067,0,0,0.938,0.876
"947","PLD1",5337,"Oligo",0.896,0.383,2.70967455725029,0,0,0.893,0.786
"948","PLEKHA7",144100,"Astro_FGFR3",0.831,0.371,2.6341841160622,0,0,0.841,0.682
"949","PLEKHG2",64857,"Peri_MUSTN1",0.375,0.084,3.60652889479266,3.61394368913642e-27,1.81712702633468e-22,0.659,0.318
"950","PLEKHG3",26030,"Oligo",0.506,0.107,2.82108036532866,0,0,0.716,0.432
"951","PLEKHH1",57475,"Oligo",0.972,0.381,3.64137365921067,0,0,0.962,0.924
"952","PLIN5",440503,"Astro_FGFR3",0.619,0.162,3.82883998980046,0,0,0.77,0.54
"953","PLLP",51090,"Oligo",0.807,0.174,2.8051251375007,0,0,0.861,0.722
"954","PLP1",5354,"Oligo",0.997,0.24,5.92533341032687,0,0,0.997,0.994
"955","PLSCR1",5359,"Endo_CLDN5",0.429,0.161,2.56763341937573,2.45023162477006e-12,1.23200096325063e-07,0.651,0.302
"956","PLSCR4",57088,"Astro_FGFR3",0.711,0.115,2.71352006392216,0,0,0.819,0.638
"957","PLXDC2",84898,"Micro_C1QC",1,0.859,2.93205806127389,0,0,0.991,0.982
"958","PMP22",5376,"Oligo",0.738,0.191,2.89422111399588,0,0,0.818,0.636
"959","PODXL",5420,"Endo_CLDN5",0.943,0.519,4.65103945493802,1.28319303781484e-189,6.45202291343681e-185,0.941,0.882
"960","PPAP2C",8612,"Oligo",0.394,0.051,3.76471702405726,0,0,0.679,0.358
"961","PPAPDC1A",196051,"OPC_MYT1",0.721,0.189,2.83528503939601,2.57408201483289e-321,1.29427417787813e-316,0.809,0.618
"962","PPP1R14A",94274,"Oligo",0.789,0.044,4.34881780200218,0,0,0.886,0.772
"963","PPP1R16A",84988,"VLMC_CYP1B1",0.455,0.212,2.86269403648085,0.0146599989071387,1,0.64,0.28
"964","PPP1R1B",84152,"Astro_FGFR3",0.386,0.093,2.58157304291624,2.26409707172942e-171,1.13841064863627e-166,0.655,0.31
"965","PPP1R3C",5507,"Astro_FGFR3",0.595,0.05,3.90904406996239,0,0,0.779,0.558
"966","PRDM16",63976,"Astro_FGFR3",0.912,0.103,4.57912679431562,0,0,0.946,0.892
"967","PRIMA1",145270,"Oligo",0.393,0.037,3.79054078299458,0,0,0.684,0.368
"968","PRKCD",5580,"Micro_C1QC",0.415,0.174,2.8441541437164,1.07547171162476e-115,5.40757931322048e-111,0.64,0.28
"969","PRKX",5613,"VLMC_CYP1B1",0.455,0.35,2.97505592821009,8.5136132634683e-06,0.428072988500449,0.596,0.192
"970","PRMT8",56341,"Neuron",0.733,0.171,2.88539220220608,0,0,0.829,0.658
"971","PRODH",5625,"Astro_FGFR3",0.948,0.108,4.5231198898773,0,0,0.965,0.93
"972","PROSER2",254427,"VLMC_CYP1B1",0.455,0.125,3.38932929212188,0.000529570369947884,1,0.676,0.352
