"","gene","entrez_id","cluster","adapted_cluster_name","pct.1","pct.2","avg_logFC","MAST_p_val","MAST_p_val_adj","roc_myAUC","roc_power"
"538","LAMA1",284217,"Astro_FGFR3","Astrocyte",0.829,0.488,4.35456205967465,0,0,0.839,0.678
"539","LAMA3",3909,"Endo_CLDN5","Endothelial",0.871,0.465,3.7403046081733,1.35712779736399e-81,6.8237742779259e-77,0.861,0.722
"540","LAMA4",3910,"VLMC_CYP1B1","VLMC_CYP1B1",0.909,0.361,3.52224677880874,3.20520231913094e-12,1.61160777808223e-07,0.926,0.852
"541","LAMC1",3915,"VLMC_CYP1B1","VLMC_CYP1B1",1,0.56,3.49234800654722,1.49435068515253e-13,7.51374468001542e-09,0.972,0.944
"542","LAMP2",3920,"Oligo","Oligo",0.91,0.648,2.52492037973053,0,0,0.86,0.72
"543","LAMP5",24141,"Inh_LAMP5","LAMP5.PAX6.Other",0.932,0.194,3.17210744011312,0,0,0.936,0.872
"544","LAPTM4A",9741,"Peri_MUSTN1","Peri_MUSTN1",0.531,0.359,2.52727103018397,2.19283479255089e-08,0.00110257926204251,0.653,0.306
"545","LAPTM5",7805,"Micro_C1QC","Microglia",0.755,0.037,5.28303673226456,0,0,0.87,0.74
"546","LARP6",55323,"Oligo","Oligo",0.521,0.316,2.53612318979578,8.92877411426884e-318,4.48947691239552e-313,0.652,0.304
"547","LAT2",7462,"Micro_C1QC","Microglia",0.48,0.249,4.04650783725157,0,0,0.663,0.326
"548","LCN12",286256,"Astro_FGFR3","Astrocyte",0.455,0.07,3.09436377392709,0,0,0.704,0.408
"549","LCNL1",401562,"Astro_FGFR3","Astrocyte",0.494,0.109,2.62555219297556,0,0,0.709,0.418
"550","LDB3",11155,"Oligo","Oligo",0.864,0.308,4.0601294498976,0,0,0.893,0.786
"551","LDLRAP1",26119,"Oligo","Oligo",0.363,0.158,2.78670895432734,0,0,0.622,0.244
"552","LGALS1",3956,"Peri_MUSTN1","Peri_MUSTN1",0.656,0.195,3.86628581626141,4.27197646989209e-30,2.14799248882644e-25,0.788,0.576
"553","LHFP",10186,"Peri_MUSTN1","Peri_MUSTN1",0.969,0.674,2.7290107806814,1.71089257431297e-20,8.60253895290306e-16,0.943,0.886
"554","LHFPL2",10184,"Micro_C1QC","Microglia",0.803,0.501,3.39472482308414,0,0,0.813,0.626
"555","LHFPL3",375612,"OPC_MYT1","OPC",1,0.76,4.61883612417563,0,0,0.999,0.998
"556","LILRB1",10859,"Micro_C1QC","Microglia",0.42,0.026,4.86221830080874,0,0,0.702,0.404
"557","LILRB4",11006,"Micro_C1QC","Microglia",0.471,0.099,4.92329937372353,0,0,0.708,0.416
"558","LINC00298",339788,"Inh_LAMP5","LAMP5.PAX6.Other",0.736,0.13,2.63820734058604,0,0,0.829,0.658
"559","LINC00470",56651,"Pyramidal","Pyramidal",0.487,0.145,3.01749406916388,0,0,0.693,0.386
"560","LINC00499",100874047,"Astro_FGFR3","Astrocyte",0.859,0.244,5.88292184848342,0,0,0.909,0.818
"561","LINC00507",100862680,"Pyramidal","Pyramidal",0.358,0.016,3.56311474697929,0,0,0.673,0.346
"562","LINC00609",101101773,"Oligo","Oligo",0.784,0.272,3.51221858803825,0,0,0.843,0.686
"563","LINC00639",283547,"Oligo","Oligo",0.701,0.269,3.83031661681136,0,0,0.798,0.596
"564","LINC00673",100499467,"OPC_MYT1","OPC",0.981,0.645,2.61539415667842,0,0,0.934,0.868
"565","LINC00710",254312,"Pyramidal","Pyramidal",0.775,0.048,3.2242554564545,0,0,0.876,0.752
"566","LINC00844",100507008,"Oligo","Oligo",0.617,0.055,3.98430294005526,0,0,0.794,0.588
"567","LINC00922",283867,"VLMC_CYP1B1","VLMC_CYP1B1",0.545,0.418,3.11010174677067,5.50985918836682e-05,1,0.611,0.222
"568","LINC00924",145820,"VLMC_CYP1B1","VLMC_CYP1B1",0.364,0.044,3.60056147910117,0.000107779219074819,1,0.664,0.328
"569","LINC00982",440556,"Astro_FGFR3","Astrocyte",0.614,0.008,4.9301433343797,0,0,0.805,0.61
"570","LINC00996",285972,"Micro_C1QC","Microglia",0.472,0.022,5.52638369927333,0,0,0.73,0.46
"571","LINC01057",101928079,"VLMC_CYP1B1","VLMC_CYP1B1",0.364,0.273,3.51808246512819,4.06576564793718e-07,0.020443076254393,0.594,0.188
"572","LINC01088",100505875,NA,"VLMC_CYP1B1",NA,NA,NA,1.08715744819141e-30,5.46633636525123e-26,NA,NA
"573","LINC01091",285419,"Micro_C1QC","Microglia",0.663,0.556,3.46601713164943,3.5300228541955e-221,1.77493079131804e-216,0.654,0.308
"574","LINC01094",100505702,"Micro_C1QC","Microglia",0.413,0.166,3.40013835071986,4.22254511125712e-302,2.12313790739119e-297,0.651,0.302
"575","LINC01105",150622,"Oligo","Oligo",0.591,0.174,2.72897652644464,0,0,0.739,0.478
"576","LINC01141",339505,"Micro_C1QC","Microglia",0.756,0.191,4.45889868874151,0,0,0.84,0.68
"577","LINC01170",103724389,"Oligo","Oligo",0.77,0.543,3.6768837619475,0,0,0.785,0.57
"578","LINC01202",104326188,"Pyramidal","Pyramidal",0.699,0.213,3.67726098123822,0,0,0.799,0.598
"579","LINC01237",101927289,"VLMC_CYP1B1","VLMC_CYP1B1",0.636,0.286,2.87659897877597,7.90520917161016e-06,0.397481822357731,0.742,0.484
"580","LINC01250",101927554,"Pyramidal","Pyramidal",0.969,0.423,2.54414767624839,0,0,0.931,0.862
"581","LINC01268",285758,"Micro_C1QC","Microglia",0.54,0.021,5.72934940135434,0,0,0.765,0.53
"582","LINC01378",103689918,"Pyramidal","Pyramidal",0.794,0.395,3.28160512417581,0,0,0.795,0.59
"583","LINC01470",101927134,"Oligo","Oligo",0.822,0.777,3.7655055431507,0,0,0.742,0.484
"584","LINC01478",101927921,"Pyramidal","Pyramidal",0.657,0.409,2.54734134099932,0,0,0.657,0.314
"585","LINC01515",101928913,"VLMC_CYP1B1","VLMC_CYP1B1",0.545,0.221,2.68189068981056,1.85855735251804e-07,0.00934501222419596,0.7,0.4
"586","LINCR-0002",103344926,"Pyramidal","Pyramidal",0.809,0.201,4.34107596020244,0,0,0.874,0.748
"587","LITAF",9516,"Oligo","Oligo",0.574,0.475,2.90564839958335,0,0,0.639,0.278
"588","LLGL2",3993,"Oligo","Oligo",0.425,0.289,2.80275192056309,0,0,0.611,0.222
"589","LMNA",4000,"Peri_MUSTN1","Peri_MUSTN1",0.594,0.408,2.70954877946418,9.47362515371072e-11,4.76343346353729e-06,0.656,0.312
"590","LMNTD1",160492,"Endo_CLDN5","Endothelial",0.257,0.501,2.84724507489014,1.36516963762697e-31,6.86420945495215e-27,0.41,0.18
"591","LMO2",4005,"Endo_CLDN5","Endothelial",0.629,0.122,3.53592279607128,1.23633616989439e-53,6.21642189584597e-49,0.785,0.57
"592","LOC100130370",100130370,"Oligo","Oligo",0.461,0.057,3.54578177462606,0,0,0.711,0.422
"593","LOC100132891",100132891,"Pyramidal","Pyramidal",0.716,0.261,2.97445885811553,0,0,0.79,0.58
"594","LOC100287225",100287225,"Oligo","Oligo",0.618,0.294,3.23918498595085,0,0,0.73,0.46
"595","LOC100288570",100288570,"VLMC_CYP1B1","VLMC_CYP1B1",0.455,0.067,3.22121678910192,4.60293768229968e-10,2.3144030960371e-05,0.704,0.408
"596","LOC100289473",100289473,"Astro_FGFR3","Astrocyte",0.506,0.106,3.18125243353895,0,0,0.716,0.432
"597","LOC100419574",100419574,"Endo_CLDN5","Endothelial",0.4,0.098,2.73346417525561,2.76154271063582e-31,1.3885312903348e-26,0.664,0.328
"598","LOC100419579",100419579,"Endo_CLDN5","Endothelial",0.529,0.129,3.00935715973925,1.27483551637159e-32,6.41000045986798e-28,0.716,0.432
"599","LOC100506457",100506457,"OPC_MYT1","OPC",0.776,0.551,3.11256740040903,0,0,0.769,0.538
"600","LOC100506725",100506725,"Oligo","Oligo",0.513,0.034,4.51901507872772,0,0,0.746,0.492
"601","LOC100507336",100507336,"Oligo","Oligo",0.62,0.24,4.6267560997704,0,0,0.757,0.514
"602","LOC100507377",100507377,"Oligo","Oligo",0.393,0.136,3.86222840080895,0,0,0.651,0.302
"603","LOC100533711",100533711,"Astro_FGFR3","Astrocyte",0.401,0.107,2.79394319560495,2.99563334098757e-219,1.50623440018196e-214,0.659,0.318
"604","LOC100996813",100996813,"VLMC_CYP1B1","VLMC_CYP1B1",0.545,0.307,2.92315802702248,0.00188588966790857,1,0.668,0.336
"605","LOC101060145",101060145,"Inh_VIP","VIP",0.377,0.209,2.72284468291807,3.36228127878171e-293,1.69058864978423e-288,0.602,0.204
"606","LOC101926964",101926964,"Astro_FGFR3","Astrocyte",0.758,0.364,3.57031716752143,0,0,0.814,0.628
