"","gene","entrez_id","ensembl_id","subclass","pct.1","pct.2","avg_logFC","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"796","FGF2",2247,"ENSG00000138685","Astrocyte",0.256,0.019,3.13529887402739,0.734,0.468,0,0
"797","FGFR1",2260,"ENSG00000077782","Astrocyte",0.223,0.095,1.45344407573222,0.56,0.12,9.44324126240937e-243,1.6927954286995e-238
"798","FGFR1",2260,"ENSG00000077782","OPC",0.476,0.087,2.39515095112817,0.758,0.516,0,0
"799","FGFR1",2260,"ENSG00000077782","L5.6.NP",0.526,0.099,1.65164165219009,0.706,0.412,2.40732949095411e-108,4.31537884548434e-104
"800","FGFR1",2260,"ENSG00000077782","Pericyte",0.17,0.101,1.6137535839177,0.534,0.0680000000000001,2.63569400939333e-25,4.72474508123849e-21
"801","FGFR2",2263,"ENSG00000066468","Oligodendrocyte",0.381,0.097,2.43471061951402,0.653,0.306,0,0
"802","FGFR3",2261,"ENSG00000068078","Astrocyte",0.568,0.008,4.89773408925517,0.942,0.884,0,0
"803","FGGY",55277,"ENSG00000172456","Astrocyte",0.231,0.109,1.36818178044903,0.563,0.126,6.86112405684162e-246,1.22992509842943e-241
"804","FHL2",2274,"ENSG00000115641","IT",0.263,0.023,2.01966010250421,0.782,0.564,0,0
"805","FILIP1",27145,"ENSG00000118407","L6b",0.319,0.04,1.95075729731113,0.645,0.29,1.23360805540747e-302,2.21136580012343e-298
"806","FKBP5",2289,"ENSG00000096060","Pericyte",0.441,0.206,1.48808987187832,0.568,0.136,2.78361136110277e-42,4.98990172591283e-38
"807","FKBP5",2289,"ENSG00000096060","Microglia",0.474,0.199,2.19671345747991,0.584,0.168,0,0
"808","FLI1",2313,"ENSG00000151702","Microglia",0.345,0.004,5.31617233054642,0.711,0.422,0,0
"809","FLI1",2313,"ENSG00000151702","Pericyte",0.181,0.012,2.90080410420834,0.57,0.14,7.92853266410639e-43,1.42126876536771e-38
"810","FLRT3",23767,"ENSG00000125848","PVALB",0.296,0.091,1.40654124289513,0.59,0.18,1.98242936706738e-263,3.55370288340499e-259
"811","FLT1",2321,"ENSG00000102755","Pericyte",0.24,0.013,4.95845737522133,0.663,0.326,1.45289058900268e-135,2.6044516698462e-131
"812","FLT3",2322,"ENSG00000122025","SST",0.214,0.038,2.3593861351737,0.607,0.214,4.8317584601032e-221,8.661410215581e-217
"813","FLT3",2322,"ENSG00000122025","PVALB",0.169,0.037,1.35520095673225,0.566,0.132,5.81164072989733e-173,1.0417947172414e-168
"814","FMN2",56776,"ENSG00000155816","Astrocyte",0.81,0.466,1.46992099193582,0.585,0.17,0,0
"815","FMNL2",114793,"ENSG00000157827","Oligodendrocyte",0.74,0.605,1.38707905823916,0.546,0.0920000000000001,0,0
"816","FMNL3",91010,"ENSG00000161791","Microglia",0.241,0.092,2.43823469999507,0.596,0.192,0,0
"817","FN1",2335,"ENSG00000115414","Pericyte",0.288,0.054,3.03395695192411,0.621,0.242,7.18411536781616e-92,1.28782452083472e-87
"818","FNBP1",23048,"ENSG00000187239","Oligodendrocyte",0.463,0.354,1.45082926255986,0.557,0.114,0,0
"819","FNDC3B",64778,"ENSG00000075420","Microglia",0.18,0.159,1.5726350032416,0.528,0.056,6.24366827095136e-272,1.11923997425074e-267
"820","FNDC3B",64778,"ENSG00000075420","Pericyte",0.309,0.159,1.69368190945061,0.576,0.152,1.59477371821675e-48,2.85879136727534e-44
"821","FOLH1",2346,"ENSG00000086205","Oligodendrocyte",0.26,0.006,4.87601748135539,0.943,0.886,0,0
"822","FOXN2",3344,"ENSG00000170802","Oligodendrocyte",0.26,0.114,1.93828748924852,0.607,0.214,0,0
"823","FOXN3",1112,"ENSG00000053254","Microglia",0.668,0.329,2.4560033621759,0.596,0.192,0,0
"824","FOXO1",2308,"ENSG00000150907","Astrocyte",0.426,0.068,1.86462012402112,0.62,0.24,0,0
"825","FOXO1",2308,"ENSG00000150907","Pericyte",0.222,0.085,1.46607337531492,0.519,0.038,4.3151278023404e-17,7.7352980984754e-13
"826","FOXP1",27086,"ENSG00000114861","Pericyte",0.535,0.522,1.42763192066767,0.631,0.262,1.15475191629428e-96,2.07000828514912e-92
"827","FOXP2",93986,"ENSG00000128573","Pericyte",0.247,0.174,1.44748141379359,0.556,0.112,1.04749329146184e-34,1.87773647427449e-30
"828","FOXP2",93986,"ENSG00000128573","Microglia",0.253,0.172,1.6891415521716,0.569,0.138,0,0
"829","FOXP2",93986,"ENSG00000128573","L6b",0.683,0.162,1.62928681155549,0.772,0.544,0,0
"830","FRAS1",80144,"ENSG00000138759","L5.6.NP",0.535,0.188,1.30542178664911,0.625,0.25,3.52655008248181e-66,6.32169367785688e-62
"831","FREM1",158326,"ENSG00000164946","LAMP5",0.302,0.054,2.13358227126989,0.632,0.264,2.88265370856399e-164,5.16744503797181e-160
"832","FRMD3",257019,"ENSG00000172159","L6b",0.478,0.1,1.53513555448496,0.749,0.498,0,0
"833","FRMD3",257019,"ENSG00000172159","SST",0.268,0.105,1.57505976465695,0.575,0.15,3.75050562830492e-158,6.72315638929939e-154
"834","FRMD4A",55691,"ENSG00000151474","Microglia",0.761,0.636,1.35927044268176,0.553,0.106,0,0
"835","FRMD4B",23150,"ENSG00000114541","Oligodendrocyte",0.678,0.089,3.25723648822447,0.722,0.444,0,0
"836","FRMD5",84978,"ENSG00000171877","Oligodendrocyte",0.848,0.585,1.69475427437723,0.581,0.162,0,0
"837","FRMD6",122786,"ENSG00000139926","Pericyte",0.194,0.096,2.13371701026494,0.586,0.172,2.51093153453127e-58,4.50109586880076e-54
