"","gene","cluster","avg_logFC","pct.1","pct.2","p_val","p_val_adj"
"3966","Mkx","PV Neurons",1.094189822,0.964,0.453,3.16246e-49,1.44739e-44
"3980","Kcnab1","PV Neurons",1.085448773,0.97,0.541,9.76724e-46,4.47027e-41
"3986","Tgfb3","PV Neurons",1.525290517,0.57,0.113,2.52947e-45,1.15769e-40
"3987","Crtac1","PV Neurons",1.125720643,0.945,0.499,3.13306e-45,1.43394e-40
"3988","Iqgap2","PV Neurons",1.756378189,0.812,0.409,4.009e-45,1.83484e-40
"3995","Cerk","PV Neurons",1.249777891,0.855,0.415,1.91754e-43,8.77617e-39
"4002","Gm36388","PV Neurons",1.648883703,0.655,0.199,6.24651e-42,2.8589e-37
"4005","Gpr125","PV Neurons",1.132127295,0.552,0.121,1.72463e-41,7.89329e-37
"4007","Trpc4","PV Neurons",1.030182071,0.794,0.333,2.63218e-41,1.2047e-36
"4011","Gm9962","PV Neurons",1.666551616,0.655,0.228,1.23028e-40,5.63075e-36
"4017","Hyi","PV Neurons",1.093072079,0.867,0.425,6.01762e-40,2.75414e-35
"4019","Parm1","PV Neurons",1.559492318,0.691,0.28,2.47216e-39,1.13146e-34
"4020","Gfpt2","PV Neurons",1.212183861,0.491,0.088,3.02489e-39,1.38443e-34
"4024","Rnf128","PV Neurons",1.39210846,0.83,0.386,6.55019e-39,2.99789e-34
"4030","Nefh","PV Neurons",1.738006558,0.727,0.289,4.74037e-38,2.16957e-33
"4035","Plxnc1","PV Neurons",1.10303632,0.885,0.451,8.10183e-38,3.70805e-33
"4040","Gpr12","PV Neurons",1.421970502,0.824,0.417,2.66682e-37,1.22055e-32
"4059","Gpr83","PV Neurons",1.723914135,0.709,0.278,1.02326e-34,4.68327e-30
"4074","Plch2","PV Neurons",1.246341813,0.727,0.289,6.38076e-32,2.92034e-27
"4097","Sst","SST Neurons",10.30425705,0.994,0.164,0,0
"4100","Npy","SST Neurons",5.665591271,0.927,0.204,4.0905e-219,1.8721e-214
"4117","Grin3a","SST Neurons",2.690537419,0.966,0.263,1.034e-153,4.7323e-149
"4122","LOC105243425","SST Neurons",6.033790724,0.536,0.016,1.5361e-146,7.0306e-142
"4123","Ache","SST Neurons",2.802044886,1,0.579,1.2968e-145,5.9352e-141
"4124","Nipsnap3b","SST Neurons",2.39819407,0.994,0.522,2.1907e-144,1.0026e-139
"4127","Lypd6b","SST Neurons",3.164127151,0.966,0.284,1.2731e-140,5.8265e-136
"4133","Gpx3","SST Neurons",5.081106939,0.698,0.119,8.437e-135,3.8614e-130
"4143","Reln","SST Neurons",2.825641285,0.799,0.182,2.6126e-122,1.1958e-117
"4150","Cdc42ep5","SST Neurons",1.527027842,0.676,0.042,1.5417e-112,7.0562e-108
"4156","Col19a1","SST Neurons",3.038842249,0.877,0.468,8.6125e-105,3.9418e-100
"4158","Rln1","SST Neurons",4.087622559,0.486,0.013,3.9662e-102,1.81524e-97
"4161","Ifit2","SST Neurons",2.150150828,0.777,0.108,1.6857e-99,7.71529e-95
"4165","Rab27b","SST Neurons",2.465968812,0.961,0.551,6.16095e-97,2.81974e-92
"4167","Gm16083","SST Neurons",2.682932972,0.754,0.105,1.44539e-96,6.61524e-92
"4168","Calb1","SST Neurons",3.399260627,0.838,0.296,5.06542e-96,2.31834e-91
"4172","Gm35324","SST Neurons",1.817348111,0.52,0.021,1.34794e-93,6.16925e-89
"4173","9630002D21Rik","SST Neurons",2.897189773,0.547,0.046,2.04948e-93,9.38005e-89
"4174","Grm1","SST Neurons",2.179543858,0.972,0.526,2.82575e-93,1.29329e-88
"4176","Trpc6","SST Neurons",2.370395832,0.81,0.203,4.13435e-93,1.89221e-88
"4177","Tmem91","SST Neurons",1.726487507,1,0.485,2.03782e-92,9.32668e-88
"4178","Slc5a5","SST Neurons",1.707888072,0.939,0.251,5.36102e-92,2.45363e-87
"4183","Nnmt","SST Neurons",3.321210252,0.531,0.035,1.92736e-89,8.82115e-85
"4184","Fibcd1","SST Neurons",3.302444441,0.542,0.031,7.51611e-89,3.43997e-84
"4185","AW551984","SST Neurons",3.797795102,0.542,0.04,1.25616e-88,5.74918e-84
"4191","Lppr1","SST Neurons",1.301612148,0.849,0.238,1.56382e-85,7.15731e-81
"4194","Fhl1","SST Neurons",1.538028739,0.994,0.524,6.0347e-84,2.76196e-79
"4196","Klf5","SST Neurons",1.906156027,0.944,0.387,2.09757e-82,9.60016e-78
"4198","Pxdc1","SST Neurons",1.157466699,0.726,0.108,7.53625e-81,3.44919e-76
"4199","Fam46a","SST Neurons",2.556312313,0.581,0.056,5.30042e-80,2.42589e-75
"4203","Tunar","SST Neurons",3.028267103,0.547,0.054,9.248e-78,4.23262e-73
"4204","Gm2237","SST Neurons",1.553325333,0.927,0.396,1.05443e-76,4.82593e-72
"4206","Lurap1l","SST Neurons",1.668865685,0.978,0.549,1.52977e-75,7.00145e-71
"4207","Sytl5","SST Neurons",1.763918207,0.598,0.072,2.76217e-75,1.26419e-70
"4209","Spats2l","SST Neurons",1.511861698,0.961,0.381,6.97703e-75,3.19325e-70
"4219","Ifit3","SST Neurons",1.362090175,0.642,0.085,3.09443e-72,1.41626e-67
"4224","Celf6","SST Neurons",1.81925847,0.911,0.406,1.29817e-69,5.94145e-65
"4230","Neto2","SST Neurons",1.790572044,0.972,0.523,4.62688e-67,2.11763e-62
"4236","Gm14164","SST Neurons",1.334434603,0.715,0.152,3.95116e-66,1.80837e-61
"4238","Pld5","SST Neurons",2.524777751,0.48,0.074,9.09052e-66,4.16055e-61
"4239","Flywch2","SST Neurons",1.392551751,0.966,0.504,1.46422e-65,6.70145e-61
"4243","Snx8","SST Neurons",1.341812282,0.67,0.146,3.11566e-63,1.42597e-58
"4249","Oprm1","SST Neurons",2.000022463,0.849,0.381,1.83776e-59,8.41108e-55
"4254","Nrip3","SST Neurons",1.355201551,0.994,0.573,1.21653e-57,5.56782e-53
"4256","4930452B06Rik","SST Neurons",2.343677937,0.749,0.3,2.0334e-56,9.30648e-52
"4257","1500009L16Rik","SST Neurons",1.335554137,0.944,0.449,3.90284e-56,1.78625e-51
"4260","Gm16532","SST Neurons",2.069090518,0.575,0.105,6.45933e-54,2.95631e-49
"4264","Slc29a1","SST Neurons",1.100155421,0.849,0.305,4.41277e-53,2.01963e-48
"4265","Gm8281","SST Neurons",2.091862411,0.508,0.075,5.46699e-53,2.50213e-48
"4267","Zfp941","SST Neurons",1.183742389,0.866,0.341,2.34887e-52,1.07503e-47
"4274","Klhl13","SST Neurons",1.730927262,0.726,0.242,1.60003e-50,7.32302e-46
"4277","Ptgs1","SST Neurons",1.346454111,0.575,0.113,3.49739e-49,1.60068e-44
"4280","Atg9b","SST Neurons",1.227533562,0.547,0.096,3.48309e-48,1.59414e-43
"4281","Barx2","SST Neurons",1.836191712,0.536,0.104,4.11817e-48,1.88481e-43
"4282","Rps4l","SST Neurons",1.315489677,0.849,0.362,7.03069e-48,3.2178e-43
"4283","Cd55","SST Neurons",1.819933452,0.67,0.167,7.1456e-48,3.2704e-43
"4284","Gm28175","SST Neurons",1.287717978,0.777,0.295,1.1512e-47,5.26881e-43
"4294","Frmpd3","SST Neurons",1.349205784,0.782,0.294,1.41269e-45,6.46561e-41
"4295","Sh2d7","SST Neurons",1.128267058,0.883,0.42,1.55879e-45,7.13429e-41
"4297","Rgs9","SST Neurons",1.633601872,0.827,0.341,2.7115e-45,1.241e-40
"4299","Slitrk3","SST Neurons",1.14553669,0.894,0.435,1.79739e-44,8.2263e-40
"4300","Kcna3","SST Neurons",1.605450622,0.687,0.21,1.83289e-44,8.38876e-40
"4312","Fam84a","SST Neurons",1.233066698,0.676,0.199,3.49385e-41,1.59907e-36
"4317","Camk1g","SST Neurons",1.30318695,0.832,0.372,7.79733e-40,3.56868e-35
"4319","Casz1","SST Neurons",1.409089562,0.866,0.451,1.09333e-39,5.00396e-35
"4321","Vstm5","SST Neurons",1.117686548,0.81,0.375,7.80774e-39,3.57345e-34
"4323","Slc39a6","SST Neurons",1.053069101,0.883,0.453,7.37397e-38,3.37492e-33
"4324","Tmem255a","SST Neurons",1.207188433,0.553,0.145,8.47301e-38,3.87793e-33
"4334","Ppfia4","SST Neurons",1.203271633,0.654,0.223,5.28534e-35,2.41899e-30
"4335","Vat1l","SST Neurons",1.537378815,0.659,0.25,5.58301e-35,2.55523e-30
"4336","Sstr1","SST Neurons",1.361292273,0.715,0.3,1.59118e-34,7.28251e-30
"4339","Cptp","SST Neurons",1.0457882,0.771,0.36,2.33701e-33,1.0696e-28
"4343","Itga2b","SST Neurons",1.000095896,0.581,0.177,8.35678e-32,3.82473e-27
"4344","Ccne1","SST Neurons",1.019673772,0.838,0.424,2.98695e-31,1.36707e-26
"4350","Vip","VIP Neurons",13.73296225,0.996,0.222,0,0
"4351","Adarb2","VIP Neurons",6.18192868,1,0.186,0,0
"4352","Calb2","VIP Neurons",5.874119156,0.88,0.155,0,0
"4353","Igf1","VIP Neurons",5.828853069,1,0.116,0,0
"4354","Dlx6os1","VIP Neurons",5.472880686,0.988,0.075,0,0
"4355","Rgs10","VIP Neurons",4.901596502,0.972,0.351,0,0
"4357","LOC102632463","VIP Neurons",4.963211356,0.845,0.013,0,0
"4362","Grpr","VIP Neurons",5.714463135,0.713,0.012,7.1261e-259,3.2615e-254
"4363","Htr3a","VIP Neurons",8.575208178,0.669,0.019,1.9878e-257,9.0979e-253
"4366","Asic4","VIP Neurons",4.025272291,0.861,0.054,8.2482e-248,3.775e-243
"4367","Tac2","VIP Neurons",9.556428959,0.486,0.063,1.0368e-244,4.745e-240
"4373","Crh","VIP Neurons",6.095782798,0.677,0.061,3.4072e-217,1.5594e-212
"4375","Cnr1","VIP Neurons",3.716676557,0.992,0.531,3.0482e-210,1.3951e-205
"4376","Vstm2l","VIP Neurons",2.935808628,0.976,0.48,6.7713e-205,3.0991e-200
"4382","Penk","VIP Neurons",4.38341159,0.789,0.201,1.7191e-180,7.8679e-176
"4384","Cpne7","VIP Neurons",3.354965037,0.888,0.175,3.8385e-174,1.7568e-169
"4385","Sp8","VIP Neurons",4.883703519,0.466,0.001,4.9183e-171,2.251e-166
"4388","Gm34196","VIP Neurons",3.293579948,0.781,0.186,3.42e-165,1.5653e-160
"4394","Igsf3","VIP Neurons",2.508992723,0.956,0.336,8.8133e-159,4.0337e-154
"4396","Pnoc","VIP Neurons",4.464483379,0.562,0.04,4.0051e-156,1.8331e-151
"4397","LOC105247005","VIP Neurons",4.199774071,0.598,0.034,4.4206e-155,2.0232e-150
"4401","Pcdh8","VIP Neurons",3.039793275,0.809,0.139,2.0791e-151,9.5158e-147
"4406","Npy2r","VIP Neurons",5.377805033,0.502,0.027,2.9368e-141,1.3441e-136
"4407","Sall1","VIP Neurons",2.720071716,0.689,0.059,1.1145e-139,5.1009e-135
"4408","Slc44a5","VIP Neurons",3.49704374,0.785,0.231,1.1401e-136,5.2179e-132
"4415","Sorcs3","VIP Neurons",2.22073009,0.984,0.485,3.4725e-131,1.5893e-126
"4421","Slc24a3","VIP Neurons",2.276413036,0.988,0.54,2.391e-123,1.0943e-118
"4422","Adra1b","VIP Neurons",2.923287106,0.853,0.401,1.7473e-122,7.9968e-118
"4424","Rgs8","VIP Neurons",2.949980868,0.805,0.335,1.1993e-121,5.4888e-117
"4431","Wnt5a","VIP Neurons",4.231068941,0.478,0.037,1.2216e-115,5.5909e-111
"4432","Npy1r","VIP Neurons",2.628847124,0.865,0.398,1.3358e-113,6.1137e-109
"4435","Cbln2","VIP Neurons",2.876806602,0.845,0.39,1.8842e-110,8.6234e-106
"4447","Cpne2","VIP Neurons",2.208253518,0.801,0.2,5.3483e-103,2.4478e-98
"4451","Gm3134","VIP Neurons",1.224193873,0.618,0.069,7.3672e-102,3.37183e-97
"4462","Ptpro","VIP Neurons",2.37305537,0.709,0.179,8.45635e-94,3.8703e-89
"4464","Sdk1","VIP Neurons",2.065932545,0.908,0.467,7.01579e-91,3.21099e-86
"4478","Qpct","VIP Neurons",1.986206452,0.9,0.484,2.60839e-86,1.19381e-81
"4480","Ppapdc1a","VIP Neurons",2.417025354,0.586,0.113,5.33821e-86,2.44319e-81
"4482","LOC102637409","VIP Neurons",2.981227103,0.514,0.08,7.28057e-86,3.33217e-81
"4488","Cidea","VIP Neurons",2.343343661,0.665,0.198,3.40493e-83,1.55837e-78
"4490","Gm17750","VIP Neurons",1.881620762,0.717,0.207,1.50376e-82,6.8824e-78
"4496","Gm16537","VIP Neurons",1.885525417,0.645,0.216,3.93493e-80,1.80094e-75
"4503","Ust","VIP Neurons",2.191360274,0.701,0.277,2.92135e-78,1.33704e-73
"4516","Dennd2a","VIP Neurons",1.250426702,0.861,0.41,1.52579e-72,6.98325e-68
"4528","Glra2","VIP Neurons",1.917544363,0.805,0.346,6.99123e-70,3.19975e-65
"4539","Gm4980","VIP Neurons",1.810672708,0.494,0.075,7.74921e-67,3.54666e-62
"4555","Mtss1","VIP Neurons",1.386330675,0.785,0.345,1.53434e-61,7.02236e-57
"4615","1700023F06Rik","VIP Neurons",1.3673116,0.625,0.221,1.17275e-50,5.36743e-46
"4621","Necab2","VIP Neurons",1.439810771,0.725,0.31,3.7763e-50,1.72834e-45
