"gene","entrez_id","ensembl_id","subclass","pct.1","pct.2","avg_logFC","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj","2ByFC_reference_group","2ByFC_avg_logFC","2ByFC_pct.2","2ByFC_p_val","2ByPct_reference_group","2ByPct_avg_logFC","2ByPct_pct.2","2ByPct_p_val"
"ALDH1A2",8854,"ENSG00000128918","VLMC",0.818,0.192,4.03349633133402,0.871,0.742,9.88642148066052e-12,4.97099158469091e-07,"Pericyte",2.19460616760051,0.156,2.43229025594513e-05,"L6b",2.70275351277414,0.486,0.000181300704224224
"AMOTL1",154810,"ENSG00000166025","VLMC",0.909,0.301,3.13861725937852,0.912,0.824,2.67558714748898e-09,0.000134531197362893,"Pericyte",1.44567490779171,0.281,0.000301535664770306,"L6b",2.14800922827811,0.836,9.22123800051832e-06
"ANTXR2",118429,"ENSG00000163297","VLMC",0.636,0.202,3.04167362212633,0.756,0.512,1.7136087455902e-05,0.861619613370207,"Pericyte",0.765618868511127,0.25,0.0717690950735313,"L5/6 IT Car3",1.69963251104758,0.477,0.200801050033603
"ANXA2",302,"ENSG00000182718","VLMC",0.636,0.14,4.00808631494252,0.782,0.564,2.54805861980425e-10,1.28118935462378e-05,"Pericyte",0.408734670885209,0.344,0.113248549582943,"Pericyte",0.408734670885209,0.344,0.113248549582943
"ASPN",54829,"ENSG00000106819","VLMC",0.364,0.041,3.83609718370516,0.663,0.326,0.000670878410749845,1,"Pericyte",0.460853820820797,0.031,0.00810453526920203,"L5 ET",4.08750241065653,0.185,0.0278332242996746
"BHMT2",23743,"ENSG00000132840","VLMC",0.636,0.114,3.73529192001792,0.791,0.582,3.38918155468219e-09,0.000170411437750975,"Astrocyte",2.47207330324267,0.183,6.91301730307641e-05,"L5 ET",3.65926291436891,0.308,1.73142987382078e-06
"BICC1",80114,"ENSG00000122870","VLMC",0.909,0.536,2.82151228306413,0.922,0.844,1.4452076259482e-09,7.26664846403012e-05,"Astrocyte",1.90156865598981,0.649,1.49164701237026e-05,"L6 CT",2.13053743068403,0.839,1.34466742709038e-07
"BST1",683,"ENSG00000109743","VLMC",0.364,0.107,2.54259910498161,0.634,0.268,0.00548028232592914,1,"Oligodendrocyte",1.52179217488559,0.127,0.0821852509630062,"L5/6 IT Car3",3.70603951171739,0.185,0.0112548997766875
"C14orf93",60686,"ENSG00000100802","VLMC",0.364,0.166,2.66449035587879,0.617,0.234,0.0184882330752345,1,"Astrocyte",1.76132460822786,0.23,0.19543324747046,"L6b",2.6634069527536,0.251,0.138831226344188
"C1S",716,"ENSG00000182326","VLMC",0.455,0.094,3.18200033539462,0.69,0.38,0.0015670089930912,1,"Pericyte",1.32623697057048,0.094,0.0454397439312001,"L5/6 NP",1.94862581037351,0.335,0.29630963667088
"C22orf31",25770,"ENSG00000100249","VLMC",0.545,0.101,3.36403900766888,0.736,0.472,3.78620655506978e-07,0.0190374251795464,"Astrocyte",1.79909443213806,0.177,0.0139834187829285,"Astrocyte",1.79909443213806,0.177,0.0139834187829285
"CATSPERB",79820,"ENSG00000274338, ENSG00000133962","VLMC",0.636,0.323,2.57874298341233,0.667,0.334,0.0466348429314572,1,"L6 CT",1.51459452677339,0.502,0.637800262419124,"L6 CT",1.51459452677339,0.502,0.637800262419124
"CCDC80",151887,"ENSG00000091986","VLMC",0.455,0.06,4.19069506804836,0.707,0.414,4.13880762148855e-06,0.208103386016066,"L5/6 NP",1.89096462792666,0.455,0.35066473085082,"L5/6 NP",1.89096462792666,0.455,0.35066473085082
"CDH23",64072,"ENSG00000107736","VLMC",0.818,0.317,3.31601136839604,0.804,0.608,9.82149161483941e-06,0.49383441988574,"Microglia",1.4544594906605,0.472,0.0595651136390583,"PAX6",2.59324975063821,0.5,0.0982230677478317
"CEMIP",57214,"ENSG00000103888","VLMC",0.818,0.502,4.23960248129121,0.798,0.596,1.96043300320868e-08,0.000985725318343358,"Endothelial",3.46080231310348,0.3,0.000259395642186411,"IT",4.34051827078495,0.723,6.54904211122603e-11
"CFAP54",144535,"ENSG00000188596","VLMC",0.727,0.595,2.65378837365573,0.693,0.386,0.000223140292238261,1,"L5 ET",1.74275416873989,0.815,0.520114994500196,"L5 ET",1.74275416873989,0.815,0.520114994500196
"CHMP1B2P",101060146,NA,"VLMC",0.364,0.192,3.74149864869799,0.608,0.216,1.15353173386654e-07,0.00580007291105437,"L5 ET",2.53897669899292,0.354,0.0577984111588703,"L5 ET",2.53897669899292,0.354,0.0577984111588703
"CLEC1A",51267,"ENSG00000150048","VLMC",0.455,0.05,3.33344821231191,0.712,0.424,3.29882978552571e-07,0.0165868460446018,"Endothelial",0.363354639132674,0.171,0.00733230523664147,"Endothelial",0.363354639132674,0.171,0.00733230523664147
"CLMP",79827,"ENSG00000166250","VLMC",0.545,0.45,2.76069647903212,0.6,0.2,0.00317626542694208,1,"PAX6",0.837683901126508,0.833,0.132429376697551,"PAX6",0.837683901126508,0.833,0.132429376697551
"CMKLR1",1240,"ENSG00000174600","VLMC",0.727,0.082,2.56704024064188,0.84,0.68,2.85369569863334e-08,0.00143486673422983,"Microglia",0.0844244529323461,0.3,0.0110313847766547,"Microglia",0.0844244529323461,0.3,0.0110313847766547
"COL13A1",1305,"ENSG00000197467","VLMC",0.727,0.105,4.75674292404642,0.849,0.698,6.41254971342439e-21,3.22429412140692e-16,"L5/6 IT Car3",3.37081247835947,0.323,2.81013873476127e-07,"L5/6 IT Car3",3.37081247835947,0.323,2.81013873476127e-07
"COL15A1",1306,"ENSG00000204291","VLMC",1,0.093,5.56094374075956,0.998,0.996,6.7402577892466e-35,3.38906901901108e-30,"OPC",4.14740083816078,0.167,4.04088847630464e-16,"OPC",4.14740083816078,0.167,4.04088847630464e-16
"COL18A1",80781,"ENSG00000182871","VLMC",1,0.269,3.00177212445545,0.94,0.88,9.75176200287878e-10,4.90328345266748e-05,"Pericyte",0.649866675535631,0.656,0.0316286156107372,"Pericyte",0.649866675535631,0.656,0.0316286156107372
"COL1A1",1277,"ENSG00000108821","VLMC",0.545,0.022,4.41772627608945,0.768,0.536,3.47488695303363e-19,1.74720790885484e-14,"PAX6",3.33554468670023,0.091,5.24984638101195e-05,"Pericyte",4.50392035925266,0.094,1.59613098262915e-07
"COL27A1",85301,"ENSG00000196739","VLMC",0.909,0.252,2.61184209347737,0.881,0.762,6.26069723797351e-07,0.0314794117822546,"Pericyte",0.895640301275296,0.312,0.00140476486187135,"Astrocyte",1.06192769520746,0.577,0.044900748827795
"COL3A1",1281,"ENSG00000168542","VLMC",0.818,0.019,4.51056405571338,0.902,0.804,1.92196252017451e-14,9.66381974768946e-10,"Pericyte",1.37556874111982,0.156,0.000249695321407023,"L5 ET",3.01535251627742,0.262,0.00132402191752142
"COL4A6",1288,"ENSG00000197565","VLMC",0.455,0.212,3.86537203145728,0.648,0.296,1.73347241092976e-11,8.71607262939592e-07,"Astrocyte",3.2632675361935,0.259,2.0914957670327e-05,"L6 CT",4.44598072702659,0.267,1.2577573747679e-10
"COL5A1",1289,"ENSG00000130635","VLMC",0.727,0.144,3.65268854109692,0.833,0.666,1.29658952706058e-11,6.51938180101331e-07,"Microglia",2.16771986713385,0.159,5.71304529592161e-06,"L5/6 NP",3.88091627945034,0.204,6.91998158609782e-08
"COL6A3",1293,"ENSG00000163359","VLMC",0.727,0.059,5.15504852557109,0.854,0.708,3.23231349291839e-21,1.62523954737429e-16,"L6 CT",3.87325247459659,0.125,1.97182533683137e-07,"L6 CT",3.87325247459659,0.125,1.97182533683137e-07
"COL7A1",1294,"ENSG00000114270","VLMC",0.455,0.15,2.90836027014366,0.682,0.364,5.68600923750005e-05,1,"L5/6 NP",1.62167686501092,0.611,0.000518250728756653,"L5 ET",2.25500520668777,0.615,6.55879847706111e-06
"COL8A1",1295,"ENSG00000144810","VLMC",0.455,0.199,3.00281153000074,0.646,0.292,0.0184594013961072,1,"Endothelial",-0.245686365083851,0.243,0.368114997976993,"L5/6 NP",2.00963327461103,0.497,0.772343528562143
"CPS1",1373,"ENSG00000021826","VLMC",0.545,0.238,3.24990518714043,0.699,0.398,3.62915625695735e-05,1,"Pericyte",1.88650445423624,0.312,0.0202602067565314,"L5/6 NP",2.53230503378115,0.419,0.0416142422932035
"CTSK",1513,"ENSG00000143387","VLMC",0.364,0.117,2.93379068970323,0.641,0.282,0.000285180393863223,1,"Pericyte",1.49306090671134,0.125,0.0531075767274688,"L5 ET",3.09791229594765,0.338,0.000146679484370046
"CXCL12",6387,"ENSG00000107562","VLMC",0.727,0.05,3.13964246450486,0.85,0.7,6.87661680539688e-10,3.45763169592161e-05,"Endothelial",0.075613835109249,0.271,0.0154979660369956,"Endothelial",0.075613835109249,0.271,0.0154979660369956
"CYP1B1",1545,"ENSG00000138061","VLMC",0.727,0.011,6.16521343693011,0.861,0.722,5.35641487893363e-19,2.69325896527662e-14,"L5 ET",4.18302221043808,0.215,1.00175754358502e-05,"L5 ET",4.18302221043808,0.215,1.00175754358502e-05
"CYP1B1.AS1",NA,NA,"VLMC",0.545,0.142,3.20075899011906,0.731,0.462,7.43162363290638e-07,0.0373669467886166,"L5/6 NP",1.01966305309508,0.461,0.264350894839718,"L5 ET",1.29296158340815,0.554,0.297659051945004
"CYTL1",54360,"ENSG00000170891","VLMC",0.636,0.013,4.55953418382439,0.812,0.624,5.28245726544462e-11,2.65607233763821e-06,"Microglia",2.28675630904661,0.161,0.00125521850927948,"Microglia",2.28675630904661,0.161,0.00125521850927948
"DAB2",1601,"ENSG00000153071","VLMC",0.636,0.252,2.85130812043116,0.763,0.526,1.59902421256036e-06,0.0804005364317475,"Endothelial",0.829895206774121,0.4,0.132257805383557,"L6b",2.38426737692708,0.724,7.5344133253985e-09
"DACT1",51339,"ENSG00000165617","VLMC",0.364,0.037,3.73321589630597,0.67,0.34,4.68865965003579e-06,0.23575049586345,"SST",2.35127724985189,0.14,0.00558988953787904,"SST",2.35127724985189,0.14,0.00558988953787904
"DNM1P46",196968,NA,"VLMC",0.364,0.059,2.9490194576731,0.655,0.31,0.00247395527461266,1,"OPC",2.1039942074948,0.131,0.133297757029996,"OPC",2.1039942074948,0.131,0.133297757029996
"EDN3",1908,"ENSG00000124205","VLMC",0.727,0.029,4.33521234119483,0.858,0.716,3.93912252429806e-15,1.98063019644231e-10,"Endothelial",0.19761106462252,0.286,0.0167522168704217,"Endothelial",0.19761106462252,0.286,0.0167522168704217
"EMP1",2012,"ENSG00000134531","VLMC",0.364,0.027,3.17093328259008,0.67,0.34,0.000420772340880306,1,"Endothelial",1.32555672685357,0.143,0.255052897389211,"Endothelial",1.32555672685357,0.143,0.255052897389211
"F13A1",2162,"ENSG00000124491","VLMC",0.636,0.284,4.17183522248278,0.746,0.492,7.15143044286603e-12,3.59581074097747e-07,"Pericyte",2.30171882199446,0.188,0.00305675353120952,"IT",3.48891330481772,0.439,4.08340044121934e-06
"F2R",2149,"ENSG00000181104","VLMC",0.364,0.108,2.85018233612713,0.643,0.286,0.000687327571903469,1,"L6b",1.23949855366594,0.356,0.677810876371464,"L6b",1.23949855366594,0.356,0.677810876371464
"FAM114A1",92689,"ENSG00000197712","VLMC",0.545,0.26,2.66044241908168,0.698,0.396,2.8434721417887e-05,1,"Microglia",1.44495934925738,0.335,0.014700485356056,"PVALB",2.90361464854437,0.345,0.000353331393101015
"FAM133CP",728640,NA,"VLMC",0.455,0.208,3.82455451159398,0.639,0.278,0.00555006207478347,1,"Astrocyte",3.1690090334972,0.232,0.067956540390571,"L6b",3.46430093334182,0.254,0.158210685197185
"FAM180A",389558,"ENSG00000189320","VLMC",0.455,0.047,4.79977636156482,0.712,0.424,1.93521915397371e-23,9.73047542809522e-19,"Astrocyte",4.61325045879776,0.071,3.003940060217e-12,"Endothelial",4.88276844432629,0.086,0.000112217895493707
"FAM20A",54757,"ENSG00000108950","VLMC",0.455,0.058,3.57208520225062,0.709,0.418,5.24720146825436e-08,0.00263834537025298,"SST",1.86536509643225,0.157,0.0232683352973933,"SST",1.86536509643225,0.157,0.0232683352973933
"FAP",2191,"ENSG00000078098","VLMC",0.545,0.11,3.38763949231447,0.732,0.464,0.000167060743110546,1,"L5/6 IT Car3",1.00794301558615,0.585,0.930396091647407,"L5/6 IT Car3",1.00794301558615,0.585,0.930396091647407
"FBLN2",2199,"ENSG00000163520","VLMC",0.818,0.151,3.93974807658074,0.878,0.756,3.33339949357617e-13,1.67606659936503e-08,"OPC",1.93192283177011,0.317,0.000426783025428212,"OPC",1.93192283177011,0.317,0.000426783025428212
"FBLN5",10516,"ENSG00000140092","VLMC",0.455,0.153,2.82609416061526,0.672,0.344,0.0021752817394287,1,"Endothelial",-0.107929491612188,0.257,0.340355046057781,"L6 CT",1.57585165788431,0.524,0.419897258634737
"FGD6",55785,"ENSG00000180263","VLMC",1,0.556,2.5435979244761,0.832,0.664,4.12864393663415e-05,1,"Astrocyte",0.923674395741823,0.85,0.208904156078107,"Astrocyte",0.923674395741823,0.85,0.208904156078107
"FGF1",2246,"ENSG00000113578","VLMC",0.909,0.529,2.72658643554371,0.893,0.786,4.51943668484191e-08,0.00227241795950536,"Pericyte",1.74384342295237,0.594,0.00406733574843265,"L5 ET",2.65383607012132,1,1.58583311681901e-09
"FHL2",2274,"ENSG00000115641","VLMC",0.545,0.316,2.63005526298715,0.697,0.394,1.50391794938951e-05,0.756184984132541,"L5/6 IT Car3",1.06662707213313,0.877,7.76767734052167e-05,"L5/6 IT Car3",1.06662707213313,0.877,7.76767734052167e-05
"FLRT2",23768,"ENSG00000185070","VLMC",1,0.67,2.65596351576758,0.979,0.958,1.79727890671769e-08,0.000903689807086724,"L6 CT",2.00722714621131,0.993,3.24140831285292e-15,"L5/6 IT Car3",2.06961847015519,1,7.48035031948807e-10
"FLVCR2",55640,"ENSG00000119686","VLMC",0.909,0.097,5.65248657173397,0.944,0.888,3.97097992035997e-43,1.9966484137562e-38,"Endothelial",2.59376306753228,0.229,6.49592915890046e-06,"Endothelial",2.59376306753228,0.229,6.49592915890046e-06
"FMO2",2327,"ENSG00000094963","VLMC",0.364,0.005,4.52326662033213,0.68,0.36,4.27988468074163e-08,0.0021519688163237,"OPC",3.68048237756916,0.021,5.3572117904426e-05,"OPC",3.68048237756916,0.021,5.3572117904426e-05
"FOXC1",2296,"ENSG00000054598","VLMC",0.545,0.005,4.17949846991775,0.771,0.542,1.14718193582037e-11,5.7681454914984e-07,"Pericyte",0.30657798986371,0.281,0.270004519178692,"Endothelial",0.401161785138533,0.314,0.278258630650272
"FRMD6",122786,"ENSG00000139926","VLMC",0.909,0.374,2.6966541892696,0.865,0.73,8.24316256316472e-06,0.414474456838485,"Pericyte",0.744666480911214,0.438,0.0152479364812597,"L5 ET",2.08319368673211,0.846,0.0374765727538214
